date,open,high,low,close,vol
18/12/2009,3.69,3.72,3.61,3.67,81035980.00
21/12/2009,3.70,3.76,3.68,3.70,69915051.00
22/12/2009,3.73,3.73,3.66,3.67,61497934.00
23/12/2009,3.70,3.70,3.59,3.65,50435813.00
28/12/2009,3.68,3.69,3.64,3.65,27631697.00
29/12/2009,3.67,3.74,3.64,3.73,40518538.00
30/12/2009,3.71,3.76,3.69,3.75,43825500.00
04/01/2010,3.78,3.93,3.78,3.92,64492590.00
05/01/2010,3.95,3.95,3.87,3.91,62003418.00
06/01/2010,3.90,3.93,3.86,3.86,62039337.00
07/01/2010,3.85,3.87,3.81,3.84,51283477.00
08/01/2010,3.83,3.85,3.79,3.81,53780596.00
11/01/2010,3.84,3.86,3.76,3.80,70216561.00
12/01/2010,3.76,3.82,3.75,3.80,51041901.00
13/01/2010,3.80,3.84,3.76,3.79,77063139.00
14/01/2010,3.79,3.82,3.71,3.73,63349026.00
15/01/2010,3.73,3.77,3.63,3.64,79551601.00
18/01/2010,3.69,3.73,3.67,3.68,30923946.00
19/01/2010,3.63,3.73,3.63,3.71,59495483.00
20/01/2010,3.67,3.68,3.54,3.59,75335826.00
21/01/2010,3.60,3.63,3.49,3.54,84400594.00
22/01/2010,3.49,3.62,3.49,3.59,45673002.00
26/01/2010,3.52,3.59,3.47,3.58,72752634.00
27/01/2010,3.56,3.57,3.47,3.51,91343920.00
28/01/2010,3.56,3.59,3.49,3.59,115431350.00
29/01/2010,3.59,3.64,3.52,3.56,70043400.00
01/02/2010,3.59,3.63,3.56,3.61,48984366.00
02/02/2010,3.65,3.72,3.62,3.67,54829681.00
03/02/2010,3.65,3.70,3.62,3.66,47797629.00
04/02/2010,3.63,3.64,3.50,3.50,78378257.00
05/02/2010,3.48,3.56,3.35,3.42,110999151.00
08/02/2010,3.46,3.47,3.38,3.41,89287634.00
09/02/2010,3.48,3.62,3.48,3.58,113622414.00
10/02/2010,3.62,3.62,3.55,3.58,41795537.00
11/02/2010,3.58,3.68,3.53,3.62,77131104.00
12/02/2010,3.60,3.64,3.53,3.64,67275127.00
17/02/2010,3.68,3.73,3.67,3.70,71268564.00
18/02/2010,3.69,3.73,3.65,3.73,40238447.00
19/02/2010,3.71,3.71,3.67,3.69,30380954.00
22/02/2010,3.70,3.70,3.62,3.62,63345530.00
23/02/2010,3.61,3.62,3.53,3.57,58711925.00
24/02/2010,3.59,3.60,3.53,3.55,127091890.00
25/02/2010,3.49,3.61,3.45,3.55,81406321.00
26/02/2010,3.55,3.67,3.53,3.67,165482935.00
01/03/2010,3.70,3.70,3.64,3.65,95782888.00
02/03/2010,3.69,3.71,3.66,3.69,76768873.00
03/03/2010,3.71,3.81,3.70,3.77,220408985.00
04/03/2010,3.79,3.80,3.71,3.71,81675971.00
05/03/2010,3.78,3.80,3.77,3.77,102705079.00
08/03/2010,3.78,3.81,3.75,3.76,63207220.00
09/03/2010,3.74,3.89,3.73,3.86,122425369.00
