date,open,high,low,close,vol
18/12/2009,8.42,8.42,8.13,8.31,1554487.00
21/12/2009,8.34,8.37,8.24,8.31,3624395.00
22/12/2009,8.31,8.34,8.25,8.31,2721335.00
23/12/2009,8.25,8.34,8.05,8.17,5239066.00
28/12/2009,8.17,8.27,8.16,8.19,681300.00
29/12/2009,8.19,8.31,8.19,8.31,1774591.00
30/12/2009,8.27,8.32,8.25,8.25,2415011.00
04/01/2010,8.30,8.60,8.30,8.60,8775199.00
05/01/2010,8.58,8.61,8.49,8.61,2578415.00
06/01/2010,8.61,8.61,8.49,8.61,1642427.00
07/01/2010,8.55,8.56,8.48,8.53,1915909.00
08/01/2010,8.50,8.52,8.34,8.43,1329627.00
11/01/2010,8.39,8.47,8.09,8.31,2145865.00
12/01/2010,8.24,8.39,8.21,8.39,1105692.00
13/01/2010,8.34,8.39,8.22,8.39,3948745.00
14/01/2010,8.31,8.32,8.20,8.24,2394634.00
15/01/2010,8.24,8.28,8.05,8.28,2423317.00
18/01/2010,8.20,8.31,8.15,8.28,1008185.00
19/01/2010,8.20,8.28,8.15,8.25,2872759.00
20/01/2010,8.18,8.18,7.85,8.03,4621639.00
21/01/2010,8.06,8.06,7.80,7.84,2524987.00
22/01/2010,7.81,8.00,7.77,7.98,1279445.00
26/01/2010,7.76,8.00,7.72,7.96,2724348.00
27/01/2010,7.94,7.94,7.78,7.93,1490763.00
28/01/2010,7.98,8.00,7.85,8.00,5862531.00
29/01/2010,8.00,8.16,7.89,8.06,6663688.00
01/02/2010,8.05,8.15,7.98,8.15,3591737.00
02/02/2010,8.17,8.23,8.06,8.23,2881015.00
03/02/2010,8.21,8.22,8.07,8.14,1935776.00
04/02/2010,8.04,8.11,7.74,8.08,4964116.00
05/02/2010,7.92,7.92,7.51,7.88,6236815.00
08/02/2010,7.80,7.88,7.62,7.72,5177829.00
09/02/2010,7.81,7.99,7.81,7.98,3005490.00
10/02/2010,7.94,8.06,7.88,8.03,3791433.00
11/02/2010,8.01,8.16,7.90,7.95,3131110.00
12/02/2010,8.02,8.12,7.90,8.12,1296735.00
17/02/2010,8.03,8.31,8.03,8.30,1468119.00
18/02/2010,8.23,8.31,8.15,8.31,827834.00
19/02/2010,8.12,8.31,8.12,8.30,1628904.00
22/02/2010,8.31,8.31,8.11,8.14,3788163.00
23/02/2010,8.06,8.06,7.83,7.94,5711608.00
24/02/2010,7.89,7.93,7.83,7.93,3137082.00
25/02/2010,7.86,7.95,7.71,7.94,3156257.00
26/02/2010,7.92,8.11,7.80,8.11,3718605.00
01/03/2010,8.15,8.15,8.06,8.12,1174727.00
02/03/2010,8.12,8.19,8.06,8.19,2367873.00
03/03/2010,8.20,8.27,8.13,8.27,2774075.00
04/03/2010,8.29,8.31,8.19,8.29,1149955.00
05/03/2010,8.29,8.34,8.24,8.34,1581912.00
08/03/2010,8.26,8.31,8.23,8.29,861109.00
09/03/2010,8.24,8.37,8.18,8.34,8278743.00
10/03/2010,8.29,8.41,8.29,8.37,7170891.00
11/03/2010,8.34,8.37,8.25,8.37,4183801.00
12/03/2010,8.40,8.40,8.22,8.31,1504571.00
15/03/2010,8.26,8.36,8.23,8.36,1875823.00
16/03/2010,8.30,8.37,8.30,8.36,1031886.00
17/03/2010,8.37,8.37,8.22,8.31,3769210.00
18/03/2010,8.25,8.28,8.15,8.26,2956077.00
19/03/2010,8.22,8.25,8.14,8.22,5008434.00
22/03/2010,8.15,8.30,8.09,8.30,2211732.00
23/03/2010,8.26,8.29,8.15,8.29,761749.00
24/03/2010,8.15,8.19,8.10,8.10,2897831.00
25/03/2010,8.15,8.21,8.10,8.20,3097274.00
26/03/2010,8.19,8.29,8.13,8.29,5987338.00
29/03/2010,8.26,8.40,8.25,8.40,5119826.00
30/03/2010,8.39,8.41,8.32,8.40,2884900.00
31/03/2010,8.39,8.49,8.38,8.48,8507331.00
01/04/2010,8.50,8.63,8.50,8.57,6311586.00
05/04/2010,8.57,8.63,8.54,8.63,2995894.00
06/04/2010,8.44,8.63,8.44,8.57,1038977.00
07/04/2010,8.54,8.54,8.43,8.53,1011024.00
08/04/2010,8.42,8.70,8.42,8.69,4897394.00
09/04/2010,8.70,8.74,8.60,8.74,4962445.00
12/04/2010,8.69,8.70,8.61,8.69,1781922.00
13/04/2010,8.66,8.71,8.56,8.71,738680.00
14/04/2010,8.62,8.74,8.52,8.74,5230300.00
15/04/2010,8.66,8.70,8.60,8.70,3606868.00
16/04/2010,8.58,8.58,8.38,8.43,5302109.00
19/04/2010,8.34,8.42,8.22,8.34,1457478.00
20/04/2010,8.31,8.47,8.26,8.47,1376720.00
22/04/2010,8.31,8.37,8.20,8.37,4395735.00
23/04/2010,8.39,8.42,8.28,8.42,1841160.00
26/04/2010,8.30,8.43,8.27,8.43,1560961.00
27/04/2010,8.29,8.29,8.02,8.05,4577018.00
28/04/2010,8.08,8.16,8.04,8.15,1687213.00
29/04/2010,8.15,8.29,8.15,8.29,3334498.00
30/04/2010,8.31,8.35,8.24,8.35,1350851.00
03/05/2010,8.29,8.35,8.19,8.25,17357124.00
04/05/2010,8.16,8.25,7.98,7.99,29189918.00
05/05/2010,7.88,8.13,7.85,8.09,3587584.00
06/05/2010,8.02,8.14,7.60,7.88,4590376.00
07/05/2010,8.06,8.06,7.71,7.90,2268833.00
10/05/2010,8.06,8.20,8.06,8.19,2879966.00
11/05/2010,8.10,8.21,8.10,8.13,5998846.00
12/05/2010,8.14,8.19,8.05,8.15,3841048.00
13/05/2010,8.02,8.12,7.96,7.96,600443.00
14/05/2010,7.92,7.92,7.77,7.88,1540501.00
17/05/2010,7.86,7.93,7.68,7.87,2286535.00
18/05/2010,7.97,7.97,7.63,7.81,2554521.00
19/05/2010,7.59,7.59,7.28,7.37,13648088.00
20/05/2010,7.28,7.44,7.19,7.19,7386591.00
21/05/2010,7.31,7.56,7.23,7.43,2700246.00
24/05/2010,7.46,7.46,7.29,7.45,3382925.00
25/05/2010,7.31,7.31,6.94,7.23,6266645.00
26/05/2010,7.31,7.44,7.20,7.37,2360927.00
27/05/2010,7.49,7.59,7.49,7.53,2799328.00
28/05/2010,7.44,7.59,7.41,7.59,757167.00
31/05/2010,7.59,7.73,7.50,7.73,3198880.00
01/06/2010,7.60,7.68,7.53,7.67,1544721.00
02/06/2010,7.67,7.79,7.59,7.71,3587737.00
04/06/2010,7.71,7.71,7.53,7.60,2898734.00
07/06/2010,7.58,7.58,7.41,7.41,1070438.00
08/06/2010,7.49,7.63,7.32,7.57,2540795.00
09/06/2010,7.57,7.66,7.46,7.46,2800124.00
10/06/2010,7.52,7.66,7.52,7.59,1924898.00
11/06/2010,7.54,7.77,7.48,7.73,6217574.00
14/06/2010,7.79,7.79,7.67,7.67,1702599.00
15/06/2010,7.67,7.84,7.63,7.81,1110730.00
16/06/2010,7.74,7.87,7.70,7.86,4805994.00
17/06/2010,7.87,7.87,7.68,7.79,3818247.00
18/06/2010,7.77,7.83,7.73,7.77,3895226.00
21/06/2010,7.83,7.90,7.76,7.80,2495358.00
22/06/2010,7.75,7.83,7.73,7.80,4882781.00
23/06/2010,7.73,7.80,7.67,7.73,3906055.00
24/06/2010,7.72,7.77,7.55,7.60,4019917.00
25/06/2010,7.61,7.71,7.47,7.71,2173379.00
28/06/2010,7.64,7.83,7.61,7.74,2464767.00
29/06/2010,7.64,7.66,7.34,7.40,5735794.00
30/06/2010,7.49,7.49,7.24,7.26,3100076.00
01/07/2010,7.32,7.61,7.24,7.61,2273219.00
02/07/2010,7.58,7.63,7.47,7.61,2098416.00
05/07/2010,7.47,7.60,7.45,7.45,2844044.00
06/07/2010,7.60,7.63,7.53,7.63,2074571.00
07/07/2010,7.61,7.97,7.61,7.97,11065903.00
08/07/2010,7.97,8.18,7.90,8.11,11416306.00
12/07/2010,8.11,8.32,8.09,8.16,13200128.00
13/07/2010,8.17,8.18,8.10,8.17,82295269.00
14/07/2010,8.05,8.20,8.04,8.20,3169920.00
15/07/2010,8.14,8.14,8.01,8.12,7507327.00
16/07/2010,8.10,8.14,7.89,7.91,2246799.00
19/07/2010,7.98,8.02,7.92,8.02,5415079.00
20/07/2010,8.00,8.16,7.97,8.11,6111925.00
21/07/2010,8.00,8.17,8.00,8.13,3302987.00
22/07/2010,8.21,8.36,8.17,8.36,11789164.00
23/07/2010,8.26,8.40,8.24,8.40,2576317.00
26/07/2010,8.37,8.45,8.31,8.40,3757943.00
27/07/2010,8.34,8.47,8.34,8.43,3649983.00
28/07/2010,8.40,8.58,8.40,8.51,12938144.00
29/07/2010,8.51,8.56,8.45,8.53,3837407.00
30/07/2010,8.47,8.59,8.45,8.54,7201983.00
02/08/2010,8.54,8.57,8.50,8.56,4509881.00
03/08/2010,8.51,8.51,8.30,8.37,3741628.00
04/08/2010,8.35,8.41,8.17,8.19,6590616.00
05/08/2010,8.17,8.27,8.17,8.25,1614076.00
06/08/2010,8.28,8.33,8.22,8.33,4375211.00
09/08/2010,8.32,8.39,8.32,8.34,3746014.00
10/08/2010,8.30,8.35,8.25,8.35,3580693.00
11/08/2010,8.22,8.24,8.12,8.19,3733052.00
12/08/2010,8.10,8.30,8.09,8.26,5553082.00
13/08/2010,8.27,8.32,8.24,8.28,2587056.00
16/08/2010,8.30,8.30,8.19,8.24,1173662.00
17/08/2010,8.30,8.31,8.26,8.31,3857197.00
18/08/2010,8.28,8.30,8.24,8.30,1585304.00
19/08/2010,8.33,8.33,8.19,8.21,2247570.00
20/08/2010,8.16,8.22,8.15,8.22,1998532.00
23/08/2010,8.33,8.33,8.17,8.21,2577632.00
24/08/2010,8.19,8.19,7.99,8.07,4421078.00
25/08/2010,8.10,8.10,7.89,8.01,4759675.00
26/08/2010,8.03,8.06,7.83,7.84,5622062.00
27/08/2010,7.97,8.13,7.88,8.13,6914735.00
30/08/2010,8.05,8.05,7.92,8.00,6794030.00
31/08/2010,8.02,8.33,8.02,8.33,9804670.00
01/09/2010,8.36,8.43,8.30,8.41,4743412.00
02/09/2010,8.38,8.41,8.29,8.38,7352423.00
03/09/2010,8.39,8.45,8.25,8.40,11565068.00
06/09/2010,8.39,8.39,8.25,8.38,2018835.00
08/09/2010,8.29,8.39,8.28,8.39,11731723.00
09/09/2010,8.36,8.40,8.26,8.32,10078670.00
10/09/2010,8.32,8.35,8.21,8.35,5671530.00
13/09/2010,8.39,8.54,8.30,8.54,24011161.00
14/09/2010,8.54,8.65,8.48,8.59,11530456.00
15/09/2010,8.59,8.65,8.52,8.62,13411666.00
16/09/2010,8.58,8.63,8.51,8.63,5892317.00
17/09/2010,8.58,8.58,8.47,8.54,21668249.00
20/09/2010,8.54,8.63,8.50,8.63,2806732.00
21/09/2010,8.53,8.62,8.46,8.49,4146921.00
22/09/2010,8.49,8.61,8.49,8.54,5857946.00
23/09/2010,8.54,8.67,8.50,8.56,5702091.00
24/09/2010,8.57,8.63,8.44,8.54,6116107.00
27/09/2010,8.57,8.58,8.44,8.54,8963886.00
28/09/2010,8.56,8.61,8.54,8.57,5641006.00
29/09/2010,8.54,8.66,8.54,8.66,6972029.00
30/09/2010,8.66,8.78,8.66,8.78,12061501.00
01/10/2010,8.78,8.92,8.77,8.92,5178569.00
04/10/2010,8.89,8.97,8.83,8.97,1775420.00
05/10/2010,8.97,9.14,8.97,9.14,7857511.00
06/10/2010,9.13,9.14,9.01,9.11,2490181.00
07/10/2010,9.11,9.11,8.94,8.94,4840972.00
08/10/2010,8.94,9.25,8.80,9.25,6694628.00
11/10/2010,9.25,9.27,9.18,9.25,1925750.00
13/10/2010,9.28,9.35,9.18,9.35,6574056.00
14/10/2010,9.36,9.36,9.09,9.28,3175125.00
15/10/2010,9.28,9.33,9.23,9.32,3227615.00
18/10/2010,9.25,9.37,9.22,9.37,6089253.00
19/10/2010,9.28,9.36,9.17,9.26,2874872.00
20/10/2010,9.28,9.35,9.20,9.29,3098757.00
21/10/2010,9.22,9.34,9.13,9.17,5445333.00
22/10/2010,9.25,9.28,9.08,9.22,3191120.00
25/10/2010,9.22,9.31,9.21,9.27,11788646.00
26/10/2010,9.15,9.28,9.15,9.25,2345024.00
27/10/2010,9.15,9.33,9.00,9.10,6711364.00
28/10/2010,9.17,9.17,8.97,9.04,5197634.00
29/10/2010,9.05,9.16,8.88,9.04,6057144.00
01/11/2010,9.03,9.21,9.03,9.21,9692724.00
03/11/2010,9.23,9.29,9.18,9.29,13021875.00
04/11/2010,9.26,9.39,9.25,9.39,17285151.00
05/11/2010,9.40,9.43,9.31,9.43,7677538.00
08/11/2010,9.38,9.44,9.35,9.44,5380607.00
09/11/2010,9.45,9.46,9.24,9.26,5085589.00
10/11/2010,9.31,9.45,9.14,9.44,3381443.00
11/11/2010,9.40,9.40,9.16,9.25,9777169.00
12/11/2010,9.20,9.25,9.05,9.25,3845655.00
16/11/2010,9.14,9.21,8.93,9.12,3163311.00
17/11/2010,9.11,9.11,8.86,9.08,2391235.00
18/11/2010,9.17,9.19,9.09,9.14,8762914.00
19/11/2010,9.13,9.25,9.04,9.25,5638505.00
22/11/2010,9.23,9.23,8.98,9.18,7056019.00
23/11/2010,9.00,9.05,8.80,8.91,9716967.00
24/11/2010,8.97,9.13,8.96,9.03,16855604.00
25/11/2010,9.06,9.06,8.92,9.02,3111395.00
26/11/2010,8.89,8.92,8.80,8.84,7734864.00
29/11/2010,8.84,8.86,8.59,8.74,6375587.00
30/11/2010,8.74,8.83,8.64,8.83,7465324.00
01/12/2010,8.86,8.91,8.78,8.86,16099215.00
02/12/2010,8.89,8.96,8.89,8.89,10373807.00
03/12/2010,8.89,8.89,8.70,8.76,8470870.00
06/12/2010,8.76,8.76,8.65,8.66,4341720.00
07/12/2010,8.83,8.83,8.69,8.69,8692824.00
08/12/2010,8.78,8.78,8.53,8.78,7145519.00
09/12/2010,8.71,8.81,8.50,8.58,8404883.00
10/12/2010,8.59,8.65,8.47,8.59,10291766.00
13/12/2010,8.56,8.69,8.50,8.63,7639264.00
14/12/2010,8.47,8.68,8.42,8.68,10341799.00
15/12/2010,8.66,8.66,8.50,8.66,10303653.00
16/12/2010,8.59,8.62,8.45,8.52,12063506.00
17/12/2010,8.52,8.55,8.41,8.55,7819013.00
20/12/2010,8.54,8.56,8.40,8.49,7495302.00
21/12/2010,8.48,8.64,8.43,8.63,3902417.00
22/12/2010,8.58,8.84,8.50,8.84,5517608.00
23/12/2010,8.75,8.85,8.70,8.78,3638368.00
27/12/2010,8.69,8.77,8.64,8.65,3279232.00
28/12/2010,8.63,8.68,8.56,8.58,3783571.00
29/12/2010,8.59,8.84,8.59,8.84,4985555.00
30/12/2010,8.78,8.84,8.69,8.84,7662304.00
03/01/2011,8.90,9.03,8.84,8.97,12421275.00
04/01/2011,9.04,9.04,8.90,9.03,2363787.00
05/01/2011,8.98,9.16,8.87,9.16,5230123.00
06/01/2011,9.08,9.15,8.91,9.04,17188158.00
07/01/2011,8.96,9.00,8.74,8.80,10144007.00
10/01/2011,8.76,8.84,8.64,8.84,13724722.00
11/01/2011,8.89,8.97,8.89,8.97,14071083.00
12/01/2011,8.99,9.14,8.97,9.14,5405813.00
13/01/2011,9.16,9.16,8.99,9.04,10182901.00
14/01/2011,8.98,9.10,8.95,9.10,13145922.00
17/01/2011,9.04,9.07,8.89,9.07,9190354.00
18/01/2011,9.09,9.09,8.85,8.91,25361843.00
19/01/2011,8.90,8.90,8.76,8.79,23956012.00
20/01/2011,8.79,8.79,8.57,8.70,21434920.00
21/01/2011,8.67,8.74,8.59,8.61,17457096.00
24/01/2011,8.69,8.74,8.64,8.73,11631377.00
26/01/2011,8.70,8.75,8.59,8.61,16310066.00
27/01/2011,8.66,8.70,8.41,8.64,16391400.00
28/01/2011,8.59,8.59,8.31,8.52,8676341.00
31/01/2011,8.53,8.53,8.26,8.33,13871033.00
01/02/2011,8.38,8.43,8.33,8.33,5229145.00
02/02/2011,8.39,8.45,8.26,8.28,5340383.00
03/02/2011,8.25,8.30,8.22,8.26,3337231.00
04/02/2011,8.26,8.26,8.02,8.02,16688761.00
07/02/2011,8.07,8.16,7.98,8.07,9001052.00
08/02/2011,8.05,8.36,8.05,8.30,13334799.00
09/02/2011,8.25,8.33,8.04,8.06,7665974.00
10/02/2011,8.09,8.14,8.05,8.08,5492221.00
11/02/2011,8.10,8.37,8.06,8.35,11634644.00
14/02/2011,8.32,8.47,8.31,8.39,10996717.00
15/02/2011,8.39,8.56,8.33,8.55,10316197.00
16/02/2011,8.59,8.76,8.59,8.76,8713096.00
17/02/2011,8.74,9.03,8.68,8.99,32756436.00
18/02/2011,8.96,8.99,8.82,8.93,5790175.00
21/02/2011,8.93,8.93,8.70,8.76,15629503.00
22/02/2011,8.69,8.81,8.55,8.62,12271190.00
23/02/2011,8.76,8.76,8.52,8.62,6391036.00
24/02/2011,8.69,8.76,8.52,8.62,13739563.00
25/02/2011,8.74,8.74,8.42,8.59,7434863.00
28/02/2011,8.62,8.72,8.57,8.68,5683731.00
01/03/2011,8.64,8.75,8.52,8.54,11548322.00
02/03/2011,8.54,8.60,8.51,8.58,5099397.00
03/03/2011,8.61,8.73,8.60,8.73,11231352.00
04/03/2011,8.67,8.78,8.63,8.74,8403369.00
09/03/2011,8.77,8.77,8.62,8.62,3829491.00
10/03/2011,8.58,8.58,8.33,8.36,10010419.00
11/03/2011,8.44,8.56,8.27,8.56,4408526.00
14/03/2011,8.56,8.60,8.41,8.52,2686313.00
15/03/2011,8.33,8.64,8.32,8.64,4254085.00
16/03/2011,8.62,8.71,8.43,8.53,11262216.00
17/03/2011,8.54,8.59,8.37,8.46,6942130.00
18/03/2011,8.46,8.59,8.46,8.56,9007339.00
21/03/2011,8.59,8.62,8.53,8.59,1576768.00
22/03/2011,8.59,8.82,8.56,8.82,5835678.00
23/03/2011,8.74,8.82,8.69,8.71,7376170.00
24/03/2011,8.73,8.84,8.68,8.84,6391398.00
25/03/2011,8.80,8.81,8.69,8.79,6252935.00
28/03/2011,8.80,8.91,8.74,8.88,6529216.00
29/03/2011,8.91,8.94,8.77,8.94,9951486.00
30/03/2011,9.00,9.12,8.90,9.12,11924983.00
31/03/2011,9.09,9.36,9.09,9.35,11229170.00
01/04/2011,9.35,9.51,9.30,9.38,14749241.00
04/04/2011,9.43,9.44,9.28,9.37,6782693.00
05/04/2011,9.33,9.38,9.23,9.34,10811472.00
06/04/2011,9.34,9.38,9.30,9.35,2075063.00
07/04/2011,9.33,9.47,9.27,9.47,4248028.00
08/04/2011,9.33,9.42,9.18,9.28,9415781.00
11/04/2011,9.27,9.33,9.15,9.33,19357807.00
12/04/2011,9.12,9.22,9.06,9.22,9967879.00
13/04/2011,9.23,9.26,9.11,9.18,5958705.00
14/04/2011,9.15,9.21,8.96,8.97,13770620.00
15/04/2011,9.01,9.08,8.94,9.06,9607302.00
18/04/2011,8.95,8.98,8.82,8.93,8950244.00
19/04/2011,8.93,9.09,8.93,9.06,4218868.00
20/04/2011,9.12,9.30,9.12,9.25,6689581.00
25/04/2011,9.12,9.32,9.12,9.25,1800663.00
26/04/2011,9.21,9.32,9.19,9.32,5728149.00
27/04/2011,9.30,9.31,9.08,9.24,8225594.00
28/04/2011,9.12,9.16,8.95,9.12,9322259.00
29/04/2011,8.94,9.18,8.93,9.18,10489929.00
02/05/2011,9.11,9.13,8.95,9.13,14029745.00
03/05/2011,8.95,9.08,8.72,8.78,23024998.00
04/05/2011,8.80,8.87,8.72,8.84,16483841.00
05/05/2011,8.84,8.95,8.79,8.94,27043436.00
06/05/2011,9.02,9.10,8.98,9.07,7442628.00
09/05/2011,9.04,9.12,8.93,9.12,6768454.00
10/05/2011,9.09,9.24,9.08,9.24,5890497.00
11/05/2011,9.19,9.21,9.03,9.03,12731197.00
12/05/2011,9.01,9.13,8.95,9.05,2251464.00
13/05/2011,9.01,9.04,8.76,8.85,8511114.00
16/05/2011,8.79,8.88,8.69,8.73,17678531.00
17/05/2011,8.72,8.73,8.60,8.67,8321666.00
18/05/2011,8.70,8.75,8.55,8.58,11601891.00
19/05/2011,8.64,8.70,8.56,8.60,9566796.00
20/05/2011,8.66,8.69,8.52,8.52,8811061.00
23/05/2011,8.46,8.69,8.43,8.60,9015076.00
24/05/2011,8.61,8.72,8.60,8.71,2791766.00
25/05/2011,8.67,8.75,8.61,8.75,4877593.00
26/05/2011,8.72,8.94,8.69,8.90,6595555.00
