date,open,high,low,close,vol
18/12/2009,8.53,8.69,8.39,8.69,21961267.00
21/12/2009,8.86,8.86,8.28,8.28,37683313.00
22/12/2009,8.46,8.62,8.39,8.60,27764187.00
23/12/2009,8.65,8.76,8.47,8.65,14468631.00
28/12/2009,8.72,8.74,8.57,8.67,6482187.00
29/12/2009,8.66,8.74,8.59,8.64,10569969.00
30/12/2009,8.62,8.62,8.44,8.48,27495564.00
04/01/2010,8.59,8.82,8.54,8.80,12889853.00
05/01/2010,8.79,8.87,8.66,8.72,19149784.00
06/01/2010,8.73,8.99,8.73,8.85,31992396.00
07/01/2010,8.82,9.05,8.75,9.05,22705971.00
08/01/2010,9.08,9.16,8.94,9.06,28551793.00
11/01/2010,9.08,9.14,8.84,8.93,23211676.00
12/01/2010,8.85,8.87,8.65,8.69,31749468.00
13/01/2010,8.75,9.00,8.71,8.98,27936342.00
14/01/2010,8.90,9.65,8.89,9.65,129565411.00
15/01/2010,9.54,9.75,9.12,9.22,61306695.00
18/01/2010,9.28,9.51,9.19,9.40,22419291.00
19/01/2010,9.25,9.64,9.22,9.51,40709049.00
20/01/2010,9.36,9.42,8.96,9.11,39680971.00
21/01/2010,9.18,9.18,8.53,8.54,36630926.00
22/01/2010,8.58,8.75,8.50,8.72,27936481.00
26/01/2010,8.65,8.65,8.33,8.45,27153226.00
27/01/2010,8.52,8.52,8.29,8.33,27933475.00
28/01/2010,8.47,8.57,8.36,8.45,17872106.00
29/01/2010,8.55,8.63,8.40,8.50,23560199.00
01/02/2010,8.55,8.75,8.46,8.62,12243832.00
02/02/2010,8.71,8.75,8.52,8.57,20050249.00
03/02/2010,8.57,8.74,8.51,8.74,17371771.00
04/02/2010,8.65,8.72,8.33,8.35,16428459.00
05/02/2010,8.28,8.29,7.80,8.20,20988307.00
08/02/2010,8.30,8.41,7.94,8.01,30014257.00
09/02/2010,8.17,8.40,8.13,8.24,34014334.00
10/02/2010,8.29,8.49,8.26,8.45,21171600.00
11/02/2010,8.45,8.49,8.35,8.42,12602562.00
12/02/2010,8.38,8.41,8.21,8.26,10683660.00
17/02/2010,8.45,8.62,8.37,8.45,25840586.00
18/02/2010,8.46,8.68,8.44,8.66,13922752.00
19/02/2010,8.58,8.74,8.49,8.71,10706619.00
22/02/2010,8.74,8.86,8.49,8.60,15674556.00
23/02/2010,8.59,8.74,8.43,8.51,11529067.00
24/02/2010,8.55,8.76,8.42,8.64,12513771.00
25/02/2010,8.46,8.68,8.33,8.56,8649934.00
26/02/2010,8.62,8.65,8.26,8.26,40050295.00
01/03/2010,8.42,8.48,8.33,8.37,15484252.00
02/03/2010,8.35,8.45,8.33,8.36,17487379.00
03/03/2010,8.40,8.77,8.40,8.55,53364369.00
04/03/2010,8.61,8.75,8.45,8.73,17131408.00
05/03/2010,8.83,8.85,8.64,8.64,11831945.00
08/03/2010,8.83,8.85,8.63,8.80,18726431.00
09/03/2010,8.74,8.81,8.57,8.75,25323943.00
10/03/2010,8.76,8.79,8.42,8.45,36489281.00
11/03/2010,8.45,8.46,8.24,8.31,38230801.00
12/03/2010,8.41,8.42,7.92,7.98,171840982.00
15/03/2010,7.99,7.99,7.74,7.84,43098342.00
16/03/2010,7.94,7.97,7.78,7.83,40539496.00
17/03/2010,7.91,7.94,7.48,7.49,95443589.00
18/03/2010,7.51,7.64,7.38,7.49,82907402.00
19/03/2010,7.55,7.71,7.10,7.10,192770907.00
22/03/2010,7.09,7.44,6.92,7.42,94964002.00
23/03/2010,7.48,7.51,7.20,7.30,56442321.00
24/03/2010,7.36,7.45,7.27,7.34,48143348.00
