date,open,high,low,close,vol
23/01/2014,9.47,9.47,9.47,9.47,205520.00
24/01/2014,9.88,9.88,9.88,9.88,6125.00
27/01/2014,10.16,10.16,10.16,10.16,6300.00
28/01/2014,10.23,10.23,10.00,10.15,1087039.00
29/01/2014,9.89,9.97,9.88,9.96,812955.00
30/01/2014,9.88,10.05,9.84,9.84,2136719.00
31/01/2014,9.84,10.01,9.76,10.00,2264960.00
03/02/2014,9.76,9.76,9.55,9.68,557965.00
04/02/2014,9.51,9.52,9.19,9.35,3705232.00
05/02/2014,9.43,9.43,8.95,9.14,14526293.00
06/02/2014,9.39,9.68,9.05,9.35,14311585.00
07/02/2014,9.51,9.56,8.87,9.51,19679548.00
10/02/2014,9.04,9.68,9.04,9.61,10281689.00
11/02/2014,9.75,9.84,9.46,9.68,13420777.00
12/02/2014,9.84,9.84,9.54,9.84,23048789.00
13/02/2014,9.52,9.89,9.39,9.89,16018938.00
14/02/2014,9.88,10.08,9.68,10.08,10232089.00
17/02/2014,10.00,10.17,9.87,10.10,10076717.00
18/02/2014,9.93,9.99,9.72,9.92,14197830.00
19/02/2014,9.72,9.77,9.59,9.76,23532810.00
20/02/2014,9.75,9.82,9.58,9.78,20951129.00
21/02/2014,9.78,9.84,9.67,9.74,17639425.00
24/02/2014,9.80,9.80,9.52,9.56,11896994.00
25/02/2014,9.52,9.55,9.21,9.46,23526548.00
26/02/2014,9.35,9.53,9.31,9.36,14960717.00
27/02/2014,9.42,9.51,9.25,9.51,14224332.00
28/02/2014,9.51,9.55,9.19,9.35,22162488.00
05/03/2014,9.29,9.29,9.08,9.22,10697622.00
06/03/2014,9.22,9.22,9.05,9.11,14869891.00
07/03/2014,9.11,9.12,8.92,8.92,16731285.00
10/03/2014,8.92,8.92,8.51,8.61,21018878.00
11/03/2014,8.67,8.67,8.39,8.55,18662933.00
12/03/2014,8.48,8.84,8.46,8.81,22716564.00
13/03/2014,8.85,8.85,8.55,8.71,21380702.00
14/03/2014,8.61,8.79,8.51,8.71,25528454.00
17/03/2014,8.68,8.76,8.56,8.61,11776321.00
18/03/2014,8.65,9.00,8.53,9.00,42392197.00
19/03/2014,9.00,9.18,8.86,9.07,17310998.00
20/03/2014,9.06,9.20,8.89,9.17,19105496.00
21/03/2014,9.14,9.14,8.98,9.01,13947951.00
24/03/2014,9.01,9.09,8.91,9.05,12006838.00
25/03/2014,9.26,9.26,8.87,9.21,12784351.00
26/03/2014,9.23,9.26,8.89,9.14,37099893.00
27/03/2014,9.27,9.38,8.92,9.35,24795844.00
28/03/2014,9.43,9.50,9.17,9.35,14831615.00
31/03/2014,9.40,9.48,9.23,9.47,23321110.00
01/04/2014,9.44,9.52,9.29,9.42,13556440.00
02/04/2014,9.42,9.74,9.34,9.74,22968206.00
03/04/2014,9.49,9.76,9.49,9.76,11564381.00
04/04/2014,9.84,9.88,9.65,9.84,18149802.00
07/04/2014,9.79,9.96,9.65,9.91,21222678.00
08/04/2014,10.06,10.08,9.64,9.75,37436565.00
09/04/2014,9.68,9.68,9.40,9.54,61853273.00
10/04/2014,9.47,9.47,9.11,9.36,45308333.00
11/04/2014,9.29,9.40,9.07,9.19,44074672.00
14/04/2014,9.14,9.33,9.03,9.23,27445682.00
15/04/2014,9.23,9.23,8.88,9.16,23555675.00
16/04/2014,9.22,9.40,8.95,9.30,28372310.00
17/04/2014,9.25,9.55,9.15,9.55,27768364.00
22/04/2014,9.44,9.62,9.23,9.44,33962394.00
23/04/2014,9.37,9.43,9.14,9.21,36547566.00
24/04/2014,9.29,9.36,9.09,9.36,18689731.00
25/04/2014,9.29,9.42,9.15,9.31,24628298.00
28/04/2014,9.24,9.53,9.17,9.46,24150059.00
29/04/2014,9.43,9.69,9.32,9.61,39043713.00
30/04/2014,9.55,9.72,9.41,9.57,30601990.00
02/05/2014,9.54,9.88,9.45,9.78,47863744.00
05/05/2014,9.83,10.02,9.76,9.96,37064129.00
06/05/2014,9.90,10.06,9.78,10.06,31100581.00
07/05/2014,9.94,10.07,9.89,10.07,48739928.00
08/05/2014,9.99,10.08,9.82,9.93,27734600.00
09/05/2014,9.87,9.94,9.76,9.78,17763664.00
12/05/2014,9.85,9.91,9.78,9.91,12255366.00
13/05/2014,9.90,9.97,9.80,9.85,13821973.00
