date,open,high,low,close,vol
18/12/2009,7.00,7.08,6.89,7.02,27832034.00
21/12/2009,7.08,7.15,6.88,6.88,25218717.00
22/12/2009,6.95,7.13,6.94,7.13,48863942.00
23/12/2009,7.24,7.28,7.05,7.23,27681491.00
28/12/2009,7.27,7.32,7.20,7.32,22311280.00
29/12/2009,7.38,7.43,7.32,7.40,19817884.00
30/12/2009,7.36,7.43,7.25,7.34,27790116.00
04/01/2010,7.41,7.51,7.35,7.44,22873698.00
05/01/2010,7.45,7.46,7.18,7.18,43900354.00
06/01/2010,7.23,7.23,7.00,7.05,58960336.00
07/01/2010,7.05,7.19,6.97,7.04,40865094.00
08/01/2010,7.09,7.13,6.97,7.06,24583551.00
11/01/2010,7.11,7.17,7.01,7.09,19597226.00
12/01/2010,7.01,7.20,6.90,7.20,28040235.00
13/01/2010,7.21,7.29,7.05,7.27,26932715.00
14/01/2010,7.18,7.28,7.11,7.15,20929288.00
15/01/2010,7.06,7.11,6.97,7.07,21372266.00
18/01/2010,7.09,7.14,6.90,6.90,36321922.00
19/01/2010,6.85,6.98,6.70,6.97,32917011.00
20/01/2010,6.87,6.87,6.63,6.68,41779171.00
21/01/2010,6.71,6.71,6.33,6.52,49896948.00
22/01/2010,6.39,6.51,6.31,6.34,33710685.00
26/01/2010,6.29,6.30,6.05,6.26,30355278.00
27/01/2010,6.31,6.39,6.10,6.34,32544875.00
28/01/2010,6.43,6.45,6.11,6.17,30598696.00
29/01/2010,6.19,6.48,6.18,6.25,40161071.00
01/02/2010,6.29,6.37,6.17,6.36,21455012.00
02/02/2010,6.38,6.52,6.37,6.52,31222375.00
03/02/2010,6.52,6.71,6.49,6.68,60246142.00
04/02/2010,6.62,6.62,6.19,6.25,29953170.00
05/02/2010,6.14,6.22,5.85,5.95,55318881.00
08/02/2010,6.03,6.09,5.79,5.80,48740122.00
09/02/2010,5.91,6.21,5.88,6.05,55845871.00
10/02/2010,6.14,6.14,5.91,6.06,24720237.00
11/02/2010,6.01,6.21,5.99,6.21,47491093.00
12/02/2010,6.14,6.20,5.79,6.10,32500212.00
17/02/2010,6.23,6.34,6.22,6.31,28987597.00
18/02/2010,6.30,6.32,6.18,6.25,26727105.00
19/02/2010,6.21,6.26,6.12,6.26,28099549.00
22/02/2010,6.31,6.44,6.28,6.34,51470449.00
23/02/2010,6.32,6.32,6.14,6.31,40551318.00
24/02/2010,6.34,6.35,6.08,6.10,28439653.00
25/02/2010,6.00,6.16,5.95,6.10,30938931.00
26/02/2010,6.11,6.14,5.98,6.14,17496803.00
01/03/2010,6.19,6.35,6.17,6.33,20922108.00
02/03/2010,6.34,6.42,6.28,6.38,28705986.00
03/03/2010,6.40,6.51,6.25,6.25,50057068.00
04/03/2010,6.28,6.37,6.15,6.30,39687574.00
05/03/2010,6.38,6.46,6.27,6.27,41960183.00
08/03/2010,6.31,6.37,6.17,6.26,40791512.00
09/03/2010,6.21,6.35,6.19,6.26,30550669.00
10/03/2010,6.32,6.41,6.26,6.35,26504035.00
11/03/2010,6.33,6.44,6.29,6.44,20849971.00
12/03/2010,6.61,6.62,6.50,6.54,67381204.00
15/03/2010,6.52,6.55,6.23,6.24,64968125.00
16/03/2010,6.29,6.40,6.27,6.39,30588845.00
17/03/2010,6.44,6.46,6.26,6.36,47245659.00
18/03/2010,6.36,6.45,6.30,6.45,32577887.00
19/03/2010,6.40,6.43,6.27,6.28,27173200.00
22/03/2010,6.26,6.39,6.05,6.18,26037835.00
23/03/2010,6.22,6.27,6.18,6.21,29102306.00
24/03/2010,6.17,6.24,6.04,6.04,27188219.00
25/03/2010,6.12,6.19,6.08,6.11,26448481.00
26/03/2010,6.12,6.19,6.05,6.08,24306205.00
29/03/2010,6.12,6.34,6.12,6.34,22121077.00
30/03/2010,6.31,6.34,6.20,6.24,24907135.00
31/03/2010,6.21,6.30,6.16,6.29,22836596.00
01/04/2010,6.32,6.38,6.17,6.21,19285228.00
05/04/2010,6.27,6.30,6.21,6.28,15927205.00
06/04/2010,6.25,6.33,6.18,6.33,28813764.00
07/04/2010,6.30,6.41,6.26,6.41,29643999.00
08/04/2010,6.38,6.45,6.32,6.36,23931811.00
09/04/2010,6.39,6.39,6.19,6.26,30183753.00
12/04/2010,6.25,6.34,6.22,6.28,26545733.00
13/04/2010,6.26,6.33,6.18,6.23,34672012.00
14/04/2010,6.24,6.29,6.14,6.19,24390571.00
15/04/2010,6.22,6.24,6.15,6.15,14616130.00
16/04/2010,6.10,6.14,5.93,6.01,26599739.00
19/04/2010,5.95,6.01,5.89,5.93,19395403.00
20/04/2010,5.97,6.05,5.95,6.04,21873117.00
22/04/2010,5.98,6.20,5.92,6.17,19732819.00
23/04/2010,6.19,6.21,6.09,6.13,25175754.00
26/04/2010,6.16,6.16,6.04,6.10,16155704.00
27/04/2010,6.03,6.07,5.84,5.85,24606819.00
28/04/2010,5.90,5.97,5.71,5.93,22703429.00
29/04/2010,5.97,6.14,5.95,6.05,19459694.00
30/04/2010,6.01,6.29,5.96,6.14,47380251.00
03/05/2010,6.29,6.35,6.13,6.34,40236459.00
04/05/2010,6.24,6.33,6.18,6.20,45981595.00
05/05/2010,6.14,6.31,6.01,6.29,35808304.00
06/05/2010,6.25,6.28,5.72,6.13,46417376.00
07/05/2010,6.08,6.10,5.85,5.93,34777288.00
10/05/2010,6.17,6.24,6.07,6.14,21331105.00
11/05/2010,6.07,6.08,5.98,6.00,25857209.00
12/05/2010,6.10,6.11,5.98,6.01,14314903.00
13/05/2010,6.05,6.17,5.98,6.13,26093712.00
14/05/2010,6.18,6.18,5.82,5.85,33473540.00
17/05/2010,5.89,5.93,5.63,5.79,39215962.00
18/05/2010,5.83,5.88,5.44,5.45,46688489.00
19/05/2010,5.44,5.70,5.29,5.65,52949629.00
20/05/2010,5.49,5.65,5.36,5.51,45467583.00
21/05/2010,5.54,5.71,5.47,5.71,31159863.00
24/05/2010,5.65,5.74,5.53,5.64,26772951.00
25/05/2010,5.46,5.62,5.41,5.49,21721345.00
26/05/2010,5.58,5.65,5.47,5.51,44693615.00
27/05/2010,5.65,5.81,5.62,5.78,27980140.00
28/05/2010,5.74,5.84,5.68,5.81,38762810.00
31/05/2010,5.84,5.93,5.81,5.89,20104694.00
01/06/2010,5.73,5.92,5.70,5.77,26357502.00
02/06/2010,5.78,6.01,5.76,6.01,28396077.00
04/06/2010,5.89,6.27,5.77,6.09,46903157.00
07/06/2010,6.12,6.23,6.03,6.05,39387638.00
08/06/2010,6.10,6.17,6.01,6.03,30687614.00
09/06/2010,6.07,6.08,5.94,5.98,17257119.00
10/06/2010,6.01,6.17,6.01,6.13,22717392.00
11/06/2010,6.11,6.22,6.03,6.19,25656640.00
14/06/2010,6.24,6.33,6.24,6.31,22232963.00
15/06/2010,6.30,6.40,6.27,6.39,19976433.00
16/06/2010,6.34,6.48,6.29,6.41,46750615.00
17/06/2010,6.37,6.50,6.34,6.36,32456560.00
18/06/2010,6.40,6.40,6.24,6.24,40529312.00
21/06/2010,6.36,6.46,6.34,6.41,24892579.00
22/06/2010,6.42,6.60,6.41,6.48,37680107.00
23/06/2010,6.47,6.61,6.36,6.61,41573654.00
24/06/2010,6.55,6.59,6.37,6.43,22961434.00
25/06/2010,6.43,6.47,6.36,6.42,26342855.00
28/06/2010,6.41,6.54,6.38,6.54,18370918.00
29/06/2010,6.39,6.43,6.14,6.27,38791163.00
