date,open,high,low,close,vol
23/04/2012,2.11,2.11,2.00,2.02,9029302.00
24/04/2012,2.05,2.08,2.02,2.07,1404935.00
25/04/2012,2.11,2.11,2.05,2.07,1311191.00
26/04/2012,2.07,2.07,2.05,2.07,2150374.00
27/04/2012,2.07,2.13,2.07,2.13,589831.00
30/04/2012,2.07,2.19,2.06,2.19,915023.00
02/05/2012,2.16,2.18,2.10,2.18,3064955.00
03/05/2012,2.18,2.18,2.13,2.15,856532.00
04/05/2012,2.14,2.14,2.09,2.09,1454562.00
07/05/2012,2.10,2.10,2.07,2.09,1401382.00
08/05/2012,2.13,2.13,2.07,2.12,3111284.00
09/05/2012,2.07,2.09,2.06,2.08,1705023.00
10/05/2012,2.09,2.14,2.08,2.09,2456432.00
11/05/2012,2.07,2.14,2.04,2.14,1343706.00
14/05/2012,2.11,2.14,2.04,2.09,2150528.00
15/05/2012,2.13,2.14,2.04,2.06,1569863.00
16/05/2012,2.05,2.07,1.99,2.05,2291725.00
17/05/2012,2.05,2.10,1.98,2.06,4061882.00
18/05/2012,2.06,2.06,2.05,2.05,914195.00
21/05/2012,2.05,2.05,2.04,2.05,2653280.00
22/05/2012,2.02,2.05,2.00,2.03,4440036.00
23/05/2012,2.00,2.00,1.89,1.90,1985510.00
24/05/2012,1.90,1.90,1.86,1.90,30970.00
25/05/2012,1.90,1.90,1.75,1.83,907813.00
28/05/2012,1.78,1.86,1.76,1.78,464759.00
29/05/2012,1.81,1.81,1.78,1.78,3760.00
30/05/2012,1.73,1.75,1.66,1.66,73635.00
31/05/2012,1.71,1.74,1.57,1.74,1514923.00
01/06/2012,1.69,1.69,1.62,1.65,317372.00
04/06/2012,1.61,1.62,1.58,1.58,31242.00
05/06/2012,1.57,1.57,1.55,1.55,791943.00
06/06/2012,1.55,1.66,1.55,1.66,73997.00
08/06/2012,1.63,1.67,1.62,1.62,911133.00
11/06/2012,1.63,1.66,1.62,1.62,1895492.00
12/06/2012,1.66,1.67,1.63,1.67,535844.00
13/06/2012,1.66,1.77,1.66,1.67,2001274.00
14/06/2012,1.69,1.71,1.68,1.71,95927.00
15/06/2012,1.75,1.81,1.75,1.80,156927.00
18/06/2012,1.82,1.86,1.81,1.81,490718.00
19/06/2012,1.86,1.90,1.82,1.86,962832.00
20/06/2012,1.86,1.86,1.80,1.86,95250.00
21/06/2012,1.86,1.86,1.81,1.85,48545.00
22/06/2012,1.86,1.87,1.81,1.83,1083717.00
25/06/2012,1.83,1.83,1.79,1.82,413167.00
26/06/2012,1.82,1.82,1.78,1.82,14427.00
27/06/2012,1.82,1.82,1.82,1.82,51255.00
28/06/2012,1.80,1.82,1.76,1.78,270523.00
29/06/2012,1.83,1.90,1.79,1.90,2108909.00
02/07/2012,1.86,1.90,1.80,1.80,483042.00
03/07/2012,1.80,1.84,1.73,1.78,948030.00
04/07/2012,1.88,1.88,1.88,1.88,82160.00
05/07/2012,1.84,1.88,1.82,1.87,305042.00
06/07/2012,1.82,1.86,1.82,1.86,40530.00
10/07/2012,1.82,1.82,1.71,1.71,847595.00
11/07/2012,1.70,1.71,1.63,1.63,445611.00
12/07/2012,1.63,1.63,1.57,1.62,92088.00
13/07/2012,1.64,1.67,1.62,1.67,4150.00
16/07/2012,1.64,1.64,1.62,1.62,17877.00
18/07/2012,1.59,1.59,1.55,1.55,84451.00
19/07/2012,1.55,1.66,1.52,1.66,5191929.00
20/07/2012,1.66,1.76,1.66,1.76,390590.00
23/07/2012,1.72,1.76,1.68,1.68,72531.00
24/07/2012,1.68,1.78,1.68,1.78,163810.00
25/07/2012,1.80,1.81,1.75,1.75,257450.00
26/07/2012,1.78,1.81,1.78,1.78,163168.00
27/07/2012,1.78,1.86,1.77,1.78,193659.00
30/07/2012,1.80,1.84,1.80,1.82,131833.00
31/07/2012,1.77,1.90,1.77,1.90,213813.00
01/08/2012,1.85,1.85,1.74,1.78,356030.00
02/08/2012,1.76,1.87,1.76,1.83,488447.00
03/08/2012,1.85,1.90,1.84,1.90,618804.00
06/08/2012,1.88,1.89,1.83,1.86,2851840.00
07/08/2012,1.85,1.87,1.85,1.86,246935.00
08/08/2012,1.80,1.90,1.80,1.88,184631.00
09/08/2012,1.93,1.93,1.88,1.88,132392.00
10/08/2012,1.89,1.90,1.88,1.88,213128.00
13/08/2012,1.88,1.92,1.85,1.92,78574.00
14/08/2012,1.86,1.91,1.84,1.84,1198795.00
15/08/2012,1.85,1.88,1.84,1.88,25905.00
16/08/2012,1.88,1.90,1.87,1.90,1875578.00
17/08/2012,1.90,1.90,1.87,1.87,110481.00
20/08/2012,1.87,1.96,1.86,1.96,331877.00
21/08/2012,1.95,1.95,1.88,1.95,2194704.00
22/08/2012,1.93,1.97,1.91,1.95,852259.00
23/08/2012,1.94,1.95,1.90,1.95,655282.00
24/08/2012,1.95,2.00,1.92,1.97,264421.00
27/08/2012,1.97,2.00,1.94,2.00,369468.00
28/08/2012,2.00,2.02,1.95,1.95,418038.00
29/08/2012,2.01,2.02,1.95,2.02,279597.00
30/08/2012,2.01,2.02,1.95,1.95,1257476.00
31/08/2012,1.98,2.01,1.97,2.01,575913.00
03/09/2012,2.02,2.02,2.00,2.02,206973.00
04/09/2012,2.02,2.02,1.97,2.00,677272.00
05/09/2012,2.02,2.03,1.97,1.99,2171799.00
06/09/2012,2.01,2.01,1.98,1.98,1171529.00
10/09/2012,1.99,1.99,1.91,1.94,887989.00
11/09/2012,1.92,1.92,1.88,1.90,1387575.00
12/09/2012,1.89,1.97,1.89,1.91,120699.00
13/09/2012,1.92,1.92,1.88,1.89,973978.00
14/09/2012,1.93,1.97,1.89,1.92,776414.00
17/09/2012,1.95,1.96,1.90,1.90,346212.00
18/09/2012,1.90,1.90,1.90,1.90,2789884.00
19/09/2012,1.90,1.90,1.86,1.87,701649.00
20/09/2012,1.87,1.92,1.87,1.90,5712007.00
21/09/2012,1.90,1.90,1.85,1.88,3181203.00
24/09/2012,1.89,1.92,1.85,1.90,817528.00
25/09/2012,1.90,1.97,1.88,1.97,2510172.00
26/09/2012,1.95,2.02,1.93,2.00,926046.00
27/09/2012,1.99,2.02,1.97,2.02,367656.00
28/09/2012,2.00,2.04,1.99,2.01,673618.00
01/10/2012,2.01,2.02,1.97,1.99,925647.00
02/10/2012,1.99,2.16,1.99,2.16,1216650.00
03/10/2012,2.14,2.16,2.09,2.16,1116074.00
04/10/2012,2.14,2.16,2.09,2.16,551763.00
05/10/2012,2.16,2.16,2.12,2.13,1801876.00
08/10/2012,2.12,2.14,2.11,2.14,284835.00
09/10/2012,2.13,2.15,2.07,2.07,681304.00
10/10/2012,2.09,2.15,2.04,2.15,1453983.00
11/10/2012,2.14,2.16,2.11,2.16,1049102.00
15/10/2012,2.14,2.23,2.14,2.16,2435054.00
16/10/2012,2.16,2.23,2.15,2.23,818749.00
17/10/2012,2.22,2.35,2.22,2.33,6379987.00
18/10/2012,2.36,2.39,2.31,2.39,4159196.00
19/10/2012,2.36,2.39,2.31,2.33,2113302.00
22/10/2012,2.30,2.36,2.30,2.36,2429122.00
23/10/2012,2.37,2.37,2.28,2.28,807830.00
24/10/2012,2.31,2.33,2.28,2.32,6930220.00
25/10/2012,2.32,2.35,2.32,2.33,90223.00
26/10/2012,2.33,2.42,2.33,2.42,724732.00
29/10/2012,2.41,2.52,2.39,2.52,977477.00
30/10/2012,2.47,2.56,2.47,2.52,6022118.00
31/10/2012,2.55,2.60,2.53,2.59,3854895.00
01/11/2012,2.59,2.64,2.56,2.64,2468768.00
05/11/2012,2.61,2.71,2.60,2.60,2145193.00
06/11/2012,2.60,2.71,2.60,2.67,2643300.00
07/11/2012,2.65,2.71,2.58,2.71,1457165.00
08/11/2012,2.73,2.73,2.67,2.67,727039.00
09/11/2012,2.68,2.68,2.61,2.62,784139.00
12/11/2012,2.64,2.64,2.62,2.64,330352.00
13/11/2012,2.62,2.74,2.62,2.74,1756065.00
14/11/2012,2.74,2.81,2.66,2.81,4685510.00
16/11/2012,2.81,2.90,2.81,2.84,944690.00
19/11/2012,2.89,2.89,2.81,2.88,718236.00
21/11/2012,2.85,2.87,2.60,2.71,6146629.00
22/11/2012,2.75,2.81,2.67,2.81,139194.00
23/11/2012,2.80,2.81,2.74,2.81,189130.00
26/11/2012,2.80,2.88,2.76,2.88,893661.00
27/11/2012,2.92,2.92,2.82,2.87,2231263.00
28/11/2012,2.87,2.90,2.85,2.88,2184799.00
29/11/2012,2.93,2.93,2.83,2.87,1492021.00
30/11/2012,2.93,2.93,2.81,2.88,12470394.00
03/12/2012,2.86,2.93,2.86,2.88,2104024.00
04/12/2012,2.93,2.93,2.84,2.88,727172.00
05/12/2012,2.88,2.88,2.83,2.88,2202645.00
06/12/2012,2.90,2.90,2.86,2.88,1590014.00
07/12/2012,2.88,2.89,2.85,2.88,1477047.00
10/12/2012,2.88,2.88,2.85,2.88,691714.00
11/12/2012,2.89,2.89,2.86,2.86,298789.00
12/12/2012,2.86,2.87,2.85,2.86,802804.00
13/12/2012,2.84,2.90,2.82,2.83,1170726.00
14/12/2012,2.83,2.87,2.83,2.85,482872.00
17/12/2012,2.87,2.87,2.83,2.87,1097242.00
18/12/2012,2.85,2.90,2.78,2.83,2104742.00
19/12/2012,2.84,2.94,2.84,2.94,3099236.00
20/12/2012,2.94,2.94,2.88,2.88,300243.00
21/12/2012,2.87,2.95,2.86,2.95,1343805.00
26/12/2012,2.97,2.98,2.92,2.96,1742108.00
