date,open,high,low,close,vol
12/01/2011,8.43,8.52,8.43,8.52,22548.00
13/01/2011,8.80,8.80,8.71,8.71,122150.00
17/01/2011,8.80,8.80,8.67,8.67,56260.00
18/01/2011,8.61,8.61,8.61,8.61,82800.00
19/01/2011,8.68,8.80,8.07,8.61,45621.00
20/01/2011,8.50,8.71,8.50,8.71,72858.00
21/01/2011,8.70,8.74,8.50,8.74,119210.00
24/01/2011,8.34,8.75,8.24,8.75,80729.00
26/01/2011,8.52,8.52,8.52,8.52,59150.00
27/01/2011,8.52,8.52,8.52,8.52,45500.00
28/01/2011,8.34,8.74,8.24,8.74,213726.00
01/02/2011,8.27,8.65,8.26,8.26,129161.00
02/02/2011,8.26,8.33,8.26,8.29,39842.00
03/02/2011,8.24,8.37,8.24,8.37,26519.00
04/02/2011,8.20,8.43,8.20,8.43,52768.00
07/02/2011,8.43,8.43,8.43,8.43,18000.00
08/02/2011,8.43,8.43,8.43,8.43,162000.00
09/02/2011,8.05,8.33,7.96,8.33,176534.00
10/02/2011,8.24,8.24,8.15,8.24,39349.00
11/02/2011,8.15,8.24,8.15,8.24,26148.00
14/02/2011,8.15,8.24,8.05,8.24,43450.00
16/02/2011,8.43,8.43,8.43,8.43,4500.00
18/02/2011,8.24,8.24,8.15,8.15,65500.00
22/02/2011,8.05,8.05,7.97,8.05,64241.00
23/02/2011,7.96,7.96,7.96,7.96,4251.00
24/02/2011,7.49,7.96,7.31,7.96,40454.00
25/02/2011,7.96,8.15,7.96,8.15,46850.00
28/02/2011,8.05,8.13,7.52,7.64,132129.00
01/03/2011,7.64,7.81,7.64,7.68,81746.00
02/03/2011,7.68,7.76,7.68,7.76,12388.00
03/03/2011,7.68,7.87,7.68,7.68,547776.00
09/03/2011,7.68,7.68,7.68,7.68,12300.00
10/03/2011,7.49,7.49,7.40,7.40,47952.00
11/03/2011,7.59,7.59,7.59,7.59,4051.00
16/03/2011,7.59,7.59,7.59,7.59,4051.00
17/03/2011,7.49,7.49,7.49,7.49,20000.00
