date,open,high,low,close,vol
18/12/2009,14.11,14.11,13.73,14.01,24948996.00
21/12/2009,14.00,14.13,13.87,13.98,7676701.00
22/12/2009,13.98,14.17,13.92,14.14,18364468.00
23/12/2009,14.09,14.14,13.86,14.06,12420203.00
28/12/2009,14.05,14.10,13.85,14.01,17920752.00
29/12/2009,14.05,14.12,13.92,14.12,8129211.00
30/12/2009,14.09,14.70,14.04,14.70,37943163.00
04/01/2010,14.71,14.77,14.43,14.50,25718032.00
05/01/2010,14.51,14.51,14.04,14.15,38851909.00
06/01/2010,14.20,14.20,14.10,14.14,29534855.00
07/01/2010,14.13,14.13,13.85,13.85,47765639.00
08/01/2010,13.91,13.96,13.48,13.58,52364248.00
11/01/2010,13.72,13.78,13.52,13.53,29597060.00
12/01/2010,13.52,13.73,13.50,13.72,40783592.00
13/01/2010,13.75,13.93,13.75,13.84,33789787.00
14/01/2010,13.81,14.02,13.71,13.87,23489546.00
15/01/2010,13.70,13.83,13.44,13.58,24084074.00
18/01/2010,13.70,13.76,13.58,13.65,9683390.00
19/01/2010,13.62,13.73,13.50,13.70,20329740.00
20/01/2010,13.63,13.81,13.51,13.58,46238879.00
21/01/2010,13.59,13.75,13.50,13.59,23471011.00
22/01/2010,13.58,13.83,13.48,13.81,24641333.00
26/01/2010,13.69,13.98,13.61,13.93,19764207.00
27/01/2010,13.98,14.19,13.95,14.15,33854659.00
28/01/2010,14.19,14.46,13.98,14.23,26952310.00
29/01/2010,14.31,14.44,14.04,14.11,13333859.00
01/02/2010,14.15,14.34,13.87,14.28,19339412.00
02/02/2010,14.26,14.36,14.11,14.23,13651447.00
03/02/2010,14.15,14.40,14.10,14.40,8587821.00
04/02/2010,14.32,14.40,13.96,14.17,21426267.00
05/02/2010,14.05,14.27,13.68,14.15,30049254.00
08/02/2010,14.07,14.52,14.03,14.49,18899697.00
09/02/2010,14.54,14.92,14.49,14.77,34311883.00
10/02/2010,14.77,14.97,14.52,14.97,14230109.00
11/02/2010,15.00,15.17,14.71,14.92,26711652.00
12/02/2010,14.93,14.99,14.74,14.91,17381091.00
17/02/2010,14.89,15.28,14.89,15.20,19181235.00
18/02/2010,15.13,15.25,14.90,15.08,9245007.00
19/02/2010,15.18,15.20,14.94,14.99,8636632.00
22/02/2010,15.00,15.22,14.92,14.94,8035930.00
23/02/2010,14.95,15.10,14.74,14.82,7503909.00
24/02/2010,14.94,15.09,14.86,14.97,8497391.00
25/02/2010,14.74,15.19,14.52,15.10,16997945.00
26/02/2010,15.01,15.14,14.83,15.08,10307721.00
01/03/2010,15.08,15.27,15.00,15.10,42419172.00
02/03/2010,15.21,15.40,14.79,14.86,40838687.00
03/03/2010,14.90,14.90,14.50,14.71,37039053.00
04/03/2010,14.77,14.94,14.66,14.80,15781106.00
05/03/2010,14.94,14.94,14.80,14.80,9285583.00
08/03/2010,14.94,15.02,14.83,14.83,16031091.00
09/03/2010,14.69,15.17,14.69,15.08,11555308.00
10/03/2010,15.17,15.27,15.11,15.27,15917257.00
11/03/2010,15.11,15.53,15.11,15.29,17542346.00
12/03/2010,15.48,15.48,15.12,15.12,9851425.00
15/03/2010,15.11,15.68,15.06,15.28,11773404.00
16/03/2010,15.31,15.59,15.31,15.46,12140815.00
17/03/2010,15.59,15.60,15.34,15.50,6552670.00
18/03/2010,15.56,15.56,15.19,15.46,11808006.00
19/03/2010,15.53,15.60,15.28,15.60,13920819.00
22/03/2010,15.62,15.63,15.40,15.59,18748593.00
23/03/2010,15.45,15.50,15.14,15.42,23390840.00
24/03/2010,15.38,15.45,15.14,15.28,23112209.00
25/03/2010,15.37,15.42,14.80,15.08,42118095.00
26/03/2010,15.08,15.35,15.08,15.29,23523019.00
29/03/2010,15.32,15.46,15.31,15.42,13508340.00
30/03/2010,15.36,15.36,15.11,15.12,12731958.00
31/03/2010,14.99,15.23,14.73,14.78,18366339.00
01/04/2010,15.00,15.00,14.79,14.82,16035523.00
05/04/2010,14.89,15.04,14.84,14.88,17050486.00
06/04/2010,14.88,15.01,14.86,14.93,9129895.00
07/04/2010,14.88,14.91,14.64,14.64,8490178.00
08/04/2010,14.64,14.86,14.59,14.64,10487658.00
09/04/2010,14.74,14.82,14.56,14.56,12668818.00
12/04/2010,14.67,14.72,14.51,14.56,6024073.00
13/04/2010,14.63,14.67,14.50,14.55,8606826.00
14/04/2010,14.56,14.81,14.51,14.74,17441711.00
15/04/2010,14.80,14.80,14.51,14.57,11619297.00
16/04/2010,14.56,14.56,14.37,14.48,10043118.00
19/04/2010,14.46,14.66,14.43,14.56,11101644.00
20/04/2010,14.53,14.62,14.37,14.38,6531673.00
22/04/2010,14.36,14.57,14.19,14.50,19535210.00
23/04/2010,14.43,14.58,14.34,14.43,9735921.00
26/04/2010,14.47,14.67,14.40,14.51,9718031.00
27/04/2010,14.45,14.71,14.03,14.13,18976085.00
28/04/2010,14.25,14.46,13.95,14.39,16833383.00
29/04/2010,14.32,14.59,14.31,14.39,7801523.00
30/04/2010,14.32,14.61,14.26,14.43,18194131.00
03/05/2010,14.67,14.67,14.29,14.62,8536350.00
04/05/2010,14.45,14.69,14.00,14.27,17990835.00
05/05/2010,14.07,14.43,14.00,14.08,6576060.00
06/05/2010,14.05,14.37,13.10,13.82,14288386.00
07/05/2010,14.02,14.34,13.51,13.67,17016302.00
10/05/2010,14.06,14.40,13.89,14.03,11864753.00
11/05/2010,14.00,14.13,13.74,13.77,10611752.00
12/05/2010,13.78,14.00,13.70,13.91,10784424.00
13/05/2010,13.91,14.06,13.72,13.72,6833810.00
14/05/2010,13.80,13.80,13.53,13.67,10889863.00
17/05/2010,13.67,13.76,13.39,13.39,6462102.00
18/05/2010,13.54,13.57,13.03,13.03,8052940.00
19/05/2010,13.08,13.33,12.91,13.14,10836707.00
20/05/2010,13.14,13.14,12.78,12.84,4938556.00
21/05/2010,12.90,13.14,12.79,12.90,10460900.00
24/05/2010,12.89,13.08,12.84,12.93,10999462.00
25/05/2010,12.84,12.90,12.71,12.81,12468086.00
26/05/2010,12.86,13.05,12.61,12.93,34991438.00
27/05/2010,12.97,13.21,12.96,13.02,26827389.00
28/05/2010,13.02,13.02,12.62,12.65,12324942.00
31/05/2010,12.78,12.78,12.53,12.59,10288800.00
01/06/2010,12.55,12.76,12.36,12.38,20198605.00
02/06/2010,12.39,12.52,12.25,12.44,14696541.00
04/06/2010,12.26,12.56,12.26,12.38,20235389.00
07/06/2010,12.43,12.43,12.08,12.17,22664325.00
08/06/2010,12.22,12.35,12.11,12.31,26630193.00
09/06/2010,12.35,12.84,12.35,12.78,97573816.00
10/06/2010,12.89,12.99,12.61,12.86,24991623.00
11/06/2010,12.84,13.02,12.74,12.96,18110231.00
14/06/2010,13.00,13.13,12.90,13.11,8994240.00
15/06/2010,13.03,13.21,12.99,13.18,7157739.00
16/06/2010,13.13,13.33,12.94,13.10,18386068.00
17/06/2010,13.06,13.24,13.00,13.21,20895131.00
18/06/2010,13.11,13.23,13.02,13.02,10157798.00
21/06/2010,13.19,13.44,13.08,13.31,8658429.00
22/06/2010,13.33,13.51,13.21,13.49,12955446.00
23/06/2010,13.53,13.54,13.31,13.48,9716989.00
24/06/2010,13.37,13.51,13.29,13.39,9295685.00
25/06/2010,13.39,13.57,13.32,13.57,8035972.00
28/06/2010,13.64,13.68,13.43,13.68,8338997.00
29/06/2010,13.39,13.50,12.91,13.08,33686817.00
30/06/2010,12.95,13.26,12.91,12.91,21568478.00
01/07/2010,12.90,12.99,12.51,12.65,22317788.00
02/07/2010,12.65,12.82,12.50,12.59,8977002.00
05/07/2010,12.60,12.90,12.54,12.89,9908928.00
06/07/2010,12.92,13.14,12.73,12.90,15031215.00
07/07/2010,13.01,13.02,12.69,12.76,13435218.00
08/07/2010,12.80,12.88,12.62,12.65,13356696.00
12/07/2010,12.74,12.86,12.41,12.59,11459155.00
13/07/2010,12.68,12.78,12.44,12.53,14556431.00
14/07/2010,12.55,12.55,12.16,12.20,43291415.00
