date,open,high,low,close,vol
08/02/2013,9.28,9.89,9.28,9.89,251882209.00
13/02/2013,9.94,9.95,9.68,9.82,20748046.00
14/02/2013,9.79,9.86,9.58,9.60,14097405.00
15/02/2013,9.59,9.60,9.54,9.58,23646505.00
18/02/2013,9.57,9.57,9.27,9.49,2421225.00
19/02/2013,9.43,9.57,9.43,9.45,6317643.00
20/02/2013,9.45,9.58,9.45,9.58,745111.00
21/02/2013,9.44,9.52,9.40,9.52,4431802.00
22/02/2013,9.44,9.58,9.43,9.58,4553844.00
25/02/2013,9.52,9.64,9.48,9.49,3958333.00
26/02/2013,9.43,9.58,9.43,9.55,781127.00
27/02/2013,9.58,9.67,9.54,9.65,2665044.00
28/02/2013,9.60,9.89,9.60,9.89,1795312.00
01/03/2013,9.74,10.04,9.74,10.04,768724.00
04/03/2013,9.95,10.20,9.89,9.95,1176618.00
05/03/2013,10.05,10.19,9.95,9.95,3414555.00
06/03/2013,10.02,10.25,9.61,9.74,5651858.00
07/03/2013,9.86,9.90,9.72,9.77,322673.00
08/03/2013,9.71,9.86,9.61,9.68,2140462.00
11/03/2013,9.68,10.04,9.65,10.04,435963.00
12/03/2013,9.92,10.03,9.80,9.82,970890.00
13/03/2013,9.82,10.17,9.73,10.17,557459.00
14/03/2013,9.93,10.01,9.86,9.89,15102998.00
15/03/2013,9.89,10.01,9.83,10.01,2835591.00
18/03/2013,9.89,9.89,9.87,9.89,10803193.00
19/03/2013,9.91,10.06,9.91,9.99,27649818.00
20/03/2013,10.02,10.20,10.02,10.05,203067.00
21/03/2013,10.06,10.14,10.05,10.11,2733286.00
22/03/2013,10.12,10.20,10.09,10.15,15059771.00
25/03/2013,10.17,10.17,9.99,9.99,18248986.00
26/03/2013,9.99,10.03,9.71,9.89,6848046.00
27/03/2013,9.86,9.98,9.76,9.82,8923389.00
28/03/2013,9.89,9.89,9.82,9.82,5804241.00
01/04/2013,9.80,9.97,9.80,9.91,4554990.00
02/04/2013,9.95,9.95,9.59,9.70,905672.00
03/04/2013,9.70,9.74,9.65,9.69,2091512.00
04/04/2013,9.65,9.78,9.63,9.73,1225321.00
05/04/2013,9.79,9.79,9.65,9.72,17298578.00
08/04/2013,9.82,10.03,9.61,10.03,19980485.00
09/04/2013,9.97,9.99,9.77,9.86,2073922.00
10/04/2013,9.93,9.93,9.80,9.89,8050825.00
11/04/2013,9.96,9.96,9.83,9.88,341866.00
12/04/2013,9.89,9.89,9.80,9.82,794239.00
15/04/2013,9.68,9.89,9.60,9.71,772601.00
16/04/2013,9.85,9.86,9.64,9.75,1870312.00
17/04/2013,9.68,9.83,9.68,9.82,1240788.00
18/04/2013,9.77,9.77,9.51,9.66,6093081.00
19/04/2013,9.68,9.89,9.63,9.89,1952436.00
22/04/2013,9.81,9.81,9.64,9.67,1723911.00
23/04/2013,9.65,9.70,9.58,9.62,7404968.00
24/04/2013,9.63,9.78,9.56,9.62,3415956.00
25/04/2013,9.62,9.78,9.57,9.78,4008259.00
26/04/2013,9.78,10.21,9.69,10.21,1143046.00
29/04/2013,10.21,11.02,9.83,10.42,9501791.00
30/04/2013,10.42,10.54,10.14,10.45,9975427.00
02/05/2013,10.37,10.55,10.28,10.40,8787081.00
03/05/2013,10.46,10.74,10.38,10.55,3080575.00
06/05/2013,10.46,10.82,10.44,10.74,2938888.00
07/05/2013,10.70,11.17,10.64,10.85,6078266.00
08/05/2013,10.92,11.02,10.71,10.86,23783723.00
09/05/2013,10.85,10.86,10.65,10.74,3447372.00
10/05/2013,10.86,11.11,10.86,11.02,20615275.00
13/05/2013,10.93,11.05,10.88,11.05,1318436.00
14/05/2013,11.06,11.27,10.96,11.12,13377262.00
15/05/2013,11.09,11.52,11.09,11.33,10777816.00
16/05/2013,11.48,11.61,11.28,11.44,9151977.00
17/05/2013,11.46,11.52,11.33,11.49,13067474.00
20/05/2013,11.49,11.49,11.36,11.42,957616.00
21/05/2013,11.42,11.49,11.28,11.39,2276401.00
22/05/2013,11.42,11.42,11.10,11.10,4017037.00
23/05/2013,11.09,11.42,11.09,11.18,3446085.00
24/05/2013,11.21,11.77,11.15,11.77,6172373.00
27/05/2013,11.53,11.91,11.33,11.73,2277876.00
28/05/2013,11.84,12.09,11.61,12.01,3111639.00
29/05/2013,11.96,11.96,11.64,11.67,2556384.00
31/05/2013,11.69,12.09,11.45,11.80,32513191.00
03/06/2013,11.82,11.87,11.28,11.33,3552277.00
04/06/2013,11.44,11.70,11.33,11.49,12755015.00
05/06/2013,11.52,11.58,11.21,11.21,2138325.00
06/06/2013,11.18,11.27,11.00,11.18,1621603.00
07/06/2013,11.09,11.63,10.91,11.55,5655803.00
10/06/2013,11.55,11.73,11.40,11.46,1353843.00
11/06/2013,11.22,11.31,10.91,10.91,4788979.00
12/06/2013,11.00,11.18,10.79,11.02,1654820.00
13/06/2013,10.99,11.14,10.99,11.14,3236982.00
14/06/2013,11.09,11.38,11.03,11.33,1612906.00
17/06/2013,11.33,11.36,11.25,11.33,1270209.00
18/06/2013,11.21,11.33,11.21,11.23,1654050.00
19/06/2013,11.23,11.30,11.09,11.09,27859581.00
20/06/2013,11.03,11.03,10.56,10.56,1374172.00
21/06/2013,10.46,11.05,10.40,11.05,7877502.00
24/06/2013,10.81,10.90,10.77,10.89,3625142.00
25/06/2013,10.78,11.08,10.78,11.08,19895189.00
26/06/2013,10.96,11.33,10.96,11.14,7026929.00
27/06/2013,11.16,11.79,11.12,11.58,11405719.00
28/06/2013,11.47,11.79,11.18,11.18,7475801.00
01/07/2013,11.02,11.73,11.02,11.49,2249439.00
02/07/2013,11.34,11.69,11.34,11.59,3200981.00
03/07/2013,11.61,11.64,10.89,10.89,52810253.00
04/07/2013,11.00,11.18,10.98,11.18,1060355.00
05/07/2013,11.18,11.18,10.93,10.93,2926352.00
08/07/2013,10.87,11.16,10.48,10.48,15068209.00
10/07/2013,10.51,10.71,10.51,10.65,9995037.00
11/07/2013,10.77,10.86,10.56,10.86,3702440.00
12/07/2013,10.79,11.30,10.79,11.08,1506602.00
15/07/2013,11.16,11.63,11.16,11.52,1560705.00
16/07/2013,11.57,11.79,11.44,11.58,1688586.00
17/07/2013,11.69,11.70,11.42,11.51,2484583.00
18/07/2013,11.45,11.55,11.42,11.42,424555.00
19/07/2013,11.37,11.52,11.37,11.52,222350.00
22/07/2013,11.43,11.64,11.26,11.32,754212.00
23/07/2013,11.42,11.64,11.27,11.59,1950540.00
24/07/2013,11.59,11.70,11.52,11.66,2974041.00
25/07/2013,11.62,11.95,11.62,11.70,711816.00
26/07/2013,11.72,12.19,11.54,11.88,1492136.00
29/07/2013,11.87,12.12,11.87,12.06,55101677.00
30/07/2013,12.10,12.10,11.68,11.68,3150103.00
31/07/2013,11.66,11.73,11.49,11.73,14148953.00
01/08/2013,11.77,11.83,11.47,11.47,6456349.00
02/08/2013,11.49,11.73,11.45,11.73,2996756.00
05/08/2013,11.72,11.90,11.72,11.77,39845857.00
06/08/2013,11.78,12.01,11.75,11.87,4231583.00
07/08/2013,11.75,11.95,11.75,11.80,1042973.00
08/08/2013,11.96,12.41,11.88,12.13,7153898.00
09/08/2013,12.29,12.88,12.22,12.50,6284163.00
12/08/2013,12.38,12.59,12.37,12.42,653664.00
13/08/2013,12.35,12.94,12.35,12.48,9739229.00
14/08/2013,12.40,12.97,12.31,12.36,2682407.00
15/08/2013,12.17,12.42,12.17,12.32,767031.00
16/08/2013,12.32,12.32,11.51,11.51,1619380.00
19/08/2013,11.80,12.29,11.80,12.14,4114705.00
20/08/2013,12.02,12.26,12.02,12.23,1473314.00
21/08/2013,12.16,12.33,11.95,12.11,2884057.00
22/08/2013,12.25,12.28,12.13,12.28,854082.00
23/08/2013,12.41,12.42,12.11,12.42,1260867.00
26/08/2013,12.41,12.41,12.08,12.12,5930307.00
27/08/2013,11.95,12.20,11.95,12.14,1480932.00
28/08/2013,11.97,12.12,11.97,12.08,374161.00
29/08/2013,11.97,12.18,11.97,12.03,2141720.00
30/08/2013,12.03,12.05,11.84,12.04,3626830.00
02/09/2013,12.04,12.22,12.01,12.08,1188317.00
03/09/2013,12.00,12.08,11.89,12.02,5020963.00
04/09/2013,11.88,12.13,11.88,12.06,915457.00
05/09/2013,12.15,12.15,11.89,11.89,1769009.00
06/09/2013,11.87,11.97,11.84,11.87,13189490.00
09/09/2013,11.71,12.01,11.71,11.92,2816410.00
10/09/2013,11.92,11.97,11.87,11.89,4932129.00
11/09/2013,11.84,11.95,11.84,11.89,5040957.00
12/09/2013,11.81,11.96,11.81,11.89,3021611.00
13/09/2013,11.84,11.89,11.79,11.79,1262940.00
16/09/2013,11.75,11.90,11.75,11.84,9139049.00
17/09/2013,11.78,11.89,11.74,11.84,19045332.00
18/09/2013,11.80,11.85,11.71,11.79,1171729.00
19/09/2013,11.74,11.77,11.52,11.60,7004000.00
20/09/2013,11.52,11.64,11.40,11.40,10234585.00
23/09/2013,11.47,11.60,11.39,11.49,19312946.00
24/09/2013,11.41,11.54,11.41,11.45,7064434.00
25/09/2013,11.41,11.53,11.41,11.49,25061342.00
26/09/2013,11.49,11.59,11.49,11.52,1100191.00
27/09/2013,11.43,11.65,11.43,11.58,2300194.00
30/09/2013,11.59,11.69,11.55,11.56,4689033.00
01/10/2013,11.53,11.70,11.53,11.70,10680093.00
02/10/2013,11.65,11.79,11.65,11.72,1626859.00
03/10/2013,11.71,11.86,11.67,11.83,1909237.00
04/10/2013,11.77,12.02,11.77,11.94,35811720.00
07/10/2013,12.03,12.10,11.98,12.04,3267275.00
08/10/2013,11.98,12.09,11.98,12.06,2046133.00
09/10/2013,12.05,12.17,11.95,12.04,10243303.00
10/10/2013,12.11,12.13,12.08,12.11,25393417.00
11/10/2013,12.07,12.26,12.07,12.26,4796871.00
14/10/2013,12.26,12.29,12.19,12.24,1492481.00
15/10/2013,12.09,12.33,12.09,12.29,3152787.00
16/10/2013,12.23,12.34,12.23,12.32,258040.00
17/10/2013,12.09,12.33,12.06,12.06,1932985.00
18/10/2013,11.97,12.35,11.97,12.35,1586847.00
21/10/2013,12.29,12.46,12.29,12.43,978382.00
22/10/2013,12.39,12.51,12.37,12.46,709935.00
23/10/2013,12.44,12.51,12.35,12.35,20808809.00
24/10/2013,12.31,12.37,11.99,12.11,948439.00
25/10/2013,11.99,12.17,11.99,12.08,1208734.00
28/10/2013,12.07,12.23,12.07,12.14,965372.00
29/10/2013,12.23,12.23,12.09,12.13,5266511.00
30/10/2013,12.23,12.60,12.15,12.42,3305019.00
31/10/2013,12.42,12.60,12.36,12.57,1510439.00
01/11/2013,12.51,12.58,12.45,12.49,181094.00
04/11/2013,12.60,13.09,12.56,12.98,4530436.00
05/11/2013,12.98,13.03,12.84,12.89,459325.00
06/11/2013,12.90,13.24,12.88,13.10,3102059.00
07/11/2013,13.12,13.31,12.63,12.82,1539234.00
08/11/2013,12.86,13.07,12.86,12.88,171109.00
11/11/2013,12.97,13.10,12.88,13.01,569822.00
12/11/2013,12.95,13.03,12.86,12.87,6741642.00
13/11/2013,12.90,12.93,12.79,12.92,1778840.00
14/11/2013,12.92,13.09,12.85,12.96,22252060.00
18/11/2013,12.93,13.40,12.93,13.34,1871200.00
19/11/2013,13.34,13.35,13.24,13.30,161971.00
21/11/2013,13.29,13.84,13.17,13.73,4124644.00
22/11/2013,13.62,13.95,13.62,13.90,15353849.00
25/11/2013,13.81,13.97,13.79,13.89,2210906.00
26/11/2013,13.77,14.45,13.77,14.36,2013604.00
27/11/2013,14.36,14.76,14.17,14.37,10019599.00
28/11/2013,14.37,14.53,14.36,14.46,8749478.00
29/11/2013,14.57,14.63,14.36,14.36,919397.00
02/12/2013,14.32,15.14,14.26,14.43,8085176.00
03/12/2013,14.48,14.56,14.27,14.28,4031943.00
04/12/2013,14.36,14.41,14.23,14.41,3701941.00
05/12/2013,14.36,14.70,14.36,14.48,790941.00
06/12/2013,14.56,14.56,14.48,14.48,1502471.00
09/12/2013,14.57,14.95,14.53,14.81,1656341.00
