date,open,high,low,close,vol
18/12/2009,4.86,4.93,4.82,4.82,30666531.00
21/12/2009,4.89,5.00,4.85,4.85,30244671.00
22/12/2009,4.89,5.12,4.86,5.06,37598911.00
23/12/2009,5.13,5.13,4.99,5.08,19578562.00
28/12/2009,5.14,5.24,5.14,5.19,16489138.00
29/12/2009,5.20,5.24,5.15,5.20,17227221.00
30/12/2009,5.15,5.27,5.15,5.19,23705414.00
04/01/2010,5.28,5.32,5.18,5.31,38009377.00
05/01/2010,5.34,5.40,5.12,5.12,39575299.00
06/01/2010,5.16,5.18,4.99,5.02,52480881.00
07/01/2010,5.02,5.17,4.98,4.98,64933341.00
08/01/2010,5.03,5.09,5.00,5.00,47997298.00
11/01/2010,5.05,5.10,4.98,5.10,25227904.00
12/01/2010,5.04,5.24,4.98,5.22,38635544.00
13/01/2010,5.20,5.28,5.15,5.28,35065125.00
14/01/2010,5.26,5.27,5.12,5.16,19114670.00
15/01/2010,5.07,5.11,4.95,4.98,38107721.00
18/01/2010,5.00,5.19,4.98,5.02,21385099.00
19/01/2010,5.04,5.18,5.02,5.08,24712380.00
20/01/2010,5.01,5.09,4.88,4.89,33823408.00
21/01/2010,4.91,4.98,4.70,4.78,22489436.00
22/01/2010,4.77,4.85,4.68,4.71,36816176.00
26/01/2010,4.65,4.75,4.54,4.67,55895118.00
27/01/2010,4.64,4.80,4.61,4.67,30983070.00
28/01/2010,4.74,4.74,4.56,4.67,30825776.00
29/01/2010,4.70,4.76,4.58,4.75,52182238.00
01/02/2010,4.77,4.81,4.64,4.81,22561127.00
02/02/2010,4.84,4.88,4.73,4.85,38611551.00
03/02/2010,4.84,5.12,4.82,5.12,92405340.00
04/02/2010,5.07,5.07,4.85,4.89,35141651.00
05/02/2010,4.87,4.93,4.75,4.89,49877027.00
08/02/2010,4.89,4.95,4.77,4.85,29871827.00
09/02/2010,4.94,5.08,4.85,4.85,42928698.00
10/02/2010,4.89,5.01,4.86,4.95,27282557.00
11/02/2010,4.96,5.06,4.92,4.97,29455085.00
12/02/2010,4.97,5.02,4.77,4.81,38589191.00
17/02/2010,4.86,4.99,4.86,4.89,33154489.00
18/02/2010,4.89,4.93,4.87,4.89,22155307.00
19/02/2010,4.87,4.93,4.83,4.87,29337900.00
22/02/2010,4.92,5.02,4.90,4.95,38244830.00
23/02/2010,5.14,5.21,5.09,5.19,155408418.00
24/02/2010,5.22,5.28,5.12,5.17,49175624.00
25/02/2010,5.09,5.21,5.02,5.12,71302010.00
26/02/2010,5.08,5.18,5.06,5.15,20491733.00
01/03/2010,5.21,5.36,5.11,5.34,62085601.00
02/03/2010,5.38,5.57,5.28,5.55,62091113.00
03/03/2010,5.55,5.55,5.35,5.35,58516704.00
04/03/2010,5.35,5.48,5.31,5.40,30520848.00
05/03/2010,5.48,5.51,5.34,5.44,33829162.00
08/03/2010,5.43,5.59,5.32,5.57,70570391.00
09/03/2010,5.56,5.67,5.55,5.57,47053953.00
10/03/2010,5.61,5.66,5.52,5.55,42592273.00
11/03/2010,5.54,5.60,5.50,5.56,22444438.00
12/03/2010,5.68,5.68,5.37,5.37,56150329.00
15/03/2010,5.38,5.38,5.18,5.26,36037881.00
16/03/2010,5.21,5.45,5.21,5.43,24609688.00
17/03/2010,5.48,5.54,5.33,5.33,20702045.00
18/03/2010,5.37,5.41,5.29,5.35,33919588.00
19/03/2010,5.36,5.39,5.27,5.35,21933034.00
22/03/2010,5.27,5.43,5.27,5.35,29559444.00
23/03/2010,5.39,5.45,5.35,5.44,50295077.00
24/03/2010,5.41,5.41,5.28,5.35,25479558.00
25/03/2010,5.37,5.42,5.29,5.40,43235165.00
26/03/2010,5.36,5.42,5.24,5.26,45210139.00
29/03/2010,5.31,5.33,5.25,5.29,31765037.00
30/03/2010,5.30,5.32,5.25,5.30,27349633.00
31/03/2010,5.24,5.46,5.24,5.39,38936407.00
01/04/2010,5.47,5.51,5.28,5.28,37398342.00
05/04/2010,5.37,5.40,5.29,5.35,10967458.00
06/04/2010,5.35,5.50,5.32,5.42,26280930.00
07/04/2010,5.44,5.57,5.40,5.53,31060599.00
08/04/2010,5.53,5.58,5.45,5.45,32995669.00
09/04/2010,5.46,5.54,5.38,5.39,38972606.00
12/04/2010,5.39,5.54,5.39,5.47,37867658.00
13/04/2010,5.48,5.63,5.43,5.63,45278566.00
14/04/2010,5.61,5.68,5.60,5.61,56663143.00
15/04/2010,5.57,5.65,5.54,5.54,26567460.00
16/04/2010,5.50,5.62,5.42,5.44,18117112.00
19/04/2010,5.40,5.56,5.31,5.37,40296571.00
20/04/2010,5.45,5.48,5.40,5.46,47713814.00
22/04/2010,5.40,5.58,5.36,5.57,28614044.00
23/04/2010,5.56,5.67,5.42,5.52,30039608.00
26/04/2010,5.55,5.57,5.44,5.45,20647906.00
27/04/2010,5.43,5.44,5.20,5.25,28153897.00
28/04/2010,5.30,5.47,5.27,5.46,49517621.00
29/04/2010,5.52,5.64,5.45,5.59,29089152.00
30/04/2010,5.69,5.90,5.69,5.79,69399397.00
03/05/2010,5.77,5.99,5.76,5.99,40323485.00
04/05/2010,5.93,5.97,5.76,5.79,59551340.00
05/05/2010,5.71,5.85,5.69,5.72,40202543.00
06/05/2010,5.72,5.82,5.01,5.41,58904302.00
07/05/2010,5.45,5.52,5.27,5.36,37100484.00
10/05/2010,5.72,5.76,5.53,5.75,34125304.00
11/05/2010,5.64,5.77,5.59,5.63,19875811.00
12/05/2010,5.72,5.75,5.64,5.67,23220845.00
13/05/2010,5.66,5.82,5.64,5.79,35720479.00
14/05/2010,5.65,5.73,5.49,5.49,57014404.00
17/05/2010,5.47,5.71,5.44,5.66,49896463.00
18/05/2010,5.77,5.79,5.54,5.59,50063297.00
19/05/2010,5.61,5.83,5.56,5.76,79457950.00
20/05/2010,5.65,5.75,5.37,5.41,43829592.00
21/05/2010,5.51,5.92,5.41,5.86,74327764.00
24/05/2010,5.78,5.85,5.71,5.71,29024417.00
25/05/2010,5.55,5.68,5.46,5.59,24061566.00
26/05/2010,5.62,5.72,5.46,5.68,54315044.00
27/05/2010,5.75,5.95,5.70,5.84,37434357.00
28/05/2010,5.84,5.87,5.68,5.81,25711247.00
31/05/2010,5.80,5.86,5.73,5.86,14558081.00
01/06/2010,5.74,5.84,5.73,5.75,13161905.00
02/06/2010,5.69,5.89,5.69,5.82,25448838.00
04/06/2010,5.74,5.83,5.72,5.75,39999352.00
07/06/2010,5.76,5.98,5.76,5.88,27547331.00
08/06/2010,5.91,6.15,5.91,5.97,49258605.00
09/06/2010,5.99,6.03,5.79,5.83,19796894.00
10/06/2010,5.89,6.00,5.84,5.90,20873058.00
11/06/2010,5.85,6.14,5.85,6.13,23890072.00
14/06/2010,6.11,6.19,6.06,6.15,36206249.00
15/06/2010,6.16,6.23,6.11,6.23,17666001.00
16/06/2010,6.17,6.48,6.15,6.46,74266436.00
17/06/2010,6.48,6.70,6.47,6.58,83500876.00
18/06/2010,6.53,6.68,6.39,6.39,81762623.00
21/06/2010,6.52,6.54,6.32,6.33,47887734.00
22/06/2010,6.39,6.66,6.38,6.58,66942884.00
23/06/2010,6.57,6.66,6.54,6.62,53627683.00
24/06/2010,6.55,6.62,6.42,6.48,21722655.00
25/06/2010,6.49,6.66,6.48,6.59,28381712.00
28/06/2010,6.56,6.87,6.56,6.87,53273971.00
29/06/2010,6.76,6.83,6.54,6.65,54709710.00
30/06/2010,6.60,6.82,6.60,6.60,35583583.00
01/07/2010,6.63,6.64,6.35,6.37,42569390.00
02/07/2010,6.39,6.51,6.33,6.44,30934490.00
05/07/2010,6.52,6.60,6.42,6.42,18639803.00
06/07/2010,6.49,6.62,6.41,6.46,41275456.00
07/07/2010,6.49,6.65,6.42,6.63,47288805.00
08/07/2010,6.61,6.63,6.39,6.42,66286258.00
12/07/2010,6.50,6.53,6.35,6.37,25633015.00
13/07/2010,6.44,6.65,6.43,6.62,46979901.00
14/07/2010,6.55,6.92,6.54,6.92,61019833.00
15/07/2010,6.89,7.02,6.80,6.80,80778171.00
16/07/2010,6.83,6.85,6.66,6.66,45008410.00
19/07/2010,6.71,6.83,6.68,6.81,33844525.00
20/07/2010,6.76,6.88,6.72,6.86,40901528.00
21/07/2010,6.87,6.92,6.68,6.76,41091541.00
22/07/2010,6.82,7.04,6.81,7.04,63840715.00
23/07/2010,7.01,7.09,6.93,7.00,38640032.00
26/07/2010,7.02,7.08,6.87,6.87,21994265.00
27/07/2010,6.92,7.05,6.92,7.01,93550078.00
28/07/2010,7.01,7.07,6.96,7.07,43880610.00
29/07/2010,7.13,7.40,7.11,7.33,116163804.00
30/07/2010,7.44,7.97,7.41,7.94,165005179.00
02/08/2010,8.07,8.07,7.54,7.56,144093358.00
03/08/2010,7.53,7.53,7.16,7.34,125308125.00
04/08/2010,7.37,7.64,7.27,7.45,57092763.00
05/08/2010,7.46,7.51,7.32,7.32,45628912.00
06/08/2010,7.39,7.39,7.09,7.09,48909871.00
09/08/2010,7.18,7.27,6.96,7.06,71830531.00
10/08/2010,7.02,7.19,7.02,7.13,52623179.00
11/08/2010,7.16,7.31,7.04,7.27,41285968.00
12/08/2010,7.28,7.47,7.28,7.46,44165469.00
13/08/2010,7.45,7.52,7.37,7.41,42037369.00
16/08/2010,7.44,7.47,7.06,7.45,25205107.00
