date,open,high,low,close,vol
18/12/2009,11.50,11.53,11.50,11.50,1104416.00
21/12/2009,11.47,11.47,11.27,11.32,1025229.00
22/12/2009,11.32,11.32,11.22,11.27,1824397.00
23/12/2009,11.41,11.61,11.41,11.59,1182833.00
28/12/2009,11.70,12.00,11.64,11.99,2891961.00
29/12/2009,12.14,12.29,12.06,12.14,3129279.00
30/12/2009,12.09,12.29,12.08,12.29,5716668.00
04/01/2010,12.38,12.55,11.85,11.88,654691.00
05/01/2010,11.88,12.18,11.88,11.92,2697494.00
06/01/2010,11.96,12.21,11.90,12.06,1675014.00
07/01/2010,12.17,12.29,11.93,12.01,2054611.00
08/01/2010,11.93,12.04,11.89,11.92,2018581.00
11/01/2010,11.89,12.14,11.89,12.11,370983.00
12/01/2010,12.08,12.14,11.89,12.14,637781.00
13/01/2010,12.12,12.55,12.12,12.26,1347132.00
14/01/2010,12.49,12.49,12.29,12.46,459677.00
15/01/2010,12.35,12.35,12.20,12.20,4756465.00
18/01/2010,12.29,12.58,12.27,12.29,18294323.00
19/01/2010,12.44,12.44,12.36,12.36,3417302.00
20/01/2010,12.36,12.49,12.29,12.47,1268894.00
21/01/2010,12.49,12.49,12.00,12.29,1031832.00
22/01/2010,12.00,13.46,11.88,13.36,5868928.00
26/01/2010,13.02,13.02,12.87,12.93,1731502.00
27/01/2010,12.87,12.93,12.74,12.93,1656961.00
28/01/2010,13.08,13.75,13.08,13.61,2587782.00
29/01/2010,13.85,14.60,13.81,14.18,6527572.00
01/02/2010,14.54,15.22,14.34,14.56,5224745.00
02/02/2010,14.41,14.63,14.05,14.48,1791607.00
03/02/2010,14.48,14.78,14.48,14.57,9028980.00
04/02/2010,14.36,14.36,13.76,14.18,3459786.00
05/02/2010,13.90,14.34,13.61,13.75,2311020.00
08/02/2010,14.27,14.27,13.49,14.05,750480.00
09/02/2010,14.04,14.10,13.91,14.05,1147394.00
10/02/2010,13.83,13.83,13.68,13.75,1143894.00
11/02/2010,13.76,13.83,13.58,13.58,774590.00
12/02/2010,13.58,13.58,13.46,13.55,69310.00
17/02/2010,13.55,13.86,13.48,13.86,747837.00
18/02/2010,13.81,13.97,13.81,13.90,3010004.00
19/02/2010,13.96,13.96,13.64,13.64,2772323.00
22/02/2010,13.64,13.72,13.55,13.69,480217.00
23/02/2010,13.71,13.71,13.31,13.56,865777.00
24/02/2010,13.52,13.52,13.40,13.46,8745100.00
25/02/2010,13.43,13.52,13.43,13.52,110438.00
26/02/2010,13.52,13.87,13.28,13.87,1371352.00
01/03/2010,13.87,13.87,13.72,13.87,983713.00
02/03/2010,13.75,13.75,13.52,13.69,1236191.00
03/03/2010,13.69,13.69,13.61,13.64,402072.00
04/03/2010,13.48,13.69,13.44,13.47,1679839.00
05/03/2010,13.69,13.69,13.46,13.46,2703490.00
08/03/2010,13.45,13.45,13.17,13.23,23141815.00
09/03/2010,13.31,13.46,13.30,13.46,13285993.00
10/03/2010,13.18,13.61,13.18,13.60,1724576.00
11/03/2010,13.64,13.64,13.46,13.46,368997.00
12/03/2010,13.46,13.52,13.20,13.46,160583.00
15/03/2010,13.46,13.65,13.46,13.64,218887.00
16/03/2010,13.61,13.61,13.31,13.46,1731711.00
17/03/2010,13.75,13.75,13.40,13.40,1996399.00
18/03/2010,13.61,13.61,13.61,13.61,51150.00
19/03/2010,13.38,13.38,13.32,13.32,63861.00
22/03/2010,13.31,13.37,13.31,13.34,506896.00
23/03/2010,13.37,13.37,13.17,13.17,345855.00
24/03/2010,13.40,13.40,13.19,13.29,81876.00
25/03/2010,13.29,13.31,13.17,13.17,108686.00
26/03/2010,13.15,13.16,13.08,13.08,67332.00
29/03/2010,13.31,13.31,13.02,13.14,1007928.00
30/03/2010,13.17,13.31,13.11,13.11,211832.00
31/03/2010,13.14,13.16,12.73,12.90,1440760.00
01/04/2010,13.02,13.15,12.91,13.02,615163.00
05/04/2010,13.02,13.40,13.02,13.37,846559.00
06/04/2010,13.37,13.37,13.07,13.13,1751258.00
07/04/2010,13.32,13.32,13.11,13.11,204239.00
08/04/2010,13.04,13.04,12.76,12.76,194128.00
09/04/2010,13.03,13.03,12.71,12.86,1092413.00
12/04/2010,12.82,12.92,12.66,12.71,189491.00
13/04/2010,12.61,12.62,12.33,12.33,1824254.00
14/04/2010,12.48,12.89,11.88,12.18,2052741.00
15/04/2010,12.48,12.48,11.55,12.08,614556.00
16/04/2010,11.74,12.07,11.60,11.60,1257338.00
19/04/2010,11.76,11.80,11.32,11.70,2465873.00
20/04/2010,11.97,12.56,11.87,11.92,7701524.00
22/04/2010,12.17,12.53,11.96,12.35,163421.00
23/04/2010,12.51,12.51,12.35,12.47,995139.00
26/04/2010,12.18,12.70,12.18,12.70,1101988.00
27/04/2010,12.49,12.49,12.30,12.39,1114002.00
28/04/2010,12.49,12.77,11.88,11.88,821438.00
29/04/2010,12.00,12.33,11.99,12.30,737338.00
30/04/2010,11.95,12.43,11.95,12.43,248380.00
03/05/2010,12.43,12.43,12.43,12.43,8370.00
04/05/2010,12.75,12.75,11.99,12.18,939424.00
05/05/2010,12.18,12.41,12.18,12.18,161147.00
06/05/2010,12.18,12.18,11.88,11.88,1661256.00
07/05/2010,11.65,11.94,11.58,11.88,1645326.00
10/05/2010,12.33,12.39,12.18,12.33,197661.00
11/05/2010,11.96,11.99,11.88,11.88,332985.00
12/05/2010,11.88,11.88,11.61,11.61,5028683.00
13/05/2010,11.59,11.60,11.38,11.39,5517908.00
14/05/2010,11.56,11.56,10.81,10.99,374042.00
17/05/2010,10.72,10.76,10.71,10.74,602225.00
18/05/2010,10.52,10.84,10.44,10.60,2390524.00
19/05/2010,10.60,10.70,10.60,10.60,3427265.00
20/05/2010,10.40,10.40,10.31,10.32,1256811.00
21/05/2010,10.96,10.96,10.40,10.40,234837.00
24/05/2010,10.72,10.72,10.43,10.43,28680.00
25/05/2010,10.43,10.69,10.25,10.69,255289.00
26/05/2010,10.93,10.96,10.69,10.69,50705.00
27/05/2010,10.87,10.99,10.87,10.89,850060.00
28/05/2010,10.99,11.02,10.96,11.02,392199.00
31/05/2010,11.05,11.06,10.69,10.77,268349.00
01/06/2010,10.84,10.96,10.69,10.69,80156.00
02/06/2010,10.95,10.96,10.75,10.96,247022.00
04/06/2010,10.81,10.91,10.81,10.91,40074.00
07/06/2010,10.90,10.90,10.90,10.90,3670.00
08/06/2010,10.96,10.96,10.87,10.87,3157700.00
09/06/2010,10.78,10.99,10.78,10.99,303779.00
10/06/2010,11.17,11.51,11.17,11.50,442794.00
11/06/2010,11.44,11.58,11.44,11.57,337132.00
14/06/2010,11.88,11.94,11.50,11.82,1050824.00
15/06/2010,11.82,11.82,11.79,11.82,1131961.00
16/06/2010,11.82,11.88,11.50,11.85,641651.00
17/06/2010,11.88,12.61,11.85,12.61,4719526.00
18/06/2010,12.68,13.07,12.03,12.03,17276273.00
21/06/2010,12.39,12.39,11.79,11.85,1069230.00
22/06/2010,11.80,11.87,11.60,11.79,1007641.00
23/06/2010,11.73,11.79,11.60,11.73,327550.00
24/06/2010,11.61,11.70,11.50,11.51,256197.00
25/06/2010,11.58,11.58,11.24,11.58,327466.00
28/06/2010,11.79,11.79,11.48,11.58,19500.00
29/06/2010,11.25,11.25,10.99,11.14,554900.00
30/06/2010,11.28,11.85,10.99,11.58,4757362.00
01/07/2010,11.44,11.53,11.14,11.29,316770.00
02/07/2010,11.29,11.44,11.23,11.33,1232075.00
05/07/2010,11.44,11.85,11.44,11.73,429333.00
07/07/2010,11.44,11.88,11.44,11.88,59201.00
08/07/2010,11.88,11.88,11.88,11.88,3998.00
12/07/2010,11.85,11.88,11.41,11.84,51467.00
13/07/2010,11.84,11.88,11.84,11.88,203454.00
14/07/2010,11.86,11.88,11.79,11.88,739648.00
15/07/2010,11.71,11.88,11.61,11.88,79235.00
16/07/2010,11.79,11.84,11.79,11.82,123200.00
19/07/2010,11.82,11.82,11.82,11.82,31840.00
20/07/2010,11.73,11.73,11.58,11.58,508100.00
21/07/2010,11.73,11.73,11.73,11.73,59235.00
22/07/2010,11.88,12.03,11.73,12.03,944188.00
23/07/2010,11.82,11.88,11.73,11.73,531110.00
26/07/2010,11.70,11.70,11.58,11.64,713572.00
27/07/2010,11.62,11.71,11.29,11.71,1058110.00
28/07/2010,11.58,11.77,11.58,11.59,11504245.00
29/07/2010,11.58,11.60,11.58,11.60,89750.00
30/07/2010,11.78,11.82,11.74,11.82,131071.00
02/08/2010,11.62,11.94,11.62,11.82,4591851.00
03/08/2010,11.82,11.82,11.74,11.82,306371.00
04/08/2010,11.82,11.82,11.79,11.82,1247620.00
05/08/2010,11.59,12.68,11.59,12.68,3821395.00
06/08/2010,12.48,12.58,11.97,12.58,3237639.00
09/08/2010,12.47,12.47,12.42,12.42,25099.00
10/08/2010,12.18,12.33,12.18,12.33,306039.00
11/08/2010,12.33,12.33,12.15,12.19,2252516.00
12/08/2010,12.53,12.53,12.32,12.42,4595413.00
13/08/2010,12.39,12.39,12.18,12.22,143866.00
16/08/2010,12.33,12.36,12.33,12.36,37379.00
17/08/2010,12.48,12.48,12.32,12.48,6404872.00
18/08/2010,12.45,12.45,12.26,12.32,1083849.00
19/08/2010,12.33,12.48,12.32,12.33,424443.00
20/08/2010,12.46,12.48,12.45,12.47,121737.00
23/08/2010,12.48,12.48,12.33,12.42,1188016.00
24/08/2010,12.33,12.33,12.18,12.27,487654.00
25/08/2010,12.27,12.38,11.82,12.38,1468016.00
26/08/2010,12.33,12.33,12.18,12.18,143853.00
27/08/2010,12.18,12.18,12.07,12.16,814529.00
30/08/2010,12.00,12.03,11.75,11.88,450521.00
31/08/2010,12.18,12.18,11.90,12.18,298534.00
01/09/2010,12.33,12.42,12.33,12.42,543130.00
02/09/2010,12.37,12.42,12.00,12.00,2545042.00
03/09/2010,12.19,12.19,11.75,11.96,1725602.00
06/09/2010,12.16,12.16,11.96,11.96,16170.00
08/09/2010,11.90,12.12,11.70,11.88,1874337.00
09/09/2010,12.03,12.28,11.97,12.12,449996.00
10/09/2010,12.33,12.33,12.17,12.25,982326.00
13/09/2010,12.25,12.25,12.00,12.24,300857.00
14/09/2010,12.15,12.16,12.13,12.16,441565.00
15/09/2010,12.41,12.41,11.88,12.15,122705.00
16/09/2010,12.25,12.33,11.91,12.05,305680.00
17/09/2010,12.03,12.03,12.03,12.03,8100.00
20/09/2010,12.18,12.18,12.18,12.18,77900.00
21/09/2010,12.18,12.40,11.92,12.31,645149.00
22/09/2010,12.33,12.36,12.33,12.36,149457.00
23/09/2010,11.97,12.24,11.97,12.24,947076.00
24/09/2010,12.18,12.21,12.15,12.21,767359.00
27/09/2010,12.16,12.16,11.91,12.03,1348403.00
28/09/2010,12.04,12.14,11.74,12.03,586112.00
29/09/2010,12.03,12.10,11.97,11.97,454307.00
30/09/2010,11.97,12.34,11.97,12.32,649768.00
01/10/2010,12.27,12.33,12.15,12.33,386463.00
04/10/2010,12.27,12.33,12.24,12.33,576734.00
05/10/2010,12.31,12.33,12.00,12.16,1474344.00
06/10/2010,12.06,12.18,12.04,12.18,875134.00
07/10/2010,12.16,12.35,11.94,12.00,488820.00
08/10/2010,11.79,12.47,11.79,12.47,61779.00
11/10/2010,12.48,12.62,12.24,12.62,195780.00
13/10/2010,12.40,12.80,12.39,12.80,140544.00
14/10/2010,12.79,13.10,12.79,13.07,421433.00
15/10/2010,13.07,13.24,12.83,13.10,655729.00
18/10/2010,13.07,13.07,12.70,12.70,1114495.00
19/10/2010,12.77,13.28,12.48,13.28,380553.00
20/10/2010,13.25,13.34,13.25,13.34,1120260.00
21/10/2010,13.38,13.66,13.37,13.49,507009.00
22/10/2010,13.37,13.37,13.16,13.34,893471.00
25/10/2010,13.35,13.35,13.32,13.34,1086625.00
26/10/2010,13.22,13.31,13.07,13.31,124190.00
27/10/2010,13.07,13.13,12.62,13.13,576204.00
28/10/2010,12.48,12.88,12.48,12.82,336528.00
29/10/2010,12.80,12.80,12.77,12.77,933179.00
01/11/2010,12.77,12.92,12.77,12.82,211525.00
03/11/2010,12.48,12.77,12.18,12.77,135441.00
04/11/2010,12.78,13.07,12.77,13.07,2383557.00
05/11/2010,13.07,13.31,13.07,13.31,486232.00
08/11/2010,13.31,13.31,12.62,12.62,22384727.00
09/11/2010,12.77,12.89,12.71,12.77,592388.00
