date,open,high,low,close,vol
09/03/2011,11.92,12.04,11.76,11.91,15631395.00
10/03/2011,11.92,11.93,11.83,11.92,3831656.00
11/03/2011,11.70,11.95,11.70,11.92,951899.00
14/03/2011,11.91,11.92,11.85,11.92,2666620.00
15/03/2011,11.83,11.87,11.74,11.77,3858551.00
16/03/2011,11.77,11.83,11.77,11.81,618087.00
17/03/2011,11.83,11.83,11.76,11.83,103122.00
18/03/2011,11.87,12.34,11.87,12.34,461688.00
21/03/2011,12.22,12.31,12.06,12.07,468195.00
22/03/2011,12.00,12.21,11.99,12.09,72282.00
23/03/2011,12.00,12.00,11.87,11.87,566986.00
24/03/2011,11.90,11.91,11.88,11.88,53879.00
25/03/2011,12.08,12.08,11.92,11.92,7322479.00
28/03/2011,11.83,11.89,11.70,11.84,247537.00
29/03/2011,11.87,11.89,11.82,11.87,61741.00
30/03/2011,11.90,12.09,11.90,12.09,459627.00
31/03/2011,12.00,12.03,11.97,12.02,84295.00
01/04/2011,11.99,12.09,11.99,12.03,472640.00
04/04/2011,12.03,12.04,11.96,11.96,8176113.00
05/04/2011,12.03,12.04,11.96,11.97,165366.00
06/04/2011,11.97,12.04,11.83,11.96,102981.00
07/04/2011,11.96,11.98,11.96,11.98,2712.00
08/04/2011,11.87,11.92,11.87,11.92,129225.00
11/04/2011,11.92,12.00,11.92,11.92,92130.00
12/04/2011,11.80,11.96,11.80,11.83,380613.00
13/04/2011,11.92,12.26,11.92,12.22,748863.00
14/04/2011,12.25,12.51,12.25,12.51,284661.00
15/04/2011,12.53,12.75,12.53,12.67,387817.00
18/04/2011,12.69,13.59,12.58,12.73,981455.00
19/04/2011,12.73,13.15,12.60,12.97,1429655.00
20/04/2011,13.04,13.43,13.04,13.42,888163.00
25/04/2011,13.53,13.54,12.82,12.92,232565.00
26/04/2011,13.06,13.24,13.01,13.01,501844.00
27/04/2011,13.32,13.32,12.83,13.15,272889.00
28/04/2011,13.20,13.77,13.15,13.24,99343.00
29/04/2011,13.68,14.12,13.66,13.81,59801.00
02/05/2011,13.68,13.68,13.24,13.24,293116.00
03/05/2011,13.24,13.46,13.23,13.37,3278239.00
04/05/2011,13.33,13.59,13.33,13.33,160090.00
05/05/2011,13.68,13.94,13.67,13.94,100793.00
06/05/2011,14.11,14.17,14.07,14.17,949796.00
09/05/2011,14.17,14.61,14.17,14.58,1030914.00
10/05/2011,14.78,14.83,14.74,14.83,1407497.00
11/05/2011,14.70,14.70,14.56,14.61,1420169.00
12/05/2011,14.61,14.61,14.61,14.61,1655.00
13/05/2011,14.65,14.65,14.12,14.25,199091.00
16/05/2011,14.25,14.65,14.03,14.03,207959.00
17/05/2011,14.00,14.00,14.00,14.00,6344.00
18/05/2011,13.77,14.03,13.68,14.03,698420.00
20/05/2011,14.46,14.46,14.46,14.46,1638.00
24/05/2011,14.45,14.99,14.45,14.99,101373.00
25/05/2011,14.56,14.99,14.56,14.99,21744.00
26/05/2011,15.01,15.01,15.01,15.01,1700.00
27/05/2011,15.00,15.00,14.87,14.91,116583.00
30/05/2011,14.83,15.03,14.83,15.03,18704.00
31/05/2011,15.02,15.03,14.78,14.95,7587914.00
01/06/2011,14.92,14.92,14.83,14.83,11774.00
02/06/2011,14.83,14.83,14.66,14.73,93516.00
03/06/2011,14.71,14.72,14.38,14.43,832542.00
06/06/2011,14.43,14.43,14.12,14.39,417909.00
07/06/2011,14.56,14.56,14.38,14.52,95329.00
08/06/2011,14.48,14.48,13.85,13.85,201211.00
09/06/2011,14.03,14.30,14.03,14.30,2022706.00
10/06/2011,14.29,14.29,14.12,14.25,2975564.00
13/06/2011,14.21,14.21,14.12,14.12,4810.00
14/06/2011,14.14,14.21,14.14,14.21,76957.00
15/06/2011,14.17,14.17,14.12,14.12,1673605.00
16/06/2011,14.14,14.17,14.03,14.12,949895.00
17/06/2011,14.12,14.30,14.12,14.27,56517.00
20/06/2011,14.25,14.25,13.95,13.95,755162.00
21/06/2011,14.07,14.07,13.90,13.99,28389.00
22/06/2011,13.99,13.99,13.99,13.99,1585.00
24/06/2011,13.95,13.95,13.59,13.77,178435.00
27/06/2011,13.69,13.93,13.68,13.93,151396.00
28/06/2011,13.93,14.17,13.93,14.17,502838.00
29/06/2011,14.14,14.21,14.14,14.20,20894.00
30/06/2011,14.21,14.48,14.18,14.48,193862.00
01/07/2011,14.64,14.64,14.55,14.61,4963.00
04/07/2011,14.56,14.56,14.48,14.48,11500.00
05/07/2011,14.61,14.61,14.36,14.36,13080.00
06/07/2011,14.30,14.30,14.12,14.30,273881.00
07/07/2011,14.30,14.30,14.25,14.30,554075.00
08/07/2011,14.30,14.30,13.24,14.12,297641.00
11/07/2011,14.12,14.12,13.70,13.86,72021.00
12/07/2011,13.88,13.90,13.88,13.90,6298.00
13/07/2011,13.86,13.90,13.86,13.90,26745.00
14/07/2011,13.89,13.89,13.59,13.84,65822.00
15/07/2011,13.88,13.90,13.88,13.88,353850.00
18/07/2011,13.61,13.82,13.61,13.77,28131.00
19/07/2011,13.97,13.97,13.81,13.81,33030.00
20/07/2011,13.88,13.90,13.86,13.86,86370.00
21/07/2011,13.85,13.86,13.81,13.81,125225.00
22/07/2011,13.86,13.95,13.68,13.95,70258.00
25/07/2011,13.91,14.13,13.91,14.13,261221.00
26/07/2011,14.19,14.19,14.03,14.03,501035.00
27/07/2011,14.25,14.25,13.95,14.03,36733.00
28/07/2011,14.11,14.11,13.78,13.78,39610.00
29/07/2011,13.68,13.68,13.55,13.59,136091.00
01/08/2011,13.76,13.76,12.71,12.88,656167.00
02/08/2011,12.94,12.94,12.40,12.40,1204665.00
03/08/2011,12.62,12.62,11.83,11.83,890016.00
04/08/2011,12.00,12.00,10.59,10.86,6452628.00
05/08/2011,10.86,10.94,10.61,10.85,9322569.00
08/08/2011,10.59,10.59,10.33,10.33,155710.00
09/08/2011,10.59,10.59,9.86,9.86,73427.00
10/08/2011,10.33,10.33,9.96,9.96,3426.00
11/08/2011,10.14,10.85,10.14,10.59,434653.00
12/08/2011,10.68,11.47,10.59,11.17,375086.00
15/08/2011,11.17,11.96,11.17,11.74,253177.00
16/08/2011,11.74,12.02,11.74,11.74,207551.00
17/08/2011,11.88,12.18,11.74,11.74,1280261.00
18/08/2011,11.52,11.52,11.35,11.47,83204.00
19/08/2011,11.47,11.56,11.47,11.56,520010.00
22/08/2011,11.74,11.74,11.47,11.47,31230.00
23/08/2011,11.47,11.47,11.25,11.25,421075.00
24/08/2011,11.47,11.47,11.47,11.47,351000.00
25/08/2011,11.47,11.47,10.61,10.61,93150.00
26/08/2011,10.77,11.32,10.77,11.30,133345.00
29/08/2011,11.34,11.34,11.31,11.31,16659.00
30/08/2011,11.32,11.42,11.30,11.41,27066.00
31/08/2011,11.39,11.47,11.12,11.30,395801.00
01/09/2011,11.92,11.92,11.61,11.81,665257.00
02/09/2011,11.74,11.77,11.70,11.74,744715.00
05/09/2011,11.48,11.48,11.47,11.47,9102.00
06/09/2011,11.47,11.74,11.47,11.74,100925.00
08/09/2011,11.74,12.36,11.62,11.92,384979.00
09/09/2011,12.26,12.26,11.48,11.65,148064.00
12/09/2011,11.63,11.64,11.56,11.56,43256.00
13/09/2011,11.67,11.67,11.47,11.47,22229.00
14/09/2011,11.65,11.65,11.39,11.39,35090.00
15/09/2011,11.39,11.57,11.30,11.39,110983.00
16/09/2011,11.56,11.56,11.30,11.47,1436389.00
19/09/2011,11.47,11.47,11.47,11.47,1300.00
20/09/2011,11.47,11.47,11.46,11.46,87045.00
