date,open,high,low,close,vol
16/04/2010,10.88,11.07,10.79,11.01,52496222.00
19/04/2010,10.97,10.97,10.78,10.93,4199405.00
20/04/2010,10.95,10.99,10.88,10.93,4243451.00
22/04/2010,10.95,10.96,10.83,10.88,23999305.00
23/04/2010,10.95,10.95,10.74,10.88,12708957.00
26/04/2010,10.78,10.88,10.77,10.78,519438.00
27/04/2010,10.87,10.87,10.65,10.76,3228381.00
28/04/2010,10.85,10.85,10.41,10.78,430228.00
29/04/2010,10.68,10.88,10.64,10.83,1820456.00
30/04/2010,10.78,11.25,10.78,11.25,8147613.00
03/05/2010,11.02,11.15,10.88,11.07,71698.00
04/05/2010,11.07,11.07,10.88,10.88,2594460.00
05/05/2010,10.86,11.06,10.74,10.92,5549355.00
06/05/2010,10.92,11.06,10.34,10.97,5112229.00
07/05/2010,10.88,10.88,10.64,10.86,1375310.00
10/05/2010,11.26,11.32,10.83,10.88,964664.00
11/05/2010,10.88,10.88,10.88,10.88,423200.00
12/05/2010,10.46,11.24,10.46,11.24,453223.00
13/05/2010,11.16,11.27,10.88,11.16,3498548.00
14/05/2010,11.26,11.26,11.26,11.26,1190.00
17/05/2010,11.26,11.33,11.02,11.12,1411540.00
18/05/2010,11.25,11.25,10.78,11.02,123944.00
19/05/2010,10.78,10.96,10.60,10.77,864603.00
20/05/2010,10.60,10.64,9.74,10.07,2036979.00
21/05/2010,10.31,10.60,9.78,9.82,2412266.00
24/05/2010,9.84,10.08,9.55,9.91,2756208.00
25/05/2010,9.90,9.93,9.66,9.89,1442965.00
26/05/2010,10.02,10.09,9.93,9.98,5721649.00
27/05/2010,9.98,10.78,9.98,10.69,1467465.00
28/05/2010,10.69,10.74,10.69,10.69,116670.00
31/05/2010,10.74,11.30,10.74,11.30,1178352.00
01/06/2010,11.15,11.53,10.99,11.26,488127.00
02/06/2010,11.43,11.43,11.35,11.39,1069637.00
04/06/2010,11.35,11.35,11.05,11.34,81238.00
07/06/2010,11.35,11.41,11.35,11.41,215596.00
08/06/2010,11.43,12.29,11.43,11.72,1031146.00
09/06/2010,11.83,11.83,11.35,11.35,54583.00
10/06/2010,11.66,11.74,11.54,11.73,25928.00
11/06/2010,11.68,11.73,11.62,11.64,1453427.00
14/06/2010,11.68,11.71,11.63,11.64,557311.00
15/06/2010,11.54,11.63,11.54,11.55,10465637.00
16/06/2010,11.58,11.83,11.58,11.73,8783695.00
17/06/2010,11.73,12.30,11.73,12.30,1661065.00
18/06/2010,12.30,12.49,12.25,12.48,4830717.00
21/06/2010,12.48,12.53,12.11,12.20,1749334.00
22/06/2010,12.29,12.32,12.29,12.30,7632684.00
23/06/2010,12.56,12.56,12.30,12.36,1031065.00
24/06/2010,12.30,12.30,11.83,12.30,1440327.00
25/06/2010,12.30,12.68,12.30,12.44,2216756.00
28/06/2010,12.88,13.23,12.77,12.96,695634.00
29/06/2010,12.86,13.20,12.35,12.68,6290240.00
30/06/2010,12.77,13.04,12.64,12.91,1549439.00
01/07/2010,12.91,13.24,12.91,12.99,3225108.00
02/07/2010,13.24,13.34,13.10,13.24,1096525.00
05/07/2010,13.70,13.70,13.16,13.34,187822.00
06/07/2010,13.53,13.72,12.84,13.03,983425.00
07/07/2010,13.24,13.34,13.03,13.34,1480379.00
08/07/2010,13.34,13.34,13.26,13.29,1407420.00
12/07/2010,13.24,13.24,12.96,13.05,1217749.00
13/07/2010,13.05,13.05,13.01,13.01,2428296.00
14/07/2010,12.91,13.07,12.91,13.07,1822128.00
15/07/2010,12.96,12.96,12.68,12.91,8706882.00
16/07/2010,13.00,13.10,12.88,13.10,2500709.00
19/07/2010,13.24,13.53,13.24,13.53,3570681.00
20/07/2010,13.52,13.69,13.52,13.67,2392908.00
21/07/2010,13.48,13.72,13.48,13.62,940585.00
22/07/2010,13.67,14.13,13.67,14.12,696080.00
23/07/2010,14.13,14.57,14.09,14.47,867436.00
26/07/2010,14.57,14.76,14.43,14.47,6397544.00
27/07/2010,14.90,14.91,14.52,14.57,2668523.00
28/07/2010,14.75,14.76,14.57,14.66,9190140.00
29/07/2010,14.66,14.66,13.86,14.66,9782389.00
30/07/2010,14.62,14.66,13.51,13.93,3469286.00
02/08/2010,14.10,14.47,13.93,14.47,209117.00
03/08/2010,14.29,15.03,14.29,15.03,4291610.00
04/08/2010,14.66,14.95,14.38,14.54,1210888.00
05/08/2010,14.91,14.95,14.76,14.86,6760281.00
