date,open,high,low,close,vol
08/02/2017,6.95,7.07,6.72,6.90,68711487.00
09/02/2017,6.97,7.15,6.85,7.14,18457157.00
10/02/2017,7.14,7.35,7.06,7.28,27698959.00
13/02/2017,7.33,7.33,7.10,7.13,5253305.00
14/02/2017,7.18,7.18,7.05,7.09,5823675.00
15/02/2017,7.11,7.13,7.01,7.09,5182120.00
16/02/2017,7.04,7.09,6.91,7.09,9582286.00
17/02/2017,7.12,7.12,7.00,7.09,3452418.00
20/02/2017,7.09,7.09,6.98,6.99,4504336.00
21/02/2017,7.04,7.04,6.86,6.99,4418074.00
22/02/2017,6.99,7.16,6.86,7.16,4288778.00
23/02/2017,7.22,7.22,7.02,7.15,1931012.00
24/02/2017,7.13,7.23,7.04,7.23,3681782.00
01/03/2017,7.10,7.23,7.07,7.21,3574005.00
02/03/2017,7.13,7.17,7.09,7.09,452017.00
03/03/2017,7.15,7.40,7.10,7.33,2526886.00
06/03/2017,7.27,7.36,7.10,7.10,5618749.00
07/03/2017,7.18,7.18,7.09,7.10,2589888.00
08/03/2017,7.19,7.19,7.09,7.17,5353710.00
09/03/2017,7.22,7.22,6.99,7.15,6973814.00
10/03/2017,7.14,7.28,7.09,7.28,2248417.00
13/03/2017,7.28,7.64,7.28,7.55,9494635.00
14/03/2017,7.61,7.77,7.52,7.67,5211407.00
15/03/2017,7.79,8.22,7.74,8.00,6976720.00
16/03/2017,8.22,8.34,7.88,8.13,9583089.00
17/03/2017,8.30,8.46,8.01,8.01,7943721.00
20/03/2017,8.38,8.84,8.18,8.41,12518172.00
21/03/2017,8.60,8.68,8.32,8.32,12379289.00
22/03/2017,8.46,8.46,8.22,8.24,18059930.00
23/03/2017,8.04,8.22,7.58,8.22,12234675.00
24/03/2017,8.19,8.21,7.85,8.08,10734342.00
27/03/2017,8.02,8.27,7.88,8.04,5586583.00
28/03/2017,7.99,8.08,7.90,8.01,5990561.00
29/03/2017,8.03,8.31,7.62,7.82,69713398.00
30/03/2017,7.82,7.94,7.70,7.86,6934182.00
31/03/2017,7.83,8.01,7.78,7.87,7697672.00
03/04/2017,7.91,8.10,7.88,8.08,6372267.00
04/04/2017,8.12,8.19,7.96,8.08,5010651.00
05/04/2017,8.08,8.12,7.89,7.89,9152234.00
06/04/2017,7.96,8.00,7.75,7.82,7141876.00
07/04/2017,7.85,7.97,7.77,7.84,8543729.00
10/04/2017,7.85,7.90,7.74,7.85,3636305.00
11/04/2017,7.85,7.95,7.78,7.80,9682352.00
12/04/2017,7.78,7.84,7.58,7.81,14345075.00
13/04/2017,7.77,8.08,7.77,7.94,27552791.00
17/04/2017,8.08,8.41,8.02,8.30,4309050.00
18/04/2017,8.29,8.32,8.19,8.29,13389807.00
19/04/2017,8.29,8.39,8.29,8.32,3109423.00
20/04/2017,8.37,8.51,8.19,8.30,6625961.00
24/04/2017,8.29,8.45,8.19,8.27,5060865.00
25/04/2017,8.26,8.37,8.22,8.31,14945075.00
26/04/2017,8.29,8.32,8.24,8.28,2799704.00
27/04/2017,8.33,8.60,8.25,8.48,9016381.00
28/04/2017,8.51,8.61,8.23,8.37,14520265.00
02/05/2017,8.32,8.46,8.24,8.28,29727936.00
03/05/2017,8.30,8.60,8.27,8.60,7774889.00
04/05/2017,8.59,8.66,8.46,8.59,13558555.00
05/05/2017,8.65,8.86,8.47,8.84,7438994.00
08/05/2017,8.75,9.18,8.69,9.07,5130989.00
09/05/2017,9.12,9.37,9.12,9.33,7964153.00
10/05/2017,9.41,9.74,9.40,9.64,8759476.00
11/05/2017,9.75,9.83,9.45,9.78,5988897.00
12/05/2017,9.85,10.38,9.74,10.38,21988798.00
15/05/2017,10.40,10.54,10.27,10.40,30156097.00
16/05/2017,10.40,10.50,9.84,10.07,13554536.00
17/05/2017,9.93,10.01,9.62,9.74,12136043.00
18/05/2017,7.94,9.06,7.83,8.76,14390160.00
19/05/2017,8.91,9.34,8.65,8.88,8871112.00
22/05/2017,8.79,8.79,7.85,8.13,22024531.00
23/05/2017,8.21,8.36,8.03,8.09,25732736.00
24/05/2017,8.09,8.65,8.04,8.57,16831403.00
25/05/2017,8.58,8.97,8.46,8.60,9046365.00
26/05/2017,8.60,8.84,8.39,8.43,19553006.00
29/05/2017,8.43,8.79,8.41,8.74,3983397.00
30/05/2017,8.74,8.92,8.67,8.74,8649073.00
31/05/2017,8.75,8.85,8.53,8.53,20527873.00
01/06/2017,8.68,8.74,8.53,8.65,8789120.00
02/06/2017,8.68,8.93,8.67,8.93,9989775.00
05/06/2017,8.85,9.14,8.80,9.14,12814533.00
06/06/2017,9.13,9.25,9.00,9.07,9402287.00
07/06/2017,9.12,9.18,8.98,9.07,7722053.00
08/06/2017,9.05,9.26,9.05,9.26,7866647.00
09/06/2017,9.31,9.62,9.30,9.59,7724843.00
12/06/2017,9.58,9.72,9.40,9.50,3736827.00
13/06/2017,9.52,9.68,9.16,9.60,9004911.00
14/06/2017,9.61,9.74,9.37,9.39,3974875.00
16/06/2017,9.45,9.64,9.43,9.59,16874092.00
19/06/2017,9.58,9.97,9.46,9.88,3608883.00
20/06/2017,9.74,10.07,9.64,9.86,5373353.00
21/06/2017,9.89,10.03,9.85,10.01,7535684.00
