date,open,high,low,close,vol
18/12/2009,18.15,18.28,17.63,17.67,26341040.00
21/12/2009,17.79,17.91,17.62,17.91,10660310.00
22/12/2009,17.80,18.28,17.55,18.28,10388177.00
23/12/2009,18.05,18.30,17.69,18.02,21814304.00
28/12/2009,17.96,18.24,17.86,18.24,9739926.00
29/12/2009,18.23,18.62,18.16,18.58,17314373.00
30/12/2009,18.88,18.88,18.23,18.74,13903202.00
04/01/2010,18.74,19.16,18.53,19.01,13156181.00
05/01/2010,19.30,20.48,19.30,20.38,36284630.00
06/01/2010,20.46,21.41,20.46,20.92,62265525.00
07/01/2010,20.87,22.05,20.87,21.95,59455923.00
08/01/2010,22.34,22.79,21.57,22.39,46067316.00
11/01/2010,22.32,22.54,21.56,21.71,26093160.00
12/01/2010,21.64,21.64,21.00,21.56,44898100.00
13/01/2010,21.26,21.75,20.82,21.75,37876282.00
14/01/2010,21.66,22.15,21.42,22.00,30363409.00
15/01/2010,22.17,22.38,21.23,22.38,26000926.00
18/01/2010,22.05,22.60,21.61,22.51,15408882.00
19/01/2010,22.05,23.67,21.80,23.37,33064262.00
20/01/2010,23.41,23.42,22.05,22.54,23620319.00
21/01/2010,22.50,22.69,21.66,21.95,18563690.00
22/01/2010,22.05,22.53,21.40,21.79,17876905.00
26/01/2010,21.62,21.62,20.38,21.36,18613258.00
27/01/2010,21.35,21.64,21.07,21.64,12957571.00
28/01/2010,21.69,21.81,20.93,21.66,15832567.00
29/01/2010,21.85,22.05,21.60,22.05,9947045.00
01/02/2010,22.82,22.91,21.46,22.44,26453324.00
02/02/2010,22.48,23.52,22.48,22.83,47724798.00
03/02/2010,22.94,23.35,22.67,22.78,23296195.00
04/02/2010,22.83,22.95,20.66,21.96,18292614.00
05/02/2010,21.53,22.20,20.41,20.87,21994488.00
08/02/2010,21.16,21.55,20.60,20.87,18704877.00
09/02/2010,21.17,21.50,20.93,21.50,27592838.00
10/02/2010,21.50,22.54,21.23,21.73,17833303.00
11/02/2010,21.75,22.09,21.36,22.09,16809460.00
12/02/2010,21.57,22.05,21.09,22.05,20686278.00
17/02/2010,22.29,22.54,21.42,22.24,24085407.00
18/02/2010,22.29,22.29,21.49,21.51,22558402.00
19/02/2010,21.43,21.43,20.87,21.26,32687946.00
22/02/2010,21.30,21.69,21.02,21.26,20857667.00
23/02/2010,21.13,21.38,20.48,20.68,18265819.00
24/02/2010,20.73,21.17,20.73,20.82,18858956.00
25/02/2010,20.79,20.79,20.19,20.42,15803297.00
26/02/2010,20.48,20.78,20.24,20.64,13349878.00
01/03/2010,20.63,21.41,20.33,21.41,13054016.00
02/03/2010,21.41,21.93,21.18,21.59,14030859.00
03/03/2010,21.44,22.04,21.41,21.84,13949268.00
04/03/2010,21.69,22.22,21.31,21.85,9315596.00
05/03/2010,21.85,21.94,20.60,20.96,33865980.00
08/03/2010,21.07,21.26,20.58,20.78,11698829.00
09/03/2010,20.87,20.87,20.20,20.33,38014331.00
10/03/2010,20.45,20.95,20.38,20.72,20027293.00
11/03/2010,20.74,20.97,20.33,20.87,8777143.00
12/03/2010,20.95,21.04,20.03,20.28,13541451.00
15/03/2010,20.38,20.76,20.38,20.52,19538117.00
16/03/2010,20.67,20.94,20.67,20.83,7438976.00
17/03/2010,20.90,21.54,20.74,20.89,32380477.00
18/03/2010,21.03,21.56,20.74,21.31,38227895.00
19/03/2010,21.57,21.57,20.48,20.73,23515653.00
22/03/2010,20.59,20.63,20.14,20.30,15451282.00
23/03/2010,20.28,20.43,19.41,19.41,38091032.00
24/03/2010,19.46,19.59,18.58,19.10,27160979.00
25/03/2010,19.11,19.39,18.88,19.07,24386410.00
26/03/2010,19.10,19.36,18.52,19.16,17426077.00
29/03/2010,19.26,19.74,19.21,19.59,9598059.00
30/03/2010,19.59,20.01,19.26,19.84,24504116.00
31/03/2010,19.91,19.99,19.21,19.93,17632659.00
01/04/2010,20.04,20.27,19.51,19.84,43452129.00
05/04/2010,19.99,20.17,19.26,19.55,14069430.00
06/04/2010,19.50,19.89,19.41,19.89,15395374.00
07/04/2010,19.87,20.10,19.80,20.09,19935368.00
08/04/2010,19.80,20.09,19.61,20.04,21144133.00
09/04/2010,20.08,20.08,19.27,19.35,42724186.00
12/04/2010,19.53,19.53,18.98,19.12,19584960.00
13/04/2010,19.25,19.25,18.92,19.11,16856467.00
14/04/2010,19.33,19.40,18.97,19.34,15663344.00
15/04/2010,19.38,19.61,19.15,19.56,11231433.00
16/04/2010,19.57,19.57,18.80,19.21,20563846.00
19/04/2010,19.27,19.27,18.64,18.81,12202234.00
20/04/2010,18.87,19.32,18.74,18.83,15894386.00
22/04/2010,18.77,18.77,18.28,18.41,26646167.00
23/04/2010,18.56,18.57,18.04,18.28,214201021.00
26/04/2010,18.43,18.61,18.15,18.32,11794124.00
27/04/2010,18.24,18.36,17.72,18.06,18690033.00
28/04/2010,18.10,18.13,17.69,17.83,19959882.00
29/04/2010,17.94,18.08,17.64,17.94,21887167.00
30/04/2010,18.10,18.11,17.82,17.87,18936967.00
03/05/2010,17.83,18.35,17.68,18.13,13920575.00
04/05/2010,18.16,18.45,17.83,18.17,26129059.00
05/05/2010,18.12,18.42,17.71,18.03,18670250.00
06/05/2010,18.02,18.07,16.74,17.78,26099092.00
07/05/2010,17.46,17.67,16.51,17.33,37123429.00
10/05/2010,18.08,18.13,17.68,18.03,19181631.00
11/05/2010,17.96,17.96,17.54,17.68,24890166.00
12/05/2010,17.84,17.87,17.50,17.87,23071267.00
13/05/2010,17.97,18.07,17.78,17.97,17594161.00
14/05/2010,18.13,18.13,17.30,17.87,20791139.00
17/05/2010,17.59,17.83,17.08,17.78,22538472.00
18/05/2010,18.11,18.11,17.07,17.40,24294238.00
19/05/2010,17.10,17.45,16.12,16.55,64152347.00
20/05/2010,15.89,16.45,15.43,16.25,27774598.00
21/05/2010,15.93,16.50,15.91,16.36,18428850.00
24/05/2010,16.49,16.51,15.99,16.36,14578862.00
25/05/2010,15.43,15.66,15.03,15.35,42887967.00
26/05/2010,15.60,15.95,15.33,15.51,93206984.00
27/05/2010,15.92,16.80,15.73,16.66,25689502.00
28/05/2010,16.51,16.70,16.05,16.70,48974428.00
31/05/2010,16.71,16.89,16.58,16.78,22426838.00
01/06/2010,16.59,16.87,16.34,16.75,24416640.00
02/06/2010,16.75,17.15,16.69,17.15,24745516.00
04/06/2010,16.95,17.14,16.64,17.00,25970823.00
07/06/2010,16.84,17.09,16.60,16.90,15325545.00
08/06/2010,17.08,17.10,16.77,16.80,10155416.00
09/06/2010,16.91,16.91,16.26,16.41,20709584.00
10/06/2010,16.58,16.89,16.12,16.70,33510264.00
11/06/2010,16.50,16.66,16.23,16.51,34421455.00
14/06/2010,16.65,16.75,16.51,16.55,31322226.00
15/06/2010,16.51,16.51,15.97,16.08,65470730.00
16/06/2010,16.01,16.20,15.82,15.92,70296509.00
17/06/2010,15.98,16.08,15.87,15.92,47220950.00
18/06/2010,16.10,16.51,15.97,16.31,106981222.00
21/06/2010,16.80,16.98,16.63,16.81,59127547.00
22/06/2010,16.90,17.29,16.66,17.14,53807072.00
23/06/2010,17.19,17.28,17.14,17.17,26612178.00
24/06/2010,17.12,17.40,16.95,17.34,46989885.00
25/06/2010,17.34,17.42,17.19,17.34,18403788.00
28/06/2010,17.31,17.31,17.19,17.19,20009582.00
29/06/2010,17.11,17.14,16.11,16.17,32170629.00
30/06/2010,16.24,16.68,16.15,16.58,24858624.00
01/07/2010,16.51,17.03,16.02,16.70,27107305.00
02/07/2010,16.79,17.18,16.79,17.18,17387717.00
05/07/2010,17.29,17.49,16.80,17.00,14251632.00
06/07/2010,17.10,17.39,16.92,17.10,27693478.00
07/07/2010,17.14,17.64,17.10,17.44,37135987.00
08/07/2010,17.44,17.73,16.96,17.34,18262192.00
12/07/2010,17.39,17.63,17.16,17.22,12285507.00
13/07/2010,17.28,18.03,17.28,18.03,25125859.00
14/07/2010,17.92,18.29,17.64,17.98,27825110.00
15/07/2010,18.07,18.12,17.50,17.64,14826318.00
16/07/2010,17.68,17.85,16.95,17.27,19799240.00
19/07/2010,17.34,17.76,17.21,17.68,10013177.00
20/07/2010,17.63,17.73,17.27,17.67,22636204.00
21/07/2010,17.68,17.78,17.35,17.37,18643369.00
22/07/2010,17.49,17.76,17.39,17.67,32182286.00
23/07/2010,17.68,17.68,17.31,17.44,31069717.00
26/07/2010,17.70,17.73,17.43,17.49,21927260.00
27/07/2010,17.62,17.67,17.30,17.36,45866331.00
28/07/2010,17.42,17.42,17.13,17.29,22152936.00
29/07/2010,17.36,17.44,16.85,16.98,24244795.00
30/07/2010,16.99,17.40,16.83,17.39,21989165.00
02/08/2010,17.46,17.62,17.26,17.47,38968376.00
03/08/2010,17.52,17.52,17.00,17.10,34216463.00
04/08/2010,17.11,17.21,16.94,17.21,20659835.00
05/08/2010,17.20,17.29,17.15,17.21,19848879.00
06/08/2010,17.04,17.18,16.95,16.95,26736017.00
09/08/2010,17.10,17.21,16.85,16.86,25436072.00
10/08/2010,16.78,16.98,16.40,16.51,28269905.00
11/08/2010,16.41,16.67,16.16,16.38,25770325.00
12/08/2010,16.23,16.78,16.23,16.57,16523398.00
13/08/2010,16.62,17.03,16.11,16.16,25350921.00
16/08/2010,16.21,16.58,15.92,16.15,18364024.00
17/08/2010,15.72,16.15,15.48,16.11,75334361.00
18/08/2010,16.26,16.45,15.96,16.34,39161783.00
19/08/2010,16.36,16.55,16.07,16.08,21079155.00
20/08/2010,16.11,16.30,16.00,16.11,11955475.00
23/08/2010,16.21,16.30,15.76,15.76,15201663.00
24/08/2010,15.77,15.77,15.44,15.62,27018997.00
25/08/2010,15.44,15.72,15.44,15.48,16118215.00
26/08/2010,15.68,15.97,15.57,15.93,19613285.00
27/08/2010,15.96,16.77,15.83,16.77,41623561.00
30/08/2010,16.75,16.75,16.37,16.57,15842980.00
31/08/2010,17.01,17.28,16.70,16.70,108461729.00
01/09/2010,16.89,17.03,16.43,16.85,60793964.00
02/09/2010,16.90,17.02,16.70,16.95,15292296.00
03/09/2010,17.01,17.10,16.51,16.63,33049132.00
06/09/2010,16.70,16.72,16.46,16.72,8023480.00
08/09/2010,16.41,16.70,16.21,16.69,12419096.00
09/09/2010,16.63,16.78,16.44,16.65,12918459.00
10/09/2010,16.74,16.79,16.47,16.61,25550293.00
13/09/2010,16.77,16.97,16.66,16.97,21568865.00
14/09/2010,16.91,16.91,16.65,16.89,21771285.00
15/09/2010,16.89,17.09,16.72,16.86,15731463.00
16/09/2010,16.87,16.87,16.43,16.61,33176838.00
17/09/2010,16.67,17.00,16.47,16.92,23941424.00
20/09/2010,17.00,17.28,16.86,17.21,16045881.00
21/09/2010,17.21,17.25,16.92,17.19,14918648.00
22/09/2010,17.10,17.29,16.78,17.11,28793848.00
23/09/2010,17.05,17.61,16.95,17.28,31651239.00
24/09/2010,17.33,17.65,16.89,17.10,35405213.00
27/09/2010,17.15,17.62,17.11,17.62,10949136.00
28/09/2010,17.54,17.61,17.10,17.34,20760135.00
29/09/2010,17.34,17.35,16.70,16.70,31605717.00
30/09/2010,16.81,16.94,16.75,16.94,37875262.00
01/10/2010,16.91,17.09,16.78,16.87,24891372.00
04/10/2010,16.90,16.93,16.56,16.57,24501687.00
05/10/2010,16.65,17.05,16.65,17.05,20939160.00
06/10/2010,16.99,17.08,16.65,16.85,20019499.00
07/10/2010,16.92,17.05,16.53,16.53,50340256.00
08/10/2010,16.53,16.82,16.52,16.61,36923560.00
11/10/2010,16.65,16.69,16.37,16.37,12356864.00
13/10/2010,16.60,16.89,16.42,16.75,30605825.00
14/10/2010,16.70,16.77,16.20,16.46,27160764.00
15/10/2010,16.43,16.46,16.04,16.11,21217910.00
18/10/2010,16.11,16.39,15.97,16.31,16449440.00
19/10/2010,16.03,16.14,15.68,15.68,15405319.00
20/10/2010,15.71,16.16,15.30,15.34,28967540.00
21/10/2010,15.39,15.82,14.88,15.13,29637591.00
22/10/2010,15.18,15.37,14.60,14.79,28004315.00
25/10/2010,14.79,14.88,14.45,14.66,24199762.00
26/10/2010,14.58,15.13,14.52,15.13,26571400.00
27/10/2010,15.10,15.33,14.87,15.28,22972092.00
28/10/2010,15.43,15.43,14.99,15.13,15737570.00
29/10/2010,15.13,15.31,14.64,15.11,30870665.00
01/11/2010,15.08,15.17,14.79,15.01,16106583.00
03/11/2010,14.96,15.17,14.77,14.94,26335575.00
04/11/2010,15.03,15.10,14.52,14.59,43787139.00
05/11/2010,14.60,14.71,14.16,14.24,43944147.00
08/11/2010,14.24,14.43,13.97,14.30,34330413.00
09/11/2010,14.52,14.52,14.15,14.30,35931640.00
10/11/2010,14.28,14.39,14.13,14.25,18879974.00
11/11/2010,14.17,14.39,14.01,14.30,10646908.00
12/11/2010,14.12,14.27,14.05,14.23,12339369.00
16/11/2010,14.12,14.12,13.86,13.90,16465419.00
17/11/2010,13.61,13.74,13.50,13.51,34793653.00
18/11/2010,13.74,13.81,13.28,13.29,39001493.00
19/11/2010,13.29,13.29,13.14,13.23,29269772.00
22/11/2010,13.23,13.51,13.19,13.31,25280365.00
23/11/2010,13.05,13.30,12.87,13.14,20986810.00
24/11/2010,13.31,13.42,13.13,13.26,24492471.00
25/11/2010,13.28,13.38,13.12,13.22,11860831.00
26/11/2010,13.03,13.10,12.96,13.01,12741376.00
29/11/2010,12.98,13.17,12.66,12.84,21895999.00
30/11/2010,12.81,13.15,12.67,12.82,30765429.00
01/12/2010,13.08,13.12,12.85,13.02,21249832.00
02/12/2010,13.04,13.63,13.04,13.63,28642623.00
03/12/2010,13.62,14.23,13.61,14.17,38096194.00
06/12/2010,14.15,14.15,13.47,13.47,27367990.00
07/12/2010,13.66,13.66,13.25,13.25,26554003.00
08/12/2010,13.18,13.44,13.08,13.25,21707298.00
09/12/2010,13.25,13.34,13.00,13.06,19106207.00
10/12/2010,13.16,13.43,13.10,13.36,13179574.00
13/12/2010,13.46,13.55,13.26,13.26,14946018.00
14/12/2010,13.27,13.73,13.12,13.71,14634059.00
15/12/2010,13.61,13.70,13.36,13.36,17950482.00
16/12/2010,13.43,13.65,13.35,13.38,11592414.00
17/12/2010,13.36,13.64,13.32,13.36,16261477.00
20/12/2010,13.38,13.59,13.35,13.47,16118301.00
21/12/2010,13.50,14.02,13.47,14.02,25494403.00
22/12/2010,13.90,14.36,13.87,14.29,23942995.00
23/12/2010,14.30,14.71,14.25,14.54,27077807.00
27/12/2010,14.53,14.67,14.37,14.53,11740915.00
28/12/2010,14.56,14.73,14.51,14.64,19473630.00
29/12/2010,14.73,14.86,14.72,14.84,20003111.00
30/12/2010,14.86,15.23,14.64,15.23,41259192.00
03/01/2011,15.03,15.68,15.03,15.28,24402139.00
04/01/2011,15.19,15.34,14.93,15.34,21197172.00
05/01/2011,15.22,15.37,15.12,15.37,22573464.00
06/01/2011,15.35,15.35,15.05,15.23,29158238.00
07/01/2011,15.23,15.28,14.89,15.08,15407649.00
10/01/2011,15.00,15.43,14.96,15.38,11544250.00
11/01/2011,15.43,15.48,15.17,15.33,14852364.00
12/01/2011,15.59,15.71,15.30,15.60,19024620.00
13/01/2011,15.69,15.91,15.49,15.62,19753171.00
14/01/2011,15.61,15.87,15.43,15.62,12785686.00
17/01/2011,15.70,15.70,15.45,15.53,12264297.00
18/01/2011,15.70,15.70,15.14,15.43,25277506.00
19/01/2011,15.48,15.59,15.06,15.23,15729299.00
20/01/2011,15.04,15.23,14.99,15.08,18134894.00
21/01/2011,15.08,15.27,14.83,15.23,23497924.00
24/01/2011,15.23,15.23,15.09,15.14,14894990.00
26/01/2011,15.08,15.13,14.59,14.78,23848745.00
27/01/2011,14.81,14.91,14.05,14.05,25058332.00
28/01/2011,14.12,14.14,13.01,13.20,63199917.00
31/01/2011,13.26,13.33,12.72,13.33,40483087.00
01/02/2011,13.48,13.78,13.38,13.69,22263855.00
02/02/2011,13.60,13.64,13.15,13.62,26801228.00
03/02/2011,13.48,13.71,13.15,13.63,18851023.00
04/02/2011,13.55,13.62,13.16,13.62,26405206.00
07/02/2011,13.70,13.74,13.36,13.59,10843370.00
08/02/2011,13.59,13.69,13.47,13.65,19212746.00
09/02/2011,13.61,13.65,13.17,13.52,29501087.00
10/02/2011,13.35,13.59,13.28,13.55,19039731.00
11/02/2011,13.43,13.66,13.39,13.55,20736106.00
14/02/2011,13.57,13.65,13.37,13.54,17004727.00
15/02/2011,13.50,13.59,13.45,13.55,20702807.00
16/02/2011,13.60,14.13,13.49,14.13,33393628.00
