date,open,high,low,close,vol
18/12/2009,6.93,7.12,6.82,6.92,32082785.00
21/12/2009,7.07,7.28,6.88,6.90,169723073.00
22/12/2009,6.96,7.07,6.75,7.07,37974789.00
23/12/2009,7.10,7.20,7.02,7.20,13492192.00
28/12/2009,7.28,7.52,7.21,7.49,38687117.00
29/12/2009,7.50,7.62,7.31,7.46,32316914.00
30/12/2009,7.56,7.69,7.51,7.69,104241899.00
04/01/2010,7.61,7.62,7.36,7.50,71585897.00
05/01/2010,7.52,7.54,7.38,7.40,35601048.00
06/01/2010,7.49,7.53,7.34,7.53,43304177.00
07/01/2010,7.50,7.50,7.22,7.26,35002386.00
08/01/2010,7.36,7.36,6.93,7.04,52736644.00
11/01/2010,7.15,7.24,7.05,7.14,27243464.00
12/01/2010,7.08,7.38,7.02,7.26,50887226.00
13/01/2010,7.36,7.36,7.04,7.15,49871097.00
14/01/2010,7.19,7.31,7.13,7.22,37719389.00
15/01/2010,7.33,7.33,7.01,7.09,41903515.00
18/01/2010,7.15,7.22,7.11,7.15,13635448.00
19/01/2010,7.09,7.29,7.09,7.28,31263862.00
20/01/2010,7.17,7.27,6.99,7.20,32523282.00
21/01/2010,7.16,7.20,6.62,6.84,50344010.00
22/01/2010,6.72,7.02,6.66,6.88,31609470.00
26/01/2010,6.82,6.85,6.63,6.81,27976609.00
27/01/2010,6.79,6.86,6.63,6.77,35859877.00
28/01/2010,6.85,6.92,6.47,6.54,40798377.00
29/01/2010,6.55,6.66,6.50,6.63,34822070.00
01/02/2010,6.61,6.82,6.59,6.77,32059748.00
02/02/2010,6.82,7.06,6.73,7.04,33316088.00
03/02/2010,7.06,7.06,6.81,6.96,50055525.00
04/02/2010,6.84,6.87,6.39,6.54,50186653.00
05/02/2010,6.27,6.53,6.12,6.53,71750224.00
08/02/2010,6.55,6.79,6.41,6.77,57165327.00
09/02/2010,6.78,7.12,6.72,7.00,53132464.00
10/02/2010,7.01,7.18,6.95,7.01,29195231.00
