date,open,high,low,close,vol
18/12/2009,8.93,9.25,8.90,9.25,10895727.00
21/12/2009,9.25,10.02,9.25,9.60,13746310.00
22/12/2009,9.74,9.91,9.27,9.29,19891316.00
23/12/2009,9.22,9.32,8.92,8.95,12010449.00
28/12/2009,8.97,8.97,8.37,8.71,8459001.00
29/12/2009,8.84,8.88,8.73,8.74,3916090.00
30/12/2009,8.79,9.27,8.66,9.03,14117627.00
04/01/2010,9.03,9.53,9.03,9.38,11588261.00
05/01/2010,9.38,9.46,9.27,9.33,12427760.00
06/01/2010,9.42,9.58,9.42,9.46,6458096.00
07/01/2010,9.46,9.46,9.21,9.42,2843983.00
08/01/2010,9.43,9.48,8.96,9.00,4532722.00
11/01/2010,9.00,9.11,8.72,8.82,12582434.00
12/01/2010,8.80,8.85,8.73,8.81,9888352.00
13/01/2010,8.84,8.88,8.70,8.71,22825998.00
14/01/2010,8.70,8.85,8.70,8.82,8628232.00
15/01/2010,8.90,8.98,8.79,8.85,6928902.00
18/01/2010,8.90,8.98,8.74,8.90,11537223.00
19/01/2010,8.85,9.09,8.76,8.93,9097819.00
20/01/2010,8.79,8.80,8.55,8.57,16345604.00
21/01/2010,8.58,8.67,8.31,8.35,10926474.00
22/01/2010,8.29,8.46,8.24,8.35,4179099.00
26/01/2010,8.32,8.45,8.30,8.36,10337926.00
27/01/2010,8.43,8.43,8.31,8.37,26042456.00
28/01/2010,8.44,8.45,8.32,8.35,63783429.00
29/01/2010,8.35,8.42,8.32,8.35,5461168.00
01/02/2010,8.40,8.40,8.35,8.35,5522714.00
02/02/2010,8.39,8.43,8.31,8.32,3706163.00
03/02/2010,8.35,8.73,8.35,8.71,20284487.00
04/02/2010,8.63,8.72,8.30,8.37,6118144.00
05/02/2010,8.36,8.36,8.15,8.21,4359840.00
08/02/2010,8.31,8.48,8.21,8.48,3279596.00
09/02/2010,8.41,8.85,8.41,8.68,5956005.00
10/02/2010,8.82,8.82,8.44,8.54,2326831.00
11/02/2010,8.51,8.63,8.46,8.63,3216719.00
12/02/2010,8.49,8.63,8.29,8.29,11657665.00
17/02/2010,8.53,8.53,8.29,8.29,8319589.00
18/02/2010,8.29,8.36,8.28,8.29,5105017.00
19/02/2010,8.29,8.35,8.21,8.29,3879081.00
22/02/2010,8.29,8.29,8.15,8.25,5296865.00
23/02/2010,8.26,8.26,8.12,8.17,7395572.00
24/02/2010,8.18,8.34,8.17,8.18,4977619.00
25/02/2010,8.10,8.43,7.82,8.21,7247458.00
26/02/2010,8.26,8.69,8.10,8.69,15162490.00
01/03/2010,8.63,8.82,8.63,8.67,2648257.00
02/03/2010,8.87,8.89,8.57,8.60,5556295.00
03/03/2010,8.63,8.76,8.51,8.51,10645965.00
04/03/2010,8.58,8.65,8.25,8.25,7251305.00
05/03/2010,8.35,8.44,8.06,8.09,27682568.00
