date,open,high,low,close,vol
18/12/2009,9.43,9.54,9.14,9.14,2982812.00
21/12/2009,9.36,9.58,9.28,9.43,9720429.00
22/12/2009,9.43,9.71,9.43,9.71,10875249.00
23/12/2009,9.82,9.82,9.69,9.81,10533251.00
28/12/2009,9.82,9.89,9.79,9.85,5069432.00
29/12/2009,9.85,9.90,9.83,9.83,6688550.00
30/12/2009,9.88,10.00,9.73,10.00,4821772.00
04/01/2010,10.02,10.12,10.00,10.12,26506696.00
05/01/2010,10.15,10.31,10.14,10.30,13300872.00
06/01/2010,10.32,10.89,10.30,10.87,24277298.00
07/01/2010,10.77,11.32,10.50,11.15,7275399.00
08/01/2010,11.07,11.43,11.07,11.26,7605846.00
11/01/2010,11.29,11.60,11.29,11.60,16791577.00
12/01/2010,11.40,11.73,11.38,11.73,21178725.00
13/01/2010,11.73,11.75,11.34,11.46,16215054.00
14/01/2010,11.40,11.40,11.19,11.40,13137357.00
15/01/2010,11.39,11.40,11.01,11.38,8598742.00
18/01/2010,11.24,11.32,11.08,11.08,3185790.00
19/01/2010,11.08,11.58,11.08,11.57,4945968.00
20/01/2010,11.29,11.64,11.21,11.64,5646657.00
21/01/2010,11.32,11.67,11.22,11.49,6206572.00
22/01/2010,11.21,11.88,10.93,11.88,12707692.00
26/01/2010,11.77,11.77,11.36,11.44,5176937.00
27/01/2010,11.40,11.59,11.40,11.53,3224542.00
28/01/2010,11.40,11.54,11.40,11.54,1196371.00
29/01/2010,11.52,11.78,11.32,11.71,3386185.00
01/02/2010,11.40,11.71,11.36,11.71,5784450.00
02/02/2010,11.52,11.79,11.44,11.78,2831063.00
03/02/2010,11.60,12.65,11.60,12.34,18972866.00
04/02/2010,12.32,12.46,11.37,12.19,19351435.00
05/02/2010,11.52,12.18,11.40,11.40,5643845.00
08/02/2010,11.75,11.75,11.20,11.60,1831307.00
09/02/2010,11.76,11.87,11.28,11.71,5201440.00
10/02/2010,11.68,11.87,11.52,11.79,2074425.00
11/02/2010,11.79,12.01,11.40,11.40,5446937.00
12/02/2010,11.46,11.61,11.25,11.58,1880570.00
17/02/2010,11.58,12.00,11.58,11.81,3489746.00
