date,open,high,low,close,vol
18/12/2009,13.17,13.34,13.02,13.17,18641870.00
21/12/2009,13.31,13.68,13.10,13.10,34296165.00
22/12/2009,13.44,13.85,13.29,13.35,40556552.00
23/12/2009,13.57,13.60,13.18,13.35,14843942.00
28/12/2009,13.48,13.64,13.28,13.35,10681584.00
29/12/2009,13.45,13.52,13.26,13.26,12348092.00
30/12/2009,13.17,13.48,13.10,13.10,17456849.00
04/01/2010,13.11,13.70,13.11,13.67,26749588.00
05/01/2010,13.82,14.11,13.45,13.50,18766955.00
06/01/2010,13.63,13.85,13.54,13.67,15282143.00
07/01/2010,13.53,13.76,13.10,13.20,46451891.00
08/01/2010,13.26,13.28,12.69,12.99,44643695.00
11/01/2010,13.12,13.17,12.70,12.73,25226791.00
12/01/2010,12.69,13.06,12.58,13.02,40292409.00
13/01/2010,13.05,13.13,12.85,12.85,32592789.00
14/01/2010,12.85,13.06,12.71,12.81,34995685.00
15/01/2010,12.77,12.80,12.52,12.69,25527198.00
18/01/2010,12.81,12.82,12.63,12.66,12214778.00
19/01/2010,12.49,13.02,12.28,13.01,30067728.00
20/01/2010,12.70,12.94,12.49,12.77,33694713.00
21/01/2010,12.78,12.84,12.36,12.63,20241776.00
22/01/2010,12.47,12.80,12.40,12.74,20740782.00
26/01/2010,12.63,12.63,12.05,12.05,34363704.00
27/01/2010,12.01,12.62,11.96,12.60,37573702.00
28/01/2010,12.65,12.79,12.30,12.45,22681165.00
29/01/2010,12.48,12.62,12.16,12.24,19329985.00
01/02/2010,12.31,12.63,12.21,12.31,18947601.00
02/02/2010,12.43,12.61,12.41,12.54,14914405.00
03/02/2010,12.59,12.92,12.48,12.72,19877667.00
04/02/2010,12.57,12.59,11.91,12.27,31438319.00
05/02/2010,12.09,12.92,11.47,11.94,31715619.00
08/02/2010,12.08,12.09,11.60,12.09,27944108.00
09/02/2010,12.12,12.48,11.92,12.03,31818894.00
10/02/2010,12.09,12.13,11.91,11.97,13801092.00
11/02/2010,12.04,12.23,11.75,12.23,16918801.00
12/02/2010,12.09,12.19,11.75,11.91,20080739.00
17/02/2010,12.23,12.65,12.22,12.50,32984290.00
18/02/2010,12.34,12.48,12.22,12.39,18933602.00
19/02/2010,12.35,12.42,12.23,12.42,13388701.00
22/02/2010,12.43,12.66,12.41,12.54,15820739.00
23/02/2010,12.44,12.59,12.23,12.40,28189248.00
24/02/2010,12.52,12.73,12.26,12.41,14222650.00
25/02/2010,12.27,12.27,12.06,12.19,16639726.00
26/02/2010,12.27,12.30,11.89,12.01,12244891.00
