date,open,high,low,close,vol
18/12/2009,2.70,2.73,2.65,2.68,3960226.00
21/12/2009,2.69,2.79,2.67,2.75,5729261.00
22/12/2009,2.78,2.88,2.75,2.86,12914948.00
23/12/2009,2.86,3.03,2.86,2.92,11589012.00
28/12/2009,3.03,3.05,2.93,2.99,10931357.00
29/12/2009,2.98,3.03,2.95,3.03,1904516.00
30/12/2009,2.98,3.18,2.98,3.18,4158980.00
04/01/2010,3.18,3.26,3.12,3.21,25151617.00
05/01/2010,3.21,3.23,3.12,3.15,15269415.00
06/01/2010,3.18,3.26,3.13,3.23,18450341.00
07/01/2010,3.23,3.37,3.23,3.27,4562732.00
08/01/2010,3.27,3.34,3.25,3.29,5023845.00
11/01/2010,3.32,3.36,3.20,3.23,7047864.00
12/01/2010,3.21,3.22,3.08,3.13,7276826.00
13/01/2010,3.12,3.14,3.09,3.12,4633339.00
14/01/2010,3.12,3.17,3.12,3.14,2435727.00
15/01/2010,3.13,3.18,3.12,3.12,10040216.00
18/01/2010,3.08,3.08,3.05,3.05,1605039.00
19/01/2010,3.08,3.09,3.08,3.09,2945973.00
20/01/2010,3.17,3.17,3.03,3.08,3663174.00
21/01/2010,3.12,3.13,3.03,3.07,3596510.00
22/01/2010,3.05,3.16,3.03,3.05,3438268.00
26/01/2010,3.00,3.04,3.00,3.00,2243376.00
27/01/2010,2.99,2.99,2.91,2.93,2393074.00
28/01/2010,2.93,2.99,2.83,2.89,7087774.00
29/01/2010,2.92,2.92,2.80,2.88,546765.00
01/02/2010,2.82,2.89,2.81,2.86,973111.00
02/02/2010,2.85,2.90,2.84,2.86,4425778.00
03/02/2010,2.88,2.88,2.85,2.85,1877759.00
04/02/2010,2.93,2.93,2.73,2.78,5994870.00
05/02/2010,2.73,2.75,2.69,2.69,1888509.00
08/02/2010,2.69,2.74,2.68,2.72,1484370.00
09/02/2010,2.73,2.73,2.63,2.69,7322498.00
10/02/2010,2.73,2.73,2.67,2.68,7132993.00
11/02/2010,2.70,2.88,2.70,2.83,9347774.00
12/02/2010,2.82,3.00,2.78,2.96,7324891.00
17/02/2010,2.98,3.12,2.98,3.12,11688743.00
18/02/2010,3.12,3.15,3.05,3.13,2376345.00
19/02/2010,3.12,3.13,3.05,3.13,2373980.00
22/02/2010,3.08,3.13,3.00,3.13,594390.00
23/02/2010,3.04,3.12,2.98,3.07,2759826.00
