date,open,high,low,close,vol
14/02/2017,18.63,18.84,18.31,18.80,213521317.00
15/02/2017,18.99,19.03,18.44,18.71,11972458.00
16/02/2017,18.71,18.71,18.42,18.57,14980398.00
17/02/2017,18.57,18.89,18.52,18.61,4566954.00
20/02/2017,18.64,18.78,18.64,18.70,11127515.00
21/02/2017,18.75,18.80,18.36,18.77,7008424.00
22/02/2017,18.77,18.77,18.00,18.52,6526255.00
23/02/2017,18.51,18.52,18.17,18.42,27114272.00
24/02/2017,18.48,18.61,18.03,18.34,13345018.00
01/03/2017,18.34,18.34,18.18,18.21,4579720.00
02/03/2017,18.16,18.32,18.09,18.14,7340070.00
03/03/2017,18.09,18.51,18.04,18.43,2232921.00
06/03/2017,18.56,18.60,18.25,18.52,4077987.00
07/03/2017,18.47,18.48,18.21,18.27,3772969.00
08/03/2017,18.27,18.57,18.25,18.48,6101035.00
09/03/2017,18.47,18.48,17.52,18.06,4948107.00
10/03/2017,18.08,18.41,17.61,17.93,4007710.00
13/03/2017,17.80,18.24,17.57,17.89,4267772.00
14/03/2017,17.89,17.96,17.73,17.93,1327672.00
15/03/2017,17.72,18.34,17.62,18.17,1435168.00
16/03/2017,18.20,18.31,17.76,17.93,3253731.00
17/03/2017,17.94,18.15,17.55,17.75,3806824.00
20/03/2017,17.89,18.15,17.62,18.15,6634261.00
21/03/2017,18.12,18.12,17.52,17.71,3547422.00
22/03/2017,17.62,17.79,17.28,17.52,3721433.00
23/03/2017,17.54,17.75,17.38,17.57,8114274.00
24/03/2017,17.57,18.16,17.48,17.98,14633291.00
27/03/2017,17.98,18.26,17.57,18.16,21060849.00
28/03/2017,18.57,18.57,17.53,17.89,15798923.00
29/03/2017,17.89,17.89,17.60,17.71,3562740.00
30/03/2017,17.53,17.89,17.53,17.75,4885221.00
31/03/2017,17.75,18.16,17.62,18.16,6156368.00
03/04/2017,18.24,18.82,18.16,18.82,19518145.00
04/04/2017,18.86,19.42,18.82,19.25,4379747.00
05/04/2017,19.30,19.30,19.07,19.22,3962155.00
06/04/2017,19.07,19.14,18.88,19.07,4165182.00
07/04/2017,19.12,19.52,18.66,19.52,3397413.00
10/04/2017,18.91,19.61,18.91,19.41,5835719.00
11/04/2017,19.27,19.52,19.08,19.25,3039591.00
12/04/2017,19.20,19.21,18.97,19.20,1365823.00
13/04/2017,19.08,19.21,18.98,19.07,1899057.00
17/04/2017,19.08,19.70,18.97,19.34,2962824.00
18/04/2017,19.34,19.88,19.20,19.79,3092290.00
19/04/2017,19.96,19.96,19.36,19.70,4055686.00
20/04/2017,19.70,20.15,19.56,20.15,4406616.00
24/04/2017,20.05,20.69,20.02,20.31,7758185.00
25/04/2017,20.35,20.70,20.12,20.51,4400879.00
26/04/2017,20.44,20.70,20.02,20.50,21310946.00
27/04/2017,20.43,20.56,19.80,20.33,2846084.00
