date,open,high,low,close,vol
18/12/2009,57.85,57.85,56.37,56.77,12935617.00
21/12/2009,57.85,57.85,56.05,56.05,35588388.00
22/12/2009,56.63,58.33,56.13,58.33,33449561.00
23/12/2009,58.33,58.33,57.36,58.30,11086063.00
28/12/2009,58.29,58.61,58.00,58.29,8014480.00
29/12/2009,58.42,59.43,58.33,59.43,30414986.00
30/12/2009,59.43,59.73,58.33,59.73,37691938.00
04/01/2010,59.71,60.10,59.48,60.10,22376912.00
05/01/2010,60.40,60.60,58.89,59.20,44232460.00
06/01/2010,60.17,60.17,58.83,59.23,43300765.00
07/01/2010,59.19,60.60,58.70,59.99,35228347.00
08/01/2010,60.11,60.28,58.98,59.25,24765239.00
11/01/2010,59.71,59.72,57.90,58.61,22305184.00
12/01/2010,58.67,60.63,57.43,60.58,36352294.00
13/01/2010,60.60,60.81,58.98,60.81,33709518.00
14/01/2010,61.18,62.27,61.17,62.10,105748163.00
15/01/2010,62.05,62.60,61.01,62.37,55180227.00
18/01/2010,62.42,62.42,61.55,61.78,27343124.00
19/01/2010,61.11,62.69,61.01,62.48,30505355.00
20/01/2010,62.41,62.83,61.73,62.64,57883994.00
21/01/2010,62.63,62.88,59.16,59.36,63843669.00
22/01/2010,59.17,59.88,58.33,58.79,57141587.00
26/01/2010,58.31,59.53,57.87,58.33,33856960.00
27/01/2010,58.00,58.70,57.09,57.09,28187353.00
28/01/2010,57.87,58.70,57.09,57.55,40034907.00
29/01/2010,57.86,58.30,57.30,58.10,45122497.00
01/02/2010,58.15,58.54,57.36,57.88,32552109.00
02/02/2010,58.17,60.03,58.17,59.98,54307104.00
03/02/2010,59.48,59.88,58.27,58.43,42132175.00
04/02/2010,58.43,58.61,54.68,55.59,51200808.00
05/02/2010,54.75,56.14,53.74,55.26,63616364.00
08/02/2010,56.03,56.73,55.26,56.50,31645571.00
09/02/2010,56.95,59.44,56.86,58.30,41476417.00
10/02/2010,58.38,60.07,58.19,58.61,22738231.00
11/02/2010,59.09,59.53,56.93,58.70,46460335.00
