date,open,high,low,close,vol
18/12/2009,35.15,35.52,34.78,35.02,142692552.00
21/12/2009,35.33,35.66,34.22,34.22,135814983.00
22/12/2009,34.56,34.90,34.26,34.90,153983568.00
23/12/2009,34.69,35.14,34.39,35.03,128558677.00
28/12/2009,35.28,35.33,34.90,35.03,40832765.00
29/12/2009,35.28,35.38,34.93,35.38,86413232.00
30/12/2009,34.82,35.45,34.82,35.45,153852530.00
04/01/2010,35.50,35.63,35.24,35.45,203389297.00
05/01/2010,35.62,35.63,35.03,35.24,158594157.00
06/01/2010,35.06,35.79,34.94,35.59,143038341.00
07/01/2010,35.33,36.49,35.16,35.38,116630300.00
08/01/2010,35.58,35.63,35.02,35.11,129019227.00
11/01/2010,35.33,35.66,35.00,35.15,141192376.00
12/01/2010,34.88,34.90,34.38,34.70,84415635.00
13/01/2010,34.78,34.91,33.81,34.39,252796144.00
14/01/2010,34.26,34.39,33.72,33.84,125738840.00
15/01/2010,33.62,34.22,33.55,34.04,182688089.00
18/01/2010,34.13,35.05,34.12,34.82,91813464.00
19/01/2010,34.47,34.78,34.30,34.62,129330760.00
20/01/2010,34.23,34.30,33.56,33.67,120683097.00
21/01/2010,33.72,34.47,32.51,32.72,148625350.00
22/01/2010,32.47,32.96,32.30,32.80,163673664.00
26/01/2010,32.13,32.44,31.71,32.21,166737244.00
27/01/2010,32.20,32.60,31.71,32.35,115666942.00
28/01/2010,32.77,33.07,32.26,33.03,143324468.00
29/01/2010,33.19,33.55,32.31,32.53,163010719.00
01/02/2010,32.76,32.88,32.39,32.62,112413073.00
02/02/2010,32.94,32.97,32.46,32.60,137293445.00
03/02/2010,32.64,32.71,32.22,32.59,94644327.00
04/02/2010,32.30,32.45,30.90,31.03,200111432.00
05/02/2010,30.81,30.99,29.75,30.47,209275679.00
08/02/2010,30.67,31.26,30.35,30.76,145654051.00
09/02/2010,31.16,31.56,30.90,31.29,313831728.00
10/02/2010,31.20,31.78,30.92,31.73,304554280.00
11/02/2010,32.01,32.52,31.58,32.19,279602976.00
12/02/2010,31.73,32.56,31.64,32.56,200468058.00
17/02/2010,32.81,32.91,32.32,32.68,168675466.00
18/02/2010,32.53,32.94,32.25,32.94,187763423.00
19/02/2010,32.62,32.98,32.47,32.86,164861860.00
22/02/2010,33.10,33.20,32.77,33.10,192249096.00
23/02/2010,32.83,33.04,32.19,32.47,192996054.00
24/02/2010,32.61,32.64,31.90,32.47,109488098.00
25/02/2010,31.91,32.62,31.64,32.62,214373099.00
26/02/2010,32.69,32.94,32.28,32.94,208156063.00
01/03/2010,33.04,33.24,32.52,33.24,183794210.00
02/03/2010,33.60,33.64,33.28,33.44,168677404.00
03/03/2010,33.56,34.09,33.41,33.55,200182088.00
04/03/2010,33.79,33.86,33.10,33.36,136887092.00
05/03/2010,33.71,34.18,33.60,34.04,135972496.00
08/03/2010,34.06,34.21,33.74,34.02,131355996.00
09/03/2010,33.79,34.90,33.77,34.65,277059287.00
10/03/2010,34.86,35.22,34.76,35.16,251059145.00
11/03/2010,35.05,35.50,34.93,35.16,156327837.00
12/03/2010,35.33,35.50,35.15,35.32,160572279.00
15/03/2010,35.05,35.38,34.65,34.97,233659769.00
16/03/2010,35.16,35.36,34.76,35.36,129434789.00
17/03/2010,35.57,35.58,35.04,35.37,108852904.00
18/03/2010,35.27,35.58,34.91,35.24,195342588.00
19/03/2010,35.21,35.24,34.47,34.52,445461683.00
22/03/2010,34.05,34.52,33.62,34.52,139551618.00
23/03/2010,34.54,34.58,33.84,33.96,117252732.00
24/03/2010,33.88,34.75,33.71,34.30,163920404.00
25/03/2010,34.47,34.60,33.53,33.58,135106031.00
26/03/2010,33.82,33.84,33.04,33.41,261622206.00
29/03/2010,33.62,33.94,32.98,33.58,149046348.00
30/03/2010,33.89,34.05,33.44,33.45,73462754.00
31/03/2010,33.44,33.79,33.22,33.79,157308698.00
01/04/2010,33.92,34.24,33.92,34.18,100950658.00
05/04/2010,34.27,34.54,34.12,34.39,95472673.00
06/04/2010,34.24,34.76,34.23,34.55,93884830.00
