date,open,high,low,close,vol
18/12/2009,1.18,1.26,1.18,1.26,9753211.00
21/12/2009,1.26,1.32,1.24,1.26,6880943.00
22/12/2009,1.26,1.28,1.24,1.28,5110990.00
23/12/2009,1.28,1.28,1.24,1.24,2987288.00
28/12/2009,1.24,1.27,1.23,1.23,2281624.00
29/12/2009,1.24,1.25,1.21,1.22,2498233.00
30/12/2009,1.22,1.25,1.21,1.22,3544494.00
04/01/2010,1.23,1.27,1.22,1.27,2602287.00
05/01/2010,1.26,1.27,1.24,1.27,1337151.00
06/01/2010,1.27,1.31,1.26,1.31,14899159.00
07/01/2010,1.29,1.34,1.28,1.34,4191629.00
08/01/2010,1.33,1.36,1.32,1.36,2717986.00
11/01/2010,1.35,1.38,1.32,1.34,3396195.00
12/01/2010,1.32,1.41,1.31,1.41,10461554.00
13/01/2010,1.39,1.43,1.35,1.40,5426179.00
14/01/2010,1.40,1.41,1.37,1.40,3582330.00
15/01/2010,1.39,1.43,1.39,1.39,5958513.00
18/01/2010,1.40,1.43,1.38,1.41,7397657.00
19/01/2010,1.38,1.44,1.38,1.44,5212049.00
20/01/2010,1.44,1.44,1.38,1.40,3968528.00
21/01/2010,1.40,1.40,1.32,1.34,9138126.00
22/01/2010,1.32,1.38,1.31,1.36,2965097.00
26/01/2010,1.30,1.35,1.30,1.32,1942792.00
27/01/2010,1.33,1.33,1.27,1.29,5420024.00
28/01/2010,1.32,1.34,1.29,1.34,1315846.00
29/01/2010,1.32,1.40,1.32,1.37,2157894.00
01/02/2010,1.38,1.41,1.35,1.41,2733597.00
02/02/2010,1.41,1.48,1.40,1.47,4823360.00
03/02/2010,1.47,1.48,1.41,1.45,5199552.00
04/02/2010,1.43,1.43,1.37,1.38,3077739.00
05/02/2010,1.35,1.36,1.30,1.34,4882656.00
08/02/2010,1.36,1.41,1.34,1.38,2894672.00
09/02/2010,1.41,1.44,1.39,1.40,3663337.00
10/02/2010,1.41,1.44,1.39,1.42,1733405.00
11/02/2010,1.44,1.48,1.43,1.45,3199822.00
12/02/2010,1.44,1.47,1.41,1.46,1084220.00
17/02/2010,1.48,1.52,1.44,1.52,3139877.00
18/02/2010,1.52,1.52,1.48,1.51,1864292.00
19/02/2010,1.51,1.52,1.48,1.52,2250699.00
22/02/2010,1.52,1.52,1.48,1.48,2020158.00
23/02/2010,1.49,1.49,1.44,1.44,2043821.00
24/02/2010,1.46,1.47,1.43,1.43,2355441.00
25/02/2010,1.42,1.49,1.39,1.46,3195162.00
26/02/2010,1.48,1.48,1.45,1.47,2724007.00
01/03/2010,1.44,1.47,1.42,1.45,2964715.00
02/03/2010,1.45,1.50,1.45,1.48,3714187.00
03/03/2010,1.48,1.48,1.43,1.46,2163550.00
04/03/2010,1.45,1.48,1.44,1.44,935370.00
05/03/2010,1.46,1.46,1.43,1.44,709541.00
08/03/2010,1.43,1.46,1.41,1.42,1704476.00
09/03/2010,1.42,1.44,1.41,1.42,1951135.00
10/03/2010,1.43,1.43,1.40,1.42,2021413.00
11/03/2010,1.41,1.41,1.37,1.38,1879281.00
12/03/2010,1.40,1.42,1.39,1.40,3548249.00
15/03/2010,1.40,1.40,1.35,1.36,2046231.00
16/03/2010,1.38,1.41,1.36,1.41,2868035.00
17/03/2010,1.41,1.43,1.40,1.41,1881759.00
18/03/2010,1.42,1.43,1.39,1.41,2121757.00
19/03/2010,1.43,1.43,1.37,1.39,1096696.00
22/03/2010,1.37,1.40,1.33,1.36,2931177.00
23/03/2010,1.37,1.40,1.36,1.39,1883962.00
24/03/2010,1.37,1.39,1.37,1.39,243185.00
25/03/2010,1.38,1.42,1.38,1.42,1416230.00
26/03/2010,1.42,1.47,1.42,1.45,5275960.00
29/03/2010,1.47,1.48,1.45,1.47,2313864.00
30/03/2010,1.48,1.48,1.43,1.44,2591845.00
31/03/2010,1.43,1.47,1.41,1.45,5259106.00
01/04/2010,1.45,1.47,1.45,1.47,3117023.00
05/04/2010,1.47,1.48,1.45,1.47,2055357.00
06/04/2010,1.45,1.49,1.44,1.49,4252384.00
07/04/2010,1.48,1.49,1.46,1.47,1506275.00
08/04/2010,1.46,1.48,1.45,1.47,2708643.00
09/04/2010,1.47,1.50,1.46,1.48,4719721.00
12/04/2010,1.48,1.49,1.46,1.48,1873611.00
13/04/2010,1.46,1.47,1.45,1.46,2259052.00
14/04/2010,1.45,1.49,1.45,1.48,2685864.00
15/04/2010,1.48,1.49,1.47,1.49,1875193.00
16/04/2010,1.49,1.49,1.47,1.48,1525070.00
19/04/2010,1.44,1.48,1.43,1.45,3198083.00
20/04/2010,1.46,1.49,1.45,1.46,2566236.00
22/04/2010,1.46,1.48,1.45,1.47,1314063.00
23/04/2010,1.46,1.48,1.46,1.48,366842.00
26/04/2010,1.47,1.49,1.47,1.49,800242.00
27/04/2010,1.49,1.51,1.47,1.47,4267750.00
28/04/2010,1.46,1.47,1.45,1.46,2592277.00
29/04/2010,1.47,1.50,1.46,1.50,3081117.00
30/04/2010,1.47,1.52,1.47,1.52,1473069.00
