date,open,high,low,close,vol
25/10/2010,120.49,121.99,110.50,116.69,590550369.00
26/10/2010,114.00,116.99,112.49,112.49,163944504.00
27/10/2010,112.49,115.99,111.01,113.49,84097094.00
28/10/2010,113.54,113.54,110.49,112.49,64907026.00
29/10/2010,112.99,114.49,111.99,113.69,18752345.00
01/11/2010,114.19,118.89,114.19,117.49,21344495.00
03/11/2010,118.79,120.99,117.01,119.49,47945795.00
04/11/2010,119.49,120.99,119.00,119.79,33227415.00
05/11/2010,119.79,122.19,119.79,121.99,133375186.00
08/11/2010,121.99,121.99,119.99,119.99,23167850.00
09/11/2010,120.00,122.99,117.99,117.99,36160468.00
10/11/2010,120.99,120.99,116.10,118.49,10941008.00
11/11/2010,115.99,119.19,115.99,117.99,25561646.00
12/11/2010,117.99,118.49,116.56,116.99,8121916.00
16/11/2010,114.99,115.99,110.99,111.20,28393909.00
17/11/2010,111.20,113.69,111.20,112.99,23133612.00
18/11/2010,114.49,120.39,114.49,120.00,30805265.00
19/11/2010,117.49,120.49,117.49,119.99,34890871.00
22/11/2010,120.19,120.19,118.99,120.09,19536060.00
23/11/2010,119.99,121.99,119.49,120.99,24984634.00
24/11/2010,122.99,134.99,122.99,134.99,27497657.00
25/11/2010,137.99,137.99,132.99,134.99,15741033.00
26/11/2010,133.09,143.49,133.09,138.99,40636567.00
29/11/2010,138.99,141.79,137.09,138.49,29655072.00
30/11/2010,135.99,139.99,133.25,135.39,13861080.00
01/12/2010,135.39,139.99,134.99,139.99,27187096.00
02/12/2010,139.99,149.72,138.99,147.99,45005135.00
03/12/2010,149.89,158.99,146.50,156.15,80677101.00
06/12/2010,155.49,162.99,155.49,162.49,177071329.00
07/12/2010,162.49,169.89,159.99,159.99,49425359.00
08/12/2010,162.49,166.79,160.99,163.99,66060036.00
09/12/2010,165.49,165.49,157.99,159.99,97028172.00
10/12/2010,161.49,161.49,152.09,152.99,64814530.00
13/12/2010,153.49,155.99,153.20,155.99,34124723.00
14/12/2010,155.49,155.49,153.19,153.99,45912186.00
15/12/2010,152.99,154.99,152.01,154.67,48446096.00
16/12/2010,154.99,155.69,154.59,155.49,22668321.00
17/12/2010,155.49,164.99,155.49,164.99,39385586.00
20/12/2010,164.99,164.99,160.99,160.99,26727121.00
21/12/2010,160.49,161.99,157.99,159.99,9964400.00
22/12/2010,159.99,161.99,156.99,157.50,26429607.00
23/12/2010,160.99,160.99,158.99,158.99,2554419.00
27/12/2010,157.99,162.99,157.99,160.99,6922763.00
28/12/2010,163.49,163.49,160.99,160.99,1298802.00
29/12/2010,162.94,162.99,158.69,158.69,2736751.00
30/12/2010,159.99,160.99,157.99,158.99,3198362.00
03/01/2011,158.99,165.49,157.99,163.99,25351440.00
04/01/2011,164.99,168.99,164.49,167.99,9358161.00
05/01/2011,167.99,167.99,162.09,162.09,14217595.00
06/01/2011,161.99,161.99,154.49,157.49,20359655.00
07/01/2011,159.99,159.99,154.99,157.99,19932111.00
10/01/2011,159.39,163.49,157.99,163.49,35582495.00
11/01/2011,165.97,166.99,161.99,165.49,54923203.00
12/01/2011,165.49,173.69,165.49,169.99,83564458.00
13/01/2011,170.99,179.99,170.99,178.09,101722880.00
14/01/2011,179.99,182.72,175.52,178.49,34216440.00
17/01/2011,180.99,181.99,176.99,181.29,12993441.00
18/01/2011,181.49,181.99,178.99,179.99,29303569.00
19/01/2011,179.09,179.09,173.00,176.49,17466573.00
20/01/2011,176.99,176.99,172.99,172.99,49357316.00
21/01/2011,172.99,172.99,170.99,170.99,14277904.00
24/01/2011,169.99,179.99,169.99,177.99,20579311.00
26/01/2011,179.99,182.49,176.50,179.49,44497174.00
27/01/2011,179.99,181.99,178.49,180.99,39426408.00
28/01/2011,181.99,183.40,177.99,182.49,110604486.00
31/01/2011,182.49,182.99,180.19,181.79,90432987.00
01/02/2011,181.99,185.99,181.49,184.49,67300133.00
02/02/2011,184.49,187.99,183.99,184.99,28436303.00
03/02/2011,184.99,184.99,180.49,182.99,28893284.00
04/02/2011,182.79,186.99,182.79,184.09,40505609.00
07/02/2011,183.99,186.99,178.39,182.49,19872698.00
08/02/2011,183.99,183.99,172.49,172.49,68289473.00
09/02/2011,173.99,177.99,164.99,166.49,51439433.00
10/02/2011,169.99,169.99,161.99,166.49,44541820.00
11/02/2011,169.99,177.49,169.99,172.99,122252933.00
14/02/2011,172.99,180.99,172.99,179.39,85498710.00
15/02/2011,178.99,179.79,175.27,177.99,100723459.00
16/02/2011,179.99,179.99,175.99,178.99,59339631.00
17/02/2011,179.49,186.99,179.39,182.99,66382740.00
18/02/2011,187.99,194.28,183.99,191.49,78101277.00
21/02/2011,190.49,196.99,190.49,195.98,32277696.00
22/02/2011,195.99,198.99,192.99,194.49,52969542.00
23/02/2011,195.99,195.99,183.59,189.99,46127786.00
24/02/2011,189.99,189.99,179.99,183.99,148693984.00
25/02/2011,174.99,179.99,170.49,179.99,265558164.00
28/02/2011,179.99,187.49,179.09,187.49,862159427.00
01/03/2011,184.99,188.74,182.99,185.49,88668463.00
02/03/2011,185.49,191.85,182.99,190.19,155097409.00
03/03/2011,191.99,192.49,186.99,188.99,101054230.00
04/03/2011,189.99,199.99,189.99,197.79,71001454.00
09/03/2011,197.49,206.99,197.49,202.69,35298951.00
10/03/2011,202.69,204.99,197.99,202.99,35766979.00
11/03/2011,197.99,202.89,194.99,202.79,43588252.00
14/03/2011,203.69,209.49,202.99,207.49,25105793.00
15/03/2011,203.39,205.99,198.79,204.99,50137392.00
16/03/2011,205.49,213.99,203.49,212.19,59467225.00
17/03/2011,212.99,219.99,208.49,216.99,116754152.00
18/03/2011,216.99,221.99,204.99,209.99,62025835.00
21/03/2011,213.99,213.99,198.59,198.59,65578871.00
22/03/2011,200.49,209.98,194.99,205.99,63526640.00
23/03/2011,207.99,211.59,204.99,205.99,48272208.00
24/03/2011,205.79,205.79,200.79,200.79,41475827.00
25/03/2011,200.79,203.49,198.99,198.99,24465535.00
28/03/2011,199.99,200.49,193.99,194.49,21573827.00
29/03/2011,200.29,200.29,178.50,181.49,115605849.00
30/03/2011,181.99,181.99,166.09,168.99,179055571.00
31/03/2011,168.99,171.99,168.99,170.09,54276837.00
01/04/2011,169.99,174.69,169.99,173.99,53020483.00
04/04/2011,172.99,176.42,171.29,172.99,94280808.00
05/04/2011,169.99,174.99,168.49,170.99,68596418.00
06/04/2011,171.99,179.89,171.59,178.99,91806195.00
07/04/2011,179.99,182.39,177.49,179.99,70631015.00
08/04/2011,179.89,182.49,179.89,180.99,41162069.00
11/04/2011,180.49,182.99,179.97,179.99,36577008.00
12/04/2011,179.99,181.99,174.99,175.99,58481294.00
13/04/2011,176.99,178.49,174.99,174.99,46505487.00
14/04/2011,173.99,176.99,171.79,172.99,42785787.00
15/04/2011,174.99,174.99,170.49,171.99,49392727.00
18/04/2011,170.51,170.51,154.99,154.99,111814052.00
19/04/2011,157.99,159.99,155.49,157.99,80419761.00
20/04/2011,157.98,164.48,156.98,160.98,68053989.00
25/04/2011,164.88,164.97,148.98,155.58,52761851.00
26/04/2011,156.28,161.78,156.28,158.98,47631314.00
27/04/2011,159.98,167.97,159.98,164.98,79896342.00
28/04/2011,165.88,171.17,163.48,164.98,1002596517.00
29/04/2011,165.49,165.49,160.09,160.98,101730394.00
02/05/2011,164.88,164.98,153.58,154.98,64382942.00
03/05/2011,157.98,157.98,144.28,149.88,67404037.00
04/05/2011,149.98,150.68,141.18,144.48,64531629.00
05/05/2011,142.98,146.78,139.48,141.48,47016589.00
06/05/2011,145.68,149.98,139.98,142.98,35523801.00
09/05/2011,146.98,159.98,146.98,152.58,85125432.00
10/05/2011,153.98,156.98,149.48,150.28,52367725.00
11/05/2011,152.98,152.98,142.98,144.98,80272845.00
12/05/2011,143.48,144.98,139.98,143.48,57306924.00
13/05/2011,144.48,144.48,138.48,142.88,64917116.00
16/05/2011,142.48,142.48,138.98,141.08,16090511.00
17/05/2011,141.98,141.98,137.48,141.38,29851082.00
18/05/2011,141.68,144.98,140.98,144.48,46090176.00
19/05/2011,144.47,146.18,142.98,144.98,34531213.00
20/05/2011,146.98,147.18,144.98,145.48,28631537.00
23/05/2011,142.46,143.48,139.98,141.48,27399857.00
24/05/2011,142.98,143.48,139.98,139.98,23856532.00
25/05/2011,139.98,141.78,138.98,139.48,31654046.00
26/05/2011,139.48,153.48,139.48,148.98,103986131.00
27/05/2011,149.98,149.98,141.98,142.88,35516327.00
30/05/2011,143.48,145.97,143.08,144.18,9080988.00
31/05/2011,143.98,145.98,137.98,141.98,267025632.00
01/06/2011,140.18,141.12,137.98,140.48,35410783.00
02/06/2011,141.46,141.46,135.18,137.48,53914463.00
03/06/2011,135.98,137.97,133.08,133.98,66040900.00
06/06/2011,134.98,134.98,130.98,132.08,85628820.00
07/06/2011,135.13,136.98,131.08,131.98,70860992.00
08/06/2011,132.48,133.38,131.48,132.08,50956304.00
09/06/2011,132.48,139.98,132.48,139.98,65318399.00
10/06/2011,140.98,140.98,134.98,134.98,91332246.00
13/06/2011,135.98,136.58,134.98,135.98,14275197.00
14/06/2011,136.98,139.78,135.53,137.98,38003036.00
