date,open,high,low,close,vol
18/12/2009,12.05,12.20,11.97,12.20,13695000.00
21/12/2009,12.13,12.16,11.96,12.06,3084697.00
22/12/2009,12.17,12.27,12.05,12.16,3188472.00
23/12/2009,12.17,12.17,11.88,12.10,3613707.00
28/12/2009,12.11,12.25,12.11,12.24,1243218.00
29/12/2009,12.29,12.29,12.06,12.09,3131236.00
30/12/2009,12.09,12.29,12.02,12.29,4538971.00
04/01/2010,12.37,12.61,12.23,12.61,4237946.00
05/01/2010,12.61,12.61,12.22,12.40,4287922.00
06/01/2010,12.45,12.67,12.28,12.67,7342689.00
07/01/2010,12.58,12.83,12.34,12.83,10878421.00
08/01/2010,12.82,12.83,12.64,12.82,4970289.00
11/01/2010,12.82,12.94,12.70,12.83,10090617.00
12/01/2010,12.94,12.94,12.77,12.77,6599747.00
13/01/2010,12.79,12.88,12.66,12.77,4778091.00
14/01/2010,12.77,12.81,12.62,12.70,6243080.00
15/01/2010,13.01,13.01,12.46,12.64,12083945.00
18/01/2010,12.64,12.77,12.40,12.45,5902311.00
19/01/2010,12.44,12.75,12.34,12.49,3824346.00
20/01/2010,12.36,12.55,12.09,12.09,6397016.00
21/01/2010,12.34,12.34,11.78,12.01,7595080.00
22/01/2010,12.03,12.08,11.73,11.90,6063485.00
26/01/2010,11.62,11.85,11.61,11.81,2260538.00
27/01/2010,11.81,11.83,11.51,11.61,2350836.00
28/01/2010,11.75,11.75,11.39,11.57,7580049.00
29/01/2010,11.67,11.79,11.39,11.58,3847775.00
01/02/2010,11.61,12.03,11.34,11.54,13474698.00
02/02/2010,11.64,11.67,11.43,11.54,21364306.00
03/02/2010,11.67,11.67,11.46,11.61,28887901.00
04/02/2010,11.49,11.64,11.33,11.42,14496080.00
05/02/2010,11.33,11.51,10.95,11.06,15701254.00
08/02/2010,11.06,11.06,10.85,10.99,22514952.00
09/02/2010,10.99,11.24,10.91,11.06,13604425.00
10/02/2010,11.30,11.30,10.76,10.84,9568923.00
11/02/2010,10.84,10.93,10.71,10.81,21094152.00
12/02/2010,10.89,10.96,10.86,10.90,7265630.00
17/02/2010,11.00,11.18,10.90,11.12,7174186.00
18/02/2010,11.04,11.10,10.96,10.99,5285421.00
19/02/2010,11.00,11.00,10.91,10.99,4807438.00
22/02/2010,10.99,11.07,10.94,10.99,5870077.00
23/02/2010,10.95,10.99,10.77,10.84,9493963.00
24/02/2010,10.87,10.93,10.76,10.81,3676834.00
25/02/2010,10.69,10.99,10.69,10.96,2534402.00
26/02/2010,10.81,11.03,10.76,11.03,8768908.00
01/03/2010,11.03,11.54,10.99,11.36,9460523.00
02/03/2010,11.30,11.58,11.21,11.31,3750922.00
03/03/2010,11.24,11.46,11.04,11.39,7202068.00
04/03/2010,11.30,11.40,11.13,11.40,1817922.00
05/03/2010,11.40,11.50,11.21,11.36,5691745.00
08/03/2010,11.35,11.48,11.08,11.26,5508292.00
09/03/2010,11.29,11.48,11.09,11.44,8863422.00
10/03/2010,11.36,11.44,11.22,11.39,4596499.00
11/03/2010,11.30,11.40,11.06,11.18,3518253.00
12/03/2010,11.30,11.42,10.87,10.99,6969786.00
15/03/2010,11.01,11.01,10.87,10.87,4073638.00
16/03/2010,10.93,11.11,10.83,10.93,9913464.00
17/03/2010,11.09,11.09,10.87,11.03,6993967.00
18/03/2010,11.03,11.03,10.75,10.99,6042043.00
19/03/2010,11.06,11.06,10.59,10.59,16339226.00
22/03/2010,10.53,10.88,10.29,10.65,4496118.00
23/03/2010,10.65,10.85,10.51,10.85,1595158.00
24/03/2010,10.84,10.84,10.51,10.65,5645809.00
25/03/2010,10.65,10.87,10.64,10.87,5873771.00
26/03/2010,10.78,11.12,10.78,10.96,3953261.00
29/03/2010,10.99,10.99,10.69,10.99,2721157.00
30/03/2010,11.04,11.12,10.81,10.99,3511779.00
31/03/2010,10.86,10.99,10.82,10.99,4771540.00
01/04/2010,10.99,11.08,10.88,10.97,5744669.00
05/04/2010,10.82,11.01,10.76,11.01,11645191.00
06/04/2010,10.79,10.90,10.73,10.77,3214519.00
07/04/2010,10.77,10.81,10.74,10.78,1200250.00
08/04/2010,10.70,10.82,10.57,10.75,3883421.00
09/04/2010,10.84,10.84,10.66,10.84,2483914.00
12/04/2010,10.76,10.87,10.70,10.87,3143865.00
13/04/2010,10.79,10.90,10.66,10.72,7192349.00
14/04/2010,10.75,10.83,10.60,10.78,7851794.00
15/04/2010,10.75,10.92,10.72,10.87,2569117.00
16/04/2010,10.84,10.99,10.69,10.99,2000066.00
19/04/2010,10.87,10.98,10.63,10.90,3411238.00
20/04/2010,10.81,10.93,10.77,10.78,3129982.00
22/04/2010,10.78,10.87,10.65,10.81,6124357.00
23/04/2010,10.88,10.88,10.63,10.78,5050886.00
26/04/2010,10.86,10.86,10.66,10.80,3905531.00
27/04/2010,10.71,10.77,10.60,10.75,2950281.00
28/04/2010,10.69,10.87,10.60,10.72,5446985.00
29/04/2010,10.66,10.81,10.66,10.70,2113633.00
30/04/2010,10.60,11.18,10.60,10.95,9466128.00
03/05/2010,11.15,11.57,10.99,11.39,10291404.00
04/05/2010,11.39,11.54,11.15,11.54,7306719.00
05/05/2010,11.33,11.97,11.21,11.48,9417853.00
06/05/2010,11.55,11.65,10.88,11.18,7680412.00
07/05/2010,11.00,11.30,10.75,11.26,2734240.00
10/05/2010,11.24,11.52,11.06,11.42,5214335.00
11/05/2010,11.18,11.51,11.18,11.48,3658527.00
12/05/2010,11.51,11.77,11.45,11.73,5104954.00
13/05/2010,11.87,11.87,11.31,11.43,7727692.00
14/05/2010,11.27,11.54,11.09,11.36,4638364.00
17/05/2010,11.42,11.59,10.95,11.42,5182676.00
18/05/2010,11.54,11.61,10.97,11.42,7539117.00
19/05/2010,11.45,11.45,10.96,11.27,5287877.00
20/05/2010,11.15,11.36,10.75,10.78,3964670.00
21/05/2010,10.86,11.26,10.78,11.19,3711065.00
24/05/2010,11.30,11.39,10.94,11.27,6598729.00
25/05/2010,11.06,11.24,10.97,11.12,11843775.00
26/05/2010,11.39,11.39,10.70,11.30,35915756.00
27/05/2010,11.30,11.40,11.07,11.35,5221005.00
28/05/2010,11.18,11.54,11.12,11.30,6043664.00
31/05/2010,11.33,11.64,11.09,11.48,7382275.00
01/06/2010,11.15,11.54,11.09,11.48,3823698.00
02/06/2010,11.37,11.70,11.11,11.70,7447335.00
04/06/2010,11.46,11.66,11.42,11.51,4398717.00
07/06/2010,11.58,11.70,11.33,11.48,3583389.00
08/06/2010,11.39,11.67,11.37,11.48,3610382.00
09/06/2010,11.48,11.57,11.42,11.48,2435289.00
10/06/2010,11.59,11.60,11.36,11.39,1979660.00
11/06/2010,11.52,11.66,11.25,11.39,4878473.00
14/06/2010,11.43,11.65,11.01,11.29,3057452.00
15/06/2010,11.29,11.42,10.87,11.42,17837670.00
16/06/2010,11.24,11.42,11.06,11.23,6519723.00
17/06/2010,11.15,11.32,11.03,11.24,8982849.00
