date,open,high,low,close,vol
29/06/2011,8.17,9.42,8.09,9.35,141035713.00
30/06/2011,9.43,9.43,9.07,9.26,12000959.00
01/07/2011,9.01,9.45,8.96,9.32,5215710.00
04/07/2011,9.20,9.25,9.07,9.17,5281001.00
05/07/2011,9.04,9.32,9.04,9.25,3047457.00
06/07/2011,9.34,9.34,9.04,9.07,6949491.00
07/07/2011,9.04,9.25,9.01,9.22,68149.00
08/07/2011,9.08,9.17,8.95,9.17,1058110.00
11/07/2011,9.07,9.07,8.86,9.01,13801229.00
12/07/2011,8.76,8.91,8.58,8.58,6918797.00
13/07/2011,8.70,8.78,8.65,8.66,799607.00
14/07/2011,8.64,8.67,8.58,8.67,8448449.00
15/07/2011,8.64,8.76,8.56,8.76,886547.00
18/07/2011,8.70,8.70,8.50,8.69,679596.00
19/07/2011,8.40,8.70,8.40,8.67,1727567.00
20/07/2011,8.51,8.69,8.38,8.55,8734592.00
21/07/2011,8.54,8.95,8.54,8.95,237098.00
22/07/2011,8.95,9.17,8.95,9.17,4547995.00
25/07/2011,9.16,9.16,8.94,9.14,6844292.00
26/07/2011,9.07,9.17,8.82,9.17,173087.00
27/07/2011,9.15,9.23,9.12,9.20,17666814.00
28/07/2011,9.07,9.17,8.84,9.14,14711050.00
29/07/2011,9.29,9.32,9.01,9.01,4798258.00
01/08/2011,9.02,9.02,8.74,9.01,214780.00
02/08/2011,8.75,9.30,8.71,9.16,14001843.00
03/08/2011,8.95,8.95,8.70,8.95,318113.00
04/08/2011,9.01,9.04,8.70,8.70,10334949.00
05/08/2011,8.71,8.71,8.09,8.09,13579664.00
08/08/2011,7.96,8.08,7.33,7.46,4603278.00
09/08/2011,7.46,8.64,7.33,8.64,10728991.00
10/08/2011,8.82,8.82,7.89,8.30,28362.00
11/08/2011,8.70,8.70,8.48,8.48,502025.00
12/08/2011,8.39,8.48,8.17,8.48,596199.00
15/08/2011,8.51,8.64,8.40,8.40,692583.00
16/08/2011,8.65,8.66,8.51,8.51,13175258.00
17/08/2011,8.51,8.64,8.39,8.39,1154636.00
18/08/2011,8.10,8.17,8.02,8.02,72951.00
19/08/2011,8.07,8.07,7.68,7.68,2624563.00
22/08/2011,7.69,7.83,7.65,7.77,1185436.00
23/08/2011,7.77,7.83,7.77,7.77,427529.00
24/08/2011,7.77,7.81,7.77,7.81,1591257.00
25/08/2011,7.83,7.83,7.58,7.83,118630.00
26/08/2011,7.77,7.92,7.77,7.92,311435.00
29/08/2011,7.98,8.27,7.98,8.27,715149.00
30/08/2011,8.47,8.70,8.45,8.70,317447.00
31/08/2011,8.95,9.13,8.70,8.95,2646617.00
01/09/2011,9.07,9.32,9.01,9.32,3286098.00
02/09/2011,9.26,9.26,9.20,9.20,203052.00
05/09/2011,9.32,9.32,8.71,9.01,1660331.00
06/09/2011,9.01,9.01,8.89,8.89,4038566.00
08/09/2011,8.82,9.42,8.82,9.38,2986373.00
09/09/2011,9.32,9.94,9.24,9.32,3511133.00
12/09/2011,9.30,9.38,9.07,9.32,2425800.00
13/09/2011,9.44,9.81,9.38,9.81,1907381.00
14/09/2011,9.78,9.81,9.54,9.73,9083265.00
15/09/2011,9.93,9.94,9.57,9.82,2945710.00
16/09/2011,10.10,10.57,9.83,10.57,17630587.00
19/09/2011,10.29,10.44,9.98,10.07,6937521.00
20/09/2011,10.10,10.10,9.83,9.94,2025778.00
