date,open,high,low,close,vol
18/12/2009,8.35,8.38,8.05,8.35,9103038.00
21/12/2009,8.35,8.35,8.17,8.31,635521.00
22/12/2009,8.35,8.45,8.12,8.23,1707242.00
23/12/2009,8.29,8.35,8.03,8.10,3038646.00
28/12/2009,8.10,8.31,7.94,8.16,1959903.00
29/12/2009,8.25,8.25,8.05,8.17,1976592.00
30/12/2009,8.25,8.38,8.07,8.38,3990382.00
04/01/2010,8.32,8.53,8.32,8.50,1157370.00
05/01/2010,8.45,8.45,8.09,8.29,4399182.00
06/01/2010,8.38,8.62,8.16,8.38,1355407.00
07/01/2010,8.44,8.44,8.23,8.32,3662546.00
08/01/2010,8.32,8.52,8.32,8.47,20532889.00
11/01/2010,8.53,8.70,8.43,8.70,8161789.00
12/01/2010,8.70,8.74,8.67,8.74,6727669.00
13/01/2010,8.68,8.97,8.68,8.95,9482505.00
14/01/2010,8.98,8.98,8.91,8.95,3135145.00
15/01/2010,8.98,9.25,8.71,8.92,587274.00
18/01/2010,8.92,8.94,8.56,8.77,3348359.00
19/01/2010,8.77,8.82,8.62,8.68,2322525.00
20/01/2010,8.92,8.92,8.56,8.59,2353706.00
21/01/2010,8.68,8.68,8.32,8.38,1959704.00
22/01/2010,8.53,8.53,8.31,8.44,573408.00
26/01/2010,8.38,8.38,8.10,8.21,863933.00
27/01/2010,8.08,8.17,7.89,8.02,2510366.00
28/01/2010,8.08,8.16,7.78,7.93,2131872.00
29/01/2010,8.14,8.20,7.96,8.08,1547868.00
01/02/2010,8.08,8.44,7.96,8.44,1364080.00
02/02/2010,8.35,8.59,8.35,8.52,2214472.00
03/02/2010,8.65,8.77,8.44,8.77,3406485.00
04/02/2010,8.74,8.76,8.14,8.44,3542469.00
05/02/2010,8.38,8.38,8.14,8.23,2651705.00
08/02/2010,8.26,8.47,8.08,8.47,2820711.00
09/02/2010,8.62,8.68,8.43,8.68,3484511.00
10/02/2010,8.65,8.68,8.44,8.68,2718620.00
11/02/2010,8.64,8.68,8.26,8.68,2831471.00
12/02/2010,8.62,8.65,8.47,8.53,1826357.00
17/02/2010,8.56,8.65,8.31,8.64,710755.00
18/02/2010,8.59,8.68,8.53,8.61,1541469.00
19/02/2010,8.48,8.67,8.48,8.59,2155355.00
22/02/2010,8.53,8.66,8.50,8.62,2652024.00
23/02/2010,8.62,8.62,8.14,8.14,1803732.00
24/02/2010,8.16,8.53,8.16,8.38,2088380.00
25/02/2010,8.38,8.62,8.21,8.32,4634008.00
26/02/2010,8.38,8.38,8.25,8.32,3259923.00
01/03/2010,8.38,8.38,8.23,8.32,4140755.00
02/03/2010,8.56,8.65,8.46,8.62,4585936.00
03/03/2010,8.64,8.65,8.49,8.61,19345277.00
04/03/2010,8.62,8.62,8.56,8.62,12221808.00
05/03/2010,8.64,8.64,8.38,8.53,1303165.00
08/03/2010,8.53,8.61,8.49,8.61,360445.00
09/03/2010,8.60,8.68,8.46,8.62,4332814.00
10/03/2010,8.62,8.68,8.56,8.67,2317463.00
11/03/2010,8.47,8.68,8.47,8.68,312341.00
12/03/2010,8.67,8.68,8.46,8.59,1907300.00
15/03/2010,8.56,8.61,8.52,8.53,1126177.00
16/03/2010,8.56,8.65,8.50,8.52,981301.00
17/03/2010,8.56,8.67,8.31,8.38,3126780.00
18/03/2010,8.35,8.55,8.35,8.53,207731.00
19/03/2010,8.53,8.53,8.32,8.53,663100.00
22/03/2010,8.53,8.53,8.29,8.47,2520757.00
23/03/2010,8.41,8.53,8.41,8.53,1397325.00
24/03/2010,8.53,8.59,8.49,8.59,3941688.00
25/03/2010,8.59,8.59,8.58,8.58,1538957.00
26/03/2010,8.57,8.59,8.53,8.59,729530.00
29/03/2010,8.58,8.59,8.45,8.57,2188223.00
30/03/2010,8.47,8.58,8.47,8.56,1385559.00
31/03/2010,8.49,8.59,8.26,8.59,2094750.00
01/04/2010,8.58,8.59,8.27,8.56,1245182.00
05/04/2010,8.41,8.58,8.39,8.53,493159.00
06/04/2010,8.60,8.61,8.34,8.34,1017264.00
07/04/2010,8.36,8.36,8.24,8.32,659348.00
08/04/2010,8.32,8.43,8.31,8.40,6981267.00
09/04/2010,8.28,8.31,8.19,8.19,2500086.00
12/04/2010,8.37,8.37,8.04,8.19,2966296.00
13/04/2010,8.25,8.25,8.04,8.22,363135.00
14/04/2010,8.22,8.22,8.07,8.18,5682194.00
15/04/2010,8.18,8.40,8.16,8.40,3953552.00
16/04/2010,8.40,8.45,8.37,8.43,20130805.00
19/04/2010,8.43,8.52,8.43,8.52,4623918.00
20/04/2010,8.52,9.03,8.52,8.58,948929.00
22/04/2010,8.48,8.94,8.48,8.94,1015029.00
23/04/2010,8.83,9.00,8.73,9.00,1258318.00
26/04/2010,8.97,8.97,8.66,8.79,1087228.00
27/04/2010,8.79,8.91,8.74,8.75,15471123.00
28/04/2010,8.79,8.88,8.75,8.84,1973709.00
29/04/2010,8.82,8.84,8.75,8.82,8080577.00
30/04/2010,8.87,9.02,8.73,9.02,946085.00
03/05/2010,9.00,9.02,8.87,8.88,1043445.00
04/05/2010,8.87,8.90,8.53,8.61,4400144.00
05/05/2010,8.61,8.86,8.43,8.58,3506698.00
06/05/2010,8.58,8.59,8.37,8.40,1487470.00
07/05/2010,8.28,8.43,8.13,8.43,4272372.00
10/05/2010,8.43,8.78,8.43,8.73,5045321.00
11/05/2010,8.73,8.78,8.61,8.73,1130779.00
12/05/2010,8.88,8.88,8.72,8.82,1021782.00
13/05/2010,8.93,8.94,8.51,8.70,999833.00
14/05/2010,8.65,8.67,8.64,8.64,318607.00
17/05/2010,8.88,8.88,8.37,8.64,1282295.00
18/05/2010,8.64,8.64,8.47,8.47,657337.00
19/05/2010,8.30,8.30,7.92,8.13,1131631.00
20/05/2010,8.07,8.07,7.53,7.53,2659489.00
21/05/2010,7.83,8.10,7.68,7.83,5796906.00
24/05/2010,7.98,8.13,7.97,8.08,3210177.00
25/05/2010,7.98,8.70,7.71,8.70,2033510.00
26/05/2010,8.67,8.79,8.58,8.58,3117234.00
27/05/2010,8.73,8.88,8.73,8.88,2941276.00
28/05/2010,8.82,8.94,8.81,8.94,977860.00
31/05/2010,8.88,8.94,8.85,8.90,5560091.00
01/06/2010,8.94,8.94,8.87,8.88,801135.00
02/06/2010,8.99,8.99,8.91,8.94,5650552.00
04/06/2010,8.97,9.31,8.97,9.03,1275560.00
07/06/2010,9.03,9.18,9.03,9.18,5564556.00
08/06/2010,9.07,9.17,9.07,9.17,42596.00
09/06/2010,9.17,9.17,9.03,9.03,977395.00
10/06/2010,9.08,9.18,9.00,9.00,7922181.00
11/06/2010,9.17,9.31,9.17,9.31,1366855.00
14/06/2010,9.41,9.55,9.34,9.49,6358625.00
15/06/2010,9.49,9.87,9.34,9.87,1834844.00
16/06/2010,9.79,10.24,9.70,10.24,5472445.00
17/06/2010,10.21,10.44,9.79,9.79,1235638.00
18/06/2010,9.79,9.90,9.79,9.86,10573985.00
21/06/2010,9.91,10.04,9.79,10.04,1160398.00
22/06/2010,10.25,10.25,9.82,10.12,1315259.00
23/06/2010,10.12,10.20,9.82,9.97,1185242.00
24/06/2010,10.06,10.27,9.97,10.27,4910122.00
25/06/2010,10.18,10.42,10.18,10.27,17625820.00
28/06/2010,10.33,10.54,10.27,10.54,8613632.00
29/06/2010,10.57,10.57,10.33,10.57,5761713.00
30/06/2010,10.57,10.72,10.37,10.42,2912992.00
01/07/2010,10.33,10.35,10.18,10.27,7571406.00
02/07/2010,10.27,10.48,10.21,10.48,2055190.00
05/07/2010,10.42,10.42,10.31,10.31,398074.00
06/07/2010,10.51,10.51,10.39,10.40,1818489.00
07/07/2010,10.40,10.57,10.40,10.57,14725040.00
08/07/2010,10.57,10.63,10.27,10.57,1546130.00
12/07/2010,10.57,10.57,10.38,10.50,1208543.00
13/07/2010,10.53,10.55,10.39,10.50,6823092.00
14/07/2010,10.50,10.50,10.49,10.49,13208473.00
15/07/2010,10.42,10.57,10.40,10.57,704544.00
16/07/2010,10.42,10.42,10.12,10.39,504722.00
19/07/2010,10.50,10.51,10.29,10.42,2009266.00
20/07/2010,10.39,10.42,10.36,10.39,355061.00
21/07/2010,10.42,10.51,10.32,10.51,3752724.00
22/07/2010,10.57,10.69,10.51,10.54,1560022.00
23/07/2010,10.51,10.52,10.31,10.33,2925971.00
26/07/2010,10.39,10.39,10.27,10.32,496164.00
27/07/2010,10.40,10.48,10.38,10.48,334861.00
28/07/2010,10.45,10.57,10.26,10.57,1088869.00
29/07/2010,10.42,10.57,10.39,10.57,1235469.00
30/07/2010,10.57,11.07,10.42,11.06,1848823.00
02/08/2010,11.05,11.06,10.88,11.02,2688022.00
03/08/2010,11.01,11.01,10.61,10.87,2258038.00
04/08/2010,10.78,11.01,10.75,10.86,506024.00
05/08/2010,10.89,10.95,10.87,10.95,1974637.00
06/08/2010,10.95,11.06,10.87,10.98,4767596.00
09/08/2010,11.02,11.02,10.97,11.02,4019425.00
10/08/2010,11.17,11.21,10.95,11.02,2377128.00
11/08/2010,10.88,11.02,10.66,10.87,11948363.00
12/08/2010,10.72,10.92,10.72,10.81,12534352.00
13/08/2010,10.81,11.48,10.81,11.48,11365492.00
16/08/2010,11.32,11.33,11.25,11.33,4549177.00
17/08/2010,11.21,11.21,11.10,11.10,3061109.00
18/08/2010,11.09,11.12,11.09,11.12,581211.00
19/08/2010,11.08,11.15,11.02,11.14,117501.00
20/08/2010,11.12,11.13,11.12,11.12,276007.00
23/08/2010,11.15,11.27,11.15,11.27,193132.00
24/08/2010,11.27,11.27,11.19,11.27,842670.00
25/08/2010,10.96,11.24,10.96,11.17,374182.00
26/08/2010,11.03,11.14,10.95,11.01,1160687.00
27/08/2010,11.17,11.19,11.13,11.13,2097916.00
30/08/2010,11.18,11.26,11.09,11.10,2297355.00
31/08/2010,11.08,11.17,11.04,11.17,5138134.00
01/09/2010,11.18,11.27,11.18,11.21,7308797.00
02/09/2010,11.21,11.33,11.21,11.25,10584203.00
03/09/2010,11.21,11.39,11.21,11.39,18623572.00
06/09/2010,11.48,11.55,11.21,11.21,332227.00
08/09/2010,11.33,11.42,11.25,11.34,2659529.00
09/09/2010,11.25,11.34,11.25,11.34,1858228.00
10/09/2010,11.31,12.08,11.31,11.78,2669535.00
13/09/2010,11.78,12.49,11.64,12.23,1176217.00
14/09/2010,12.19,12.25,12.08,12.20,4791916.00
15/09/2010,12.14,12.63,12.14,12.61,13202521.00
16/09/2010,12.62,12.62,12.08,12.16,6165316.00
17/09/2010,12.21,12.72,12.04,12.42,10312532.00
20/09/2010,12.42,12.61,12.27,12.42,13429767.00
21/09/2010,12.41,12.63,12.41,12.42,10296331.00
22/09/2010,12.29,12.55,12.29,12.45,3212167.00
23/09/2010,12.45,12.48,12.31,12.42,7256783.00
24/09/2010,12.57,12.65,12.34,12.42,18730407.00
27/09/2010,12.42,12.48,11.91,12.27,8394668.00
28/09/2010,12.11,12.49,12.01,12.49,148684277.00
29/09/2010,12.54,13.08,12.42,12.99,6250309.00
30/09/2010,13.11,13.20,12.83,13.08,7277021.00
01/10/2010,13.21,13.31,12.97,13.28,6799146.00
04/10/2010,13.40,13.97,13.04,13.43,6064591.00
05/10/2010,13.48,14.16,13.48,13.93,2692187.00
06/10/2010,14.02,14.02,13.63,13.75,5716543.00
07/10/2010,13.77,13.77,13.24,13.33,5664212.00
08/10/2010,13.70,13.82,13.48,13.70,278754.00
11/10/2010,14.10,14.23,13.84,14.23,11996692.00
13/10/2010,14.31,15.30,14.23,14.96,10413943.00
14/10/2010,14.74,15.14,14.27,14.99,6583088.00
15/10/2010,14.94,15.34,14.56,14.99,4033577.00
18/10/2010,15.15,15.15,14.36,14.63,5606365.00
19/10/2010,14.63,14.63,13.95,14.11,23997982.00
20/10/2010,14.06,14.13,13.84,13.93,7131115.00
21/10/2010,13.81,13.93,13.73,13.77,3070195.00
22/10/2010,13.63,13.95,13.49,13.63,13219511.00
25/10/2010,13.50,13.57,13.21,13.28,6671557.00
26/10/2010,13.21,13.26,12.90,12.93,13039934.00
27/10/2010,12.93,12.93,12.38,12.38,24413919.00
28/10/2010,12.75,13.02,12.48,12.91,953747.00
29/10/2010,13.02,13.32,13.02,13.03,3594909.00
01/11/2010,13.31,13.31,12.78,13.29,2224708.00
03/11/2010,13.29,13.78,13.14,13.78,3848078.00
04/11/2010,13.74,13.93,12.95,13.03,63709769.00
05/11/2010,13.11,13.28,13.08,13.21,9441734.00
08/11/2010,13.24,13.63,13.18,13.55,13888026.00
09/11/2010,13.63,13.66,13.22,13.47,4330374.00
10/11/2010,13.31,13.38,13.04,13.08,2716894.00
11/11/2010,13.14,13.14,12.54,13.02,7088783.00
12/11/2010,12.93,13.02,12.63,12.66,3446344.00
16/11/2010,12.96,13.01,12.26,12.57,1621587.00
17/11/2010,12.29,12.68,12.29,12.67,3221826.00
18/11/2010,12.81,13.08,12.81,13.02,7132336.00
19/11/2010,13.05,13.17,13.01,13.17,3722814.00
22/11/2010,13.32,13.32,12.89,13.17,2383929.00
23/11/2010,12.88,13.25,12.87,13.08,1274672.00
24/11/2010,13.04,13.18,12.76,12.87,2416013.00
25/11/2010,12.81,13.02,12.71,13.02,819781.00
26/11/2010,12.72,13.02,12.68,13.02,2560770.00
29/11/2010,12.87,12.91,12.76,12.83,3094438.00
30/11/2010,12.67,12.87,12.67,12.71,6996778.00
01/12/2010,12.90,13.09,12.81,12.98,5529334.00
02/12/2010,13.02,13.08,12.92,12.96,1097803.00
03/12/2010,13.02,13.32,13.02,13.32,15332003.00
06/12/2010,13.29,13.33,12.90,13.17,3938936.00
07/12/2010,13.17,13.55,13.03,13.03,10490585.00
08/12/2010,13.29,13.29,12.82,13.09,3433722.00
09/12/2010,13.26,13.33,12.83,13.13,5848503.00
10/12/2010,13.29,13.29,13.08,13.17,3507674.00
13/12/2010,13.29,13.29,12.91,13.24,4648438.00
14/12/2010,13.23,13.63,13.08,13.63,13389721.00
15/12/2010,13.56,14.28,13.56,13.79,15191971.00
16/12/2010,14.05,14.08,13.50,13.60,5422976.00
17/12/2010,13.67,13.88,13.25,13.28,15477897.00
20/12/2010,13.39,13.49,13.04,13.31,7687053.00
21/12/2010,13.34,13.37,12.92,13.05,11240979.00
22/12/2010,13.35,13.49,12.98,13.18,9093245.00
23/12/2010,13.41,13.49,12.98,13.13,6056832.00
27/12/2010,13.22,13.66,12.95,13.14,3415247.00
28/12/2010,13.32,13.35,12.77,12.96,3361740.00
29/12/2010,12.99,12.99,12.56,12.67,4658694.00
30/12/2010,12.77,12.77,12.31,12.31,5985674.00
03/01/2011,12.39,13.04,12.38,12.83,4995505.00
04/01/2011,12.81,13.04,12.79,12.86,2843404.00
05/01/2011,12.86,12.86,12.55,12.75,2564361.00
06/01/2011,12.77,12.86,12.53,12.86,1707359.00
07/01/2011,12.77,12.77,12.50,12.55,1508610.00
10/01/2011,12.69,13.04,12.56,13.04,742019.00
11/01/2011,13.03,13.04,12.70,12.74,9171443.00
12/01/2011,12.75,12.89,12.54,12.71,1424124.00
13/01/2011,12.72,12.86,12.62,12.77,1202735.00
14/01/2011,12.61,12.77,12.46,12.55,1205137.00
17/01/2011,12.72,12.77,12.54,12.72,271130.00
18/01/2011,12.87,12.90,12.36,12.67,16237506.00
19/01/2011,12.76,12.77,12.34,12.46,1542828.00
20/01/2011,12.45,12.45,12.04,12.08,2724965.00
21/01/2011,12.31,12.31,12.07,12.08,16550469.00
24/01/2011,12.22,12.45,11.86,11.94,2591233.00
26/01/2011,11.94,12.29,11.76,11.90,13609528.00
27/01/2011,11.91,11.94,11.44,11.67,48097690.00
28/01/2011,11.63,11.93,10.95,11.11,5280433.00
31/01/2011,11.11,11.30,10.80,10.94,10398495.00
01/02/2011,10.94,11.23,10.89,11.06,5240386.00
02/02/2011,11.23,11.24,10.80,10.87,12276283.00
03/02/2011,10.90,11.35,10.65,10.76,3198960.00
04/02/2011,10.80,11.09,10.49,10.58,9944913.00
07/02/2011,10.76,11.17,10.49,10.71,5353248.00
08/02/2011,10.85,10.85,10.39,10.52,27068848.00
09/02/2011,10.76,10.76,10.23,10.30,6535696.00
10/02/2011,10.39,10.72,10.03,10.59,23837361.00
11/02/2011,10.60,11.03,10.60,10.96,5443210.00
14/02/2011,11.11,11.34,10.99,11.08,5497586.00
15/02/2011,11.12,11.20,11.03,11.08,3496264.00
16/02/2011,11.12,11.26,10.99,11.16,5063699.00
17/02/2011,11.17,11.30,11.00,11.03,5705663.00
18/02/2011,11.03,11.49,10.78,11.49,3760663.00
21/02/2011,11.49,11.74,11.13,11.22,2301724.00
22/02/2011,11.17,11.49,11.13,11.49,2487198.00
23/02/2011,11.40,11.48,11.03,11.04,11153601.00
24/02/2011,11.12,11.12,11.03,11.08,3771118.00
25/02/2011,11.22,11.31,11.01,11.12,3761978.00
28/02/2011,11.22,11.71,11.08,11.58,6161476.00
01/03/2011,11.58,11.84,11.40,11.76,4800874.00
02/03/2011,11.75,11.79,11.32,11.40,4190981.00
03/03/2011,11.63,11.72,11.45,11.64,3175448.00
04/03/2011,11.64,11.64,11.32,11.40,1417988.00
09/03/2011,11.40,11.51,11.02,11.02,4991406.00
10/03/2011,11.03,11.17,10.67,10.71,7233394.00
11/03/2011,10.72,11.03,10.72,10.99,3488108.00
14/03/2011,11.03,11.16,10.81,11.03,7331114.00
15/03/2011,11.03,11.22,10.80,10.90,7783152.00
16/03/2011,10.96,11.16,10.96,11.03,2629366.00
17/03/2011,11.08,11.40,11.03,11.40,2155575.00
18/03/2011,11.40,11.40,11.11,11.35,3393121.00
21/03/2011,11.40,11.40,11.26,11.31,1802927.00
22/03/2011,11.38,11.75,11.27,11.63,3513017.00
23/03/2011,11.75,11.75,11.39,11.63,4450080.00
24/03/2011,11.63,11.99,11.35,11.72,5228518.00
25/03/2011,11.76,11.95,11.49,11.90,1536253.00
28/03/2011,11.86,11.86,11.55,11.83,1340293.00
29/03/2011,11.88,11.88,11.52,11.59,2885447.00
30/03/2011,11.59,11.77,11.59,11.72,2826075.00
31/03/2011,11.73,12.13,11.64,11.68,4867416.00
01/04/2011,11.80,12.20,11.80,12.20,4076736.00
04/04/2011,12.18,12.45,12.04,12.36,4741572.00
05/04/2011,12.36,12.47,11.81,11.81,5235991.00
06/04/2011,11.82,11.97,11.53,11.53,105865577.00
07/04/2011,11.53,11.70,11.44,11.53,8254128.00
08/04/2011,11.64,11.64,11.36,11.44,2782484.00
11/04/2011,11.41,11.57,11.19,11.46,6254095.00
12/04/2011,11.40,11.51,11.17,11.51,3864227.00
13/04/2011,11.35,11.47,11.22,11.37,7807446.00
14/04/2011,11.37,11.54,11.28,11.42,30091185.00
15/04/2011,11.53,11.53,11.24,11.46,3337877.00
18/04/2011,11.32,11.34,10.98,11.07,9545738.00
19/04/2011,11.02,11.06,10.65,10.65,4854959.00
20/04/2011,10.73,10.73,10.24,10.54,7137003.00
25/04/2011,10.73,10.73,10.54,10.64,3083177.00
