date,open,high,low,close,vol
18/12/2009,53.42,55.43,52.44,55.43,61488953.00
21/12/2009,55.43,55.63,51.76,51.76,59336917.00
22/12/2009,52.85,53.56,51.49,52.10,74898150.00
23/12/2009,52.88,53.22,51.62,52.54,24132248.00
28/12/2009,53.70,54.41,53.05,54.41,31586280.00
29/12/2009,54.75,54.75,53.32,54.58,15386038.00
30/12/2009,54.24,55.43,53.80,55.43,17085502.00
04/01/2010,56.25,57.98,55.53,57.98,39094265.00
05/01/2010,58.29,62.88,58.05,61.96,79333829.00
06/01/2010,61.52,63.22,59.21,59.75,78531111.00
07/01/2010,59.85,59.85,58.02,58.93,68732813.00
08/01/2010,58.66,60.06,58.25,59.51,35080549.00
11/01/2010,60.06,60.84,58.66,58.83,38481778.00
12/01/2010,57.98,58.05,56.96,57.78,54467088.00
13/01/2010,57.88,58.29,56.18,57.81,43615150.00
14/01/2010,54.99,55.57,54.07,54.78,193764537.00
15/01/2010,54.58,56.01,54.24,55.09,72093811.00
18/01/2010,55.09,55.26,54.65,54.89,31540817.00
19/01/2010,54.41,56.28,53.08,55.94,54726520.00
20/01/2010,55.12,56.31,54.61,54.75,45840344.00
21/01/2010,54.82,55.29,52.44,53.25,57072162.00
22/01/2010,52.10,53.08,50.36,50.98,59378137.00
26/01/2010,50.64,52.74,49.82,51.59,63768555.00
27/01/2010,51.25,52.54,51.04,51.35,62382988.00
28/01/2010,52.03,52.23,49.62,51.52,43507494.00
29/01/2010,51.69,52.13,50.36,51.35,60638824.00
01/02/2010,51.89,54.04,51.01,53.56,59600872.00
02/02/2010,54.04,54.41,53.05,54.41,33896407.00
03/02/2010,54.75,55.94,53.73,55.43,42580547.00
04/02/2010,54.89,55.36,51.15,52.71,43142626.00
05/02/2010,51.69,53.36,51.04,53.22,45135665.00
08/02/2010,53.22,54.24,51.42,51.52,64339964.00
09/02/2010,52.71,53.05,50.67,51.01,72387367.00
10/02/2010,51.52,52.00,50.77,51.21,42674490.00
11/02/2010,51.21,51.96,50.81,51.52,48468400.00
12/02/2010,51.38,53.05,50.94,53.05,26747591.00
17/02/2010,53.73,54.58,52.06,52.54,48641156.00
18/02/2010,52.68,53.22,51.52,52.71,45624488.00
19/02/2010,52.71,53.90,52.30,53.73,31740363.00
22/02/2010,54.10,54.10,53.02,53.63,43200264.00
23/02/2010,53.12,54.95,53.08,54.31,38926862.00
24/02/2010,54.75,55.40,52.64,53.56,35115562.00
25/02/2010,52.44,53.93,51.93,53.36,28206591.00
26/02/2010,53.12,54.82,52.20,54.82,36673284.00
01/03/2010,55.06,55.94,54.14,55.94,31044122.00
02/03/2010,56.52,56.72,55.12,55.97,33900421.00
03/03/2010,56.28,56.28,53.39,54.58,44634848.00
04/03/2010,54.41,54.55,53.05,54.21,23118312.00
05/03/2010,54.89,55.40,54.51,55.02,19930526.00
08/03/2010,55.26,57.47,54.51,57.44,54758421.00
09/03/2010,56.72,59.51,55.87,58.39,79209268.00
10/03/2010,58.49,58.83,57.16,57.44,49876494.00
11/03/2010,57.27,57.61,55.50,56.01,56861529.00
12/03/2010,56.55,56.89,55.50,56.65,50370589.00
15/03/2010,56.31,56.69,54.89,55.36,37994199.00
16/03/2010,55.02,56.25,55.02,55.40,33255722.00
17/03/2010,55.57,55.97,54.00,54.82,40684044.00
18/03/2010,54.95,55.60,53.83,54.75,34791196.00
19/03/2010,54.99,55.91,54.75,55.60,34199427.00
22/03/2010,55.06,55.57,54.44,55.43,23754625.00
23/03/2010,55.43,56.52,55.43,56.11,21554034.00
24/03/2010,55.50,56.62,55.09,55.50,25528036.00
25/03/2010,56.25,56.69,54.95,55.43,29767684.00
26/03/2010,55.46,55.91,54.14,54.92,28326527.00
29/03/2010,55.16,56.21,55.09,56.11,22644879.00
30/03/2010,56.59,56.59,55.57,55.94,34016763.00
31/03/2010,55.43,56.28,54.55,55.43,42961318.00
01/04/2010,55.94,56.25,54.44,55.09,51504034.00
05/04/2010,55.26,55.43,53.15,53.73,54938358.00
06/04/2010,53.73,54.07,53.08,54.00,85570686.00
07/04/2010,53.93,54.07,53.49,53.66,56321097.00
08/04/2010,54.17,55.12,53.73,55.12,68254215.00
09/04/2010,55.16,55.67,54.27,54.72,31205033.00
12/04/2010,54.41,54.68,53.25,53.87,34868822.00
13/04/2010,54.17,54.34,53.19,53.63,23502297.00
14/04/2010,53.39,53.87,52.23,52.71,54718091.00
15/04/2010,52.81,52.81,51.96,52.03,30293158.00
16/04/2010,52.00,52.64,51.55,52.64,36022598.00
19/04/2010,52.47,52.47,51.15,51.62,64069736.00
20/04/2010,51.89,52.30,51.45,52.00,37092829.00
22/04/2010,51.69,54.07,51.32,54.07,55485113.00
23/04/2010,53.97,54.38,52.81,53.97,42551753.00
26/04/2010,53.87,54.07,53.42,54.07,16743846.00
27/04/2010,53.36,53.87,52.10,52.78,43656087.00
28/04/2010,53.22,53.39,51.21,52.51,47120257.00
29/04/2010,52.71,53.32,52.13,53.05,31159642.00
30/04/2010,52.71,53.80,52.27,53.80,38434119.00
03/05/2010,53.59,53.66,52.37,52.91,28910589.00
04/05/2010,52.06,52.47,50.81,51.86,63192297.00
05/05/2010,51.04,52.10,50.70,50.77,60227231.00
06/05/2010,50.67,51.21,45.91,48.12,92353141.00
07/05/2010,48.12,49.14,46.42,49.14,45895435.00
10/05/2010,51.01,51.93,50.33,50.33,38972283.00
11/05/2010,49.99,51.42,49.65,51.32,22178712.00
12/05/2010,51.72,51.72,49.68,49.99,30128544.00
13/05/2010,50.33,50.36,48.63,49.04,26685123.00
14/05/2010,48.63,49.04,47.71,48.22,19361907.00
17/05/2010,48.19,48.60,46.42,47.37,24937578.00
18/05/2010,47.54,48.15,45.91,47.27,35199701.00
19/05/2010,46.93,46.93,44.75,45.94,45385263.00
20/05/2010,44.21,44.72,43.46,44.38,69920624.00
21/05/2010,44.85,46.45,43.80,45.57,38116967.00
24/05/2010,44.89,45.74,44.31,44.72,32154719.00
25/05/2010,42.37,44.99,42.34,44.99,64257572.00
26/05/2010,45.06,47.58,44.89,47.58,72386797.00
27/05/2010,47.51,50.33,46.79,49.51,46745056.00
28/05/2010,49.11,50.19,48.46,49.99,32340888.00
31/05/2010,49.82,49.99,48.49,49.28,17210608.00
01/06/2010,48.32,49.55,48.19,48.63,19257462.00
02/06/2010,48.46,49.79,48.32,48.87,37364854.00
04/06/2010,48.26,49.45,48.22,49.31,65919730.00
07/06/2010,48.53,49.62,48.53,48.80,21645770.00
08/06/2010,48.90,49.55,47.51,47.95,58011482.00
09/06/2010,48.09,48.46,47.81,47.81,25483911.00
10/06/2010,48.29,49.31,48.12,48.80,75134217.00
11/06/2010,48.22,50.50,47.88,50.16,24626712.00
14/06/2010,50.43,50.64,49.17,49.82,31080307.00
15/06/2010,50.06,50.98,49.65,50.84,29229616.00
16/06/2010,50.47,51.62,50.23,51.08,36745646.00
17/06/2010,51.08,51.96,50.87,51.69,26716684.00
18/06/2010,51.52,52.30,51.08,51.35,14693294.00
21/06/2010,52.06,52.34,51.25,51.35,17208506.00
22/06/2010,51.35,52.20,51.15,51.52,33189614.00
23/06/2010,51.86,51.86,50.60,51.01,24730106.00
24/06/2010,50.53,51.38,49.89,50.84,28867323.00
25/06/2010,51.35,51.49,50.43,51.45,15163806.00
28/06/2010,51.55,51.69,50.67,51.52,8069754.00
29/06/2010,50.53,51.35,48.56,48.56,138401815.00
30/06/2010,48.77,50.47,47.71,48.29,34307842.00
01/07/2010,48.97,49.92,47.98,48.46,102558126.00
02/07/2010,48.26,49.24,48.12,49.14,18590173.00
05/07/2010,48.94,49.72,48.15,48.63,9053419.00
06/07/2010,49.14,49.65,48.77,49.31,41025485.00
07/07/2010,49.45,50.74,48.83,49.48,30536380.00
08/07/2010,49.65,50.06,48.63,49.28,26977494.00
12/07/2010,49.07,49.96,48.36,48.63,26626395.00
13/07/2010,49.07,51.18,48.83,50.98,26965259.00
14/07/2010,50.84,51.04,49.34,49.68,11271480.00
15/07/2010,49.92,51.25,49.04,51.11,20605036.00
16/07/2010,51.69,51.69,51.01,51.42,65973707.00
19/07/2010,51.11,51.69,51.11,51.69,27200981.00
20/07/2010,51.55,52.71,51.21,52.71,30324345.00
