date,open,high,low,close,vol
18/12/2009,6.50,6.50,6.32,6.38,4368310.00
21/12/2009,6.48,6.48,6.20,6.22,3985570.00
22/12/2009,6.24,6.44,6.24,6.44,7502109.00
23/12/2009,6.52,6.52,6.35,6.42,3335467.00
28/12/2009,6.42,6.48,6.32,6.37,2785082.00
29/12/2009,6.39,6.43,6.32,6.39,2681878.00
30/12/2009,6.37,6.64,6.33,6.60,5479594.00
04/01/2010,6.69,6.69,6.54,6.67,5747402.00
05/01/2010,6.65,6.72,6.61,6.71,8325580.00
06/01/2010,6.64,6.78,6.64,6.75,8822864.00
07/01/2010,6.73,6.73,6.59,6.62,4673955.00
08/01/2010,6.61,6.73,6.44,6.73,12551096.00
11/01/2010,6.78,6.80,6.51,6.56,9368269.00
12/01/2010,6.51,6.74,6.42,6.74,14924212.00
13/01/2010,6.67,6.74,6.56,6.71,7725447.00
14/01/2010,6.67,6.73,6.47,6.52,7253184.00
15/01/2010,6.54,6.59,6.37,6.37,6744554.00
18/01/2010,6.41,6.56,6.36,6.52,4594766.00
19/01/2010,6.51,6.59,6.44,6.58,6087101.00
20/01/2010,6.53,6.59,6.39,6.44,4240446.00
21/01/2010,6.44,6.55,6.22,6.23,5448888.00
22/01/2010,6.14,6.46,6.03,6.41,6051534.00
26/01/2010,6.46,6.51,6.27,6.44,4801538.00
27/01/2010,6.44,6.50,6.38,6.46,2750660.00
28/01/2010,6.50,6.67,6.39,6.46,7213639.00
29/01/2010,6.48,6.59,6.44,6.48,2090960.00
01/02/2010,6.49,6.54,6.42,6.43,1698979.00
02/02/2010,6.54,6.54,6.42,6.54,2606911.00
03/02/2010,6.53,6.64,6.50,6.61,2591755.00
04/02/2010,6.52,6.60,6.31,6.43,7821661.00
05/02/2010,6.27,6.42,6.06,6.20,7710023.00
08/02/2010,6.21,6.31,5.98,6.11,4399511.00
09/02/2010,6.18,6.34,6.13,6.20,2186658.00
10/02/2010,6.28,6.29,6.06,6.23,3262943.00
11/02/2010,6.18,6.28,6.11,6.18,4781460.00
12/02/2010,6.15,6.29,6.10,6.16,4402434.00
17/02/2010,6.27,6.33,6.25,6.32,6305988.00
18/02/2010,6.32,6.47,6.28,6.45,10397089.00
19/02/2010,6.43,6.52,6.22,6.46,4827935.00
22/02/2010,6.39,6.56,6.39,6.52,2709660.00
23/02/2010,6.52,6.52,6.36,6.45,2537253.00
24/02/2010,6.52,6.52,6.40,6.52,514959.00
25/02/2010,6.44,6.52,6.31,6.48,1231434.00
26/02/2010,6.42,6.46,6.35,6.37,1350276.00
01/03/2010,6.37,6.47,6.32,6.34,1505791.00
02/03/2010,6.45,6.55,6.38,6.39,3992028.00
03/03/2010,6.37,6.52,6.34,6.43,2689833.00
04/03/2010,6.46,6.46,6.23,6.23,2883958.00
05/03/2010,6.35,6.35,6.13,6.14,9019596.00
08/03/2010,6.20,6.32,6.16,6.22,4651893.00
09/03/2010,6.22,6.31,6.14,6.21,3698096.00
10/03/2010,6.25,6.29,6.20,6.20,2425528.00
11/03/2010,6.20,6.21,6.15,6.18,1390361.00
12/03/2010,6.26,6.26,6.09,6.14,1409078.00
15/03/2010,6.10,6.14,6.01,6.13,2337455.00
16/03/2010,6.14,6.15,6.04,6.12,3823905.00
17/03/2010,6.18,6.21,6.01,6.06,3971169.00
18/03/2010,6.11,6.12,5.95,5.99,1922000.00
19/03/2010,6.03,6.08,6.01,6.07,2247381.00
22/03/2010,6.06,6.07,5.99,6.01,1312147.00
23/03/2010,6.01,6.07,5.84,5.93,4167425.00
24/03/2010,5.97,5.97,5.83,5.89,1579491.00
25/03/2010,5.90,5.93,5.79,5.84,2982130.00
26/03/2010,5.80,5.82,5.59,5.74,5061484.00
29/03/2010,5.78,5.85,5.67,5.84,5032203.00
30/03/2010,5.82,5.91,5.79,5.85,5994972.00
31/03/2010,5.84,5.92,5.81,5.81,6932157.00
01/04/2010,5.85,5.89,5.80,5.81,3050761.00
05/04/2010,5.95,6.01,5.86,5.89,7949371.00
06/04/2010,5.95,6.08,5.91,6.07,6326418.00
07/04/2010,6.06,6.11,6.01,6.11,3980351.00
08/04/2010,6.08,6.25,6.06,6.17,8506143.00
09/04/2010,6.28,6.35,6.21,6.21,6665295.00
12/04/2010,6.30,6.31,6.11,6.13,4340900.00
13/04/2010,6.15,6.16,5.92,6.07,7075998.00
14/04/2010,6.04,6.08,6.02,6.06,1116546.00
15/04/2010,6.07,6.28,6.06,6.26,4831446.00
