date,open,high,low,close,vol
18/12/2009,4.84,4.84,4.61,4.65,19487072.00
21/12/2009,4.69,4.79,4.49,4.51,20348130.00
22/12/2009,4.58,4.64,4.46,4.58,23283228.00
23/12/2009,4.63,4.66,4.55,4.58,20720655.00
28/12/2009,4.61,4.81,4.61,4.79,11674381.00
29/12/2009,4.80,4.88,4.78,4.78,12480247.00
30/12/2009,4.83,4.92,4.79,4.92,7913368.00
04/01/2010,4.97,5.01,4.81,4.97,8699639.00
05/01/2010,4.96,5.10,4.88,5.03,16139883.00
06/01/2010,5.06,5.50,5.04,5.42,22410091.00
07/01/2010,5.38,5.38,5.14,5.20,8742616.00
08/01/2010,5.20,5.36,5.11,5.24,7579414.00
11/01/2010,5.36,5.37,5.20,5.27,9927993.00
12/01/2010,5.16,5.42,5.16,5.42,9836959.00
13/01/2010,5.46,5.66,5.40,5.46,12306129.00
14/01/2010,5.67,5.75,5.47,5.47,20893382.00
15/01/2010,5.57,5.57,5.42,5.42,12605673.00
18/01/2010,5.54,5.65,5.48,5.59,8108406.00
19/01/2010,5.57,5.67,5.48,5.60,17470088.00
20/01/2010,5.58,5.63,5.37,5.39,13943898.00
21/01/2010,5.45,5.52,5.12,5.18,14032514.00
22/01/2010,5.13,5.21,5.05,5.17,13823737.00
26/01/2010,5.17,5.45,5.06,5.22,19973508.00
27/01/2010,5.31,5.31,4.98,5.04,6906591.00
28/01/2010,5.07,5.14,4.85,4.92,9516812.00
29/01/2010,4.97,5.17,4.95,5.03,26973509.00
01/02/2010,5.15,5.22,4.86,5.22,12913978.00
02/02/2010,5.25,5.33,5.12,5.18,13896878.00
03/02/2010,5.22,5.25,5.10,5.10,6625320.00
04/02/2010,5.11,5.11,4.79,4.81,6031791.00
05/02/2010,4.71,4.85,4.48,4.78,23181020.00
08/02/2010,4.84,4.91,4.69,4.71,12626745.00
09/02/2010,4.80,4.95,4.80,4.88,14410374.00
10/02/2010,4.93,5.09,4.84,5.04,6198954.00
11/02/2010,5.08,5.22,5.04,5.22,13698239.00
12/02/2010,5.23,5.24,5.04,5.18,20988523.00
17/02/2010,5.30,5.35,5.16,5.16,4325985.00
18/02/2010,5.24,5.28,5.13,5.28,6631051.00
19/02/2010,5.22,5.27,5.16,5.19,6134230.00
22/02/2010,5.22,5.27,5.06,5.09,9276978.00
23/02/2010,5.11,5.11,4.90,4.92,12907799.00
24/02/2010,4.93,4.97,4.84,4.97,17169037.00
25/02/2010,4.94,5.01,4.87,4.93,10150389.00
26/02/2010,4.92,5.02,4.92,5.02,15352936.00
01/03/2010,5.03,5.18,5.03,5.18,14287487.00
02/03/2010,5.23,5.27,5.18,5.23,10823981.00
