date,open,high,low,close,vol
18/12/2009,12.33,12.71,12.19,12.44,38791120.00
21/12/2009,12.60,13.12,12.42,12.85,68902004.00
22/12/2009,12.85,13.12,12.85,12.92,37781018.00
23/12/2009,12.96,13.06,12.78,12.82,21501268.00
28/12/2009,12.84,12.96,12.74,12.81,8444067.00
29/12/2009,12.96,13.00,12.79,13.00,17352332.00
30/12/2009,12.98,13.24,12.85,13.21,16288263.00
04/01/2010,13.10,13.30,13.10,13.13,35985936.00
05/01/2010,13.13,13.26,12.96,13.26,30420867.00
06/01/2010,13.16,13.24,13.03,13.19,18680594.00
07/01/2010,13.10,13.15,13.00,13.10,25282620.00
08/01/2010,13.03,13.10,12.58,12.97,27017549.00
11/01/2010,12.97,13.24,12.97,13.10,38005437.00
12/01/2010,12.99,13.19,12.94,13.13,21849538.00
13/01/2010,13.02,13.24,12.97,13.21,27957554.00
14/01/2010,13.18,13.19,12.85,12.85,21914443.00
15/01/2010,12.99,12.99,12.64,12.66,19781961.00
18/01/2010,12.77,12.83,12.66,12.72,9460684.00
19/01/2010,12.71,12.85,12.61,12.79,23754292.00
20/01/2010,12.63,12.74,12.47,12.52,22816706.00
21/01/2010,12.61,12.66,12.11,12.11,35264160.00
22/01/2010,12.11,12.38,11.92,12.00,36914668.00
26/01/2010,12.10,12.41,11.97,12.38,74966164.00
27/01/2010,12.19,12.44,12.08,12.16,17364082.00
28/01/2010,12.36,12.57,12.26,12.38,61047181.00
29/01/2010,12.44,12.63,12.37,12.45,46647292.00
01/02/2010,12.43,12.63,12.16,12.18,53914792.00
02/02/2010,12.24,12.36,12.11,12.16,107092154.00
03/02/2010,12.17,12.41,12.17,12.40,27777187.00
04/02/2010,12.40,12.40,11.57,11.63,130731198.00
05/02/2010,11.33,11.47,10.84,11.20,74199639.00
08/02/2010,11.26,11.63,11.20,11.44,39674555.00
09/02/2010,11.60,11.88,11.54,11.75,47077847.00
10/02/2010,11.73,11.91,11.66,11.89,14255106.00
11/02/2010,11.89,12.31,11.89,12.14,32615712.00
12/02/2010,12.05,12.15,11.72,12.11,53765661.00
17/02/2010,12.16,12.43,12.16,12.33,14351861.00
18/02/2010,12.27,12.33,12.14,12.26,23587641.00
19/02/2010,12.17,12.25,12.11,12.19,10585826.00
22/02/2010,12.16,12.21,12.03,12.14,13268221.00
23/02/2010,12.16,12.16,11.80,11.80,30577237.00
24/02/2010,11.84,11.93,11.67,11.70,21957473.00
25/02/2010,11.67,11.83,11.34,11.72,34218358.00
26/02/2010,11.72,11.94,11.72,11.83,64624950.00
01/03/2010,11.80,12.01,11.73,11.75,19868985.00
02/03/2010,11.76,11.86,11.67,11.67,16559847.00
03/03/2010,11.70,11.89,11.69,11.78,33930416.00
04/03/2010,11.78,12.02,11.78,11.99,37461773.00
05/03/2010,12.00,12.14,11.98,12.11,64713820.00
08/03/2010,12.08,12.34,12.00,12.26,51178373.00
09/03/2010,12.21,12.40,12.06,12.06,40850237.00
10/03/2010,12.12,12.29,12.06,12.25,33159669.00
11/03/2010,12.20,12.20,12.06,12.08,13601993.00
12/03/2010,12.12,12.22,11.94,11.94,9034613.00
15/03/2010,11.89,11.98,11.65,11.70,28505537.00
16/03/2010,11.82,11.85,11.70,11.74,40649161.00
17/03/2010,11.79,11.95,11.78,11.83,36297020.00
18/03/2010,11.82,12.10,11.82,11.98,34859218.00
19/03/2010,11.97,12.16,11.93,12.11,115849315.00
22/03/2010,12.05,12.14,11.94,12.10,44665118.00
23/03/2010,12.06,12.22,11.83,11.89,22782015.00
24/03/2010,11.86,11.89,11.63,11.67,23690682.00
25/03/2010,11.73,11.84,11.59,11.60,35758317.00
26/03/2010,11.67,11.80,11.59,11.76,17189308.00
29/03/2010,11.70,11.96,11.70,11.81,35205649.00
30/03/2010,11.74,12.21,11.74,12.20,40601843.00
31/03/2010,12.17,12.24,12.02,12.21,37843554.00
01/04/2010,12.23,12.49,12.21,12.37,46995926.00
05/04/2010,12.39,12.43,12.23,12.25,34128551.00
06/04/2010,12.15,12.23,12.03,12.11,24021182.00
07/04/2010,12.01,12.07,11.95,11.95,35787672.00
08/04/2010,11.94,12.26,11.90,12.23,60964524.00
09/04/2010,12.28,12.31,12.06,12.12,21389256.00
12/04/2010,12.06,12.14,11.89,11.89,19323195.00
13/04/2010,11.92,12.01,11.78,11.84,22409961.00
14/04/2010,11.80,11.89,11.70,11.78,39001454.00
15/04/2010,11.79,11.81,11.64,11.73,34638018.00
16/04/2010,11.78,11.78,11.37,11.50,61135986.00
19/04/2010,11.42,11.61,11.19,11.20,32772638.00
20/04/2010,11.28,11.34,11.23,11.28,21715333.00
22/04/2010,11.30,11.45,11.19,11.24,54936106.00
23/04/2010,11.28,11.31,11.22,11.30,18747801.00
26/04/2010,11.40,11.40,10.98,11.01,46599760.00
27/04/2010,10.93,10.99,10.68,10.68,33955081.00
28/04/2010,10.73,10.80,10.37,10.48,77574237.00
29/04/2010,10.67,11.01,10.67,10.90,88840296.00
30/04/2010,10.97,11.25,10.97,11.16,73854803.00
03/05/2010,11.08,11.34,11.01,11.19,36622061.00
04/05/2010,10.73,11.17,10.68,11.11,64536029.00
05/05/2010,10.89,11.32,10.84,11.09,51053416.00
