date,open,high,low,close,vol
22/11/2017,52.13,54.48,52.13,54.29,9870738.00
23/11/2017,54.31,54.31,52.96,53.86,22288777.00
24/11/2017,53.86,54.02,53.43,53.51,14390587.00
27/11/2017,53.75,53.75,51.98,52.96,23061153.00
28/11/2017,53.63,53.63,51.53,51.53,21481923.00
29/11/2017,49.37,49.83,48.59,49.60,40531526.00
30/11/2017,49.60,49.60,47.13,47.58,35948898.00
01/12/2017,47.57,48.30,45.94,47.57,42375466.00
04/12/2017,47.58,47.58,46.87,46.87,17991251.00
05/12/2017,47.12,47.55,46.95,47.08,10747404.00
06/12/2017,47.17,47.17,46.77,47.04,10304651.00
07/12/2017,47.04,47.58,46.73,47.22,23858490.00
08/12/2017,47.47,48.30,47.26,47.77,18831182.00
11/12/2017,48.48,49.37,48.14,48.62,80419080.00
12/12/2017,48.82,51.06,47.86,49.55,41105788.00
13/12/2017,51.17,51.17,48.80,49.55,76687993.00
14/12/2017,49.57,49.94,49.37,49.55,115859225.00
15/12/2017,49.82,51.69,49.29,51.17,39376038.00
18/12/2017,51.71,52.06,50.77,51.62,41198756.00
19/12/2017,51.62,51.93,50.55,51.15,23927808.00
20/12/2017,51.21,52.33,50.95,52.33,10937769.00
21/12/2017,51.62,52.07,51.44,51.88,20886743.00
22/12/2017,52.16,52.19,51.00,51.24,14965006.00
26/12/2017,51.24,52.74,51.24,52.74,9441545.00
27/12/2017,52.88,53.09,52.37,52.76,15658383.00
28/12/2017,52.58,53.85,52.58,53.77,80378325.00
02/01/2018,54.02,54.48,53.70,54.19,43826119.00
03/01/2018,54.26,54.38,53.36,53.72,20776152.00
04/01/2018,53.75,54.02,52.96,53.29,15778171.00
05/01/2018,53.30,54.20,52.59,53.70,21558801.00
08/01/2018,53.74,53.77,53.30,53.37,10440510.00
09/01/2018,53.59,53.89,51.44,52.09,21418023.00
10/01/2018,52.12,52.54,51.46,51.84,47255249.00
11/01/2018,51.84,52.27,51.75,52.01,13286338.00
12/01/2018,52.01,52.40,50.73,51.40,33737636.00
15/01/2018,51.73,52.08,51.59,51.94,13594686.00
16/01/2018,52.24,52.24,51.10,51.31,17205830.00
17/01/2018,51.43,51.66,50.53,50.63,49388642.00
18/01/2018,50.78,50.89,50.17,50.76,16809466.00
19/01/2018,50.99,50.99,50.46,50.53,28652909.00
22/01/2018,50.80,50.93,50.16,50.34,22379743.00
23/01/2018,50.54,50.66,49.40,49.79,31073181.00
24/01/2018,50.27,52.82,50.27,52.63,51396739.00
26/01/2018,52.85,54.15,52.85,53.73,72697902.00
29/01/2018,53.97,53.97,52.65,53.28,79780328.00
30/01/2018,53.18,53.28,52.40,52.82,48009690.00
31/01/2018,53.29,53.72,53.28,53.38,15260380.00
01/02/2018,53.59,53.92,53.40,53.60,11195336.00
02/02/2018,53.35,53.35,52.39,53.06,24328444.00
05/02/2018,52.93,53.65,52.47,52.77,40549307.00
06/02/2018,52.36,53.25,51.85,52.62,23150928.00
07/02/2018,52.89,53.71,52.41,52.62,15282671.00
08/02/2018,52.87,53.27,52.00,52.10,9117353.00
09/02/2018,52.10,52.82,50.99,51.35,30222066.00
