date,open,high,low,close,vol
18/12/2009,8.32,8.39,8.21,8.39,12193971.00
21/12/2009,8.39,8.47,8.25,8.39,7575198.00
22/12/2009,8.44,8.49,8.30,8.47,5946838.00
23/12/2009,8.47,8.54,8.32,8.39,9614005.00
28/12/2009,8.48,8.48,8.16,8.47,4071226.00
29/12/2009,8.39,8.55,8.37,8.55,4489110.00
30/12/2009,8.38,8.77,8.38,8.77,12163329.00
04/01/2010,8.84,8.84,8.48,8.66,12080651.00
05/01/2010,8.73,8.81,8.56,8.68,9322171.00
06/01/2010,8.68,8.68,8.52,8.67,12641665.00
07/01/2010,8.56,8.60,8.47,8.53,10845600.00
08/01/2010,8.54,8.78,8.41,8.68,21025504.00
11/01/2010,8.67,8.77,8.65,8.74,12381781.00
12/01/2010,8.66,8.66,8.49,8.57,10885160.00
13/01/2010,8.57,8.67,8.48,8.67,21376149.00
14/01/2010,8.56,8.70,8.52,8.55,7080719.00
15/01/2010,8.54,8.61,8.43,8.55,11499867.00
18/01/2010,8.55,8.62,8.33,8.33,4963492.00
19/01/2010,8.27,8.44,8.22,8.32,8665502.00
20/01/2010,8.23,8.23,8.01,8.09,18187511.00
21/01/2010,8.12,8.15,7.90,7.92,14185065.00
22/01/2010,8.01,8.02,7.73,7.76,18849660.00
26/01/2010,7.73,7.84,7.73,7.79,14876842.00
27/01/2010,7.82,7.86,7.69,7.72,10689120.00
28/01/2010,7.81,7.98,7.71,7.90,14031045.00
29/01/2010,7.97,8.23,7.95,8.00,17133145.00
01/02/2010,8.00,8.29,7.86,8.22,9277193.00
02/02/2010,8.16,8.29,8.14,8.15,7429394.00
03/02/2010,8.16,8.24,8.06,8.16,5863574.00
04/02/2010,8.16,8.22,7.82,7.84,11851414.00
05/02/2010,7.76,7.94,7.73,7.76,8039196.00
08/02/2010,7.76,7.88,7.72,7.79,8021842.00
09/02/2010,7.91,8.06,7.83,8.00,12225810.00
10/02/2010,8.11,8.14,7.88,7.95,5373613.00
11/02/2010,8.01,8.19,7.84,8.08,8036818.00
12/02/2010,7.91,8.04,7.90,7.90,10424001.00
17/02/2010,8.08,8.24,8.08,8.18,9561889.00
18/02/2010,8.14,8.24,8.04,8.15,7571360.00
19/02/2010,8.15,8.30,8.15,8.22,6082435.00
22/02/2010,8.26,8.34,8.10,8.10,9806763.00
23/02/2010,8.03,8.14,7.95,7.99,9134027.00
24/02/2010,8.05,8.15,7.79,7.86,12305107.00
25/02/2010,7.76,7.95,7.68,7.88,10910277.00
26/02/2010,7.83,7.95,7.74,7.74,9093067.00
01/03/2010,7.86,8.02,7.81,7.89,8558350.00
02/03/2010,7.87,8.02,7.87,7.95,9409612.00
03/03/2010,7.95,8.13,7.91,7.91,13375365.00
04/03/2010,7.88,8.05,7.83,7.85,6057471.00
05/03/2010,7.97,8.09,7.93,8.06,11577239.00
08/03/2010,8.10,8.10,7.94,7.99,8381427.00
09/03/2010,7.91,8.08,7.91,8.05,12301912.00
10/03/2010,8.09,8.17,8.03,8.10,10931612.00
11/03/2010,8.10,8.14,7.96,8.03,7535887.00
12/03/2010,8.18,8.18,7.91,7.91,5474192.00
15/03/2010,7.86,8.05,7.86,7.97,7194863.00
16/03/2010,7.91,8.13,7.91,8.00,3133864.00
17/03/2010,8.08,8.15,7.95,7.99,8262700.00
18/03/2010,7.96,8.17,7.96,8.09,8265231.00
19/03/2010,8.13,8.14,7.98,8.10,6508615.00
22/03/2010,7.99,8.12,7.97,8.02,5563175.00
23/03/2010,8.00,8.09,7.95,7.97,3460052.00
24/03/2010,7.89,8.13,7.87,7.90,6534492.00
25/03/2010,7.95,8.05,7.84,7.87,4563521.00
26/03/2010,7.92,7.95,7.72,7.79,12876878.00
29/03/2010,7.95,8.16,7.95,8.12,19359244.00
30/03/2010,8.11,8.12,7.98,8.09,10735927.00
31/03/2010,8.13,8.27,7.98,8.18,11504589.00
01/04/2010,8.26,8.64,8.12,8.55,13575592.00
05/04/2010,8.60,8.72,8.57,8.62,7870997.00
06/04/2010,8.56,8.67,8.46,8.54,9869302.00
07/04/2010,8.60,8.66,8.46,8.66,15981794.00
08/04/2010,8.60,8.98,8.46,8.86,20493084.00
09/04/2010,8.86,9.05,8.77,8.78,9747532.00
12/04/2010,8.75,8.85,8.59,8.59,10438474.00
13/04/2010,8.61,8.85,8.51,8.78,13876092.00
14/04/2010,8.72,9.03,8.72,8.97,9772162.00
15/04/2010,8.96,8.99,8.81,8.86,9354919.00
16/04/2010,8.75,8.94,8.68,8.81,7896816.00
19/04/2010,8.72,8.86,8.67,8.85,5816333.00
20/04/2010,8.83,8.89,8.73,8.82,7275654.00
22/04/2010,8.56,8.96,8.56,8.72,11844210.00
23/04/2010,8.80,8.84,8.59,8.69,9292182.00
26/04/2010,8.68,8.81,8.65,8.72,10247118.00
27/04/2010,8.67,8.93,8.67,8.67,22600748.00
28/04/2010,8.72,8.83,8.60,8.60,10498032.00
29/04/2010,8.65,8.80,8.59,8.59,10510093.00
30/04/2010,8.59,8.72,8.56,8.56,12692028.00
03/05/2010,8.59,9.13,8.59,8.98,19113628.00
