date,open,high,low,close,vol
29/10/2013,14.65,14.72,14.14,14.24,73033521.00
30/10/2013,14.24,14.67,14.17,14.51,19369335.00
31/10/2013,14.34,14.88,14.34,14.88,21978425.00
01/11/2013,14.88,15.29,14.88,15.13,14740143.00
04/11/2013,15.34,16.08,15.27,16.00,30339538.00
05/11/2013,15.95,16.33,15.81,16.13,26189430.00
06/11/2013,16.04,16.08,15.84,16.04,5272895.00
07/11/2013,16.17,16.57,15.75,16.41,8786814.00
08/11/2013,16.42,16.50,16.18,16.42,7284008.00
11/11/2013,16.41,16.42,16.24,16.33,3573193.00
12/11/2013,16.49,16.49,15.95,16.13,4519495.00
13/11/2013,16.08,16.47,15.77,16.17,6370830.00
14/11/2013,16.33,16.56,16.08,16.50,6346327.00
18/11/2013,16.58,16.67,16.37,16.58,4999221.00
19/11/2013,16.39,16.67,16.25,16.58,3201646.00
21/11/2013,16.35,16.68,16.22,16.57,4789315.00
22/11/2013,16.57,17.09,16.27,16.58,5663486.00
25/11/2013,16.92,16.99,16.40,16.79,7278708.00
26/11/2013,16.79,17.29,16.50,17.20,10667076.00
27/11/2013,17.35,17.73,16.71,17.41,8132935.00
28/11/2013,17.41,17.77,17.00,17.74,5853719.00
29/11/2013,17.70,17.99,17.58,17.74,10797353.00
02/12/2013,17.50,18.14,17.30,17.70,11732078.00
03/12/2013,17.56,17.99,17.34,17.62,11711944.00
04/12/2013,17.98,17.99,17.43,17.74,5501094.00
05/12/2013,17.94,17.94,17.58,17.77,5918745.00
06/12/2013,17.67,17.74,17.40,17.58,9146815.00
09/12/2013,17.43,17.85,17.41,17.41,6483920.00
10/12/2013,17.38,17.73,17.26,17.55,15464847.00
11/12/2013,17.61,17.66,17.49,17.58,6103816.00
12/12/2013,17.65,18.23,17.58,17.95,10202632.00
13/12/2013,17.99,18.39,17.79,18.16,9032735.00
16/12/2013,18.07,18.44,17.91,18.31,6301568.00
17/12/2013,18.24,18.51,18.12,18.24,8190311.00
18/12/2013,18.21,18.53,18.17,18.32,10280713.00
19/12/2013,18.30,18.45,18.21,18.45,12280138.00
