date,open,high,low,close,vol
18/12/2009,5.60,5.88,5.56,5.71,7487137.00
21/12/2009,5.64,5.81,5.64,5.79,3093883.00
22/12/2009,5.78,5.81,5.73,5.81,2400728.00
23/12/2009,5.82,5.87,5.74,5.80,1831575.00
28/12/2009,5.69,5.87,5.69,5.87,1083686.00
29/12/2009,5.82,5.87,5.82,5.87,1472793.00
30/12/2009,5.87,5.94,5.78,5.89,1969758.00
04/01/2010,5.89,5.95,5.79,5.93,2980598.00
05/01/2010,5.88,5.96,5.84,5.96,2125398.00
06/01/2010,5.93,6.29,5.93,6.27,7326921.00
07/01/2010,6.12,6.67,6.11,6.43,7730519.00
08/01/2010,6.40,6.83,6.36,6.83,5015780.00
11/01/2010,6.95,7.21,6.78,7.08,13820318.00
12/01/2010,7.05,7.21,6.67,6.90,20957261.00
13/01/2010,6.90,6.92,6.62,6.87,5833486.00
14/01/2010,6.68,6.91,6.67,6.83,3856742.00
15/01/2010,6.83,7.01,6.47,6.53,3504666.00
18/01/2010,6.61,6.64,6.40,6.63,1999937.00
19/01/2010,6.63,6.81,6.50,6.79,2676430.00
20/01/2010,6.76,6.86,6.55,6.68,3047923.00
21/01/2010,6.68,6.68,6.45,6.68,4881165.00
22/01/2010,6.48,6.71,6.48,6.68,1532330.00
26/01/2010,6.50,6.65,6.39,6.50,4613183.00
27/01/2010,6.58,6.58,6.29,6.49,895458.00
28/01/2010,6.50,6.50,6.32,6.49,1132524.00
29/01/2010,6.50,6.50,6.38,6.50,809339.00
01/02/2010,6.58,6.71,6.50,6.68,1757950.00
02/02/2010,6.68,6.75,6.57,6.61,1817641.00
03/02/2010,6.61,6.64,6.40,6.41,1362515.00
04/02/2010,6.46,6.46,5.96,6.03,2168575.00
05/02/2010,6.00,6.16,5.67,5.91,4475788.00
08/02/2010,6.07,6.07,5.86,5.98,784905.00
09/02/2010,6.00,6.10,5.88,5.92,1174942.00
10/02/2010,5.94,6.03,5.73,5.85,3008503.00
11/02/2010,6.03,6.03,5.68,5.69,2753644.00
12/02/2010,5.71,5.75,5.60,5.63,1401790.00
17/02/2010,5.72,5.84,5.67,5.78,3428093.00
18/02/2010,5.82,5.82,5.67,5.75,1294791.00
19/02/2010,5.69,5.75,5.55,5.69,4432199.00
22/02/2010,5.73,5.80,5.71,5.71,1443861.00
23/02/2010,5.73,5.73,5.56,5.69,1847074.00
24/02/2010,5.67,5.67,5.51,5.53,1466435.00
25/02/2010,5.49,5.53,5.35,5.52,969397.00
26/02/2010,5.56,5.60,5.54,5.54,2244865.00
01/03/2010,5.60,5.69,5.58,5.60,3502047.00
02/03/2010,5.62,5.76,5.55,5.60,1586914.00
03/03/2010,5.62,5.71,5.43,5.49,3046010.00
04/03/2010,5.53,5.58,5.46,5.55,1007232.00
