date,open,high,low,close,vol
29/04/2013,13.04,13.82,13.04,13.19,332832240.00
30/04/2013,13.19,13.47,12.56,13.19,56086019.00
02/05/2013,13.01,13.42,12.70,13.42,6864544.00
03/05/2013,13.41,13.67,13.26,13.67,23681039.00
06/05/2013,13.70,13.85,13.55,13.75,4245076.00
07/05/2013,13.76,14.25,13.74,13.82,10881132.00
08/05/2013,13.85,14.09,13.76,13.85,11979875.00
09/05/2013,13.76,14.10,13.36,13.82,11971584.00
10/05/2013,13.63,13.87,13.19,13.70,4047814.00
13/05/2013,13.48,14.10,13.01,13.36,15724758.00
14/05/2013,13.42,13.42,12.87,13.19,20876170.00
15/05/2013,13.12,13.59,13.01,13.49,15037772.00
16/05/2013,13.51,13.93,13.10,13.76,18281536.00
17/05/2013,13.78,13.86,13.36,13.64,9389964.00
20/05/2013,13.58,13.74,13.30,13.42,7185218.00
21/05/2013,13.39,13.75,13.24,13.73,4986371.00
22/05/2013,13.55,14.63,13.55,14.32,12712752.00
23/05/2013,14.15,14.61,14.13,14.61,5985337.00
24/05/2013,14.51,14.90,14.46,14.73,7490523.00
27/05/2013,14.72,14.73,14.40,14.68,2478142.00
28/05/2013,14.68,14.73,14.45,14.53,4224070.00
29/05/2013,14.46,14.73,13.82,14.33,3857824.00
31/05/2013,14.35,14.35,14.01,14.28,4675637.00
03/06/2013,14.24,14.57,14.09,14.57,5479302.00
04/06/2013,14.43,14.56,14.24,14.33,12438086.00
05/06/2013,14.33,14.96,14.33,14.59,21582935.00
06/06/2013,14.50,14.84,14.37,14.68,13151174.00
07/06/2013,14.61,14.62,14.43,14.58,5743599.00
10/06/2013,14.41,14.68,14.28,14.28,11025775.00
11/06/2013,13.89,14.21,13.62,14.21,3663164.00
12/06/2013,14.12,14.26,13.90,14.05,1496862.00
13/06/2013,13.77,14.34,13.77,14.25,5262867.00
14/06/2013,14.53,14.62,14.06,14.43,1432700.00
17/06/2013,14.41,15.07,14.33,15.07,22040596.00
18/06/2013,15.07,15.42,14.93,15.19,5028240.00
19/06/2013,15.59,15.59,14.80,15.19,11885799.00
20/06/2013,14.76,15.26,14.45,15.22,9677531.00
21/06/2013,15.04,15.19,14.70,14.91,12090136.00
24/06/2013,14.54,14.79,14.16,14.22,15714910.00
25/06/2013,14.38,14.38,13.55,14.17,8844783.00
26/06/2013,14.18,14.22,13.81,13.96,6148904.00
27/06/2013,13.96,14.33,13.54,14.33,10170396.00
28/06/2013,14.14,14.15,13.79,14.05,11949606.00
01/07/2013,13.84,14.25,13.65,14.02,9087935.00
02/07/2013,13.82,13.96,13.65,13.65,10215322.00
03/07/2013,13.87,13.87,13.20,13.39,75924340.00
04/07/2013,13.65,13.70,13.31,13.47,1506444.00
05/07/2013,13.52,13.87,12.89,13.76,8699410.00
08/07/2013,13.51,13.97,13.50,13.83,1611491.00
10/07/2013,13.83,14.27,13.76,13.76,4723751.00
11/07/2013,13.98,14.07,13.70,13.76,9955725.00
12/07/2013,13.62,13.93,13.22,13.41,13452171.00
15/07/2013,13.20,14.13,13.20,13.87,2627478.00
16/07/2013,14.00,14.00,13.82,13.87,1900019.00
17/07/2013,13.99,14.12,13.79,14.05,21414036.00
18/07/2013,13.97,14.37,13.87,14.13,17312158.00
19/07/2013,14.02,14.67,14.02,14.61,1368685.00
22/07/2013,14.51,15.94,14.51,15.93,1468154.00
23/07/2013,15.82,16.27,15.77,16.23,3028391.00
24/07/2013,16.20,16.20,15.74,15.94,6553599.00
25/07/2013,15.84,16.11,15.31,15.91,24544509.00
26/07/2013,15.78,16.18,15.67,15.84,3930339.00
29/07/2013,15.72,16.06,15.59,15.59,4177035.00
30/07/2013,15.76,16.10,15.65,16.08,11766284.00
31/07/2013,16.05,16.15,15.89,16.05,9316472.00
01/08/2013,16.33,16.80,16.05,16.22,11433262.00
02/08/2013,16.25,16.28,15.26,15.26,14412352.00
05/08/2013,15.25,15.39,14.60,14.60,20756638.00
06/08/2013,14.85,14.85,14.28,14.55,10720269.00
07/08/2013,14.79,14.79,13.93,14.05,42007915.00
08/08/2013,14.17,14.17,13.47,13.99,54616966.00
09/08/2013,14.44,15.25,14.23,15.04,5553492.00
12/08/2013,15.44,16.52,15.27,15.68,11460602.00
13/08/2013,15.71,15.97,15.41,15.71,5874714.00
14/08/2013,15.68,16.04,15.32,16.04,8689587.00
15/08/2013,15.70,15.93,15.67,15.72,5250630.00
16/08/2013,15.51,16.23,15.51,15.80,4740326.00
19/08/2013,15.51,15.80,15.50,15.67,5102008.00
20/08/2013,15.42,15.97,15.42,15.97,5674407.00
