date,open,high,low,close,vol
18/12/2009,5.00,5.08,4.93,5.02,2871758.00
21/12/2009,5.08,5.10,4.95,4.95,1669840.00
22/12/2009,4.92,5.07,4.92,4.95,2299319.00
23/12/2009,5.03,5.09,4.94,4.98,1678166.00
28/12/2009,5.05,5.14,4.83,4.87,4217010.00
29/12/2009,4.95,5.06,4.92,4.92,13925841.00
30/12/2009,4.97,4.97,4.79,4.92,8471410.00
04/01/2010,4.96,5.21,4.96,5.21,3526021.00
05/01/2010,5.21,5.58,5.21,5.50,9561606.00
06/01/2010,5.58,5.68,5.45,5.50,4020074.00
07/01/2010,5.59,5.59,5.24,5.40,7201612.00
08/01/2010,5.47,5.57,5.25,5.57,1785985.00
11/01/2010,5.57,5.82,5.57,5.77,3692372.00
12/01/2010,5.78,5.78,5.65,5.74,2927760.00
13/01/2010,5.77,5.77,5.41,5.61,3917101.00
14/01/2010,5.64,5.65,5.33,5.44,2625016.00
15/01/2010,5.30,5.52,5.30,5.34,1017098.00
18/01/2010,5.34,5.57,5.34,5.57,1179628.00
19/01/2010,5.57,5.64,5.40,5.55,2079666.00
20/01/2010,5.55,5.61,5.41,5.51,6989782.00
21/01/2010,5.52,5.52,5.11,5.49,3030830.00
22/01/2010,5.22,5.58,5.22,5.32,1346253.00
26/01/2010,5.27,5.29,5.21,5.24,1488243.00
27/01/2010,5.27,5.27,5.13,5.21,879318.00
28/01/2010,5.25,5.29,5.16,5.18,1313056.00
29/01/2010,5.21,5.27,5.12,5.21,2424346.00
01/02/2010,5.26,5.26,5.16,5.16,779744.00
02/02/2010,5.29,5.34,5.18,5.21,1949324.00
03/02/2010,5.26,5.30,5.02,5.11,2687521.00
04/02/2010,5.20,5.20,4.91,4.92,1388281.00
05/02/2010,4.82,4.90,4.76,4.83,3107490.00
08/02/2010,4.92,4.93,4.72,4.83,2343313.00
09/02/2010,4.92,4.97,4.86,4.89,5352246.00
10/02/2010,5.00,5.06,4.79,4.96,6260224.00
11/02/2010,5.09,5.16,5.01,5.06,12579974.00
12/02/2010,5.06,5.18,5.04,5.15,5567413.00
17/02/2010,5.21,5.26,5.18,5.18,3038144.00
18/02/2010,5.26,5.26,5.13,5.23,900081.00
19/02/2010,5.21,5.21,5.15,5.18,1247977.00
22/02/2010,5.16,5.19,5.08,5.15,619291.00
23/02/2010,5.17,5.17,4.94,5.03,1814949.00
24/02/2010,4.96,5.02,4.96,5.02,201679.00
25/02/2010,4.98,4.98,4.89,4.95,1427992.00
26/02/2010,4.92,4.92,4.84,4.89,3394485.00
01/03/2010,4.88,4.88,4.80,4.82,2403299.00
02/03/2010,4.84,4.94,4.84,4.90,3389569.00
03/03/2010,4.95,5.00,4.90,4.96,6746420.00
04/03/2010,4.97,5.03,4.86,4.87,1488571.00
05/03/2010,4.90,5.02,4.63,4.77,2552966.00
08/03/2010,4.82,4.89,4.59,4.71,3689740.00
09/03/2010,4.72,4.80,4.63,4.74,4676464.00
10/03/2010,4.80,4.84,4.74,4.78,3126701.00
11/03/2010,4.79,4.88,4.78,4.83,4653149.00
12/03/2010,4.84,4.90,4.84,4.90,487107.00
15/03/2010,4.91,4.91,4.84,4.86,1972965.00
16/03/2010,4.85,4.91,4.84,4.85,1652513.00
17/03/2010,4.89,5.00,4.77,5.00,4728145.00
18/03/2010,4.92,4.99,4.91,4.94,4024132.00
19/03/2010,4.92,4.94,4.87,4.91,293412.00
22/03/2010,4.83,4.93,4.80,4.88,674547.00
23/03/2010,4.86,4.91,4.77,4.89,1442076.00
24/03/2010,4.88,4.88,4.78,4.82,2685016.00
25/03/2010,4.82,4.84,4.78,4.80,1150678.00
26/03/2010,4.81,4.83,4.77,4.78,1368432.00
29/03/2010,4.80,4.86,4.74,4.80,1463166.00
30/03/2010,4.80,4.84,4.69,4.83,2403693.00
31/03/2010,4.80,4.84,4.67,4.71,1131203.00
01/04/2010,4.83,4.83,4.58,4.64,2331104.00
05/04/2010,4.69,4.69,4.52,4.58,2186919.00
06/04/2010,4.58,4.68,4.58,4.65,1186731.00
07/04/2010,4.66,4.84,4.66,4.82,2040238.00
08/04/2010,4.78,4.82,4.78,4.80,425094.00
09/04/2010,4.82,4.96,4.82,4.83,5003588.00
12/04/2010,4.83,4.84,4.69,4.72,2298477.00
