date,open,high,low,close,vol
22/08/2016,2.55,2.74,2.55,2.70,21713.00
23/08/2016,2.79,2.79,2.54,2.74,80212.00
24/08/2016,2.74,2.74,2.58,2.58,243280.00
25/08/2016,2.67,2.67,2.40,2.47,94764.00
26/08/2016,2.59,2.78,2.45,2.54,286789.00
29/08/2016,2.69,2.74,2.58,2.59,140648.00
30/08/2016,2.71,2.96,2.64,2.84,382350.00
31/08/2016,2.86,2.98,2.63,2.92,438664.00
01/09/2016,2.95,2.96,2.63,2.72,340879.00
02/09/2016,2.85,2.88,2.54,2.54,262063.00
05/09/2016,2.59,2.71,2.54,2.54,388895.00
06/09/2016,2.56,2.82,2.55,2.57,267847.00
08/09/2016,2.59,2.77,2.56,2.56,222193.00
09/09/2016,2.56,2.71,2.47,2.54,200048.00
12/09/2016,2.56,2.61,2.43,2.55,2553119.00
13/09/2016,2.50,2.60,2.48,2.54,311143.00
14/09/2016,2.52,2.58,2.35,2.50,355460.00
15/09/2016,2.43,2.56,2.41,2.56,259241.00
16/09/2016,2.50,2.69,2.38,2.61,3617847.00
19/09/2016,2.57,2.78,2.57,2.74,1391116.00
20/09/2016,2.69,2.91,2.64,2.91,6781808.00
21/09/2016,2.91,2.91,2.74,2.80,1382898.00
22/09/2016,2.84,2.91,2.79,2.86,441979.00
23/09/2016,2.80,2.86,2.80,2.85,539140.00
26/09/2016,2.85,2.91,2.79,2.89,593497.00
27/09/2016,2.89,2.89,2.81,2.89,266999.00
28/09/2016,2.90,2.90,2.69,2.69,1469554.00
29/09/2016,2.79,2.94,2.76,2.76,328266.00
30/09/2016,2.74,2.79,2.71,2.74,293007.00
03/10/2016,2.69,2.78,2.68,2.78,45612.00
04/10/2016,2.71,2.90,2.71,2.84,340070.00
05/10/2016,2.87,2.94,2.74,2.91,16385512.00
06/10/2016,2.91,2.98,2.84,2.91,10418926.00
07/10/2016,2.87,2.91,2.85,2.85,199245.00
10/10/2016,2.80,2.94,2.80,2.86,2656203.00
11/10/2016,2.85,2.94,2.78,2.90,1094209.00
13/10/2016,2.90,3.00,2.77,3.00,1998281.00
14/10/2016,2.98,3.02,2.85,2.85,626908.00
17/10/2016,2.86,2.98,2.79,2.94,617607.00
18/10/2016,2.97,3.07,2.89,2.98,1428307.00
19/10/2016,3.07,3.07,2.90,2.96,765320.00
20/10/2016,2.92,2.98,2.88,2.90,509517.00
21/10/2016,2.89,2.95,2.74,2.84,4078338.00
24/10/2016,2.88,2.89,2.78,2.89,202662.00
25/10/2016,2.88,2.95,2.77,2.95,537059.00
26/10/2016,2.93,2.99,2.86,2.99,220822.00
27/10/2016,2.98,3.12,2.89,2.89,293297.00
28/10/2016,2.94,2.94,2.83,2.92,205103.00
31/10/2016,2.86,3.01,2.86,2.96,945664.00
01/11/2016,2.97,3.03,2.89,2.94,1983602.00
03/11/2016,2.96,3.13,2.92,3.05,521827.00
04/11/2016,3.07,3.16,3.06,3.07,15166962.00
07/11/2016,3.15,3.21,3.07,3.07,160165.00
08/11/2016,3.13,3.15,2.99,3.07,224540.00
09/11/2016,3.07,3.10,3.02,3.02,14171071.00
10/11/2016,3.03,3.08,2.82,2.87,720008.00
11/11/2016,2.87,2.91,2.68,2.79,662665.00
14/11/2016,2.69,2.93,2.69,2.93,537009.00
16/11/2016,2.81,2.99,2.71,2.84,18721325.00
17/11/2016,2.88,2.98,2.85,2.85,642607.00
18/11/2016,2.93,2.93,2.78,2.93,3105421.00
21/11/2016,2.98,3.06,2.94,2.94,51883.00
22/11/2016,2.90,2.99,2.87,2.93,751364.00
23/11/2016,2.93,2.98,2.72,2.78,1354953.00
24/11/2016,2.75,2.91,2.74,2.87,3056912.00
25/11/2016,2.84,2.88,2.80,2.84,6660672.00
28/11/2016,2.81,2.89,2.81,2.86,450398.00
