date,open,high,low,close,vol
18/12/2009,8.22,8.59,8.02,8.59,26445097.00
21/12/2009,8.59,8.59,8.11,8.31,10700530.00
22/12/2009,8.34,8.51,8.12,8.34,6705380.00
23/12/2009,8.30,8.42,8.30,8.39,9396096.00
28/12/2009,8.34,8.50,8.26,8.50,6469319.00
29/12/2009,8.50,8.58,8.49,8.51,5250542.00
30/12/2009,8.50,8.67,8.49,8.67,19177825.00
04/01/2010,8.59,8.84,8.59,8.67,4741300.00
05/01/2010,8.67,8.67,8.51,8.55,6096741.00
06/01/2010,8.51,8.64,8.51,8.53,11714050.00
07/01/2010,8.51,8.53,8.36,8.41,7454961.00
08/01/2010,8.41,8.45,8.39,8.42,8492081.00
11/01/2010,8.53,8.53,8.26,8.26,4497941.00
12/01/2010,8.25,8.40,8.12,8.25,4183053.00
13/01/2010,8.22,8.32,8.02,8.16,6317529.00
14/01/2010,8.22,8.22,8.13,8.20,2759139.00
15/01/2010,8.16,8.23,8.13,8.17,4512627.00
18/01/2010,8.27,8.32,8.22,8.22,5351434.00
19/01/2010,8.16,8.32,8.09,8.23,5431986.00
20/01/2010,8.21,8.29,8.05,8.29,8038280.00
21/01/2010,8.31,8.76,8.22,8.59,12503613.00
22/01/2010,8.51,8.51,8.42,8.50,4784991.00
26/01/2010,8.34,8.40,8.32,8.34,3470470.00
27/01/2010,8.34,8.34,7.77,7.99,8797151.00
28/01/2010,8.17,8.19,8.01,8.09,9557287.00
29/01/2010,8.09,8.20,7.80,8.17,11297873.00
01/02/2010,8.17,8.34,8.14,8.34,4242550.00
02/02/2010,8.34,8.34,8.26,8.33,3742917.00
03/02/2010,8.33,8.34,8.19,8.34,2707307.00
04/02/2010,8.29,8.30,8.03,8.14,4986905.00
05/02/2010,8.02,8.02,7.61,7.82,5862461.00
08/02/2010,8.01,8.05,7.76,7.92,3459518.00
09/02/2010,8.00,8.05,7.84,8.04,3873908.00
10/02/2010,8.12,8.12,7.89,8.01,3531556.00
11/02/2010,8.00,8.00,7.85,7.92,3911007.00
12/02/2010,7.92,7.92,7.76,7.83,3063067.00
17/02/2010,7.84,8.03,7.84,7.99,3213572.00
18/02/2010,7.94,7.94,7.84,7.91,1714457.00
19/02/2010,7.84,7.90,7.82,7.87,4006155.00
22/02/2010,7.87,7.99,7.84,7.87,2947290.00
23/02/2010,7.84,7.87,7.72,7.84,3335801.00
24/02/2010,7.84,7.86,7.78,7.84,2966395.00
25/02/2010,7.75,7.80,7.62,7.80,3690874.00
26/02/2010,7.97,8.09,7.86,7.92,3998000.00
01/03/2010,7.97,8.00,7.87,7.94,5009413.00
02/03/2010,7.98,7.98,7.86,7.94,3720637.00
03/03/2010,7.94,8.06,7.91,8.06,6647327.00
04/03/2010,8.06,8.07,8.01,8.02,3951379.00
05/03/2010,8.07,8.07,7.82,8.01,2873261.00
08/03/2010,8.01,8.01,7.94,8.00,2355930.00
09/03/2010,7.84,8.04,7.84,8.01,5183712.00
10/03/2010,8.04,8.04,7.97,7.97,1761749.00
11/03/2010,7.96,7.99,7.81,7.91,7956177.00
12/03/2010,7.91,7.93,7.64,7.84,7418916.00
15/03/2010,7.85,7.85,7.73,7.81,2180525.00
16/03/2010,7.79,7.79,7.72,7.74,4779657.00
17/03/2010,7.77,8.17,7.75,8.09,14288123.00
18/03/2010,8.09,8.09,7.95,8.02,6156288.00
19/03/2010,8.04,8.12,7.98,8.12,4755640.00
22/03/2010,8.06,8.06,7.88,8.00,5129530.00
23/03/2010,8.03,8.04,7.96,7.96,2882787.00
24/03/2010,8.02,8.02,7.93,7.94,2053968.00
25/03/2010,7.96,8.02,7.94,8.02,5052011.00
26/03/2010,8.02,8.04,7.96,8.04,4239350.00
29/03/2010,8.04,8.06,7.96,8.04,4684041.00
30/03/2010,8.03,8.04,8.02,8.04,9390722.00
31/03/2010,8.04,8.06,8.01,8.05,9793781.00
01/04/2010,8.10,8.20,7.96,8.03,7782348.00
05/04/2010,8.03,8.06,7.94,8.06,9896563.00
06/04/2010,8.06,8.09,7.93,8.08,13224789.00
07/04/2010,8.12,8.12,7.99,8.01,10060323.00
08/04/2010,8.02,8.20,7.99,8.20,4586320.00
09/04/2010,8.25,8.44,8.23,8.34,3533295.00
12/04/2010,8.31,8.68,8.31,8.59,5928113.00
13/04/2010,8.59,8.64,8.55,8.64,3535647.00
14/04/2010,8.64,8.71,8.54,8.57,6061678.00
15/04/2010,8.57,8.57,8.51,8.54,1463396.00
16/04/2010,8.52,8.62,8.31,8.31,2374875.00
19/04/2010,8.31,8.33,8.20,8.31,763608.00
20/04/2010,8.37,8.37,8.22,8.32,4411001.00
22/04/2010,8.32,8.34,8.29,8.33,1496522.00
23/04/2010,8.33,8.43,8.31,8.41,4095042.00
26/04/2010,8.41,8.45,8.38,8.40,5387441.00
27/04/2010,8.36,8.66,8.24,8.42,8648679.00
28/04/2010,8.55,8.55,8.26,8.45,7643405.00
29/04/2010,8.48,8.48,8.30,8.38,8252787.00
30/04/2010,8.45,8.45,8.21,8.26,5735989.00
03/05/2010,8.29,8.54,8.27,8.27,4913594.00
04/05/2010,8.30,8.37,8.17,8.22,15169230.00
05/05/2010,8.22,8.29,8.18,8.28,11900520.00
06/05/2010,8.28,8.28,7.98,8.12,12292357.00
07/05/2010,8.11,8.11,7.58,7.78,14576948.00
10/05/2010,8.03,8.03,7.85,7.97,10394889.00
11/05/2010,7.93,8.02,7.92,7.96,6474054.00
12/05/2010,7.99,7.99,7.85,7.86,12205086.00
13/05/2010,7.88,7.88,7.56,7.56,61603948.00
14/05/2010,7.58,7.61,6.96,7.16,69805600.00
17/05/2010,7.17,7.24,6.99,7.10,11244270.00
18/05/2010,7.16,7.27,6.69,6.81,21371457.00
19/05/2010,6.90,6.90,6.52,6.84,18789162.00
20/05/2010,6.79,7.16,6.70,7.10,25319570.00
21/05/2010,7.05,7.39,7.03,7.30,7542472.00
24/05/2010,7.24,7.27,7.13,7.16,4743574.00
25/05/2010,7.31,7.40,7.16,7.33,42721268.00
26/05/2010,7.44,7.57,7.28,7.57,98657335.00
27/05/2010,7.65,7.92,7.64,7.92,18201551.00
28/05/2010,7.92,7.95,7.65,7.92,6820207.00
31/05/2010,7.94,8.20,7.91,8.12,6957736.00
01/06/2010,8.07,8.07,7.86,7.86,3992480.00
02/06/2010,7.90,7.99,7.80,7.86,2787609.00
04/06/2010,7.86,7.91,7.74,7.80,5217769.00
07/06/2010,7.82,8.01,7.82,8.01,5227081.00
08/06/2010,8.00,8.00,7.86,7.92,10135663.00
09/06/2010,7.96,8.00,7.88,7.94,1745161.00
10/06/2010,7.99,8.01,7.82,7.92,4407843.00
11/06/2010,7.75,7.96,7.75,7.82,3421606.00
14/06/2010,7.91,7.91,7.79,7.79,1160662.00
15/06/2010,7.83,7.83,7.72,7.75,4975917.00
16/06/2010,7.71,7.82,7.48,7.59,9476416.00
17/06/2010,7.59,7.68,7.39,7.40,11207732.00
18/06/2010,7.42,7.68,7.18,7.18,29859407.00
21/06/2010,7.28,7.46,7.20,7.42,9926880.00
22/06/2010,7.42,7.73,7.42,7.63,8098462.00
23/06/2010,7.67,7.68,7.61,7.68,5357929.00
24/06/2010,7.68,7.68,7.44,7.54,5705502.00
