date,open,high,low,close,vol
18/12/2009,12.66,12.94,12.55,12.86,6025907.00
21/12/2009,12.86,13.24,12.77,12.85,11271667.00
22/12/2009,13.01,13.96,12.96,13.90,29618662.00
23/12/2009,13.84,14.07,13.50,13.90,18101189.00
28/12/2009,13.90,14.07,13.25,13.42,16866213.00
29/12/2009,13.51,13.71,12.99,13.18,12789671.00
30/12/2009,13.29,13.45,12.85,13.43,10231321.00
04/01/2010,13.63,13.73,13.24,13.66,11424916.00
05/01/2010,13.76,14.26,13.73,14.26,21765166.00
06/01/2010,14.34,14.48,13.96,14.41,16977110.00
07/01/2010,14.14,14.40,14.02,14.35,11306643.00
08/01/2010,14.22,14.49,13.92,14.41,14414938.00
11/01/2010,14.41,14.84,14.41,14.61,16242531.00
12/01/2010,14.41,14.61,14.13,14.26,7743319.00
13/01/2010,14.55,14.55,13.84,14.41,12715435.00
14/01/2010,14.30,14.47,13.83,13.83,7566650.00
15/01/2010,13.90,13.90,13.47,13.59,16128710.00
18/01/2010,14.02,14.22,13.83,14.03,8498955.00
19/01/2010,14.03,14.48,13.96,14.48,25570022.00
20/01/2010,14.17,14.71,14.04,14.11,21161951.00
21/01/2010,14.09,14.40,13.53,14.02,13795590.00
22/01/2010,13.89,14.21,13.63,13.73,11123825.00
26/01/2010,13.45,13.58,13.10,13.10,17595453.00
27/01/2010,13.18,13.33,12.78,13.04,27541790.00
28/01/2010,13.25,13.39,12.97,13.04,18375355.00
29/01/2010,13.10,13.50,13.08,13.31,17776219.00
01/02/2010,13.45,13.71,13.05,13.61,12122795.00
02/02/2010,13.60,13.60,13.01,13.16,29174307.00
03/02/2010,13.17,13.49,13.14,13.33,11152827.00
04/02/2010,13.26,13.26,12.62,12.97,17122878.00
05/02/2010,12.71,13.10,12.46,12.48,10886906.00
08/02/2010,12.63,12.95,12.49,12.74,11546075.00
09/02/2010,12.74,13.14,12.74,13.01,15815027.00
10/02/2010,13.21,13.22,12.55,12.65,6722550.00
11/02/2010,12.76,13.26,12.69,13.05,7106701.00
12/02/2010,12.99,13.33,12.74,13.14,9399569.00
17/02/2010,13.76,13.76,13.43,13.63,6601339.00
18/02/2010,13.69,13.75,13.42,13.63,8551568.00
19/02/2010,13.63,13.75,13.33,13.65,14424707.00
22/02/2010,13.75,13.76,13.43,13.56,6369539.00
23/02/2010,13.63,13.63,13.10,13.10,8351850.00
24/02/2010,13.22,13.29,12.83,12.84,10275326.00
25/02/2010,12.82,12.82,12.45,12.45,13501729.00
26/02/2010,12.55,12.69,12.15,12.19,19894563.00
01/03/2010,12.39,12.70,12.27,12.70,35372116.00
02/03/2010,12.74,13.56,12.74,13.33,27828565.00
03/03/2010,13.46,14.15,13.37,14.02,54899157.00
04/03/2010,14.06,14.20,13.60,14.09,26864513.00
05/03/2010,14.09,14.55,14.09,14.48,20967158.00
08/03/2010,14.56,14.66,14.22,14.22,16397939.00
09/03/2010,14.25,14.93,14.10,14.74,20881981.00
10/03/2010,14.85,14.92,14.25,14.53,18185554.00
11/03/2010,14.30,14.80,14.26,14.38,11385662.00
12/03/2010,14.56,14.80,14.13,14.25,17451868.00
15/03/2010,14.25,14.36,13.98,14.05,8477337.00
16/03/2010,14.19,14.24,14.02,14.15,6369395.00
17/03/2010,14.19,15.13,14.19,15.00,43083082.00
18/03/2010,15.12,15.73,15.08,15.73,23659164.00
19/03/2010,15.73,16.51,15.43,15.73,35018427.00
22/03/2010,15.56,15.73,15.20,15.26,23509677.00
23/03/2010,15.40,15.73,15.26,15.63,30499832.00
24/03/2010,15.59,15.83,15.50,15.50,37795928.00
25/03/2010,15.59,15.85,14.98,15.12,30240079.00
26/03/2010,15.21,15.86,15.21,15.86,21204215.00
29/03/2010,15.86,16.05,15.65,15.68,16718926.00
30/03/2010,15.73,16.04,15.54,15.66,24789355.00
31/03/2010,15.71,16.28,15.40,15.92,21609501.00
01/04/2010,15.92,16.15,15.63,15.66,18640314.00
05/04/2010,15.78,16.18,15.71,16.13,9695722.00
06/04/2010,16.05,16.51,16.05,16.05,19107409.00
07/04/2010,16.17,16.49,15.76,16.12,40295813.00
08/04/2010,16.12,16.27,15.63,15.79,29136999.00
09/04/2010,15.49,15.65,14.99,15.19,99837202.00
12/04/2010,15.30,15.44,14.94,14.97,18645223.00
13/04/2010,15.12,15.46,15.12,15.34,26185767.00
14/04/2010,15.44,15.89,15.44,15.86,36942333.00
15/04/2010,15.85,16.39,15.67,16.32,46140905.00
16/04/2010,16.32,16.38,15.89,16.32,21579224.00
19/04/2010,16.25,16.25,15.76,16.15,19758716.00
20/04/2010,16.14,16.31,15.66,15.94,18358384.00
22/04/2010,15.73,16.03,15.43,15.66,18184261.00
23/04/2010,15.65,16.03,15.62,15.66,189285401.00
26/04/2010,15.75,15.92,15.35,15.52,14357053.00
27/04/2010,15.37,15.52,14.85,14.91,12239045.00
28/04/2010,15.15,15.23,14.45,14.81,17468953.00
29/04/2010,15.00,15.16,14.64,14.74,8045431.00
30/04/2010,14.81,14.98,14.37,14.53,14322088.00
03/05/2010,14.75,14.92,14.52,14.59,15290773.00
04/05/2010,14.71,14.75,13.63,13.97,14513790.00
05/05/2010,13.77,14.24,13.51,13.86,10853871.00
06/05/2010,14.01,14.17,12.62,13.40,21663173.00
07/05/2010,13.28,13.48,12.63,13.11,18442521.00
10/05/2010,13.94,14.12,13.69,14.10,25840564.00
11/05/2010,13.89,13.93,13.36,13.53,37294335.00
12/05/2010,13.61,14.30,13.53,14.22,20007137.00
13/05/2010,14.51,14.71,14.26,14.51,30415543.00
14/05/2010,14.09,14.22,13.58,13.81,18787113.00
17/05/2010,13.79,13.79,12.80,13.00,21610729.00
18/05/2010,13.24,13.28,12.38,12.58,21148279.00
19/05/2010,12.23,12.58,11.89,12.04,26441551.00
20/05/2010,11.95,11.95,11.39,11.39,30967142.00
21/05/2010,11.48,12.30,11.27,12.30,24959972.00
24/05/2010,12.30,12.80,12.22,12.71,26300189.00
25/05/2010,12.20,12.44,11.80,12.17,23653952.00
26/05/2010,12.54,12.66,11.99,12.01,21820737.00
27/05/2010,12.43,13.00,12.43,12.96,18816575.00
28/05/2010,13.03,13.15,12.71,12.95,16810179.00
31/05/2010,12.91,13.17,12.72,13.12,14898668.00
01/06/2010,12.86,13.27,12.47,12.87,24500847.00
02/06/2010,12.80,13.26,12.80,13.08,15700258.00
04/06/2010,13.03,13.12,12.62,12.62,12238991.00
07/06/2010,12.75,13.19,12.46,12.46,21913429.00
08/06/2010,12.68,12.87,12.54,12.71,17149606.00
09/06/2010,12.89,13.21,12.54,12.54,31682803.00
10/06/2010,12.64,13.23,12.64,13.23,43656978.00
11/06/2010,13.27,13.44,12.95,13.20,21689087.00
14/06/2010,13.34,13.40,12.83,12.95,19390512.00
15/06/2010,13.06,13.27,12.91,12.99,20146390.00
16/06/2010,13.06,13.19,12.91,12.91,22396323.00
17/06/2010,13.02,13.14,12.88,12.94,25107953.00
18/06/2010,13.09,13.27,12.94,12.99,20553337.00
21/06/2010,13.28,13.62,13.23,13.36,25785921.00
22/06/2010,13.37,13.68,13.34,13.44,30189340.00
23/06/2010,13.56,13.89,13.53,13.89,32487018.00
24/06/2010,13.81,14.25,13.63,14.03,36080824.00
25/06/2010,13.98,14.18,13.85,14.17,18055549.00
28/06/2010,14.05,14.44,14.02,14.05,25730656.00
29/06/2010,13.69,13.92,12.80,12.91,45051799.00
30/06/2010,13.13,13.28,12.46,12.47,40884303.00
01/07/2010,12.50,12.70,12.14,12.42,32408427.00
02/07/2010,12.60,12.79,12.17,12.23,14519739.00
05/07/2010,12.29,12.42,12.17,12.21,5425475.00
06/07/2010,12.40,12.59,12.18,12.28,26086210.00
07/07/2010,12.31,12.47,12.20,12.39,25817928.00
08/07/2010,12.50,12.50,12.26,12.30,23705460.00
12/07/2010,12.42,12.50,11.99,12.07,27751228.00
13/07/2010,12.17,12.26,12.04,12.17,26145452.00
14/07/2010,12.17,12.29,12.09,12.09,16265356.00
15/07/2010,12.17,12.62,12.06,12.62,26020822.00
16/07/2010,12.58,12.89,12.13,12.13,29292613.00
19/07/2010,12.26,12.67,12.22,12.62,22777768.00
20/07/2010,12.48,12.85,12.37,12.80,24752442.00
21/07/2010,12.87,12.95,12.64,12.64,22009273.00
22/07/2010,12.80,13.10,12.79,13.00,21891115.00
23/07/2010,13.04,13.38,12.93,13.36,17879415.00
26/07/2010,13.37,13.65,13.35,13.60,37765575.00
27/07/2010,13.61,13.94,13.61,13.73,28423193.00
28/07/2010,13.71,13.71,13.22,13.44,19350405.00
29/07/2010,13.41,13.65,13.35,13.46,16247548.00
30/07/2010,13.40,13.77,13.25,13.77,19499568.00
02/08/2010,13.77,14.26,13.77,14.03,14836125.00
03/08/2010,13.92,14.05,13.53,13.57,19423804.00
04/08/2010,13.65,13.89,13.45,13.68,23924053.00
05/08/2010,13.86,14.02,13.57,13.84,10619615.00
06/08/2010,13.85,13.98,13.75,13.98,7240838.00
09/08/2010,14.01,14.12,13.92,13.94,19125824.00
10/08/2010,13.89,14.01,13.68,13.80,9935154.00
11/08/2010,13.71,13.71,13.20,13.28,20339962.00
12/08/2010,13.26,13.48,13.26,13.33,12256595.00
13/08/2010,13.41,13.72,13.28,13.53,17451171.00
16/08/2010,13.65,13.65,13.19,13.51,34963476.00
17/08/2010,13.61,13.86,13.50,13.66,13043899.00
18/08/2010,13.58,13.78,13.50,13.75,8928854.00
19/08/2010,13.75,13.78,13.46,13.78,11909031.00
