date,open,high,low,close,vol
29/05/2012,10.06,10.06,10.06,10.06,687750.00
30/05/2012,9.91,9.91,9.37,9.37,67449.00
31/05/2012,9.67,9.83,8.45,8.45,41794.00
01/06/2012,9.60,9.60,9.22,9.52,36242739.00
04/06/2012,9.52,9.83,9.52,9.68,94398.00
05/06/2012,9.93,9.93,9.91,9.91,25809.00
06/06/2012,9.83,9.83,9.83,9.83,96000.00
08/06/2012,9.90,10.06,9.90,9.91,25890.00
11/06/2012,10.12,10.12,9.60,9.97,261048.00
12/06/2012,10.06,10.06,9.91,9.98,77894.00
13/06/2012,10.14,10.14,10.06,10.06,19698.00
14/06/2012,9.97,10.14,9.97,10.14,19578.00
15/06/2012,10.14,10.14,10.14,10.14,105600.00
19/06/2012,10.14,10.15,10.14,10.15,13212.00
20/06/2012,10.14,10.14,10.14,10.14,19800.00
21/06/2012,10.17,10.17,10.16,10.16,178610.00
25/06/2012,10.16,10.17,9.22,9.22,267970.00
26/06/2012,10.03,10.29,9.88,10.25,323352.00
28/06/2012,10.24,10.37,10.14,10.37,3698095.00
29/06/2012,10.15,10.59,10.14,10.22,481365.00
02/07/2012,10.22,10.22,10.22,10.22,2327500.00
03/07/2012,9.99,10.26,9.99,10.22,32980.00
04/07/2012,10.06,10.21,10.00,10.14,2781199.00
06/07/2012,9.99,10.14,9.99,10.14,19684.00
10/07/2012,10.14,10.29,10.14,10.14,59500.00
11/07/2012,9.99,10.14,9.99,10.14,1752200.00
12/07/2012,10.02,10.10,9.99,10.02,1677702.00
13/07/2012,10.14,10.14,10.14,10.14,396012.00
16/07/2012,10.29,10.60,10.02,10.51,351320.00
17/07/2012,10.45,10.45,10.23,10.37,552178.00
18/07/2012,10.29,10.35,10.23,10.35,735568.00
19/07/2012,10.29,10.29,10.29,10.29,663220.00
20/07/2012,10.26,10.83,10.14,10.68,84715378.00
23/07/2012,10.46,10.86,10.45,10.82,79084192.00
24/07/2012,10.87,10.97,10.60,10.87,15351173.00
25/07/2012,10.83,10.90,10.72,10.90,8246145.00
26/07/2012,10.68,10.91,10.68,10.90,11741295.00
27/07/2012,10.86,10.93,10.77,10.86,17609693.00
30/07/2012,10.91,10.98,10.83,10.98,10129874.00
31/07/2012,10.98,11.16,10.89,10.91,21201030.00
01/08/2012,10.95,10.98,10.63,10.91,12536486.00
02/08/2012,10.75,10.91,10.73,10.75,14264152.00
03/08/2012,10.81,10.85,10.52,10.52,4202722.00
06/08/2012,10.60,10.83,10.52,10.83,10042345.00
07/08/2012,10.75,10.89,10.71,10.89,3046822.00
08/08/2012,10.87,10.90,10.69,10.69,14076384.00
09/08/2012,10.86,10.86,10.69,10.83,6685575.00
10/08/2012,10.76,10.89,10.74,10.89,10278718.00
13/08/2012,10.98,10.98,10.75,10.80,7038545.00
14/08/2012,10.77,10.91,10.75,10.85,8188360.00
15/08/2012,10.85,10.98,10.75,10.98,5686989.00
16/08/2012,10.97,11.17,10.87,11.01,10650291.00
17/08/2012,11.02,11.18,10.87,11.18,15360511.00
20/08/2012,11.14,11.18,10.91,11.18,19336396.00
21/08/2012,11.16,11.21,11.06,11.14,10447156.00
22/08/2012,11.15,11.21,11.12,11.21,6259403.00
23/08/2012,11.22,11.23,11.02,11.21,12299880.00
24/08/2012,11.21,11.29,11.08,11.29,12719858.00
27/08/2012,11.03,11.29,11.03,11.29,2299533.00
28/08/2012,11.29,11.37,11.26,11.29,23824145.00
29/08/2012,11.37,11.44,11.14,11.29,16819322.00
30/08/2012,11.21,11.44,11.17,11.29,38462020.00
31/08/2012,11.23,11.44,11.18,11.29,17217116.00
03/09/2012,11.40,11.40,10.98,10.98,18585958.00
04/09/2012,10.95,11.01,10.75,10.91,7707424.00
05/09/2012,10.91,10.93,10.75,10.75,8413184.00
06/09/2012,10.75,10.88,10.75,10.81,9122366.00
10/09/2012,10.97,11.06,10.78,11.06,3105987.00
11/09/2012,11.06,11.06,10.72,10.78,17986208.00
12/09/2012,10.77,10.78,10.00,10.60,146619192.00
13/09/2012,10.52,10.75,10.49,10.72,18496845.00
14/09/2012,10.79,10.93,10.69,10.78,18638740.00
17/09/2012,10.91,11.01,10.90,10.98,7209609.00
18/09/2012,10.97,11.01,10.84,10.94,3705838.00
19/09/2012,10.97,10.97,10.92,10.95,10177253.00
20/09/2012,10.92,10.98,10.81,10.90,1606058.00
21/09/2012,11.06,11.06,10.60,10.68,3998703.00
24/09/2012,10.72,10.91,10.72,10.91,2246547.00
25/09/2012,10.78,10.86,10.78,10.83,1833895.00
26/09/2012,10.75,10.84,10.71,10.75,3970950.00
27/09/2012,10.89,11.05,10.75,11.01,19331777.00
28/09/2012,11.04,11.29,10.83,11.29,19047050.00
01/10/2012,11.28,11.28,11.04,11.06,6492948.00
02/10/2012,11.21,11.21,11.06,11.06,5040654.00
03/10/2012,11.06,11.12,11.01,11.06,6455726.00
04/10/2012,11.04,11.06,11.00,11.03,4151043.00
05/10/2012,11.06,11.06,10.98,11.01,7316383.00
08/10/2012,10.98,11.01,10.83,10.97,4685177.00
09/10/2012,10.91,10.94,10.77,10.83,1826003.00
10/10/2012,10.91,10.92,10.79,10.84,2011793.00
11/10/2012,10.87,10.87,10.71,10.71,7409219.00
15/10/2012,10.79,10.85,10.75,10.83,13243462.00
16/10/2012,10.83,10.91,10.76,10.83,10022477.00
17/10/2012,10.85,10.89,10.70,10.75,7096994.00
18/10/2012,10.65,10.85,10.65,10.67,3417014.00
19/10/2012,10.70,10.70,10.45,10.55,4361397.00
22/10/2012,10.63,10.84,10.46,10.58,2283602.00
23/10/2012,10.60,10.60,10.45,10.48,9276584.00
24/10/2012,10.49,10.54,10.42,10.45,5168536.00
25/10/2012,10.44,10.45,10.29,10.34,10940457.00
26/10/2012,10.44,10.49,10.30,10.37,4733056.00
29/10/2012,10.42,10.57,10.31,10.48,1483263.00
30/10/2012,10.44,10.64,10.42,10.44,2664142.00
31/10/2012,10.43,10.45,10.25,10.29,21336681.00
01/11/2012,10.27,10.31,10.22,10.25,7297978.00
05/11/2012,10.30,10.39,10.26,10.28,6743646.00
06/11/2012,10.45,10.45,10.18,10.27,7277796.00
07/11/2012,10.54,10.54,10.20,10.29,6038829.00
08/11/2012,10.25,10.50,10.11,10.23,6802905.00
09/11/2012,10.12,10.29,10.12,10.22,3180198.00
12/11/2012,10.20,10.34,10.20,10.25,14340939.00
13/11/2012,10.34,10.37,10.14,10.14,10867837.00
14/11/2012,10.14,10.16,10.08,10.14,11391368.00
16/11/2012,10.14,10.26,10.07,10.26,5566604.00
19/11/2012,10.26,10.26,9.89,9.99,32799509.00
21/11/2012,10.28,10.46,10.06,10.25,9913093.00
22/11/2012,10.23,10.23,9.78,10.08,3864335.00
23/11/2012,10.04,10.12,9.99,10.02,3929865.00
26/11/2012,10.03,10.06,9.78,9.99,11150603.00
27/11/2012,10.06,10.12,9.95,9.99,6086758.00
28/11/2012,10.00,10.14,9.91,10.14,30700878.00
29/11/2012,10.14,10.21,9.95,10.14,2128118.00
30/11/2012,10.43,10.43,9.99,10.29,4864198.00
03/12/2012,10.26,10.26,10.02,10.02,13952930.00
04/12/2012,10.06,10.68,10.05,10.68,10052979.00
05/12/2012,10.60,10.66,10.42,10.55,9560448.00
06/12/2012,10.60,10.60,10.33,10.49,16693331.00
07/12/2012,10.56,10.59,10.42,10.54,6151811.00
10/12/2012,10.47,10.50,10.31,10.35,4612061.00
11/12/2012,10.40,10.45,10.32,10.37,10630990.00
12/12/2012,10.37,10.37,9.90,10.12,23336780.00
13/12/2012,10.13,10.27,9.96,10.14,14832073.00
14/12/2012,10.18,10.34,9.96,10.16,10796838.00
