date,open,high,low,close,vol
18/12/2009,28.74,28.74,28.02,28.38,68444.00
21/12/2009,28.25,28.51,28.11,28.51,354293.00
22/12/2009,28.07,28.38,28.07,28.38,172508.00
23/12/2009,28.38,28.38,27.71,28.25,219529.00
28/12/2009,27.76,28.47,27.76,27.89,286348.00
29/12/2009,27.89,28.34,27.85,27.85,125954.00
30/12/2009,27.85,28.25,27.45,28.20,200591.00
04/01/2010,27.89,28.25,27.49,27.89,331790.00
05/01/2010,27.58,27.98,27.40,27.80,226450.00
06/01/2010,27.58,28.34,27.40,27.98,596570.00
07/01/2010,27.94,28.34,27.67,28.34,272540.00
08/01/2010,28.38,30.69,28.02,30.20,2592503.00
11/01/2010,30.20,30.20,29.27,29.58,743115.00
12/01/2010,29.45,29.45,28.47,28.65,506392.00
13/01/2010,28.91,28.91,28.47,28.47,187571.00
14/01/2010,28.69,29.14,28.02,28.91,366467.00
15/01/2010,28.87,28.87,28.07,28.07,132634.00
18/01/2010,28.47,28.91,28.25,28.25,197945.00
19/01/2010,28.20,28.47,28.02,28.16,101297.00
20/01/2010,28.07,28.47,27.58,27.58,594716.00
21/01/2010,28.02,28.02,26.25,26.69,1723770.00
22/01/2010,26.69,26.69,25.80,26.25,543503.00
26/01/2010,27.09,27.36,26.25,26.51,547427.00
27/01/2010,26.29,26.69,26.02,26.02,286268.00
28/01/2010,26.65,26.69,25.58,26.33,180029.00
29/01/2010,26.02,27.22,26.02,26.69,112446.00
01/02/2010,26.69,26.69,26.11,26.25,105554.00
02/02/2010,26.25,26.69,26.16,26.16,86962.00
03/02/2010,26.25,26.69,26.25,26.47,78155.00
04/02/2010,26.47,26.69,25.62,26.25,192024.00
05/02/2010,25.76,25.80,24.42,25.58,553757.00
08/02/2010,25.58,25.67,25.36,25.36,3434877.00
09/02/2010,25.36,26.02,25.13,25.80,109576.00
10/02/2010,25.80,26.82,24.96,26.82,99235.00
11/02/2010,26.82,26.82,25.80,26.33,261668.00
12/02/2010,26.20,26.20,25.44,25.93,374645.00
17/02/2010,26.60,26.60,25.89,26.02,79794.00
18/02/2010,26.11,26.11,25.62,26.11,183498.00
