date,open,high,low,close,vol
18/12/2009,4.24,4.31,4.17,4.22,6188857.00
21/12/2009,4.24,4.31,4.20,4.22,2240648.00
22/12/2009,4.24,4.29,4.20,4.27,15699868.00
23/12/2009,4.30,4.31,4.24,4.24,16217893.00
28/12/2009,4.23,4.27,4.23,4.27,7139473.00
29/12/2009,4.25,4.28,4.23,4.27,6158325.00
30/12/2009,4.24,4.37,4.24,4.31,6388926.00
04/01/2010,4.36,4.38,4.29,4.35,5589322.00
05/01/2010,4.35,4.38,4.28,4.31,5918389.00
06/01/2010,4.31,4.41,4.30,4.31,11306333.00
07/01/2010,4.32,4.37,4.25,4.29,5893423.00
08/01/2010,4.29,4.32,4.19,4.20,5494963.00
11/01/2010,4.23,4.26,4.11,4.15,9202458.00
12/01/2010,4.14,4.24,4.09,4.23,8671040.00
13/01/2010,4.23,4.27,4.16,4.17,5097290.00
14/01/2010,4.20,4.30,4.15,4.20,7070252.00
15/01/2010,4.20,4.20,4.12,4.20,3817239.00
18/01/2010,4.18,4.28,4.17,4.17,11109148.00
19/01/2010,4.20,4.21,4.15,4.19,3190708.00
20/01/2010,4.15,4.15,3.99,4.03,5958627.00
21/01/2010,4.03,4.06,3.87,3.87,17010006.00
22/01/2010,3.84,4.02,3.80,3.96,4393615.00
26/01/2010,3.88,3.99,3.82,3.94,8658822.00
27/01/2010,3.88,4.02,3.88,3.92,5898720.00
28/01/2010,4.02,4.02,3.85,3.91,4584119.00
29/01/2010,3.91,3.98,3.84,3.90,9234200.00
01/02/2010,3.91,4.03,3.89,4.02,4782586.00
02/02/2010,4.03,4.15,4.03,4.15,3212440.00
03/02/2010,4.16,4.16,4.06,4.13,1447139.00
04/02/2010,4.12,4.12,3.87,3.87,8428871.00
05/02/2010,3.72,3.85,3.65,3.72,4374737.00
08/02/2010,3.80,3.92,3.73,3.89,4719374.00
04/05/2017,7.46,7.51,6.82,7.01,75841892.00
05/05/2017,6.85,7.35,6.73,7.32,48430892.00
08/05/2017,7.33,7.38,7.13,7.18,19338494.00
09/05/2017,7.16,7.30,7.00,7.30,10422316.00
10/05/2017,7.63,7.63,7.11,7.44,42113183.00
11/05/2017,7.56,7.56,7.27,7.37,7485901.00
12/05/2017,7.44,7.44,7.18,7.23,6995724.00
15/05/2017,7.23,7.30,7.14,7.18,13255412.00
16/05/2017,7.19,7.35,7.04,7.35,15824066.00
17/05/2017,7.21,7.35,7.17,7.19,17918846.00
18/05/2017,6.03,6.84,5.98,6.32,20114947.00
19/05/2017,6.40,6.70,6.40,6.61,26797894.00
22/05/2017,6.35,6.58,6.27,6.44,2796462.00
23/05/2017,6.44,6.56,6.36,6.46,4997883.00
24/05/2017,6.45,6.45,6.29,6.37,10847114.00
25/05/2017,6.27,6.50,6.25,6.34,8710283.00
26/05/2017,6.37,6.70,6.29,6.70,51656165.00
29/05/2017,6.70,6.80,6.56,6.69,5988750.00
30/05/2017,6.75,6.76,6.52,6.64,9174612.00
31/05/2017,6.63,6.63,6.51,6.60,7289991.00
01/06/2017,6.68,6.68,6.44,6.45,6084520.00
02/06/2017,6.45,6.56,6.44,6.46,3565686.00
05/06/2017,6.46,6.52,6.44,6.46,11104277.00
06/06/2017,6.46,6.50,6.33,6.39,5988407.00
07/06/2017,6.40,6.54,6.34,6.46,7821705.00
08/06/2017,6.46,6.90,6.41,6.76,30099880.00
09/06/2017,6.76,6.81,6.53,6.70,3233234.00
12/06/2017,6.72,6.72,6.59,6.59,6236190.00
13/06/2017,6.65,6.65,6.54,6.58,3631135.00
14/06/2017,6.65,6.80,6.63,6.70,1716762.00
16/06/2017,6.67,6.80,6.67,6.71,11503655.00
19/06/2017,6.67,6.89,6.58,6.68,3280902.00
20/06/2017,6.68,6.68,6.55,6.60,3633129.00
21/06/2017,6.58,6.74,6.53,6.58,2945095.00
22/06/2017,6.58,6.63,6.47,6.61,3462852.00
23/06/2017,6.70,6.70,6.47,6.56,13745475.00
26/06/2017,6.58,6.77,6.56,6.76,10210560.00
27/06/2017,6.76,6.76,6.65,6.68,9991823.00
28/06/2017,6.63,6.90,6.63,6.86,22587508.00
29/06/2017,6.77,6.94,6.77,6.93,4883510.00
30/06/2017,7.04,7.08,6.87,7.04,2204311.00
03/07/2017,7.09,7.17,6.81,7.10,6405345.00
04/07/2017,7.09,7.13,6.98,7.12,2769616.00
05/07/2017,7.14,7.14,7.03,7.08,8306710.00
06/07/2017,7.08,7.12,6.95,7.08,1627488.00
07/07/2017,7.12,7.12,6.94,7.04,12726402.00
10/07/2017,7.06,7.18,6.99,7.17,5275970.00
11/07/2017,7.17,7.25,7.09,7.25,7268025.00
12/07/2017,7.35,7.35,7.18,7.31,15224865.00
13/07/2017,7.32,7.47,7.28,7.47,7756972.00
14/07/2017,7.44,7.54,7.38,7.44,7959057.00
17/07/2017,7.44,7.53,7.30,7.42,7043566.00
18/07/2017,7.41,7.50,7.24,7.40,4113588.00
19/07/2017,7.29,7.45,7.24,7.42,2977266.00
20/07/2017,7.31,7.50,7.26,7.42,5309507.00
21/07/2017,7.33,7.45,7.32,7.45,5557333.00
24/07/2017,7.45,7.61,7.44,7.54,4295076.00
25/07/2017,7.51,7.56,7.43,7.47,7781743.00
26/07/2017,7.51,7.56,7.40,7.49,3303826.00
27/07/2017,7.49,7.58,7.47,7.54,3557616.00
28/07/2017,7.50,7.58,7.47,7.56,5975163.00
31/07/2017,7.56,7.56,7.45,7.51,4052920.00
01/08/2017,7.48,7.50,7.24,7.30,15099336.00
02/08/2017,7.30,7.42,7.24,7.40,4214700.00
03/08/2017,7.42,7.51,7.31,7.51,4351706.00
04/08/2017,7.48,7.54,7.33,7.48,4480989.00
07/08/2017,7.48,7.55,7.44,7.55,3071627.00
08/08/2017,7.48,7.55,7.27,7.48,1716251.00
09/08/2017,7.48,7.48,7.33,7.34,4431553.00
10/08/2017,7.40,7.54,7.23,7.31,2499881.00
11/08/2017,7.41,7.41,7.15,7.20,8720872.00
14/08/2017,7.21,7.31,7.16,7.25,3813385.00
15/08/2017,7.29,7.29,7.11,7.13,5016672.00
16/08/2017,7.19,7.19,6.91,6.97,10469965.00
17/08/2017,6.97,7.07,6.85,6.96,4504183.00
18/08/2017,6.96,7.08,6.92,6.95,6759146.00
21/08/2017,7.02,7.17,6.95,7.06,3905698.00
22/08/2017,7.06,7.19,6.99,7.18,16143135.00
23/08/2017,7.18,7.19,7.03,7.03,6105539.00
24/08/2017,7.04,7.23,7.04,7.23,2504891.00
25/08/2017,7.23,7.28,7.06,7.06,3787703.00
28/08/2017,7.10,7.29,7.05,7.08,5347438.00
29/08/2017,7.12,7.15,7.04,7.08,6280287.00
30/08/2017,7.11,7.12,6.95,7.01,9679745.00
31/08/2017,7.04,7.21,7.02,7.18,4852886.00
01/09/2017,7.18,7.27,7.11,7.22,1648746.00
04/09/2017,7.24,7.24,7.11,7.20,2365909.00
05/09/2017,7.22,7.28,6.96,7.14,22627323.00
06/09/2017,7.22,7.31,7.10,7.28,18615160.00
08/09/2017,7.28,7.31,7.11,7.27,5696277.00
11/09/2017,7.22,7.42,7.19,7.35,3407233.00
12/09/2017,7.35,7.43,7.26,7.35,8307970.00
13/09/2017,7.29,7.41,7.17,7.28,11881369.00
14/09/2017,7.28,7.44,7.26,7.38,3842485.00
15/09/2017,7.42,7.90,7.37,7.62,9170123.00
18/09/2017,7.68,7.85,7.56,7.72,9167853.99
19/09/2017,7.78,7.82,7.68,7.75,11451372.00
20/09/2017,7.73,7.86,7.67,7.75,4543162.00
21/09/2017,7.78,7.88,7.68,7.80,4370355.02
22/09/2017,7.80,7.83,7.58,7.71,3190107.00
25/09/2017,7.62,7.70,7.45,7.67,6889040.00
26/09/2017,7.71,7.90,7.62,7.75,10241510.00
27/09/2017,7.80,7.92,7.58,7.90,7822858.00
28/09/2017,7.81,8.01,7.68,7.79,10164601.00
29/09/2017,7.84,7.99,7.74,7.86,12116925.00
02/10/2017,7.87,7.98,7.77,7.86,11765053.00
03/10/2017,7.86,8.06,7.86,8.02,12648468.00
04/10/2017,8.02,8.12,7.99,8.10,10033334.00
05/10/2017,8.13,8.23,8.03,8.04,9973925.00
06/10/2017,8.04,8.26,7.95,8.23,4240705.00
09/10/2017,8.23,8.33,8.10,8.22,3786023.00
10/10/2017,8.31,8.38,8.21,8.25,11856626.00
11/10/2017,8.37,8.64,8.23,8.46,66570759.47
13/10/2017,8.56,8.76,8.52,8.71,22836785.99
16/10/2017,8.83,9.00,8.79,8.93,13753076.00
17/10/2017,9.01,9.12,8.69,8.71,21556293.00
18/10/2017,8.80,8.85,8.55,8.57,16837277.00
19/10/2017,8.59,8.59,8.14,8.35,22399985.99
20/10/2017,8.35,8.55,8.27,8.53,9188796.00
23/10/2017,8.57,8.71,8.51,8.53,13637560.99
24/10/2017,8.55,8.70,8.43,8.59,6570113.00
25/10/2017,8.59,8.59,8.47,8.52,5294358.01
26/10/2017,8.59,8.70,8.49,8.54,9947530.00
27/10/2017,8.54,8.67,8.54,8.59,4300186.00
30/10/2017,8.60,8.60,8.17,8.35,7232207.02
31/10/2017,8.31,8.67,8.17,8.19,21798310.00
01/11/2017,8.23,8.55,8.21,8.52,8274763.11
03/11/2017,8.54,8.56,8.23,8.33,6623327.00
06/11/2017,8.33,8.38,7.90,8.05,8749360.99
07/11/2017,8.04,8.32,7.93,7.97,5005167.00
08/11/2017,8.07,8.30,7.98,8.04,6376837.00
09/11/2017,8.05,8.05,7.80,7.99,4087087.10
10/11/2017,8.23,8.44,8.08,8.14,18207907.00
13/11/2017,8.22,8.35,8.01,8.26,4426950.00
14/11/2017,8.38,8.38,8.09,8.09,3369600.00
16/11/2017,8.19,8.56,8.09,8.52,8335103.00
17/11/2017,8.56,8.66,8.43,8.66,6537622.90
21/11/2017,8.81,8.81,8.56,8.59,8849085.02
22/11/2017,8.68,8.68,8.36,8.36,8815106.98
23/11/2017,8.37,8.45,8.29,8.41,5613941.00
24/11/2017,8.32,8.57,8.32,8.51,2330677.00
27/11/2017,8.51,8.56,8.25,8.51,6147875.00
28/11/2017,8.51,8.55,8.41,8.45,6352176.00
29/11/2017,8.42,8.42,8.10,8.19,11268611.00
30/11/2017,8.28,8.28,8.01,8.13,8586208.00
01/12/2017,8.16,8.44,8.08,8.28,5597623.00
04/12/2017,8.28,8.46,8.23,8.30,10245700.00
05/12/2017,8.30,8.38,8.25,8.33,4954629.00
06/12/2017,8.35,8.52,8.23,8.38,8976461.00
07/12/2017,8.40,8.46,8.19,8.30,6470470.00
08/12/2017,8.38,8.45,8.24,8.31,3384308.00
11/12/2017,8.33,8.53,8.26,8.45,22687594.00
12/12/2017,8.46,8.76,8.39,8.76,13867527.99
13/12/2017,8.77,8.81,8.57,8.70,10617948.00
14/12/2017,8.74,8.82,8.53,8.78,5941757.00
15/12/2017,8.74,9.07,8.69,9.07,14765309.01
18/12/2017,9.07,9.27,9.04,9.16,14441549.00
19/12/2017,9.17,9.23,8.95,8.96,9023741.00
20/12/2017,9.02,9.12,8.90,9.09,5059996.00
21/12/2017,9.09,9.29,9.02,9.27,5268456.00
22/12/2017,9.32,9.39,9.19,9.39,9454013.01
26/12/2017,9.28,9.38,9.11,9.32,3306838.00
27/12/2017,9.33,9.50,9.32,9.37,6070001.00
28/12/2017,9.38,9.57,9.37,9.57,12375889.00
02/01/2018,9.57,9.63,9.49,9.50,3542242.00
03/01/2018,9.48,9.54,9.38,9.47,14445563.00
04/01/2018,9.48,9.55,9.33,9.42,4462058.00
05/01/2018,9.41,9.72,9.23,9.67,11390390.00
08/01/2018,9.62,9.62,9.38,9.52,5760357.00
09/01/2018,9.52,9.52,9.19,9.42,5573533.00
10/01/2018,9.25,9.57,9.25,9.48,2847385.00
11/01/2018,9.50,9.70,9.50,9.62,10743128.00
12/01/2018,9.53,9.69,9.48,9.57,4817057.00
15/01/2018,9.54,9.72,9.49,9.55,9332264.00
16/01/2018,9.55,9.86,9.55,9.69,5922921.10
17/01/2018,9.75,9.88,9.61,9.88,11640789.10
18/01/2018,9.96,10.33,9.88,10.17,25733408.00
19/01/2018,10.16,10.28,10.09,10.20,6052108.00
22/01/2018,10.20,10.22,10.07,10.17,3247695.00
23/01/2018,10.09,10.37,9.98,10.15,18234913.90
24/01/2018,10.11,10.44,10.09,10.44,5666064.99
26/01/2018,10.59,10.77,10.40,10.77,12166262.00
29/01/2018,10.72,10.72,10.48,10.64,4512129.00
30/01/2018,10.63,10.71,10.43,10.55,2520121.00
31/01/2018,10.57,10.70,10.53,10.70,3654797.00
01/02/2018,10.69,11.08,10.60,11.08,8347119.00
02/02/2018,11.07,11.10,10.81,10.95,10419250.00
05/02/2018,10.74,10.77,10.12,10.44,13714407.00
06/02/2018,10.41,10.65,10.17,10.64,5354668.00
07/02/2018,10.63,10.82,10.34,10.45,8014782.00
08/02/2018,10.43,10.76,10.36,10.39,5350612.00
09/02/2018,10.41,10.41,10.14,10.33,3828116.00
14/02/2018,10.38,10.75,10.25,10.73,10222386.00
15/02/2018,10.75,11.27,10.62,10.75,19169864.00
16/02/2018,10.74,10.95,10.59,10.91,4064939.00
19/02/2018,10.78,10.99,10.77,10.87,2913712.00
20/02/2018,10.94,10.96,10.76,10.91,2652625.00
21/02/2018,10.82,11.01,10.82,10.95,5679331.00
22/02/2018,10.98,10.98,10.80,10.98,7902582.00
23/02/2018,10.92,10.96,10.77,10.86,5397254.00
26/02/2018,10.86,10.93,10.78,10.91,6057232.00
27/02/2018,10.91,10.91,10.72,10.87,6313151.00
28/02/2018,10.89,10.91,10.71,10.88,5629736.00
01/03/2018,10.80,10.87,10.71,10.87,7459302.00
02/03/2018,10.76,10.87,10.57,10.87,8791684.00
05/03/2018,10.86,11.64,10.70,11.39,21882403.00
06/03/2018,11.54,11.60,11.21,11.23,13297099.00
07/03/2018,11.23,11.33,11.06,11.20,11881388.00
