date,open,high,low,close,vol
18/12/2009,10.03,10.11,9.91,10.11,1711176.00
21/12/2009,10.11,10.25,9.96,10.04,2989011.00
22/12/2009,10.21,10.29,9.99,10.29,8936077.00
23/12/2009,10.29,10.36,9.97,10.32,2586680.00
28/12/2009,10.32,10.32,10.11,10.32,912964.00
29/12/2009,10.32,10.75,10.19,10.72,2660695.00
30/12/2009,10.72,11.11,10.52,11.11,2862906.00
04/01/2010,10.93,11.40,10.82,10.86,1695322.00
05/01/2010,10.88,10.96,10.79,10.82,3271609.00
06/01/2010,10.81,10.95,10.75,10.89,1814681.00
07/01/2010,10.93,10.97,10.70,10.70,4946583.00
08/01/2010,10.75,10.75,10.61,10.71,650522.00
11/01/2010,10.72,10.72,10.27,10.32,1634471.00
12/01/2010,10.19,10.53,10.19,10.45,1032579.00
13/01/2010,10.50,10.90,10.50,10.75,4395563.00
14/01/2010,10.75,10.96,10.65,10.96,899166.00
15/01/2010,10.96,11.33,10.96,11.25,2125999.00
18/01/2010,11.26,11.40,11.11,11.36,1181358.00
19/01/2010,11.36,11.40,11.18,11.33,1239348.00
20/01/2010,11.19,11.46,11.11,11.46,1810511.00
21/01/2010,11.46,11.53,10.95,11.22,920747.00
22/01/2010,11.22,11.75,11.04,11.69,4201547.00
26/01/2010,11.43,11.54,11.36,11.51,2956144.00
27/01/2010,11.54,11.69,11.47,11.69,354088.00
28/01/2010,11.72,11.72,11.46,11.54,663514.00
29/01/2010,11.47,11.67,11.29,11.47,1166315.00
01/02/2010,11.29,11.46,11.29,11.44,1122811.00
02/02/2010,11.47,11.47,11.08,11.15,1221868.00
03/02/2010,10.93,11.22,10.93,11.05,1635958.00
04/02/2010,11.04,11.04,10.75,10.90,1358229.00
05/02/2010,10.76,10.76,10.29,10.39,1928605.00
08/02/2010,10.46,10.46,10.14,10.40,1435947.00
09/02/2010,10.56,10.75,10.20,10.29,1639350.00
10/02/2010,10.43,10.68,10.19,10.61,639656.00
11/02/2010,10.68,10.68,10.50,10.57,3117555.00
12/02/2010,10.54,10.54,10.32,10.36,336090.00
17/02/2010,10.61,10.65,10.32,10.36,1595222.00
18/02/2010,10.35,10.57,10.28,10.57,2271690.00
19/02/2010,10.57,11.08,10.57,11.08,965439.00
22/02/2010,11.08,11.18,10.60,10.65,1267635.00
23/02/2010,10.65,10.79,10.51,10.75,2641583.00
24/02/2010,10.68,10.90,10.68,10.75,302053.00
25/02/2010,10.55,10.75,10.54,10.72,422638.00
26/02/2010,10.72,10.72,10.43,10.44,734577.00
01/03/2010,10.40,10.65,10.34,10.37,1115392.00
02/03/2010,10.50,10.72,10.40,10.72,972060.00
03/03/2010,10.57,10.71,10.52,10.70,418072.00
04/03/2010,10.70,10.75,10.38,10.75,1507717.00
05/03/2010,10.90,10.90,10.61,10.75,3057894.00
08/03/2010,10.67,10.90,10.65,10.90,3373492.00
09/03/2010,10.89,11.11,10.84,11.11,1775117.00
10/03/2010,11.10,11.28,10.93,10.98,2726765.00
11/03/2010,11.04,11.10,10.82,10.96,1101123.00
12/03/2010,11.07,11.39,10.97,11.28,1559374.00
15/03/2010,11.35,11.83,11.35,11.61,9513477.00
16/03/2010,11.82,11.83,11.55,11.75,1709569.00
17/03/2010,11.82,11.82,11.47,11.65,1006532.00
18/03/2010,11.69,11.69,11.41,11.53,468209.00
19/03/2010,11.81,11.81,11.54,11.64,878447.00
22/03/2010,11.56,11.56,11.22,11.22,1245164.00
23/03/2010,11.32,11.53,11.11,11.51,1643700.00
24/03/2010,11.58,11.58,11.33,11.47,1967826.00
25/03/2010,11.46,11.47,11.34,11.40,425521.00
26/03/2010,11.40,11.40,10.82,10.90,1212132.00
29/03/2010,11.03,11.47,10.91,11.18,1295585.00
30/03/2010,11.05,11.31,10.90,10.90,1028443.00
31/03/2010,10.97,11.08,10.94,11.08,652157.00
01/04/2010,11.10,11.11,10.84,10.97,877753.00
05/04/2010,10.88,10.96,10.80,10.96,1666756.00
06/04/2010,10.65,10.82,10.65,10.80,966862.00
07/04/2010,10.75,11.00,10.75,10.82,273875.00
08/04/2010,10.82,11.12,10.82,11.10,426087.00
09/04/2010,11.01,11.24,11.01,11.24,506802.00
12/04/2010,11.05,11.18,10.90,10.90,624685.00
13/04/2010,11.10,11.10,10.90,10.97,438496.00
14/04/2010,10.97,10.97,10.87,10.90,2616228.00
15/04/2010,10.97,11.08,10.97,11.08,644686.00
16/04/2010,11.07,11.07,10.82,10.97,1246168.00
19/04/2010,10.96,11.00,10.75,11.00,1060590.00
20/04/2010,10.98,11.33,10.98,11.28,436166.00
22/04/2010,11.37,11.37,11.03,11.08,614708.00
23/04/2010,11.08,11.18,10.93,11.18,815768.00
26/04/2010,11.01,11.17,11.00,11.17,324462.00
27/04/2010,11.15,11.20,10.86,11.20,1108957.00
28/04/2010,11.11,11.18,10.92,10.92,487781.00
29/04/2010,11.02,11.11,10.86,11.07,465194.00
30/04/2010,11.13,11.19,10.78,11.19,705865.00
03/05/2010,11.15,11.15,10.89,10.95,231794.00
04/05/2010,10.95,11.41,10.67,11.37,1490735.00
05/05/2010,10.97,11.04,10.67,10.99,1514278.00
06/05/2010,11.00,11.10,10.34,10.41,3242340.00
07/05/2010,10.40,10.56,10.30,10.56,1223852.00
10/05/2010,10.56,11.00,10.56,10.78,256190.00
11/05/2010,10.61,10.86,10.45,10.45,223248.00
12/05/2010,10.59,10.59,10.34,10.34,581527.00
13/05/2010,10.38,10.41,10.27,10.34,4228942.00
14/05/2010,10.30,10.30,10.03,10.30,1392854.00
17/05/2010,10.30,10.30,10.02,10.04,1197994.00
18/05/2010,10.29,10.29,9.67,9.82,1710348.00
19/05/2010,9.67,9.67,9.53,9.62,2815195.00
20/05/2010,9.39,9.39,9.08,9.23,1322735.00
21/05/2010,9.12,9.31,9.06,9.31,902073.00
24/05/2010,9.19,9.29,8.95,9.14,451309.00
25/05/2010,9.08,9.08,8.71,8.75,635184.00
26/05/2010,9.31,9.31,9.05,9.14,977839.00
27/05/2010,9.50,9.59,9.26,9.47,860815.00
28/05/2010,9.53,9.60,9.47,9.53,197385.00
31/05/2010,9.46,9.84,9.46,9.59,1432212.00
01/06/2010,9.45,9.65,9.45,9.53,365823.00
02/06/2010,9.62,9.82,9.40,9.82,1287804.00
04/06/2010,9.56,9.56,9.49,9.52,41351.00
07/06/2010,9.38,9.71,9.34,9.56,291962.00
08/06/2010,9.57,9.84,9.46,9.75,296360.00
09/06/2010,9.84,10.10,9.84,10.01,1288480.00
10/06/2010,10.11,10.11,9.86,9.86,213646.00
11/06/2010,9.93,10.15,9.90,9.90,303714.00
14/06/2010,9.90,10.12,9.90,10.01,156160.00
15/06/2010,10.01,10.18,9.99,10.04,449902.00
16/06/2010,10.19,10.70,10.18,10.33,675417.00
17/06/2010,10.42,10.42,10.15,10.41,1325468.00
18/06/2010,10.41,10.63,10.38,10.49,325097.00
21/06/2010,10.49,10.86,10.49,10.86,691143.00
22/06/2010,10.83,11.14,10.81,11.11,329506.00
23/06/2010,11.23,11.23,10.88,11.11,171189.00
24/06/2010,10.95,11.18,10.90,11.11,112431.00
25/06/2010,11.08,11.21,11.01,11.21,270827.00
28/06/2010,11.23,11.26,11.08,11.26,154534.00
29/06/2010,10.94,11.23,10.92,11.23,315774.00
30/06/2010,11.26,11.28,11.00,11.28,335674.00
01/07/2010,11.00,11.22,10.71,10.71,1218615.00
02/07/2010,10.60,10.78,10.60,10.78,762398.00
05/07/2010,10.93,10.93,10.71,10.71,39205.00
06/07/2010,10.91,10.91,10.75,10.75,503055.00
07/07/2010,10.71,10.89,10.71,10.89,418532.00
08/07/2010,10.89,11.10,10.89,11.07,945460.00
12/07/2010,11.08,11.08,10.63,10.63,2584298.00
13/07/2010,10.63,10.89,10.60,10.63,623528.00
14/07/2010,10.63,10.63,10.45,10.56,168136.00
15/07/2010,10.60,10.60,10.32,10.32,521790.00
16/07/2010,10.48,10.52,10.20,10.20,639585.00
19/07/2010,10.20,10.49,10.20,10.34,296971.00
20/07/2010,10.35,10.38,10.19,10.19,216880.00
21/07/2010,10.19,10.23,10.13,10.18,248253.00
22/07/2010,10.19,10.48,10.13,10.13,853385.00
23/07/2010,10.12,10.44,10.12,10.27,1364716.00
26/07/2010,10.30,10.49,10.30,10.35,118182.00
27/07/2010,10.32,10.60,10.32,10.60,302108.00
28/07/2010,10.71,10.75,10.61,10.71,2027300.00
29/07/2010,10.72,10.87,10.72,10.87,483477.00
30/07/2010,10.79,10.97,10.71,10.97,763832.00
02/08/2010,10.93,11.52,10.86,11.52,1665748.00
03/08/2010,11.38,11.59,11.34,11.52,514663.00
04/08/2010,11.51,11.51,10.97,10.97,773457.00
05/08/2010,11.19,11.46,11.19,11.46,529741.00
06/08/2010,11.46,11.79,11.46,11.79,468643.00
09/08/2010,11.79,11.80,11.38,11.39,1743123.00
10/08/2010,11.38,11.49,11.27,11.34,1539997.00
11/08/2010,11.19,11.49,11.19,11.42,343339.00
12/08/2010,11.40,11.42,11.38,11.42,390346.00
13/08/2010,11.46,11.69,11.46,11.57,1234308.00
16/08/2010,11.42,11.46,11.24,11.27,1962437.00
17/08/2010,11.42,11.42,11.23,11.38,1375945.00
18/08/2010,11.38,11.49,11.38,11.49,1032998.00
19/08/2010,11.48,11.49,11.34,11.49,570388.00
20/08/2010,11.48,12.06,11.48,12.06,1561018.00
23/08/2010,12.09,12.28,12.09,12.28,696511.00
24/08/2010,12.27,12.42,12.06,12.42,1279955.00
25/08/2010,12.42,12.42,11.93,11.93,1529433.00
26/08/2010,12.02,12.25,12.02,12.25,226198.00
27/08/2010,12.32,12.92,12.32,12.87,2406582.00
30/08/2010,12.87,13.02,12.55,12.77,2890451.00
31/08/2010,12.69,13.50,12.69,13.50,2016074.00
01/09/2010,13.15,13.46,13.09,13.22,2591966.00
02/09/2010,13.22,13.48,13.11,13.22,731468.00
03/09/2010,13.18,13.46,12.99,13.42,531865.00
06/09/2010,13.45,13.45,13.30,13.30,361219.00
08/09/2010,13.40,13.40,12.77,12.84,583238.00
09/09/2010,13.15,13.15,12.62,12.62,500392.00
10/09/2010,12.58,13.07,12.53,12.77,1661858.00
13/09/2010,12.77,13.22,12.76,13.22,3585186.00
14/09/2010,13.30,13.45,13.07,13.37,707841.00
15/09/2010,13.41,13.67,13.26,13.67,715642.00
16/09/2010,13.38,13.79,13.38,13.71,2611088.00
17/09/2010,13.74,14.12,13.65,13.82,3791583.00
20/09/2010,13.81,14.01,13.48,13.82,1926360.00
21/09/2010,13.75,14.18,13.55,14.18,1100776.00
22/09/2010,14.20,14.20,13.80,13.90,1320702.00
23/09/2010,13.72,14.08,13.72,13.90,403485.00
24/09/2010,13.65,14.05,13.64,14.05,1240354.00
27/09/2010,14.08,14.27,13.96,14.16,748131.00
28/09/2010,14.27,14.28,13.90,13.90,346672.00
29/09/2010,13.90,14.26,13.70,14.26,415892.00
30/09/2010,13.93,15.09,13.93,15.09,4535364.00
01/10/2010,15.09,15.25,14.58,15.02,4239009.00
04/10/2010,15.02,15.38,15.02,15.38,2750339.00
05/10/2010,15.38,15.53,15.03,15.10,2213130.00
06/10/2010,15.24,15.77,15.15,15.74,1263276.00
07/10/2010,15.78,16.16,15.77,15.92,6616686.00
08/10/2010,15.82,16.52,15.81,16.07,3256393.00
11/10/2010,15.87,16.90,15.87,16.09,5509151.00
13/10/2010,16.09,16.89,15.91,16.00,4484623.00
14/10/2010,16.04,16.24,15.62,15.85,965639.00
15/10/2010,15.86,16.41,15.85,16.30,5498407.00
18/10/2010,16.16,16.52,16.15,16.15,4171026.00
19/10/2010,16.37,16.37,15.73,15.77,1849109.00
20/10/2010,15.90,16.07,15.70,16.02,925912.00
21/10/2010,16.02,16.04,15.68,15.96,1413549.00
22/10/2010,15.96,16.22,15.92,16.01,1877189.00
25/10/2010,15.96,16.16,15.62,15.77,745525.00
26/10/2010,15.64,15.70,15.47,15.55,1084826.00
27/10/2010,15.39,15.77,15.02,15.21,2565680.00
28/10/2010,15.32,16.01,15.04,15.77,2861778.00
29/10/2010,15.81,16.10,15.50,15.83,1200975.00
01/11/2010,15.63,16.15,15.63,16.13,1010795.00
03/11/2010,16.24,16.84,16.24,16.75,5648462.00
04/11/2010,16.89,17.28,16.89,17.05,5604431.00
05/11/2010,17.17,17.35,17.02,17.24,2461510.00
08/11/2010,17.19,17.40,16.94,17.25,5527671.00
09/11/2010,17.25,17.48,17.04,17.39,6416287.00
10/11/2010,17.11,17.39,16.87,16.87,455714.00
11/11/2010,16.94,16.94,16.18,16.49,1387516.00
12/11/2010,16.41,16.72,16.30,16.72,190130.00
16/11/2010,16.57,17.07,16.57,16.94,2078571.00
17/11/2010,16.69,17.25,16.69,17.25,2107840.00
18/11/2010,17.33,17.98,17.33,17.86,7008509.00
19/11/2010,17.63,19.26,17.50,19.00,7095375.00
22/11/2010,19.16,19.34,18.64,19.30,8620367.00
23/11/2010,19.00,19.17,18.92,19.00,3032323.00
24/11/2010,19.00,19.56,19.00,19.15,2171144.00
25/11/2010,19.14,19.51,19.07,19.07,1043334.00
26/11/2010,19.00,19.31,18.93,19.11,9309216.00
29/11/2010,19.10,19.48,19.00,19.13,1887038.00
30/11/2010,19.01,19.07,18.61,19.06,4234248.00
01/12/2010,19.07,19.22,18.73,18.99,2486434.00
02/12/2010,19.10,19.10,18.81,18.90,4266516.00
03/12/2010,18.62,18.62,17.76,17.86,6913058.00
06/12/2010,17.81,18.24,17.59,17.77,1717693.00
07/12/2010,17.80,18.14,17.64,17.65,2367443.00
08/12/2010,17.67,17.97,17.54,17.97,2847696.00
09/12/2010,18.02,18.08,17.55,17.78,1475729.00
10/12/2010,17.99,17.99,16.81,17.32,3142702.00
13/12/2010,17.32,17.32,17.07,17.29,2528740.00
14/12/2010,17.29,17.75,17.22,17.63,9669577.00
15/12/2010,17.84,18.84,17.84,18.69,4930492.00
16/12/2010,18.45,18.90,18.45,18.75,3555204.00
17/12/2010,18.84,18.84,18.33,18.62,6191951.00
20/12/2010,18.14,18.69,18.14,18.66,9728210.00
21/12/2010,18.26,18.77,17.97,18.52,3556697.00
22/12/2010,18.65,18.65,17.90,17.93,4627023.00
23/12/2010,18.19,18.19,17.79,17.96,804730.00
27/12/2010,18.02,18.19,17.67,17.67,2130319.00
28/12/2010,18.08,18.59,17.63,18.59,20395373.00
29/12/2010,18.54,19.19,18.54,19.03,9359956.00
30/12/2010,19.07,19.34,18.81,19.34,7641891.00
03/01/2011,19.12,19.57,18.70,18.77,7249511.00
04/01/2011,19.00,19.14,18.17,18.40,2544572.00
05/01/2011,18.39,18.90,18.08,18.58,3119023.00
06/01/2011,18.67,18.91,18.51,18.69,2149298.00
07/01/2011,18.81,19.15,18.48,18.62,2267532.00
10/01/2011,18.76,19.22,18.76,19.10,2012625.00
11/01/2011,19.00,19.35,18.91,19.15,9776680.00
