date,open,high,low,close,vol
04/01/2016,10.15,10.15,9.82,9.96,5972322.00
05/01/2016,10.03,10.03,9.47,9.57,21135056.00
06/01/2016,9.48,9.60,9.31,9.50,16101002.00
07/01/2016,9.28,9.40,9.06,9.40,32384018.00
08/01/2016,9.36,9.50,9.14,9.24,15614543.00
11/01/2016,9.29,9.29,8.98,9.10,11182771.00
12/01/2016,9.26,9.26,8.83,8.86,16328336.00
13/01/2016,8.86,8.90,8.44,8.59,18466605.00
14/01/2016,8.55,8.58,8.27,8.29,16112452.00
15/01/2016,8.11,8.32,8.10,8.22,19036458.00
18/01/2016,8.13,8.18,7.94,8.11,8148061.00
19/01/2016,8.17,8.17,7.95,7.99,13811194.00
20/01/2016,7.93,7.99,7.59,7.78,16404838.00
21/01/2016,8.00,8.36,8.00,8.20,29315262.00
22/01/2016,8.20,8.65,8.14,8.45,19540183.00
26/01/2016,8.58,8.83,8.36,8.69,22436478.00
27/01/2016,8.89,9.04,8.50,8.76,43474060.00
28/01/2016,8.83,8.86,8.53,8.73,16998967.00
29/01/2016,8.70,9.29,8.67,9.21,26965954.00
01/02/2016,9.12,9.52,9.01,9.48,16469909.00
02/02/2016,9.46,9.47,9.12,9.31,17743184.00
03/02/2016,9.25,9.54,9.16,9.45,27409014.00
04/02/2016,9.49,10.01,9.40,9.54,17226607.00
05/02/2016,9.56,9.81,9.51,9.61,17993208.00
10/02/2016,9.61,9.80,9.47,9.65,8670531.00
11/02/2016,9.77,9.77,9.34,9.61,12270050.00
12/02/2016,9.51,9.72,9.32,9.38,12148853.00
15/02/2016,9.46,9.52,9.30,9.36,6925752.00
16/02/2016,9.36,9.70,9.29,9.66,11209986.00
17/02/2016,9.58,10.19,9.58,9.96,26262299.00
18/02/2016,9.96,10.10,9.77,10.03,11756823.00
19/02/2016,9.91,10.17,9.87,10.13,13982910.00
22/02/2016,10.13,10.39,10.07,10.19,18378932.00
23/02/2016,10.26,10.34,10.11,10.20,9907626.00
24/02/2016,10.20,10.44,10.10,10.38,48716447.00
25/02/2016,10.38,10.62,10.32,10.45,11581551.00
26/02/2016,10.40,10.48,10.19,10.31,15286636.00
29/02/2016,10.33,10.52,10.18,10.34,16338752.00
01/03/2016,10.34,10.62,10.22,10.22,27360634.00
02/03/2016,10.26,10.26,9.68,10.12,42623255.00
03/03/2016,10.02,10.05,9.71,9.98,30477461.00
04/03/2016,10.21,10.21,9.48,10.03,31312979.00
07/03/2016,10.03,10.03,9.65,9.83,15507385.00
08/03/2016,9.88,10.10,9.81,10.03,25789725.00
09/03/2016,10.03,10.29,9.92,10.17,22087339.00
10/03/2016,10.24,10.29,10.04,10.27,26748217.00
11/03/2016,10.17,10.49,10.17,10.36,22885310.00
14/03/2016,10.47,10.52,10.12,10.38,13282475.00
15/03/2016,10.31,10.59,10.03,10.38,21845323.00
16/03/2016,10.27,10.61,10.12,10.48,25529594.00
17/03/2016,10.80,10.90,10.50,10.62,33569718.00
18/03/2016,10.59,10.80,10.27,10.27,38712541.00
21/03/2016,10.34,10.53,10.31,10.40,20729348.00
22/03/2016,10.30,10.49,10.22,10.35,13946330.00
23/03/2016,10.25,10.34,10.11,10.27,22314296.00
24/03/2016,10.28,10.31,10.05,10.17,31429542.00
28/03/2016,10.22,10.30,10.02,10.27,10102888.00
29/03/2016,10.19,10.45,10.10,10.45,14981327.00
30/03/2016,10.40,10.87,10.40,10.85,23017837.00
31/03/2016,10.76,11.06,10.74,10.84,22209834.00
01/04/2016,10.82,10.88,10.64,10.80,10265586.00
04/04/2016,10.72,10.76,10.34,10.55,12719832.00
05/04/2016,10.49,10.78,10.19,10.26,15722514.00
06/04/2016,10.31,10.41,10.05,10.22,20532925.00
07/04/2016,10.31,10.47,10.17,10.37,14040103.00
08/04/2016,10.64,10.82,10.59,10.70,15409135.00
11/04/2016,10.80,10.98,10.63,10.67,14272696.00
12/04/2016,10.69,10.98,10.69,10.80,12425139.00
13/04/2016,10.82,11.22,10.82,11.15,31561878.00
14/04/2016,11.22,11.50,10.95,11.06,44333962.00
15/04/2016,11.26,11.41,11.09,11.15,26173740.00
18/04/2016,11.32,11.43,11.17,11.26,16549330.00
19/04/2016,11.28,11.50,11.09,11.39,33039175.00
20/04/2016,11.37,11.59,11.25,11.43,17432562.00
22/04/2016,11.42,11.64,11.32,11.41,14018344.00
25/04/2016,11.48,11.57,11.26,11.34,16622750.00
26/04/2016,11.28,11.45,11.18,11.18,16364759.00
27/04/2016,11.16,11.36,11.07,11.16,23844362.00
28/04/2016,11.18,11.33,10.78,10.83,24114431.00
29/04/2016,10.76,10.89,10.51,10.75,28892903.00
