date,open,high,low,close,vol
18/12/2009,5.29,5.35,5.22,5.35,20493060.23
21/12/2009,5.39,5.61,5.39,5.61,17337447.24
22/12/2009,5.65,5.81,5.55,5.79,23729785.16
23/12/2009,5.66,5.78,5.66,5.73,20308242.76
28/12/2009,5.77,5.84,5.64,5.77,10653360.82
29/12/2009,5.66,5.77,5.66,5.77,14599750.40
30/12/2009,5.65,5.85,5.65,5.73,15530870.06
04/01/2010,5.77,5.85,5.67,5.75,11148981.52
05/01/2010,5.80,6.17,5.67,6.17,19378330.47
06/01/2010,6.15,6.31,6.01,6.09,24510630.24
07/01/2010,6.01,6.15,5.84,5.95,30319968.88
08/01/2010,6.00,6.00,5.78,5.89,21877238.46
11/01/2010,6.01,6.03,5.90,6.03,33994111.80
12/01/2010,5.90,5.95,5.84,5.95,18022018.24
13/01/2010,5.87,5.96,5.86,5.96,26410668.05
14/01/2010,5.88,5.94,5.82,5.89,18298303.96
15/01/2010,5.74,5.82,5.74,5.81,15991982.88
18/01/2010,5.78,6.07,5.78,5.89,22735628.55
19/01/2010,5.82,5.90,5.69,5.82,43875543.46
20/01/2010,5.71,5.74,5.51,5.65,31465473.36
21/01/2010,5.61,5.69,5.37,5.53,36115981.80
22/01/2010,5.53,5.78,5.39,5.77,31775742.53
26/01/2010,5.71,5.71,5.52,5.59,23438653.91
27/01/2010,5.58,5.73,5.47,5.63,16814030.10
28/01/2010,5.61,5.78,5.50,5.69,18082663.05
29/01/2010,5.74,5.82,5.54,5.61,25290554.51
01/02/2010,5.61,5.72,5.57,5.62,14798293.24
02/02/2010,5.85,6.01,5.77,5.93,52158314.37
03/02/2010,5.91,6.01,5.77,5.85,20870040.27
04/02/2010,5.84,5.85,5.48,5.55,17207424.61
05/02/2010,5.55,5.69,4.97,5.34,31890746.06
08/02/2010,5.34,5.55,5.26,5.46,25865438.65
09/02/2010,5.54,5.85,5.54,5.70,38922828.78
10/02/2010,5.97,5.97,5.62,5.77,15427594.95
