date,open,high,low,close,vol
18/12/2009,18.80,18.80,17.69,17.71,15792759.00
21/12/2009,18.15,18.63,17.85,18.15,8393887.00
22/12/2009,18.64,18.94,17.93,18.64,1521926.00
23/12/2009,18.65,18.72,18.31,18.31,4676793.00
28/12/2009,18.64,18.88,18.47,18.67,2360099.00
29/12/2009,18.64,19.11,18.64,18.98,1470086.00
30/12/2009,18.86,19.29,18.80,19.29,2840857.00
04/01/2010,19.61,19.61,19.44,19.53,17676171.00
05/01/2010,19.57,19.57,18.93,19.21,8156748.00
06/01/2010,19.43,19.45,19.14,19.32,3153017.00
07/01/2010,19.10,19.56,19.10,19.34,15131146.00
08/01/2010,19.37,19.59,19.37,19.53,40976947.00
11/01/2010,19.57,19.57,19.13,19.25,11570081.00
12/01/2010,19.25,19.43,18.64,19.27,15314943.00
13/01/2010,19.29,19.29,18.80,19.09,4181722.00
14/01/2010,18.96,19.25,18.81,19.12,2829295.00
15/01/2010,19.32,19.34,18.88,19.04,2211419.00
18/01/2010,19.04,19.29,18.96,19.13,6606526.00
19/01/2010,19.09,19.36,18.92,19.13,10174697.00
20/01/2010,19.21,19.21,18.80,19.04,4443013.00
21/01/2010,19.05,19.25,18.96,19.19,6106079.00
22/01/2010,19.04,19.21,18.84,19.21,5451040.00
26/01/2010,19.21,19.21,18.43,18.47,7400027.00
27/01/2010,18.56,18.82,18.31,18.62,8702916.00
28/01/2010,18.64,18.83,18.23,18.72,11089102.00
29/01/2010,18.83,19.13,18.16,18.95,2887430.00
01/02/2010,18.95,18.96,18.23,18.23,7706316.00
02/02/2010,18.19,18.31,18.16,18.28,3237345.00
03/02/2010,18.47,18.78,18.13,18.31,7048414.00
04/02/2010,18.31,18.63,17.81,17.98,6929756.00
05/02/2010,17.74,17.74,16.90,17.33,21914271.00
08/02/2010,16.95,17.80,16.95,17.51,3684597.00
09/02/2010,17.98,18.59,17.74,18.47,8675135.00
10/02/2010,18.55,18.80,18.01,18.64,5525800.00
11/02/2010,18.75,18.75,18.07,18.15,5457558.00
12/02/2010,18.15,18.73,18.08,18.64,815253.00
17/02/2010,18.66,19.12,18.36,18.67,4773872.00
18/02/2010,18.80,19.03,18.47,19.03,5750667.00
19/02/2010,18.72,18.83,18.64,18.64,240249.00
22/02/2010,18.63,19.29,18.63,18.96,2164238.00
23/02/2010,18.84,19.21,18.36,18.64,8413316.00
24/02/2010,18.96,18.96,18.15,18.43,2635970.00
25/02/2010,18.44,18.47,17.82,17.98,10290976.00
26/02/2010,18.23,18.31,17.82,17.90,7056560.00
01/03/2010,18.30,18.32,17.82,18.14,5497844.00
02/03/2010,18.39,18.50,18.13,18.42,2155963.00
03/03/2010,18.49,18.49,17.98,18.21,2725759.00
04/03/2010,18.19,18.80,18.19,18.80,917571.00
05/03/2010,18.64,18.67,18.18,18.63,2601245.00
08/03/2010,18.46,18.46,18.03,18.03,1529301.00
09/03/2010,17.68,17.85,17.49,17.70,16551638.00
10/03/2010,17.88,18.05,17.49,17.98,9909864.00
11/03/2010,17.87,18.31,17.87,18.31,8996776.00
12/03/2010,18.31,18.39,17.98,17.98,4128773.00
15/03/2010,18.15,18.55,17.83,18.47,6095405.00
16/03/2010,18.20,18.47,18.16,18.47,3693380.00
17/03/2010,18.42,18.67,18.32,18.47,17909131.00
18/03/2010,18.63,18.63,18.27,18.39,4406750.00
19/03/2010,18.39,18.40,18.02,18.15,10152116.00
22/03/2010,18.14,18.47,17.78,18.27,7166270.00
23/03/2010,18.28,18.28,17.98,18.08,4560978.00
24/03/2010,18.22,18.22,17.84,18.06,6556866.00
25/03/2010,18.16,18.41,17.91,18.08,9308062.00
26/03/2010,17.90,18.08,17.58,17.84,2455015.00
29/03/2010,17.85,17.99,17.78,17.83,5050517.00
30/03/2010,17.83,17.91,17.51,17.58,12086924.00
31/03/2010,17.58,18.58,17.26,18.58,11123759.00
01/04/2010,18.57,18.66,17.70,17.75,2810285.00
05/04/2010,17.75,17.80,17.50,17.50,2541149.00
06/04/2010,17.50,17.50,17.10,17.14,1981174.00
07/04/2010,17.17,17.52,16.69,17.24,20989068.00
08/04/2010,17.05,17.31,17.04,17.12,14689153.00
09/04/2010,17.25,17.73,17.25,17.42,33130950.00
12/04/2010,17.09,17.58,17.09,17.55,3066826.00
13/04/2010,17.55,17.66,17.26,17.58,7402956.00
14/04/2010,17.91,18.33,17.66,18.33,13044538.00
15/04/2010,18.25,18.63,17.61,18.63,12139384.00
16/04/2010,18.69,19.42,18.42,19.24,34818220.00
19/04/2010,19.07,19.07,18.59,18.91,23962311.00
20/04/2010,19.07,19.31,19.05,19.05,13872629.00
22/04/2010,19.01,19.89,19.01,19.70,21517296.00
23/04/2010,19.36,19.90,19.21,19.90,28250354.00
26/04/2010,19.73,19.82,19.53,19.65,7971905.00
27/04/2010,19.65,19.65,19.24,19.33,38611025.00
28/04/2010,19.33,19.33,18.96,19.08,8112935.00
29/04/2010,18.83,19.85,18.82,19.82,19030412.00
30/04/2010,19.78,19.87,19.62,19.82,17252786.00
03/05/2010,19.45,19.82,19.08,19.08,12606242.00
04/05/2010,19.64,19.64,18.58,18.91,16538003.00
05/05/2010,18.43,19.37,18.43,19.08,4868669.00
06/05/2010,19.20,19.40,18.91,19.16,30295955.00
07/05/2010,19.16,19.86,18.96,19.24,34654576.00
10/05/2010,19.70,20.73,19.47,20.45,25108588.00
11/05/2010,20.65,21.20,20.13,20.57,54592021.00
12/05/2010,20.73,20.73,19.91,20.32,42436959.00
13/05/2010,20.15,20.15,19.62,19.99,6833445.00
14/05/2010,19.62,19.91,19.24,19.57,23058026.00
17/05/2010,19.57,20.43,19.27,20.43,10303898.00
18/05/2010,20.24,21.22,19.94,20.07,12851620.00
19/05/2010,19.65,20.04,19.24,19.24,12476228.00
20/05/2010,19.24,19.32,18.38,19.32,9193537.00
21/05/2010,19.90,20.24,19.66,20.23,19642727.00
24/05/2010,20.07,20.64,20.07,20.64,3561721.00
25/05/2010,20.24,20.73,20.10,20.49,18292307.00
26/05/2010,20.54,20.96,20.49,20.76,13822706.00
27/05/2010,21.15,22.14,21.15,22.14,6678180.00
28/05/2010,22.23,22.23,20.95,21.40,13330584.00
31/05/2010,21.40,21.90,21.40,21.53,5013296.00
01/06/2010,21.48,21.56,20.90,21.23,8797629.00
02/06/2010,21.23,21.86,21.11,21.56,7104194.00
04/06/2010,21.56,22.06,21.15,21.40,20578574.00
07/06/2010,21.15,21.23,20.32,20.32,7027800.00
08/06/2010,20.65,21.23,20.40,20.90,5706554.00
09/06/2010,21.07,21.23,20.93,21.23,2301101.00
10/06/2010,21.40,21.89,21.23,21.89,21690898.00
11/06/2010,21.90,22.36,21.60,22.36,13681941.00
14/06/2010,22.36,22.36,21.65,22.34,7562861.00
15/06/2010,22.14,22.39,21.90,22.39,872354.00
16/06/2010,22.37,22.39,21.98,22.23,10376046.00
17/06/2010,22.43,22.89,22.39,22.73,6874438.00
18/06/2010,22.89,22.94,22.41,22.73,18849952.00
21/06/2010,22.73,22.88,21.91,21.93,10309820.00
22/06/2010,22.06,22.84,21.37,21.64,29502405.00
23/06/2010,21.65,21.71,21.15,21.15,14569558.00
24/06/2010,21.14,21.32,20.73,20.73,3573877.00
25/06/2010,20.74,21.32,20.73,21.28,9532277.00
28/06/2010,21.32,22.76,21.31,22.39,27081420.00
29/06/2010,21.94,22.41,21.94,22.38,12747866.00
30/06/2010,22.31,22.39,21.92,22.22,13557124.00
01/07/2010,22.06,22.21,21.81,21.81,5099959.00
02/07/2010,21.75,22.07,21.23,21.23,6925886.00
05/07/2010,21.23,21.32,20.87,20.90,1393188.00
06/07/2010,21.23,21.23,20.62,20.62,3781501.00
07/07/2010,20.65,21.21,20.62,21.01,26476168.00
08/07/2010,21.13,21.40,21.07,21.40,14585866.00
12/07/2010,21.89,22.06,21.65,22.06,14678887.00
13/07/2010,22.06,22.06,21.73,21.90,2373894.00
14/07/2010,21.81,22.01,21.34,21.84,10374779.00
15/07/2010,21.96,21.96,21.50,21.73,723477.00
16/07/2010,21.40,21.73,21.33,21.46,8113438.00
19/07/2010,21.65,21.65,21.23,21.56,1894581.00
20/07/2010,21.40,21.80,21.32,21.76,22061809.00
21/07/2010,22.04,22.06,21.85,22.06,3467402.00
22/07/2010,22.06,22.18,21.98,22.06,3868553.00
23/07/2010,22.06,22.23,21.98,22.14,9020565.00
26/07/2010,22.22,22.22,21.98,22.06,17985890.00
27/07/2010,22.06,22.13,22.06,22.06,4988187.00
28/07/2010,22.06,22.35,21.90,22.31,8064388.00
29/07/2010,22.26,22.30,21.66,21.73,49946177.00
30/07/2010,21.90,21.90,21.34,21.38,38277531.00
02/08/2010,21.56,21.84,21.38,21.48,19053607.00
03/08/2010,21.40,21.56,21.12,21.23,7447199.00
04/08/2010,21.48,21.48,20.98,20.98,7740811.00
05/08/2010,21.15,21.15,20.76,20.89,11701014.00
06/08/2010,20.88,20.88,20.01,20.12,17510922.00
09/08/2010,20.40,20.73,19.90,20.73,9767705.00
10/08/2010,20.73,20.73,20.57,20.73,3636493.00
11/08/2010,20.71,20.71,20.49,20.54,6186739.00
12/08/2010,20.63,20.65,20.35,20.56,6064652.00
