date,open,high,low,close,vol
18/12/2009,5.88,5.89,5.81,5.86,7468240.00
21/12/2009,5.92,6.10,5.86,6.01,8695234.00
22/12/2009,6.06,6.25,6.01,6.24,11730453.00
23/12/2009,6.24,6.24,6.08,6.15,7411661.00
28/12/2009,6.18,6.20,6.08,6.14,4984758.00
29/12/2009,6.10,6.17,6.07,6.07,4228033.00
30/12/2009,6.06,6.21,6.01,6.21,5334970.00
04/01/2010,6.24,6.24,6.14,6.20,6213163.00
05/01/2010,6.22,6.32,6.14,6.20,7771834.00
06/01/2010,6.20,6.30,6.16,6.17,9715377.00
07/01/2010,6.17,6.24,6.13,6.14,7774794.00
08/01/2010,6.13,6.17,6.01,6.01,12198414.00
11/01/2010,6.10,6.13,6.01,6.06,11655363.00
12/01/2010,6.07,6.15,6.05,6.13,6025721.00
13/01/2010,6.15,6.25,6.08,6.15,5364519.00
14/01/2010,6.13,6.17,6.09,6.12,7784582.00
15/01/2010,6.09,6.16,6.04,6.13,12483160.00
18/01/2010,6.09,6.15,6.06,6.06,3949144.00
19/01/2010,6.04,6.06,6.00,6.03,6296185.00
20/01/2010,6.00,6.03,5.90,5.93,10226923.00
21/01/2010,5.93,5.93,5.86,5.89,8722456.00
22/01/2010,5.85,5.92,5.80,5.91,11701965.00
26/01/2010,5.86,5.92,5.86,5.92,15362592.00
27/01/2010,5.91,6.02,5.89,5.89,7857266.00
28/01/2010,5.92,5.94,5.78,5.79,10236216.00
29/01/2010,5.84,5.92,5.70,5.82,11347086.00
01/02/2010,5.80,5.91,5.77,5.84,4518018.00
02/02/2010,5.81,5.91,5.81,5.85,4354723.00
03/02/2010,5.85,5.88,5.81,5.82,5452639.00
04/02/2010,5.82,5.83,5.65,5.72,17509386.00
05/02/2010,5.65,5.79,5.61,5.74,10981046.00
08/02/2010,5.74,5.83,5.66,5.83,5627073.00
09/02/2010,5.91,5.92,5.81,5.92,9992829.00
10/02/2010,5.92,5.97,5.84,5.95,6592812.00
11/02/2010,5.95,5.98,5.85,5.91,4297145.00
12/02/2010,5.87,5.97,5.87,5.87,4072184.00
17/02/2010,5.90,6.06,5.90,5.98,5276841.00
18/02/2010,6.04,6.04,5.87,6.00,4936734.00
19/02/2010,6.00,6.01,5.86,5.91,6315405.00
22/02/2010,5.97,5.98,5.81,5.86,8928754.00
23/02/2010,5.86,5.86,5.78,5.83,5219738.00
24/02/2010,5.88,5.88,5.78,5.84,5751252.00
25/02/2010,5.77,5.86,5.73,5.85,5253443.00
26/02/2010,5.82,5.94,5.75,5.94,12254601.00
01/03/2010,5.94,5.99,5.88,5.95,7154055.00
02/03/2010,5.99,6.03,5.94,6.00,6014851.00
03/03/2010,6.04,6.04,5.92,6.01,6636855.00
04/03/2010,6.03,6.03,5.86,5.95,7006703.00
05/03/2010,6.04,6.04,5.97,5.99,3843123.00
08/03/2010,6.01,6.01,5.92,5.92,4319529.00
09/03/2010,5.92,6.11,5.92,6.10,9140557.00
10/03/2010,6.12,6.19,6.02,6.02,6598469.00
11/03/2010,6.02,6.04,5.92,5.95,10034910.00
12/03/2010,6.01,6.01,5.82,5.82,9704422.00
15/03/2010,5.82,5.87,5.76,5.78,6937798.00
16/03/2010,5.83,5.83,5.74,5.74,14012445.00
17/03/2010,5.76,5.79,5.72,5.74,9793201.00
18/03/2010,5.77,5.80,5.70,5.77,5717396.00
19/03/2010,5.78,5.79,5.73,5.74,7425669.00
22/03/2010,5.73,5.77,5.72,5.77,7012358.00
23/03/2010,5.79,5.79,5.73,5.76,4545849.00
24/03/2010,5.74,5.76,5.71,5.71,4306899.00
25/03/2010,5.73,5.76,5.63,5.66,5575414.00
26/03/2010,5.66,5.73,5.57,5.63,7895934.00
29/03/2010,5.68,5.68,5.61,5.64,7085572.00
30/03/2010,5.65,5.73,5.58,5.73,11443066.00
31/03/2010,5.66,5.74,5.66,5.74,15695498.00
01/04/2010,5.74,5.74,5.70,5.74,6773330.00
05/04/2010,5.74,5.79,5.71,5.79,6957322.00
06/04/2010,5.75,5.84,5.73,5.84,8145574.00
07/04/2010,5.82,5.87,5.79,5.85,8503540.00
08/04/2010,5.85,5.90,5.82,5.88,9096998.00
09/04/2010,5.89,5.93,5.85,5.90,8825794.00
12/04/2010,5.86,5.95,5.86,5.90,5682120.00
13/04/2010,5.94,5.94,5.87,5.92,3777136.00
14/04/2010,5.94,5.94,5.88,5.89,5256663.00
15/04/2010,5.88,5.93,5.88,5.88,6530450.00
16/04/2010,5.86,5.93,5.82,5.92,9403273.00
19/04/2010,5.93,5.95,5.89,5.94,5079940.00
20/04/2010,5.94,5.94,5.83,5.93,4722513.00
22/04/2010,5.87,5.93,5.79,5.91,4286216.00
23/04/2010,5.87,5.95,5.85,5.95,6568075.00
26/04/2010,5.93,5.98,5.89,5.94,7204471.00
27/04/2010,5.95,5.97,5.77,5.82,6464041.00
28/04/2010,5.92,5.95,5.80,5.92,7220390.00
29/04/2010,5.88,6.03,5.88,5.98,4473458.00
30/04/2010,5.95,5.95,5.72,5.82,15715732.00
03/05/2010,5.83,5.91,5.83,5.88,7522779.00
04/05/2010,5.83,5.94,5.80,5.82,9749838.00
05/05/2010,5.73,5.88,5.73,5.78,7027526.00
06/05/2010,5.84,5.84,5.61,5.71,10491219.00
07/05/2010,5.62,5.71,5.49,5.67,7578753.00
