date,open,high,low,close,vol
18/12/2009,3.95,4.26,3.87,4.04,7478041.00
21/12/2009,4.15,4.44,4.15,4.38,743582.00
22/12/2009,4.39,4.44,4.29,4.30,561936.00
23/12/2009,4.26,4.33,4.12,4.33,357145.00
28/12/2009,4.28,4.36,4.28,4.36,24285.00
29/12/2009,4.30,4.30,4.30,4.30,14850.00
04/01/2010,4.29,4.29,3.95,4.14,98379.00
05/01/2010,4.12,4.24,4.12,4.21,37827.00
06/01/2010,4.19,4.22,4.08,4.08,28784.00
07/01/2010,4.14,4.14,4.14,4.14,3900.00
08/01/2010,4.14,4.17,4.08,4.08,28566.00
11/01/2010,4.08,4.13,4.04,4.07,141760.00
12/01/2010,4.06,4.26,4.06,4.20,93416.00
13/01/2010,4.17,4.17,4.14,4.14,17000.00
14/01/2010,4.14,4.36,4.10,4.17,224185.00
15/01/2010,4.18,4.19,4.18,4.19,17102.00
18/01/2010,4.23,4.23,4.19,4.19,77038.00
19/01/2010,4.21,4.23,4.21,4.23,83774.00
20/01/2010,4.24,4.24,4.19,4.19,30471.00
21/01/2010,4.24,4.24,4.04,4.07,193171.00
22/01/2010,4.07,4.08,4.07,4.08,17925.00
26/01/2010,4.19,4.19,4.19,4.19,210560.00
27/01/2010,4.04,4.04,3.77,3.85,842885.00
28/01/2010,3.91,3.91,3.82,3.87,87721.00
29/01/2010,3.77,3.77,3.54,3.63,1798895.00
01/02/2010,3.63,3.69,3.60,3.69,460683.00
02/02/2010,3.70,3.72,3.66,3.72,59224.00
03/02/2010,3.69,3.77,3.69,3.76,81673.00
04/02/2010,3.76,3.82,3.63,3.64,228640.00
05/02/2010,3.63,3.63,3.50,3.58,98347.00
08/02/2010,3.50,3.65,3.50,3.63,51447.00
09/02/2010,3.63,3.76,3.63,3.69,236627.00
10/02/2010,3.71,3.82,3.69,3.72,164499.00
11/02/2010,3.70,3.88,3.69,3.88,472806.00
12/02/2010,3.96,3.96,3.76,3.88,68974.00
17/02/2010,3.83,3.88,3.76,3.88,25016.00
18/02/2010,3.87,3.88,3.87,3.88,6089.00
19/02/2010,3.88,3.90,3.77,3.90,36142.00
22/02/2010,3.79,3.84,3.74,3.82,202231.00
23/02/2010,3.76,3.82,3.74,3.74,129115.00
24/02/2010,3.82,3.82,3.80,3.80,20370.00
25/02/2010,3.72,3.79,3.70,3.73,64402.00
26/02/2010,3.71,3.79,3.71,3.79,4731.00
01/03/2010,3.72,3.80,3.69,3.80,66805.00
02/03/2010,3.82,3.82,3.72,3.77,335569.00
03/03/2010,3.76,3.78,3.74,3.74,138285.00
04/03/2010,3.74,3.79,3.71,3.71,95922.00
05/03/2010,3.77,3.77,3.72,3.72,148172.00
08/03/2010,3.73,3.73,3.73,3.73,64460.00
09/03/2010,3.76,3.79,3.73,3.73,118692.00
