date,open,high,low,close,vol
18/12/2009,7.99,8.02,7.87,8.02,14105389.00
21/12/2009,8.07,8.07,7.89,7.89,21930612.00
22/12/2009,8.04,8.08,7.94,8.08,15734640.00
23/12/2009,8.09,8.09,7.88,7.96,22548513.00
28/12/2009,8.04,8.09,8.01,8.07,10094791.00
29/12/2009,8.04,8.08,8.01,8.04,10869108.00
30/12/2009,8.01,8.04,7.85,7.85,39813334.00
04/01/2010,7.91,8.03,7.91,7.99,28181611.00
05/01/2010,8.03,8.13,8.01,8.08,25332850.00
06/01/2010,8.04,8.26,8.04,8.21,42413287.00
07/01/2010,8.10,8.16,8.06,8.16,26991883.00
08/01/2010,8.10,8.21,8.09,8.13,10617116.00
11/01/2010,8.23,8.35,8.15,8.27,31248840.00
12/01/2010,8.19,8.29,8.05,8.23,43434712.00
13/01/2010,8.24,8.24,8.09,8.19,13563013.00
14/01/2010,8.19,8.21,8.09,8.21,14810682.00
15/01/2010,8.10,8.21,8.09,8.16,26118783.00
18/01/2010,8.15,8.23,8.09,8.21,5704878.00
19/01/2010,8.12,8.22,8.02,8.22,13564617.00
20/01/2010,7.99,8.21,7.99,8.19,16134927.00
21/01/2010,8.07,8.23,8.04,8.13,18893944.00
22/01/2010,8.09,8.12,7.91,8.02,92047592.00
26/01/2010,7.95,8.23,7.86,8.01,21958283.00
27/01/2010,8.01,8.18,7.86,7.99,27457017.00
28/01/2010,8.00,8.16,7.94,8.16,16125296.00
29/01/2010,8.18,8.23,8.08,8.13,15043666.00
01/02/2010,8.14,8.23,7.94,8.19,20538600.00
02/02/2010,8.18,8.33,8.04,8.15,20118939.00
03/02/2010,8.15,8.16,7.99,8.06,21507996.00
04/02/2010,8.06,8.08,7.68,7.79,26801909.00
05/02/2010,7.79,7.96,7.65,7.96,50323993.00
08/02/2010,7.90,8.13,7.78,8.07,43808633.00
09/02/2010,8.17,8.24,7.97,8.20,30579310.00
10/02/2010,8.20,8.20,8.03,8.09,33772707.00
11/02/2010,8.15,8.15,7.94,8.02,30436520.00
12/02/2010,8.06,8.06,7.84,8.02,25318021.00
17/02/2010,8.14,8.18,7.97,8.06,18006211.00
18/02/2010,8.02,8.05,7.92,8.00,24732743.00
19/02/2010,7.97,8.03,7.96,8.02,18937845.00
22/02/2010,8.03,8.11,7.95,8.04,27965780.00
23/02/2010,7.97,8.06,7.90,8.02,24422897.00
24/02/2010,8.08,8.08,7.87,8.02,16364925.00
25/02/2010,8.00,8.09,7.88,8.09,25967926.00
26/02/2010,8.04,8.05,7.90,7.90,41987929.00
01/03/2010,7.98,7.98,7.83,7.92,19613840.00
02/03/2010,7.91,8.16,7.91,8.09,33173075.00
03/03/2010,8.14,8.25,8.09,8.19,15347457.00
04/03/2010,8.24,8.30,8.12,8.19,14419726.00
05/03/2010,8.20,8.28,8.16,8.28,15425230.00
08/03/2010,8.30,8.42,8.21,8.39,26589161.00
09/03/2010,8.35,8.69,8.31,8.65,43729110.00
10/03/2010,8.69,8.70,8.61,8.70,23131736.00
11/03/2010,8.69,8.69,8.45,8.59,19799531.00
12/03/2010,8.60,8.60,8.24,8.39,24584143.00
15/03/2010,8.29,8.34,8.16,8.34,22345717.00
16/03/2010,8.34,8.45,8.21,8.45,21871271.00
17/03/2010,8.45,8.59,8.40,8.50,22620391.00
18/03/2010,8.50,8.58,8.42,8.58,29588400.00
19/03/2010,8.58,8.61,8.27,8.36,24128323.00
22/03/2010,8.29,8.49,8.21,8.45,12554478.00
23/03/2010,8.49,8.56,8.33,8.49,20161006.00
24/03/2010,8.39,8.41,8.26,8.33,19748519.00
25/03/2010,8.38,8.42,8.27,8.40,26947941.00
26/03/2010,8.40,8.64,8.30,8.42,15915209.00
29/03/2010,8.50,8.53,8.39,8.53,17389937.00
30/03/2010,8.50,8.55,8.42,8.55,10821028.00
31/03/2010,8.55,8.55,8.43,8.50,24380454.00
01/04/2010,8.56,8.64,8.50,8.50,44884051.00
05/04/2010,8.50,8.60,8.25,8.40,27162536.00
06/04/2010,8.33,8.53,8.26,8.53,36444531.00
07/04/2010,8.46,8.60,8.44,8.45,32488902.00
08/04/2010,8.51,8.63,8.46,8.61,41091414.00
09/04/2010,8.57,8.64,8.44,8.49,27863066.00
12/04/2010,8.47,8.47,8.32,8.32,16790873.00
13/04/2010,8.32,8.36,8.10,8.18,31373615.00
14/04/2010,8.20,8.21,8.04,8.09,37159096.00
15/04/2010,8.10,8.11,7.96,8.08,21974475.00
16/04/2010,8.01,8.06,7.94,8.06,21779418.00
19/04/2010,8.06,8.09,7.93,8.05,15025204.00
20/04/2010,8.05,8.17,8.05,8.17,19938175.00
22/04/2010,8.12,8.40,8.02,8.40,32688649.00
23/04/2010,8.40,8.43,8.28,8.37,41179125.00
26/04/2010,8.31,8.39,8.29,8.38,14759213.00
27/04/2010,8.37,8.37,8.06,8.09,28375196.00
28/04/2010,8.22,8.22,7.98,8.15,26341253.00
29/04/2010,8.13,8.20,8.04,8.15,29598142.00
30/04/2010,8.11,8.21,8.05,8.15,54897490.00
03/05/2010,8.15,8.19,8.07,8.13,40498963.00
04/05/2010,8.05,8.15,7.90,8.05,54515617.00
05/05/2010,7.99,8.19,7.97,8.12,28281420.00
06/05/2010,8.11,8.11,7.77,8.08,56396620.00
07/05/2010,8.01,8.10,7.85,7.99,35561197.00
10/05/2010,8.11,8.29,8.07,8.21,46581427.00
11/05/2010,8.16,8.31,8.10,8.24,29741036.00
12/05/2010,8.20,8.37,8.11,8.34,24993200.00
13/05/2010,8.27,8.27,8.12,8.20,30833707.00
14/05/2010,8.12,8.31,8.02,8.31,33133837.00
17/05/2010,8.21,8.31,8.04,8.31,29065306.00
18/05/2010,8.24,8.32,8.16,8.27,54961661.00
19/05/2010,8.27,8.33,8.09,8.16,46655818.00
