date,open,high,low,close,vol
18/12/2009,4.10,4.10,3.96,4.00,1173949.00
21/12/2009,4.03,4.14,4.03,4.10,1179171.00
22/12/2009,4.18,4.25,4.14,4.18,1985303.00
23/12/2009,4.18,4.18,4.03,4.14,8778199.00
28/12/2009,4.18,4.18,4.14,4.14,575649.00
29/12/2009,4.18,4.18,4.10,4.14,3581098.00
30/12/2009,4.14,4.18,4.03,4.18,1924435.00
04/01/2010,4.18,4.18,4.03,4.10,792983.00
05/01/2010,4.14,4.46,4.10,4.43,4542744.00
06/01/2010,4.46,4.46,4.14,4.36,4154890.00
07/01/2010,4.32,4.32,4.18,4.21,2365873.00
08/01/2010,4.28,4.28,4.18,4.18,1141919.00
11/01/2010,4.21,4.32,4.18,4.28,1887678.00
12/01/2010,4.28,4.36,4.25,4.28,1375012.00
13/01/2010,4.36,4.46,4.28,4.32,2543689.00
14/01/2010,4.39,4.43,4.28,4.39,1319490.00
15/01/2010,4.50,4.54,4.39,4.39,2561522.00
18/01/2010,4.50,4.54,4.39,4.46,3235421.00
19/01/2010,4.50,4.50,4.39,4.46,1055614.00
20/01/2010,4.43,4.46,4.32,4.39,3763852.00
21/01/2010,4.39,4.43,4.25,4.28,1601235.00
22/01/2010,4.36,4.50,3.96,4.03,5608886.00
26/01/2010,4.03,4.03,3.56,3.67,5939766.00
27/01/2010,3.74,3.78,3.60,3.60,2414375.00
28/01/2010,3.71,3.74,3.60,3.64,1709855.00
29/01/2010,3.67,3.82,3.64,3.74,3150062.00
01/02/2010,3.78,3.82,3.67,3.74,2516177.00
02/02/2010,3.78,3.78,3.67,3.74,2010992.00
03/02/2010,3.74,3.82,3.71,3.74,1534890.00
04/02/2010,3.74,3.78,3.56,3.60,3288973.00
05/02/2010,3.53,3.56,3.42,3.49,7046798.00
08/02/2010,3.56,3.60,3.53,3.56,1158542.00
09/02/2010,3.56,3.64,3.53,3.56,1232645.00
10/02/2010,3.60,3.60,3.53,3.60,901651.00
11/02/2010,3.56,3.60,3.53,3.56,802109.00
12/02/2010,3.56,3.64,3.53,3.56,1317390.00
17/02/2010,3.60,3.60,3.53,3.60,1158475.00
18/02/2010,3.60,3.78,3.56,3.74,3508132.00
19/02/2010,3.74,3.82,3.71,3.74,1621432.00
22/02/2010,3.78,3.82,3.71,3.71,1501551.00
23/02/2010,3.71,3.74,3.60,3.67,1149886.00
24/02/2010,3.67,3.71,3.60,3.64,470180.00
25/02/2010,3.60,3.67,3.53,3.56,1245980.00
26/02/2010,3.64,3.67,3.56,3.60,1225936.00
01/03/2010,3.64,3.64,3.53,3.56,2155834.00
02/03/2010,3.60,3.60,3.56,3.56,1717503.00
03/03/2010,3.60,3.60,3.56,3.56,1369825.00
04/03/2010,3.60,3.60,3.53,3.56,913957.00
05/03/2010,3.56,3.60,3.53,3.60,665017.00
08/03/2010,3.56,3.60,3.53,3.56,1055499.00
09/03/2010,3.56,3.56,3.49,3.56,1414179.00
10/03/2010,3.53,3.56,3.49,3.56,2814159.00
11/03/2010,3.53,3.56,3.53,3.53,660894.00
12/03/2010,3.53,3.56,3.53,3.53,367695.00
15/03/2010,3.53,3.56,3.49,3.49,327283.00
16/03/2010,3.53,3.53,3.46,3.53,894561.00
17/03/2010,3.49,3.53,3.46,3.46,1243886.00
18/03/2010,3.46,3.67,3.46,3.60,11162139.00
19/03/2010,3.64,3.71,3.53,3.60,2228011.00
22/03/2010,3.64,3.64,3.53,3.53,1916271.00
23/03/2010,3.56,3.56,3.49,3.49,1181178.00
24/03/2010,3.46,3.46,3.24,3.24,9385416.00
25/03/2010,3.24,3.28,2.95,2.95,7456827.00
26/03/2010,2.95,2.99,2.88,2.92,2485601.00
29/03/2010,2.99,2.99,2.70,2.74,6378101.00
30/03/2010,2.77,2.81,2.63,2.66,4184113.00
31/03/2010,2.66,2.88,2.59,2.77,11907270.00
01/04/2010,2.81,2.88,2.77,2.81,3265680.00
05/04/2010,2.81,2.84,2.70,2.81,2071221.00
06/04/2010,2.77,2.81,2.70,2.74,2185461.00
07/04/2010,2.77,2.81,2.74,2.77,1188346.00
08/04/2010,2.77,2.81,2.74,2.77,1181569.00
09/04/2010,2.81,2.81,2.70,2.74,896259.00
12/04/2010,2.74,2.77,2.70,2.70,816003.00
13/04/2010,2.74,2.77,2.70,2.74,360573.00
14/04/2010,2.74,2.74,2.66,2.70,1049534.00
15/04/2010,2.70,2.74,2.66,2.66,3138187.00
16/04/2010,2.66,2.70,2.52,2.63,2192230.00
19/04/2010,2.59,2.63,2.56,2.59,596295.00
20/04/2010,2.59,2.63,2.56,2.59,492321.00
22/04/2010,2.59,2.59,2.52,2.56,1520174.00
23/04/2010,2.59,2.59,2.52,2.56,1354392.00
26/04/2010,2.59,2.59,2.52,2.52,377136.00
27/04/2010,2.56,2.59,2.52,2.59,1312085.00
28/04/2010,2.56,2.56,2.41,2.41,3135542.00
29/04/2010,2.52,2.56,2.45,2.52,1021466.00
30/04/2010,2.52,2.59,2.52,2.56,478593.00
03/05/2010,2.56,2.63,2.48,2.48,3101493.00
04/05/2010,2.52,2.52,2.41,2.45,878470.00
05/05/2010,2.41,2.41,2.27,2.34,1286954.00
06/05/2010,2.34,2.38,2.20,2.27,1107931.00
07/05/2010,2.27,2.30,2.16,2.23,673041.00
10/05/2010,2.27,2.38,2.23,2.27,1533735.00
11/05/2010,2.27,2.27,2.20,2.23,2971189.00
12/05/2010,2.27,2.27,2.20,2.23,2194302.00
13/05/2010,2.27,2.27,2.16,2.20,833746.00
14/05/2010,2.23,2.23,2.12,2.16,891852.00
17/05/2010,2.16,2.20,2.05,2.09,904238.00
18/05/2010,2.12,2.16,2.02,2.02,2182618.00
19/05/2010,1.98,2.02,1.91,1.98,1732216.00
20/05/2010,1.94,1.94,1.84,1.91,3210673.00
21/05/2010,1.91,2.05,1.91,1.98,2506915.00
24/05/2010,1.98,2.05,1.94,2.02,626450.00
25/05/2010,1.94,2.02,1.94,1.98,923963.00
26/05/2010,2.02,2.02,1.94,1.98,1204713.00
27/05/2010,2.02,2.02,1.94,2.02,476064.00
28/05/2010,2.02,2.02,1.98,2.02,269633.00
31/05/2010,2.02,2.30,2.02,2.20,8801678.00
01/06/2010,2.20,2.23,2.12,2.12,2279928.00
02/06/2010,2.12,2.23,2.12,2.16,2659246.00
04/06/2010,2.16,2.20,2.09,2.16,720253.00
07/06/2010,2.16,2.16,2.09,2.12,1805581.00
08/06/2010,2.12,2.16,2.09,2.12,979952.00
09/06/2010,2.16,2.16,2.09,2.09,2118375.00
10/06/2010,2.12,2.30,2.12,2.23,3911487.00
11/06/2010,2.27,2.30,2.23,2.30,5325783.00
14/06/2010,2.30,2.52,2.30,2.34,4153592.00
15/06/2010,2.30,2.38,2.27,2.34,838366.00
16/06/2010,2.34,2.34,2.30,2.34,669142.00
17/06/2010,2.34,2.34,2.30,2.30,4012960.00
18/06/2010,2.30,2.30,2.27,2.27,1134379.00
21/06/2010,2.27,2.34,2.23,2.30,1511570.00
22/06/2010,2.30,2.30,2.23,2.27,618656.00
23/06/2010,2.23,2.27,2.16,2.27,1723897.00
24/06/2010,2.23,2.23,2.16,2.20,2629291.00
25/06/2010,2.20,2.23,2.16,2.20,555159.00
28/06/2010,2.23,2.23,2.16,2.20,195898.00
29/06/2010,2.12,2.20,2.12,2.12,1126856.00
30/06/2010,2.16,2.16,2.09,2.09,650833.00
01/07/2010,2.12,2.12,2.09,2.09,567508.00
02/07/2010,2.12,2.12,2.05,2.12,918792.00
05/07/2010,2.09,2.12,2.05,2.09,554061.00
06/07/2010,2.09,2.27,2.09,2.12,2893272.00
07/07/2010,2.16,2.20,2.09,2.12,699801.00
08/07/2010,2.12,2.16,2.09,2.12,578495.00
12/07/2010,2.12,2.12,2.05,2.09,637626.00
13/07/2010,2.09,2.12,2.05,2.12,1424158.00
14/07/2010,2.12,2.12,2.05,2.09,673783.00
15/07/2010,2.09,2.09,2.05,2.09,287372.00
16/07/2010,2.09,2.09,2.05,2.05,478558.00
19/07/2010,2.09,2.09,2.05,2.09,133940.00
20/07/2010,2.05,2.16,2.05,2.12,644915.00
21/07/2010,2.12,2.16,2.05,2.09,4060768.00
22/07/2010,2.12,2.27,2.05,2.09,13448695.00
23/07/2010,2.16,2.20,2.09,2.12,3385942.00
26/07/2010,2.12,2.16,2.09,2.12,2062323.00
27/07/2010,2.12,2.16,2.09,2.09,909406.00
28/07/2010,2.12,2.20,2.09,2.12,3541606.00
29/07/2010,2.12,2.20,2.12,2.16,551657.00
30/07/2010,2.16,2.16,2.12,2.12,727408.00
02/08/2010,2.16,2.20,2.12,2.16,1067711.00
03/08/2010,2.16,2.20,2.12,2.16,1106179.00
04/08/2010,2.20,2.56,2.12,2.41,27181464.00
05/08/2010,2.52,2.66,2.45,2.45,16172504.00
06/08/2010,2.48,2.59,2.41,2.48,6806300.00
09/08/2010,2.52,2.59,2.48,2.48,3532099.00
10/08/2010,2.48,2.56,2.38,2.56,3992121.00
11/08/2010,2.59,2.99,2.59,2.92,30014497.00
12/08/2010,2.88,2.92,2.45,2.48,25139446.00
13/08/2010,2.56,2.66,2.41,2.48,15674273.00
16/08/2010,2.48,2.56,2.38,2.41,5018994.00
17/08/2010,2.45,2.52,2.41,2.45,3494060.00
18/08/2010,2.45,2.48,2.41,2.45,1433845.00
19/08/2010,2.45,2.63,2.45,2.59,10704863.00
20/08/2010,2.59,2.70,2.52,2.63,8921754.00
23/08/2010,2.63,2.66,2.52,2.59,1630577.00
24/08/2010,2.56,2.59,2.48,2.52,3744793.00
25/08/2010,2.52,2.56,2.38,2.41,6951431.00
26/08/2010,2.45,2.48,2.27,2.34,8352473.00
27/08/2010,2.34,2.41,2.30,2.34,2794282.00
30/08/2010,2.38,2.38,2.23,2.30,1595710.00
31/08/2010,2.30,2.34,2.27,2.27,2024993.00
01/09/2010,2.30,2.38,2.27,2.30,3184767.00
02/09/2010,2.34,2.34,2.30,2.30,1561889.00
03/09/2010,2.30,2.34,2.27,2.30,5632709.00
06/09/2010,2.30,2.34,2.27,2.30,1235263.00
08/09/2010,2.30,2.34,2.27,2.34,2097139.00
09/09/2010,2.34,2.48,2.30,2.41,8389252.00
10/09/2010,2.45,2.52,2.34,2.38,6045132.00
13/09/2010,2.38,2.45,2.38,2.38,3536643.00
14/09/2010,2.41,2.41,2.34,2.38,953194.00
15/09/2010,2.38,2.45,2.34,2.34,6350184.00
16/09/2010,2.34,2.38,2.30,2.34,2280226.00
17/09/2010,2.34,2.38,2.30,2.34,2070279.00
20/09/2010,2.34,2.34,2.20,2.23,7134630.00
21/09/2010,2.23,2.27,2.16,2.20,5739354.00
22/09/2010,2.20,2.20,2.09,2.12,8501444.00
23/09/2010,2.12,2.16,2.09,2.16,4978713.00
24/09/2010,2.16,2.23,2.12,2.16,5746410.00
27/09/2010,2.20,2.30,2.16,2.27,8230482.00
28/09/2010,2.27,2.30,2.20,2.20,5263847.00
29/09/2010,2.20,2.27,2.16,2.23,2347456.00
30/09/2010,2.20,2.30,2.20,2.27,6154205.00
01/10/2010,2.27,2.34,2.23,2.34,3501187.00
04/10/2010,2.30,2.48,2.30,2.45,11017291.00
05/10/2010,2.48,2.52,2.38,2.38,5924642.00
06/10/2010,2.41,2.41,2.30,2.34,9073672.00
07/10/2010,2.38,2.48,2.27,2.45,15571969.00
08/10/2010,2.48,2.52,2.41,2.52,7187020.00
11/10/2010,2.48,2.63,2.45,2.59,9577862.00
13/10/2010,2.63,2.66,2.56,2.56,10257384.00
14/10/2010,2.59,2.66,2.59,2.66,7561937.00
15/10/2010,2.70,2.81,2.63,2.74,13805060.00
18/10/2010,2.74,2.77,2.63,2.63,6849150.00
19/10/2010,2.63,2.63,2.41,2.56,23254425.00
20/10/2010,2.56,2.77,2.52,2.77,12414401.00
21/10/2010,2.77,2.77,2.56,2.56,17441654.00
22/10/2010,2.56,2.59,2.34,2.38,19852752.00
25/10/2010,2.45,2.45,2.34,2.38,4475238.00
26/10/2010,2.38,2.45,2.34,2.38,2891687.00
