date,open,high,low,close,vol
18/12/2009,33.60,33.60,32.70,33.12,148828548.00
21/12/2009,33.47,33.60,32.96,33.01,121794314.00
22/12/2009,33.19,33.77,33.08,33.64,115376557.00
23/12/2009,33.87,34.32,33.67,34.09,147132852.00
28/12/2009,34.32,34.51,34.15,34.15,53845753.00
29/12/2009,33.95,34.39,33.95,34.06,47177717.00
30/12/2009,33.81,34.20,33.60,33.95,152260051.00
04/01/2010,34.42,35.31,34.15,35.31,121096008.00
05/01/2010,35.34,36.03,35.14,35.64,155792599.00
06/01/2010,35.66,36.60,35.51,36.39,145095768.00
07/01/2010,36.01,36.72,36.00,36.55,134996001.00
08/01/2010,36.55,37.20,36.35,36.90,131628362.00
11/01/2010,37.44,37.44,36.58,36.79,149830308.00
12/01/2010,36.21,36.69,35.87,36.69,137763905.00
13/01/2010,37.17,37.29,36.63,37.14,142113034.00
14/01/2010,37.16,37.58,36.83,37.13,86423230.00
15/01/2010,36.88,37.03,36.24,36.65,118724632.00
18/01/2010,36.55,37.27,36.55,37.17,59806896.00
19/01/2010,36.70,37.72,36.70,37.68,103169480.00
20/01/2010,36.97,37.31,36.35,36.65,167534244.00
21/01/2010,36.76,36.76,35.17,35.39,186536550.00
22/01/2010,35.19,35.35,34.42,34.64,176593483.00
26/01/2010,34.12,34.47,33.67,33.94,216841210.00
27/01/2010,34.04,34.04,33.02,33.47,160532412.00
28/01/2010,33.82,34.21,32.93,33.45,116377034.00
29/01/2010,33.69,34.25,33.27,33.54,167704336.00
01/02/2010,33.87,34.67,33.53,34.56,132976670.00
02/02/2010,35.09,35.10,34.36,34.56,127279950.00
03/02/2010,34.60,34.71,34.26,34.48,144600809.00
04/02/2010,34.03,34.15,32.46,32.62,197603075.00
05/02/2010,32.29,32.51,31.34,32.34,175345786.00
08/02/2010,32.62,33.40,32.37,32.57,211637249.00
09/02/2010,33.05,33.74,32.92,33.26,203344283.00
10/02/2010,33.43,33.53,32.68,33.29,127430731.00
11/02/2010,32.95,34.11,31.99,34.08,396106528.00
12/02/2010,33.71,34.19,33.40,33.84,169419574.00
17/02/2010,35.30,35.39,34.73,35.18,148855481.00
18/02/2010,35.12,35.78,34.77,35.78,120371545.00
19/02/2010,35.39,36.04,35.33,35.66,79594741.00
22/02/2010,35.90,36.00,34.93,34.97,103133552.00
23/02/2010,34.81,34.85,33.97,34.44,187152994.00
24/02/2010,34.56,34.84,34.30,34.56,133178072.00
25/02/2010,34.08,34.94,33.75,34.77,139455168.00
26/02/2010,34.78,34.96,34.36,34.60,289120947.00
01/03/2010,34.84,35.17,34.67,34.95,109641923.00
02/03/2010,35.30,36.11,35.09,35.65,190697818.00
03/03/2010,35.94,36.35,35.58,35.58,141593266.00
04/03/2010,35.84,36.15,35.25,36.07,173894692.00
05/03/2010,36.52,37.31,36.48,37.24,226437412.00
08/03/2010,37.27,37.48,36.96,36.96,147497855.00
09/03/2010,36.72,37.65,36.65,37.24,225575518.00
10/03/2010,37.41,37.44,36.57,36.76,186751497.00
11/03/2010,36.59,36.69,36.00,36.28,124113278.00
12/03/2010,36.61,36.69,36.07,36.07,120643872.00
15/03/2010,35.90,36.44,35.90,36.28,80082617.00
16/03/2010,36.61,37.33,36.46,37.18,118837587.00
17/03/2010,37.44,37.61,36.97,37.22,119443992.00
18/03/2010,37.24,37.47,36.63,36.86,96197265.00
19/03/2010,37.00,37.10,36.31,36.46,71881862.00
22/03/2010,36.20,37.03,35.89,36.96,89151763.00
23/03/2010,37.79,38.54,37.62,38.27,183793311.00
24/03/2010,37.96,38.53,37.96,38.20,105311087.00
25/03/2010,38.54,38.97,37.92,37.92,142956834.00
26/03/2010,38.16,38.63,37.99,38.27,130564015.00
29/03/2010,38.67,39.28,38.64,39.12,116601832.00
30/03/2010,39.60,39.83,39.14,39.40,166224054.00
31/03/2010,39.02,39.53,38.61,39.19,231522520.00
01/04/2010,39.63,39.81,39.30,39.59,107871873.00
05/04/2010,39.78,39.91,39.35,39.48,99829440.00
06/04/2010,39.30,39.80,39.23,39.43,89535042.00
07/04/2010,39.26,40.12,39.21,39.82,162902173.00
08/04/2010,39.62,40.77,39.51,40.74,269926581.00
09/04/2010,40.78,40.96,40.39,40.66,175571936.00
12/04/2010,40.74,41.06,40.29,40.38,152941486.00
13/04/2010,40.46,41.00,40.12,40.70,121518320.00
14/04/2010,40.84,41.22,40.70,41.04,165068259.00
15/04/2010,41.03,41.38,40.90,41.00,148848115.00
16/04/2010,40.76,41.10,40.00,40.43,194271662.00
19/04/2010,39.98,41.11,39.32,39.72,249150961.00
20/04/2010,40.05,40.05,39.05,39.17,163460105.00
22/04/2010,38.46,39.31,37.21,39.31,232985522.00
23/04/2010,39.16,39.31,38.56,38.96,195387404.00
26/04/2010,39.04,39.34,38.69,38.80,102242799.00
27/04/2010,38.35,38.44,36.82,36.83,259587896.00
28/04/2010,37.29,37.31,35.93,36.58,244434101.00
29/04/2010,37.03,37.58,36.86,37.58,187317134.00
30/04/2010,37.32,37.44,36.44,36.68,226307652.00
03/05/2010,36.64,36.90,35.63,35.77,177199033.00
04/05/2010,35.34,35.37,34.05,34.10,327805714.00
05/05/2010,33.85,35.30,33.52,34.95,304574994.00
06/05/2010,34.54,35.54,32.61,34.45,349320842.00
07/05/2010,34.75,35.06,33.62,34.33,236870741.00
10/05/2010,36.07,36.34,35.56,35.79,249034204.00
11/05/2010,35.45,36.10,35.15,35.45,88276377.00
12/05/2010,35.71,35.81,35.16,35.32,91720608.00
13/05/2010,35.44,35.44,34.68,34.81,114570518.00
14/05/2010,34.40,34.47,33.71,33.78,157606751.00
17/05/2010,33.71,33.92,32.68,33.26,164787066.00
18/05/2010,33.71,33.81,32.05,32.05,170683244.00
19/05/2010,31.83,32.12,30.96,31.43,319953010.00
20/05/2010,30.61,31.16,30.29,30.29,270303206.00
21/05/2010,30.58,32.55,30.40,32.33,176522149.00
24/05/2010,32.19,32.81,31.99,31.99,123595663.00
25/05/2010,31.11,32.49,30.63,32.28,207888674.00
26/05/2010,32.71,33.89,32.10,32.10,265262357.00
27/05/2010,33.30,34.29,33.19,34.13,247531967.00
28/05/2010,34.13,34.55,33.48,33.82,217353119.00
31/05/2010,34.06,34.64,34.06,34.54,237803197.00
01/06/2010,33.73,34.33,33.71,33.80,175506849.00
02/06/2010,33.71,34.82,33.71,34.51,101660539.00
04/06/2010,33.49,33.69,32.41,32.88,227692400.00
07/06/2010,32.97,33.09,31.78,31.85,131897474.00
08/06/2010,32.12,32.54,31.71,32.19,90482845.00
09/06/2010,32.57,33.30,32.30,32.30,155129130.00
10/06/2010,32.74,33.31,32.74,32.89,123880227.00
11/06/2010,32.74,33.48,32.54,33.29,91593296.00
14/06/2010,33.82,34.09,33.17,33.31,123266340.00
15/06/2010,33.58,34.00,33.37,33.79,92546350.00
16/06/2010,33.61,34.32,33.33,33.37,204847506.00
17/06/2010,33.60,33.64,32.47,32.78,130451209.00
18/06/2010,32.86,32.95,32.26,32.47,164525455.00
21/06/2010,33.50,33.91,33.37,33.48,155090457.00
22/06/2010,33.58,33.82,33.16,33.16,156840981.00
23/06/2010,33.45,33.57,33.01,33.57,103348440.00
24/06/2010,33.41,33.50,32.74,32.81,114884299.00
25/06/2010,32.95,33.33,32.61,33.21,93196426.00
28/06/2010,33.16,33.46,32.50,32.59,111838294.00
29/06/2010,31.61,31.70,30.74,31.02,173725353.00
30/06/2010,30.96,31.15,30.05,30.15,140199439.00
01/07/2010,30.13,30.40,29.59,30.29,140566134.00
02/07/2010,30.40,30.61,29.71,30.13,129747677.00
05/07/2010,30.12,30.29,29.36,29.71,55931325.00
06/07/2010,30.53,30.64,29.66,30.08,167621008.00
07/07/2010,30.05,30.82,29.77,30.80,105264661.00
08/07/2010,31.07,31.61,30.43,30.91,111045830.00
12/07/2010,31.09,31.16,30.22,30.45,87843416.00
13/07/2010,30.82,30.84,30.30,30.51,95420859.00
14/07/2010,30.64,30.64,30.13,30.51,72810389.00
15/07/2010,30.46,30.46,29.91,30.27,94593635.00
16/07/2010,30.05,30.17,29.60,29.60,116160046.00
19/07/2010,29.84,30.43,29.77,30.43,72199937.00
20/07/2010,30.35,32.22,30.29,32.15,282270635.00
21/07/2010,32.48,33.17,32.14,32.34,188367592.00
22/07/2010,32.86,33.44,32.78,33.02,139692364.00
23/07/2010,33.15,33.50,32.61,33.28,91452524.00
26/07/2010,33.32,33.70,33.12,33.29,71405263.00
27/07/2010,33.57,33.71,32.88,33.16,120962619.00
28/07/2010,33.05,33.75,33.02,33.75,125359736.00
29/07/2010,33.85,34.06,33.34,33.44,194411369.00
30/07/2010,33.26,33.98,33.09,33.54,167036340.00
02/08/2010,33.85,35.02,33.85,34.91,187586357.00
03/08/2010,34.85,35.21,34.47,34.87,112562608.00
04/08/2010,35.15,35.20,34.40,34.84,133942307.00
05/08/2010,34.75,35.07,34.64,34.99,79344214.00
06/08/2010,34.72,35.13,34.68,34.94,80462193.00
09/08/2010,35.11,35.34,34.90,35.03,69057502.00
10/08/2010,34.58,34.75,34.15,34.54,131020715.00
11/08/2010,33.95,34.00,33.37,33.37,130666212.00
12/08/2010,33.06,33.75,33.01,33.66,106746177.00
13/08/2010,33.63,34.13,33.59,33.71,99666644.00
16/08/2010,33.71,34.39,33.71,34.15,83190682.00
17/08/2010,34.46,34.64,34.06,34.55,128103701.00
18/08/2010,34.60,34.87,34.23,34.78,155551702.00
19/08/2010,34.69,35.16,34.40,34.44,116370400.00
20/08/2010,34.53,34.53,33.82,34.02,135712092.00
23/08/2010,34.22,34.23,32.96,33.04,185463848.00
24/08/2010,32.56,32.74,32.19,32.33,122539940.00
25/08/2010,32.19,32.33,31.65,32.04,166670837.00
26/08/2010,32.19,32.61,31.60,31.68,124472805.00
27/08/2010,32.05,32.78,31.76,32.78,150773478.00
30/08/2010,32.71,32.71,31.85,31.92,103032177.00
31/08/2010,31.92,32.48,31.90,32.39,125515890.00
01/09/2010,32.84,34.02,32.74,33.88,158997764.00
02/09/2010,33.88,33.91,33.39,33.56,90628917.00
03/09/2010,34.16,34.16,33.40,33.44,114410911.00
06/09/2010,33.76,33.76,32.91,33.16,31912426.00
08/09/2010,32.81,32.93,32.43,32.60,84801778.00
09/09/2010,32.79,33.02,32.57,32.68,80768261.00
10/09/2010,32.71,32.74,32.17,32.37,78777198.00
13/09/2010,32.88,33.37,32.76,33.30,100628542.00
14/09/2010,33.30,33.54,32.86,33.02,135872256.00
15/09/2010,32.99,33.21,32.66,33.21,135041059.00
16/09/2010,33.15,33.15,32.82,33.00,134411297.00
17/09/2010,32.99,33.07,32.56,32.56,118033876.00
20/09/2010,32.81,33.23,32.52,33.23,115229944.00
21/09/2010,33.26,33.58,32.90,33.33,151932639.00
22/09/2010,33.06,34.40,33.06,33.93,221485819.00
23/09/2010,33.68,34.58,33.68,33.95,243292706.00
24/09/2010,34.75,35.16,34.65,35.11,284158878.00
27/09/2010,35.16,36.06,35.05,35.76,162214553.00
28/09/2010,35.85,36.18,35.40,36.03,153637254.00
29/09/2010,35.82,36.13,35.72,36.05,185676220.00
30/09/2010,36.20,36.40,35.78,36.13,204796069.00
01/10/2010,36.34,36.57,36.05,36.48,193847918.00
04/10/2010,36.21,36.50,36.10,36.50,152394677.00
05/10/2010,36.68,37.10,36.38,36.97,155055474.00
06/10/2010,37.00,37.37,36.82,37.08,212866304.00
07/10/2010,37.27,37.28,36.70,36.95,238337370.00
08/10/2010,36.89,37.23,36.70,36.82,172675775.00
11/10/2010,36.88,37.17,36.70,37.03,74568553.00
13/10/2010,37.14,37.25,36.99,36.99,224893104.00
14/10/2010,37.02,37.67,36.96,37.13,178563872.00
15/10/2010,37.51,37.62,36.86,37.24,112094325.00
18/10/2010,37.19,38.19,37.17,38.05,129213995.00
19/10/2010,37.35,37.84,36.93,37.14,174321788.00
20/10/2010,37.28,38.39,37.28,38.24,180357969.00
21/10/2010,38.42,38.58,37.23,37.63,225892196.00
22/10/2010,37.70,37.87,36.92,37.66,213629684.00
25/10/2010,37.89,38.28,37.73,37.98,179473717.00
26/10/2010,37.93,38.70,37.48,38.53,177904470.00
27/10/2010,38.05,38.60,37.71,38.15,253940927.00
28/10/2010,38.81,38.83,37.41,37.42,249805173.00
29/10/2010,37.45,37.78,37.19,37.42,224680657.00
01/11/2010,37.70,38.25,37.42,38.25,163386527.00
03/11/2010,38.37,38.39,37.56,37.84,214420226.00
04/11/2010,38.25,39.01,38.03,38.81,183900772.00
05/11/2010,38.74,39.27,38.46,38.88,179456995.00
08/11/2010,38.62,39.46,38.62,39.16,125748131.00
09/11/2010,39.37,39.92,39.02,39.02,174383209.00
10/11/2010,38.79,39.21,38.35,38.95,140069723.00
11/11/2010,38.95,39.36,38.68,39.12,131483946.00
12/11/2010,38.39,39.44,38.06,38.39,148222534.00
16/11/2010,38.18,38.22,37.19,37.62,192965241.00
17/11/2010,37.77,38.00,37.40,37.56,103947093.00
18/11/2010,38.08,38.62,37.91,38.56,149669350.00
19/11/2010,38.16,38.86,37.98,38.71,174984329.00
22/11/2010,38.35,38.86,38.29,38.60,159322452.00
23/11/2010,38.16,38.28,37.50,37.63,190161608.00
24/11/2010,38.00,38.74,37.88,38.58,117145532.00
25/11/2010,38.53,38.78,38.34,38.34,47414106.00
26/11/2010,38.05,38.21,37.73,37.76,119029087.00
29/11/2010,37.65,38.05,37.33,37.84,193285519.00
30/11/2010,37.77,38.12,37.37,37.39,243250867.00
01/12/2010,38.07,38.74,37.95,38.60,144447343.00
02/12/2010,38.71,39.37,38.54,39.02,148961746.00
03/12/2010,38.99,39.57,38.88,39.51,132842730.00
06/12/2010,39.50,39.82,39.48,39.69,80904068.00
07/12/2010,40.07,40.23,39.60,39.60,114023186.00
08/12/2010,39.40,39.55,38.72,38.72,169460117.00
09/12/2010,38.79,39.36,38.79,39.14,131566624.00
10/12/2010,39.43,39.66,39.16,39.63,120831062.00
13/12/2010,39.85,40.79,39.78,40.62,163857485.00
14/12/2010,40.46,40.80,40.19,40.27,113038391.00
15/12/2010,40.06,40.17,39.65,39.65,141095032.00
16/12/2010,39.79,40.07,39.50,39.62,126866943.00
17/12/2010,39.71,39.86,39.38,39.72,166138773.00
20/12/2010,39.99,40.00,39.44,39.44,125489183.00
21/12/2010,39.69,40.17,39.65,39.92,146771885.00
22/12/2010,39.90,39.95,39.57,39.81,94568530.00
23/12/2010,39.84,39.97,39.68,39.69,83020446.00
27/12/2010,39.62,39.62,38.56,38.56,168687435.00
28/12/2010,38.69,38.74,38.07,38.21,128156907.00
