date,open,high,low,close,vol
18/12/2009,19.44,19.48,19.34,19.41,3002214.00
21/12/2009,19.54,19.61,19.39,19.40,2257889.00
22/12/2009,19.40,19.71,19.40,19.65,7505177.00
23/12/2009,19.49,19.81,19.48,19.81,4729373.00
28/12/2009,19.67,19.86,19.63,19.78,3244906.00
29/12/2009,19.72,19.95,19.72,19.94,3494668.00
30/12/2009,19.81,20.26,19.81,20.06,5903647.00
04/01/2010,20.18,20.25,20.07,20.09,3412488.00
05/01/2010,20.19,20.23,19.92,19.96,2997476.00
06/01/2010,19.98,20.14,19.91,20.14,4710811.00
07/01/2010,20.09,20.15,19.97,20.03,2893529.00
08/01/2010,19.92,20.00,19.80,19.84,5166479.00
11/01/2010,19.82,19.97,19.72,19.80,3208720.00
12/01/2010,19.66,19.83,19.58,19.80,3893968.00
13/01/2010,19.68,19.83,19.63,19.63,2792717.00
14/01/2010,19.66,19.71,19.55,19.71,3038786.00
15/01/2010,19.55,19.69,19.49,19.69,5509192.00
18/01/2010,19.70,19.70,19.46,19.53,3592055.00
19/01/2010,19.45,19.56,19.44,19.49,2638134.00
20/01/2010,19.44,19.56,19.40,19.54,6921062.00
21/01/2010,19.38,19.56,19.36,19.49,5375051.00
22/01/2010,19.56,19.76,19.40,19.76,7047035.00
26/01/2010,19.53,19.54,19.40,19.42,3263433.00
27/01/2010,19.42,19.48,19.37,19.40,4670548.00
28/01/2010,19.35,19.46,19.05,19.16,8037634.00
29/01/2010,19.36,19.40,19.19,19.34,4960916.00
01/02/2010,19.22,19.40,19.11,19.34,3459772.00
02/02/2010,19.34,19.49,19.16,19.17,3690323.00
03/02/2010,19.16,19.34,19.13,19.26,3185402.00
04/02/2010,19.16,19.29,18.93,19.14,5138710.00
05/02/2010,19.05,19.25,18.72,18.75,3938349.00
08/02/2010,18.75,18.88,18.61,18.72,5696914.00
09/02/2010,18.74,19.06,18.67,18.84,3690222.00
10/02/2010,18.84,18.86,18.70,18.73,3429634.00
11/02/2010,18.79,18.93,18.63,18.89,2538060.00
12/02/2010,19.03,19.03,18.63,18.73,1860891.00
17/02/2010,18.74,18.89,18.65,18.87,3796339.00
18/02/2010,18.77,18.84,18.66,18.79,2130777.00
19/02/2010,18.83,18.83,18.53,18.62,6291547.00
22/02/2010,18.57,18.66,18.49,18.53,4846435.00
23/02/2010,18.49,18.60,18.35,18.56,4236482.00
24/02/2010,18.60,18.68,18.47,18.52,4807618.00
25/02/2010,18.33,18.56,18.29,18.54,3317701.00
26/02/2010,18.54,18.54,18.20,18.33,4314544.00
01/03/2010,18.33,18.42,18.27,18.27,1189189.00
02/03/2010,18.37,18.45,18.17,18.23,4077093.00
03/03/2010,18.38,18.38,18.15,18.23,9398644.00
04/03/2010,18.36,18.36,18.08,18.20,2994659.00
05/03/2010,18.32,18.32,18.09,18.19,3503441.00
08/03/2010,18.30,18.30,18.08,18.09,5561267.00
09/03/2010,18.07,18.33,18.07,18.27,4190086.00
10/03/2010,18.37,18.81,18.28,18.81,5288518.00
11/03/2010,18.79,18.79,18.63,18.76,2106790.00
12/03/2010,18.79,18.85,18.47,18.47,2354943.00
15/03/2010,18.47,18.61,18.28,18.53,1520694.00
16/03/2010,18.47,18.60,18.28,18.42,2539808.00
17/03/2010,18.43,18.58,18.22,18.28,3158104.00
18/03/2010,18.33,18.52,18.17,18.49,2022927.00
19/03/2010,18.48,18.48,18.16,18.19,3144605.00
22/03/2010,18.17,18.47,18.09,18.11,2631402.00
23/03/2010,18.14,18.26,17.85,18.13,3105524.00
24/03/2010,18.13,18.13,17.77,17.77,4611615.00
25/03/2010,17.90,17.90,17.49,17.60,8297001.00
26/03/2010,17.55,17.85,17.55,17.81,4828274.00
29/03/2010,17.85,18.04,17.62,18.00,5154019.00
30/03/2010,18.04,18.09,17.89,17.93,4612807.00
31/03/2010,17.92,18.07,17.84,17.91,6196291.00
01/04/2010,18.14,18.19,17.89,18.04,15539750.00
05/04/2010,17.93,18.17,17.93,18.13,12090244.00
06/04/2010,18.18,18.19,17.96,18.04,10695872.00
07/04/2010,18.13,18.28,18.03,18.26,13079713.00
08/04/2010,18.29,18.41,18.21,18.27,12451965.00
09/04/2010,18.29,18.30,17.42,17.86,9217479.00
12/04/2010,17.64,17.90,17.36,17.52,5619845.00
13/04/2010,17.44,17.72,17.32,17.32,7769977.00
14/04/2010,17.32,17.53,17.32,17.47,8823874.00
15/04/2010,17.49,17.50,17.21,17.22,2611460.00
16/04/2010,17.41,17.41,17.07,17.07,4498769.00
19/04/2010,17.08,17.16,16.92,17.04,5215734.00
20/04/2010,17.17,17.67,17.17,17.67,8987421.00
22/04/2010,17.49,17.49,17.17,17.37,6777156.00
23/04/2010,17.42,17.42,17.05,17.16,5608788.00
26/04/2010,17.17,17.29,16.94,16.96,5037987.00
27/04/2010,16.97,17.14,16.59,16.69,6787906.00
28/04/2010,16.87,16.92,16.64,16.84,4568146.00
29/04/2010,16.71,17.01,16.61,16.66,4616080.00
30/04/2010,16.66,16.96,16.53,16.92,3168744.00
03/05/2010,16.52,16.96,16.52,16.79,3068262.00
04/05/2010,16.72,16.86,16.39,16.46,5579649.00
05/05/2010,16.43,16.65,16.41,16.47,4987639.00
06/05/2010,16.64,16.81,16.29,16.52,5326542.00
07/05/2010,16.66,17.00,16.34,16.91,14424407.00
10/05/2010,17.10,17.16,16.67,17.16,4603690.00
11/05/2010,17.09,17.66,16.82,17.49,8119767.00
12/05/2010,17.34,17.66,17.33,17.59,5089842.00
13/05/2010,17.37,17.72,17.33,17.66,9454623.00
