date,open,high,low,close,vol
18/12/2009,10.42,10.50,10.39,10.41,3106489.00
21/12/2009,10.53,10.65,10.44,10.50,3060585.00
22/12/2009,10.49,10.61,10.44,10.61,3685666.00
23/12/2009,10.61,10.84,10.54,10.67,3193147.00
28/12/2009,10.79,10.79,10.61,10.69,7736553.00
29/12/2009,10.70,10.73,10.56,10.73,3599266.00
30/12/2009,10.72,10.78,10.65,10.78,7455462.00
04/01/2010,10.89,11.16,10.85,11.08,5475705.00
05/01/2010,11.21,11.21,10.96,11.07,4870980.00
06/01/2010,11.08,11.15,11.02,11.11,2684599.00
07/01/2010,11.13,11.19,11.04,11.13,2514889.00
08/01/2010,11.03,11.42,11.03,11.36,10892462.00
11/01/2010,11.42,11.45,11.29,11.39,4340368.00
12/01/2010,11.30,11.85,11.21,11.47,7251030.00
13/01/2010,11.48,11.62,11.31,11.45,7249025.00
14/01/2010,11.48,11.54,11.36,11.53,2470294.00
15/01/2010,11.59,11.71,11.54,11.59,3737174.00
18/01/2010,11.60,12.02,11.60,11.70,5077529.00
19/01/2010,11.74,11.74,11.65,11.71,3674737.00
20/01/2010,11.70,11.71,11.36,11.45,3630577.00
21/01/2010,11.45,11.45,11.16,11.26,4356085.00
22/01/2010,11.08,11.31,11.03,11.25,4839283.00
26/01/2010,11.05,11.36,11.05,11.13,1630118.00
27/01/2010,11.19,11.19,10.90,11.07,1128606.00
28/01/2010,10.97,11.21,10.90,10.91,4390330.00
29/01/2010,10.90,10.96,10.88,10.93,3458251.00
01/02/2010,10.93,11.19,10.93,11.18,2695974.00
02/02/2010,11.19,11.19,11.08,11.19,3895342.00
03/02/2010,11.00,11.17,10.90,11.00,6811845.00
04/02/2010,10.96,11.00,10.65,10.84,9055788.00
05/02/2010,10.59,10.85,10.37,10.50,8395759.00
08/02/2010,10.62,10.62,10.21,10.30,3391540.00
09/02/2010,10.50,10.58,10.39,10.55,4040897.00
10/02/2010,10.58,10.76,10.51,10.58,3212707.00
11/02/2010,10.65,10.90,10.56,10.81,2206673.00
12/02/2010,10.84,10.85,10.62,10.70,2864617.00
17/02/2010,10.70,10.96,10.70,10.81,1885103.00
18/02/2010,10.96,10.96,10.68,10.82,1154410.00
19/02/2010,10.76,10.90,10.73,10.82,1045973.00
22/02/2010,10.90,10.90,10.77,10.85,769791.00
23/02/2010,10.53,10.59,10.21,10.33,9640187.00
24/02/2010,10.33,10.33,9.80,9.84,17228463.00
25/02/2010,9.97,9.97,9.56,9.87,10116396.00
26/02/2010,9.93,10.22,9.76,10.16,6066503.00
01/03/2010,10.22,10.24,10.06,10.16,6145835.00
02/03/2010,10.16,10.22,9.96,10.04,6523629.00
03/03/2010,10.10,10.12,9.96,10.03,1906296.00
04/03/2010,10.19,10.19,9.99,10.07,7347096.00
05/03/2010,10.13,10.13,9.74,9.96,2137057.00
08/03/2010,9.77,10.03,9.77,9.96,1308935.00
09/03/2010,10.03,10.03,9.88,9.99,3528514.00
10/03/2010,10.03,10.04,9.89,9.90,1901403.00
11/03/2010,9.99,9.99,9.80,9.84,1834826.00
12/03/2010,10.10,10.12,9.83,9.99,1135355.00
15/03/2010,10.09,10.09,9.87,9.91,1302099.00
16/03/2010,10.04,10.04,9.91,9.93,842761.00
17/03/2010,10.01,10.01,9.85,9.97,3296505.00
18/03/2010,9.97,9.99,9.90,9.96,2044088.00
19/03/2010,9.99,10.07,9.81,9.90,2055851.00
22/03/2010,9.92,9.92,9.81,9.87,2644524.00
23/03/2010,9.76,9.93,9.76,9.79,2506289.00
24/03/2010,9.70,9.81,9.50,9.75,3251169.00
25/03/2010,9.81,9.85,9.60,9.64,1206254.00
26/03/2010,9.69,9.69,9.45,9.47,3358116.00
29/03/2010,9.64,9.64,9.39,9.44,1605891.00
30/03/2010,9.47,9.55,9.38,9.55,4620413.00
31/03/2010,9.68,9.87,9.46,9.72,4411229.00
01/04/2010,10.01,10.12,9.76,9.99,1654730.00
05/04/2010,10.11,10.11,9.79,9.84,1269508.00
06/04/2010,9.93,9.95,9.70,9.87,3132014.00
07/04/2010,9.87,9.93,9.70,9.84,843745.00
08/04/2010,9.93,9.95,9.73,9.95,2579916.00
09/04/2010,9.98,9.98,9.77,9.90,3288869.00
12/04/2010,10.04,10.04,9.79,9.84,979316.00
13/04/2010,9.93,9.93,9.70,9.89,1042444.00
14/04/2010,9.95,9.95,9.77,9.90,2418408.00
15/04/2010,9.91,9.91,9.77,9.84,1415527.00
16/04/2010,9.94,9.94,9.67,9.84,1386442.00
19/04/2010,9.91,9.91,9.76,9.82,432560.00
20/04/2010,9.90,9.90,9.78,9.82,2435734.00
22/04/2010,9.84,9.86,9.67,9.79,1405269.00
23/04/2010,9.87,9.87,9.67,9.72,965469.00
26/04/2010,9.84,9.84,9.70,9.79,354644.00
27/04/2010,9.79,9.79,9.47,9.64,1343323.00
28/04/2010,9.71,9.71,9.50,9.55,364564.00
29/04/2010,9.69,9.69,9.50,9.50,819233.00
30/04/2010,9.66,9.66,9.42,9.64,641291.00
03/05/2010,9.62,9.62,9.49,9.49,353108.00
04/05/2010,9.55,9.55,9.10,9.27,1281506.00
05/05/2010,9.35,9.35,9.09,9.21,2676543.00
06/05/2010,9.21,9.32,8.86,9.09,912557.00
07/05/2010,9.16,9.16,8.80,8.86,1580050.00
10/05/2010,9.24,9.24,8.95,8.98,1051127.00
11/05/2010,8.98,9.02,8.89,8.92,3032289.00
12/05/2010,9.06,9.07,8.92,9.02,1477042.00
13/05/2010,8.98,9.06,8.98,9.02,11052179.00
14/05/2010,8.89,8.98,8.83,8.92,2517693.00
17/05/2010,8.88,8.88,8.57,8.57,1021413.00
18/05/2010,8.57,8.69,8.40,8.51,1110831.00
19/05/2010,8.40,8.50,7.99,8.10,3239194.00
20/05/2010,7.88,7.88,7.59,7.64,4645434.00
21/05/2010,7.78,8.11,7.59,8.11,4543525.00
24/05/2010,7.99,7.99,7.84,7.90,1695454.00
25/05/2010,7.86,7.86,7.64,7.86,1891135.00
26/05/2010,7.79,7.99,7.79,7.93,2449014.00
27/05/2010,7.93,8.40,7.93,8.40,2128614.00
28/05/2010,8.59,8.66,8.40,8.66,1852163.00
31/05/2010,8.91,8.97,8.69,8.69,988345.00
01/06/2010,8.69,8.85,8.63,8.85,928708.00
02/06/2010,8.81,8.89,8.69,8.74,5854697.00
04/06/2010,8.74,8.75,8.66,8.69,5449492.00
07/06/2010,8.69,8.69,8.48,8.57,747127.00
08/06/2010,8.57,8.72,8.30,8.51,3398360.00
09/06/2010,8.68,8.68,8.51,8.60,874623.00
