date,open,high,low,close,vol
21/12/2009,24.06,25.02,24.06,25.02,20100.00
22/12/2009,25.02,25.02,25.02,25.02,7800.00
23/12/2009,25.98,26.10,25.98,26.10,13548.00
04/01/2010,24.06,24.06,24.06,24.06,50000.00
05/01/2010,24.06,24.35,24.06,24.35,93303.00
06/01/2010,24.35,24.35,24.06,24.06,47750.00
07/01/2010,24.73,24.73,24.73,24.73,12850.00
11/01/2010,24.06,24.54,24.06,24.54,55050.00
15/01/2010,25.98,25.98,24.06,24.06,5200.00
21/01/2010,22.13,22.13,22.13,22.13,23000.00
29/01/2010,24.16,24.16,24.16,24.16,25100.00
03/02/2010,24.16,24.16,24.16,24.16,2510.00
05/02/2010,24.16,24.16,24.16,24.16,2510.00
09/02/2010,27.86,27.86,27.86,27.86,2895.00
11/02/2010,25.02,26.94,25.02,26.94,41799.00
24/02/2010,24.06,24.06,24.06,24.06,25000.00
26/02/2010,24.98,24.98,24.98,24.98,259600.00
01/03/2010,24.06,24.06,24.06,24.06,17500.00
03/03/2010,24.05,25.02,24.05,25.02,20146.00
10/03/2010,24.06,24.06,24.06,24.06,25000.00
17/03/2010,24.06,24.06,24.06,24.06,25000.00
19/03/2010,24.06,24.06,24.06,24.06,50000.00
22/03/2010,23.96,23.96,23.96,23.96,2490.00
29/03/2010,23.96,24.06,23.96,24.06,114850.00
30/03/2010,24.06,24.06,24.06,24.06,52500.00
31/03/2010,23.87,23.87,23.10,23.10,17130.00
16/04/2010,23.10,23.10,23.10,23.10,28800.00
20/04/2010,23.10,23.10,23.10,23.10,7200.00
22/04/2010,22.14,22.14,22.14,22.14,23010.00
26/04/2010,22.18,23.10,22.13,22.14,184322.00
28/04/2010,22.13,22.13,22.13,22.13,9200.00
30/04/2010,22.23,22.23,22.23,22.23,20790.00
04/05/2010,20.57,20.57,20.57,20.57,21000.00
02/06/2010,19.85,19.85,19.85,19.85,8108.00
14/06/2010,20.08,20.08,20.08,20.08,2050.00
15/06/2010,19.59,20.08,19.59,20.08,6100.00
23/06/2010,20.08,21.54,20.08,21.54,4249.00
24/06/2010,21.54,21.54,21.54,21.54,6597.00
28/06/2010,20.57,20.58,20.57,20.57,39913.00
29/06/2010,20.08,20.08,20.08,20.08,2050.00
06/07/2010,19.98,19.98,19.59,19.59,22040.00
28/07/2010,21.01,21.01,21.01,21.01,2145.00
18/08/2010,21.02,21.02,21.01,21.01,12874.00
24/08/2010,21.06,21.06,21.06,21.06,2150.00
25/08/2010,20.57,20.57,20.57,20.57,2100.00
26/08/2010,22.43,22.43,22.04,22.04,24830.00
09/09/2010,19.10,19.10,19.10,19.10,7800.00
16/09/2010,19.13,19.13,19.13,19.13,1953.00
22/09/2010,19.30,19.30,19.30,19.30,3942.00
28/09/2010,19.12,19.12,19.12,19.12,1952.00
07/10/2010,18.61,18.61,18.61,18.61,41800.00
13/10/2010,18.60,18.61,18.60,18.61,9496.00
