date,open,high,low,close,vol
11/04/2012,4.55,4.55,4.55,4.55,4002.00
17/04/2012,4.55,4.55,4.55,4.55,100000.00
20/04/2012,4.57,4.57,4.57,4.57,48240.00
23/04/2012,4.55,4.55,4.55,4.55,1902000.00
24/04/2012,4.55,4.55,4.55,4.55,20000.00
02/05/2012,5.00,5.00,5.00,5.00,22000.00
07/05/2012,4.78,4.78,4.78,4.78,56700.00
09/05/2012,4.55,4.55,4.55,4.55,178000.00
14/05/2012,4.55,4.55,4.55,4.55,62000.00
15/05/2012,4.55,4.55,4.55,4.55,30000.00
16/05/2012,4.55,4.55,4.55,4.55,4002.00
17/05/2012,4.55,4.55,4.55,4.55,746000.00
18/05/2012,4.55,4.55,4.55,4.55,8000.00
23/05/2012,4.62,4.62,4.37,4.37,1101950.00
29/05/2012,4.33,4.33,4.32,4.32,15206.00
01/06/2012,4.32,4.32,4.32,4.32,190000.00
06/06/2012,4.32,4.32,4.32,4.32,754300.00
08/06/2012,4.32,4.32,4.32,4.32,1900.00
15/06/2012,4.11,4.11,4.11,4.11,1808.00
18/06/2012,4.09,4.09,4.09,4.09,1800.00
27/06/2012,4.13,4.13,4.13,4.13,12705.00
28/06/2012,4.09,4.09,4.09,4.09,4590000.00
05/07/2012,3.64,4.14,3.64,4.14,3421.00
11/07/2012,4.14,4.14,4.14,4.14,7280.00
18/07/2012,4.14,4.14,4.14,4.14,1820.00
09/08/2012,4.32,4.32,4.32,4.32,1900.00
10/08/2012,4.39,4.39,4.39,4.39,1930.00
20/08/2012,4.12,4.12,4.12,4.12,1812.00
03/09/2012,4.05,4.05,4.05,4.05,1780.00
06/09/2012,4.08,4.08,4.08,4.08,1795.00
10/09/2012,3.91,3.91,3.91,3.91,1721.00
11/09/2012,4.09,4.09,4.09,4.09,1800.00
12/09/2012,4.12,4.12,4.12,4.12,3620.00
14/09/2012,4.09,4.09,4.09,4.09,1800.00
15/10/2012,3.87,3.87,3.87,3.87,86700.00
16/10/2012,3.87,3.87,3.87,3.87,5100.00
22/10/2012,3.87,3.87,3.87,3.87,22113.00
23/10/2012,3.87,3.87,3.87,3.87,200718.00
24/10/2012,3.87,3.87,3.87,3.87,81648.00
25/10/2012,3.87,3.87,3.87,3.87,76545.00
29/10/2012,3.87,3.87,3.87,3.87,309400.00
06/11/2012,3.75,3.75,3.75,3.75,19800.00
14/11/2012,4.07,4.07,4.07,4.07,1790.00
19/11/2012,4.07,4.07,4.07,4.07,1790.00
27/11/2012,4.09,4.10,4.09,4.10,73801.00
28/11/2012,4.09,4.09,4.09,4.09,388800.00
10/12/2012,4.09,4.09,4.09,4.09,12600.00
13/12/2012,4.09,4.09,4.09,4.09,36000.00
18/12/2012,4.09,4.09,4.09,4.09,88200.00
19/12/2012,4.09,4.09,4.09,4.09,102600.00
20/12/2012,4.09,4.09,4.09,4.09,120600.00
21/12/2012,4.10,4.10,4.10,4.10,63035.00
26/12/2012,4.09,4.09,4.09,4.09,1800.00
27/12/2012,4.09,4.09,4.09,4.09,7200.00
28/12/2012,4.09,4.09,4.09,4.09,30600.00
03/01/2013,4.09,4.09,4.09,4.09,1800.00
04/01/2013,4.09,4.09,4.09,4.09,10800.00
