date,open,high,low,close,vol
18/12/2009,4.21,4.25,4.18,4.18,3393805.00
21/12/2009,4.21,4.34,4.17,4.17,5768074.00
22/12/2009,4.19,4.30,4.19,4.28,4007524.00
23/12/2009,4.22,4.32,4.19,4.19,5843930.00
28/12/2009,4.21,4.27,4.20,4.21,1437575.00
29/12/2009,4.24,4.24,4.21,4.24,10441988.00
30/12/2009,4.25,4.26,4.22,4.26,1507925.00
04/01/2010,4.28,4.34,4.19,4.24,10297612.00
05/01/2010,4.24,4.26,4.20,4.23,3867562.00
06/01/2010,4.22,4.27,4.21,4.25,11108320.00
07/01/2010,4.29,4.35,4.26,4.33,2597554.00
08/01/2010,4.31,4.49,4.31,4.48,6237083.00
11/01/2010,4.48,4.51,4.43,4.43,5015584.00
12/01/2010,4.39,4.53,4.36,4.53,12626600.00
13/01/2010,4.56,4.57,4.27,4.39,6967821.00
14/01/2010,4.39,4.48,4.35,4.37,1756922.00
15/01/2010,4.34,4.44,4.34,4.35,2839336.00
18/01/2010,4.30,4.47,4.30,4.33,3225467.00
19/01/2010,4.40,4.44,4.31,4.44,5253237.00
20/01/2010,4.41,4.53,4.33,4.53,11955303.00
21/01/2010,4.49,4.53,4.31,4.32,2572956.00
22/01/2010,4.29,4.37,4.11,4.16,11250211.00
26/01/2010,4.14,4.16,4.00,4.06,6949868.00
27/01/2010,4.03,4.19,4.03,4.14,2798570.00
28/01/2010,4.14,4.28,4.03,4.20,7028974.00
29/01/2010,4.16,4.23,4.12,4.17,2136348.00
01/02/2010,4.14,4.21,4.07,4.19,2562806.00
02/02/2010,4.21,4.22,4.14,4.14,2698594.00
03/02/2010,4.14,4.21,4.13,4.20,12375467.00
04/02/2010,4.19,4.19,4.05,4.16,3655381.00
05/02/2010,4.05,4.11,3.82,3.98,8391130.00
08/02/2010,4.02,4.16,3.98,4.11,3396792.00
09/02/2010,4.11,4.29,4.11,4.25,5805511.00
10/02/2010,4.18,4.23,4.14,4.22,5673323.00
11/02/2010,4.15,4.22,4.13,4.22,1460880.00
12/02/2010,4.20,4.30,4.10,4.10,3495145.00
17/02/2010,4.16,4.19,4.13,4.16,3067117.00
18/02/2010,4.18,4.26,4.14,4.25,1171673.00
19/02/2010,4.20,4.25,4.14,4.14,5588693.00
22/02/2010,4.18,4.21,4.14,4.20,19483748.00
23/02/2010,4.21,4.21,4.07,4.18,8875039.00
24/02/2010,4.17,4.19,3.95,3.95,9746533.00
25/02/2010,3.97,4.10,3.97,4.07,12099322.00
26/02/2010,4.10,4.15,4.02,4.13,4557447.00
01/03/2010,4.14,4.17,4.10,4.12,3229032.00
02/03/2010,4.14,4.18,4.10,4.10,9461407.00
03/03/2010,4.11,4.12,3.97,3.99,9197981.00
04/03/2010,4.00,4.03,3.98,4.00,2303101.00
05/03/2010,4.02,4.17,4.02,4.17,9350203.00
08/03/2010,4.17,4.27,4.14,4.22,7614404.00
09/03/2010,4.22,4.26,4.14,4.25,2287332.00
10/03/2010,4.21,4.32,4.21,4.30,5993959.00
11/03/2010,4.19,4.33,4.19,4.29,4550191.00
12/03/2010,4.31,4.32,4.25,4.32,3596079.00
15/03/2010,4.32,4.39,4.27,4.35,3045576.00
16/03/2010,4.34,4.38,4.31,4.33,3455597.00
17/03/2010,4.37,4.37,4.23,4.26,1220167.00
18/03/2010,4.25,4.31,4.22,4.26,2423966.00
19/03/2010,4.26,4.31,4.21,4.23,2812629.00
22/03/2010,4.23,4.25,4.15,4.19,6585747.00
23/03/2010,4.24,4.24,4.19,4.21,4795214.00
24/03/2010,4.22,4.27,4.22,4.24,5646109.00
25/03/2010,4.23,4.29,4.23,4.28,5128181.00
26/03/2010,4.23,4.27,4.23,4.24,6058650.00
29/03/2010,4.25,4.39,4.25,4.35,7489274.00
30/03/2010,4.34,4.39,4.30,4.38,4944383.00
31/03/2010,4.37,4.51,4.36,4.46,12416203.00
01/04/2010,4.49,4.57,4.29,4.46,7578485.00
05/04/2010,4.46,4.54,4.42,4.43,4981162.00
06/04/2010,4.39,4.44,4.35,4.38,3335211.00
07/04/2010,4.33,4.42,4.24,4.28,4982426.00
08/04/2010,4.28,4.40,4.28,4.28,2584024.00
09/04/2010,4.30,4.47,4.30,4.41,5562393.00
12/04/2010,4.39,4.46,4.39,4.45,1248477.00
13/04/2010,4.33,4.46,4.33,4.40,1476134.00
14/04/2010,4.40,4.44,4.34,4.37,2608513.00
15/04/2010,4.38,4.45,4.34,4.34,1972749.00
16/04/2010,4.36,4.41,4.27,4.34,2628396.00
19/04/2010,4.28,4.44,4.28,4.34,1789445.00
20/04/2010,4.41,4.41,4.35,4.37,814232.00
22/04/2010,4.39,4.41,4.35,4.39,5233755.00
23/04/2010,4.41,4.45,4.39,4.41,5506808.00
26/04/2010,4.40,4.48,4.39,4.42,3308392.00
27/04/2010,4.41,4.47,4.25,4.25,4777922.00
28/04/2010,4.23,4.23,4.09,4.09,4946259.00
29/04/2010,4.14,4.21,4.14,4.18,2303183.00
