date,open,high,low,close,vol
05/06/2015,9.91,10.31,9.84,10.13,214017572.00
08/06/2015,10.28,10.33,9.95,10.04,22715018.00
09/06/2015,10.04,10.08,9.85,9.95,29549281.00
10/06/2015,9.98,10.25,9.95,10.20,9393396.00
11/06/2015,10.21,10.57,10.09,10.39,15729891.00
12/06/2015,10.43,10.70,10.32,10.59,11379784.00
15/06/2015,10.57,10.67,10.42,10.67,4431499.00
16/06/2015,10.66,10.86,10.54,10.60,12081294.00
17/06/2015,10.65,10.70,10.35,10.38,6749284.00
18/06/2015,10.37,10.64,10.13,10.64,11327207.00
19/06/2015,10.62,10.85,10.35,10.71,7711200.00
22/06/2015,10.86,10.86,10.67,10.77,3591323.00
23/06/2015,10.75,10.75,10.60,10.64,7759980.00
24/06/2015,10.67,10.76,10.56,10.57,3272194.00
25/06/2015,10.57,10.57,10.16,10.16,12246481.00
26/06/2015,10.14,10.27,9.73,9.76,15856511.00
29/06/2015,9.73,9.74,9.36,9.65,41293260.00
30/06/2015,9.65,10.03,9.41,9.88,24952717.00
01/07/2015,10.03,10.05,9.71,9.98,14255989.00
02/07/2015,10.04,10.27,9.76,10.25,13243612.00
03/07/2015,10.24,10.48,10.06,10.35,5134416.00
06/07/2015,10.20,10.35,10.02,10.24,5581027.00
07/07/2015,10.24,10.26,10.13,10.20,3250993.00
08/07/2015,10.35,10.50,10.14,10.20,3354764.00
10/07/2015,10.32,10.32,10.10,10.20,1816293.00
13/07/2015,10.24,10.27,10.20,10.24,3278308.00
14/07/2015,10.24,10.27,10.06,10.16,3027840.00
15/07/2015,10.20,10.31,10.16,10.24,1434664.00
16/07/2015,10.20,10.48,10.20,10.42,1964073.00
17/07/2015,10.42,10.42,10.28,10.42,2501762.00
20/07/2015,10.35,10.35,10.08,10.27,6048134.00
21/07/2015,10.20,10.20,10.10,10.13,1892624.00
22/07/2015,10.16,10.19,9.79,10.19,6211253.00
23/07/2015,9.95,10.20,9.86,10.19,2721142.00
24/07/2015,10.08,10.19,9.98,10.06,6308529.00
27/07/2015,10.06,10.09,9.94,9.98,6132719.00
28/07/2015,10.04,10.20,10.04,10.19,6128270.00
29/07/2015,10.12,10.27,10.10,10.24,3123750.00
30/07/2015,10.17,10.27,10.06,10.25,2851408.00
31/07/2015,10.27,10.35,10.19,10.35,2895901.00
03/08/2015,10.27,10.49,10.20,10.42,1987120.00
04/08/2015,10.33,10.42,10.14,10.42,1282125.00
05/08/2015,10.32,10.34,10.20,10.20,6209928.00
06/08/2015,10.19,10.27,10.03,10.27,3963119.00
07/08/2015,10.27,10.27,9.98,10.06,988525.00
10/08/2015,10.20,10.20,9.78,9.81,4703411.00
11/08/2015,9.84,10.13,9.73,10.13,753455.00
12/08/2015,10.13,10.16,9.84,9.95,1525519.00
13/08/2015,10.02,10.18,9.87,10.08,4181242.00
14/08/2015,10.19,10.19,9.78,9.78,520142.00
17/08/2015,9.82,10.05,9.78,9.98,484097.00
18/08/2015,9.98,10.42,9.98,10.42,2486951.00
19/08/2015,10.30,10.30,10.06,10.20,1089725.00
20/08/2015,10.19,10.20,9.92,10.13,1991781.00
21/08/2015,10.02,10.11,9.91,9.92,1229257.00
24/08/2015,9.84,10.03,9.44,9.76,3937288.00
25/08/2015,9.78,10.08,9.76,10.06,4463984.00
26/08/2015,10.06,10.24,9.96,10.16,4879280.00
