date,open,high,low,close,vol
18/12/2009,5.63,5.63,5.39,5.48,3369248.00
21/12/2009,5.53,5.53,5.34,5.48,2404624.00
22/12/2009,5.59,5.63,5.29,5.53,1666022.00
23/12/2009,5.56,5.72,5.56,5.72,105228.00
28/12/2009,5.78,5.78,5.62,5.78,791225.00
29/12/2009,5.78,5.92,5.76,5.92,568007.00
30/12/2009,5.93,6.13,5.81,6.13,1070820.00
04/01/2010,6.15,6.18,5.87,5.98,961399.00
05/01/2010,6.09,6.09,5.65,6.05,368710.00
06/01/2010,5.91,6.15,5.91,6.15,401707.00
07/01/2010,6.15,6.15,5.93,6.05,314299.00
08/01/2010,5.88,6.05,5.88,6.05,266975.00
11/01/2010,6.05,6.05,6.05,6.05,1229900.00
12/01/2010,5.93,6.02,5.70,5.78,590528.00
13/01/2010,5.90,5.90,5.68,5.68,416399.00
14/01/2010,5.65,5.66,5.56,5.56,420187.00
15/01/2010,5.66,5.66,5.60,5.64,1023435.00
18/01/2010,5.76,5.76,5.68,5.68,25330.00
19/01/2010,5.63,5.67,5.57,5.63,1607615.00
20/01/2010,5.56,5.56,5.50,5.50,5857475.00
21/01/2010,5.50,5.50,5.24,5.26,1449058.00
22/01/2010,5.24,5.27,5.19,5.25,896672.00
26/01/2010,5.19,5.25,5.09,5.21,1158628.00
27/01/2010,5.21,5.32,5.11,5.24,1003887.00
28/01/2010,5.31,5.41,5.06,5.41,1119207.00
29/01/2010,5.30,5.56,5.24,5.56,1275365.00
01/02/2010,5.56,5.74,5.44,5.73,220453.00
02/02/2010,5.71,5.74,5.56,5.63,736257.00
03/02/2010,5.73,5.73,5.59,5.63,164569.00
04/02/2010,5.56,5.56,5.14,5.16,2168595.00
05/02/2010,5.16,5.29,5.12,5.18,8569563.00
08/02/2010,5.19,5.22,5.03,5.03,1221488.00
09/02/2010,5.07,5.20,5.07,5.17,6632520.00
10/02/2010,5.19,5.35,5.19,5.25,215244.00
11/02/2010,5.14,5.34,5.14,5.26,200221.00
12/02/2010,5.11,5.29,5.11,5.27,129592.00
17/02/2010,5.19,5.47,5.19,5.47,2429465.00
18/02/2010,5.41,5.47,5.37,5.37,133444.00
19/02/2010,5.31,5.45,5.31,5.45,213120.00
22/02/2010,5.43,5.61,5.43,5.48,1227934.00
23/02/2010,5.43,5.56,5.43,5.46,85943.00
24/02/2010,5.44,5.56,5.43,5.46,95090.00
25/02/2010,5.48,5.56,5.31,5.53,295232.00
26/02/2010,5.51,5.56,5.43,5.56,2321303.00
01/03/2010,5.43,5.66,5.43,5.58,1587682.00
02/03/2010,5.44,5.58,5.34,5.34,265595.00
03/03/2010,5.38,5.40,5.17,5.31,450083.00
04/03/2010,5.21,5.34,5.19,5.31,66090.00
05/03/2010,5.23,5.43,5.22,5.31,1306686.00
08/03/2010,5.31,5.33,5.31,5.31,2453194.00
09/03/2010,5.16,5.28,5.12,5.28,15228447.00
10/03/2010,5.13,5.31,5.10,5.31,1714419.00
11/03/2010,5.17,5.31,5.13,5.13,627118.00
12/03/2010,5.15,5.15,5.03,5.06,2009390.00
15/03/2010,5.13,5.13,5.10,5.11,394148.00
16/03/2010,5.11,5.14,5.07,5.07,231755.00
17/03/2010,5.08,5.26,5.07,5.24,19390112.00
18/03/2010,5.36,5.43,5.34,5.43,410518.00
19/03/2010,5.42,5.68,5.41,5.68,310435.00
22/03/2010,5.57,5.68,5.49,5.56,72216.00
23/03/2010,5.56,5.56,5.51,5.56,24710.00
24/03/2010,5.56,5.56,5.51,5.56,289003.00
25/03/2010,5.53,5.66,5.53,5.56,1178353.00
26/03/2010,5.58,5.58,5.31,5.53,1436804.00
29/03/2010,5.45,5.45,5.37,5.37,201824.00
30/03/2010,5.46,5.46,5.20,5.26,411549.00
31/03/2010,5.22,5.36,5.21,5.34,211920.00
01/04/2010,5.26,5.28,5.26,5.26,1627338.00
05/04/2010,5.26,5.31,5.24,5.24,296000.00
06/04/2010,5.25,5.34,5.23,5.34,639238.00
