IBRA - Carteira do Dia 02/01/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.665.566;0,242;
TTEN3;3TENTOS;ON      NM;113.777.586;0,054;
ABCB4;ABC BRASIL;PN  EJS N2;74.288.668;0,070;
AESB3;AES BRASIL;ON      NM;317.103.937;0,153;
AALR3;ALLIAR;ON      NM;7.916.084;0,003;
ALOS3;ALLOS;ON      NM;532.616.595;0,552;
ALPA4;ALPARGATAS;PN      N1;176.733.968;0,070;
ALUP11;ALUPAR;UNT     N2;145.652.313;0,179;
ABEV3;AMBEV S/A;ON  EJ;4.394.245.879;2,357;
AMBP3;AMBIPAR;ON      NM;55.695.890;0,035;
ANIM3;ANIMA;ON      NM;256.834.750;0,045;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,157;
ARML3;ARMAC;ON  EJ  NM;171.399.108;0,114;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,713;
AURE3;AUREN;ON      NM;301.966.319;0,157;
AZUL4;AZUL;PN      N2;327.593.725;0,205;
B3SA3;B3;ON  EDJ NM;5.602.790.110;3,165;
BPAN4;BANCO PAN;PN  EJ  N1;327.696.379;0,111;
BRSR6;BANRISUL;PNB     N1;202.191.040;0,105;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,883;
BMOB3;BEMOBI TECH;ON  EJ  NM;83.018.918;0,046;
BLAU3;BLAU;ON      NM;29.830.740;0,019;
BBDC3;BRADESCO;ON  EJ  N1;1.500.728.902;0,896;
BBDC4;BRADESCO;PN  EJ  N1;5.146.576.868;3,436;
BRAP4;BRADESPAR;PN      N1;251.003.438;0,252;
BBAS3;BRASIL;ON      NM;1.420.949.112;3,075;
AGRO3;BRASILAGRO;ON      NM;63.773.043;0,067;
BRKM5;BRASKEM;PNA     N1;265.877.867;0,227;
BRFS3;BRF SA;ON      NM;1.677.525.446;0,905;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,691;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,261;
CAML3;CAMIL;ON      NM;97.829.997;0,032;
CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,260;
BHIA3;CASAS BAHIA;ON      NM;94.843.047;0,042;
CBAV3;CBA;ON      NM;191.350.000;0,038;
CCRO3;CCR SA;ON      NM;995.335.937;0,551;
CEAB3;CEA MODAS;ON      NM;103.292.235;0,032;
CMIG3;CEMIG;ON  EJ  N1;360.771.252;0,213;
CMIG4;CEMIG;PN  EJ  N1;1.437.415.777;0,645;
CIEL3;CIELO;ON  EJ  NM;1.095.462.329;0,198;
COGN3;COGNA ON;ON      NM;1.814.920.980;0,247;
CSMG3;COPASA;ON  EJ  NM;188.462.398;0,151;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,680;
CSAN3;COSAN;ON      NM;1.168.097.881;0,884;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,282;
CMIN3;CSNMINERACAO;ON  EJ  N2;1.110.559.345;0,337;
CURY3;CURY S/A;ON      NM;120.291.325;0,085;
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,071;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,250;
DASA3;DASA;ON      NM;142.275.891;0,053;
DXCO3;DEXCO;ON  EJ  NM;302.768.240;0,095;
PNVL3;DIMED;ON  EJ  NM;71.294.090;0,038;
DIRR3;DIRECIONAL;ON      NM;107.596.799;0,094;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,123;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,283;
